Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.589480,0.626916,0.551479,0.608084,"179,850,430","790,509,359"
"Sep 15, 2020",0.689844,0.702775,0.588808,0.589172,"172,983,693","765,923,639"
"Sep 14, 2020",0.691116,0.716354,0.659317,0.689651,"189,788,935","896,546,219"
"Sep 13, 2020",0.759100,0.771118,0.641608,0.691917,"194,512,156","899,491,810"
"Sep 12, 2020",0.693862,0.759100,0.676922,0.759100,"172,147,323","986,829,630"
"Sep 11, 2020",0.686236,0.705662,0.640548,0.693321,"156,585,621","901,317,723"
"Sep 10, 2020",0.680783,0.719773,0.659094,0.686084,"165,556,091","891,909,580"
"Sep 09, 2020",0.551497,0.702691,0.530823,0.680429,"171,094,976","884,557,569"
"Sep 08, 2020",0.574589,0.586780,0.534199,0.551756,"107,288,397","717,282,130"
"Sep 07, 2020",0.590094,0.595297,0.501029,0.574187,"132,152,159","746,442,747"
"Sep 06, 2020",0.533310,0.598449,0.464961,0.589566,"204,271,871","766,435,988"
"Sep 05, 2020",0.652403,0.666747,0.482752,0.533310,"217,968,258","693,302,590"
"Sep 04, 2020",0.526513,0.669563,0.511718,0.654850,"209,443,585","851,304,700"
"Sep 03, 2020",0.681430,0.703313,0.488893,0.528893,"164,550,755","687,561,307"
"Sep 02, 2020",0.755670,0.755670,0.579315,0.683026,"180,416,921","887,934,227"
"Sep 01, 2020",0.743415,0.779388,0.729373,0.757390,"174,856,795","984,607,551"
"Aug 31, 2020",0.780781,0.793523,0.730814,0.743691,"142,117,294","966,798,711"
"Aug 30, 2020",0.786984,0.813467,0.758872,0.781983,"145,900,446","1,016,578,196"
"Aug 29, 2020",0.806533,0.821162,0.778899,0.787494,"124,496,930","1,023,742,628"
"Aug 28, 2020",0.766875,0.839745,0.747996,0.806247,"191,984,287","1,048,121,432"
"Aug 27, 2020",0.829190,0.869399,0.724838,0.764989,"224,381,916","994,485,387"
"Aug 26, 2020",0.773155,0.889743,0.731447,0.830841,"337,115,646","1,080,092,984"
"Aug 25, 2020",0.729065,0.771476,0.658497,0.769705,"263,403,494","1,000,616,278"
"Aug 24, 2020",0.563727,0.739172,0.558471,0.730491,"162,966,835","949,638,420"
"Aug 23, 2020",0.579561,0.586027,0.544000,0.563810,"45,439,793","732,952,860"
"Aug 22, 2020",0.545124,0.587769,0.517990,0.581822,"66,013,474","756,368,874"
"Aug 21, 2020",0.639196,0.653669,0.543171,0.543171,"75,406,851","706,121,800"
"Aug 20, 2020",0.529796,0.647151,0.529796,0.642385,"83,728,170","835,100,476"
"Aug 19, 2020",0.583834,0.599865,0.505341,0.530233,"76,072,811","689,302,317"
"Aug 18, 2020",0.573891,0.610316,0.539883,0.583834,"86,739,637","758,984,441"
"Aug 17, 2020",0.514567,0.596834,0.514567,0.575637,"103,029,446","748,328,002"
"Aug 16, 2020",0.466452,0.527689,0.457720,0.514567,"97,681,341","668,936,756"
"Aug 15, 2020",0.449520,0.484618,0.435706,0.466110,"92,717,619","605,942,396"
"Aug 14, 2020",0.428638,0.449694,0.418576,0.449694,"83,941,116","584,601,691"
"Aug 13, 2020",0.441263,0.457509,0.397046,0.427838,"102,357,580","556,189,501"
"Aug 12, 2020",0.405679,0.476485,0.401467,0.440870,"151,597,322","573,131,365"
"Aug 11, 2020",0.402622,0.409337,0.353889,0.403444,"70,082,217","524,476,701"
"Aug 10, 2020",0.392549,0.419620,0.365765,0.402383,"53,658,994","523,098,370"
"Aug 09, 2020",0.403138,0.415984,0.380796,0.394528,"46,701,293","512,886,988"
"Aug 08, 2020",0.368513,0.426728,0.365854,0.402569,"51,458,337","523,339,808"
"Aug 07, 2020",0.369915,0.394880,0.356952,0.368970,"56,800,987","479,660,557"
"Aug 06, 2020",0.317749,0.374155,0.315638,0.369915,"42,534,224","480,889,999"
"Aug 05, 2020",0.321358,0.329664,0.309512,0.317634,"25,392,176","412,924,240"
"Aug 04, 2020",0.312495,0.324959,0.309145,0.321234,"22,802,002","417,604,442"
"Aug 03, 2020",0.331893,0.346891,0.308529,0.312505,"34,407,254","406,256,591"
"Aug 02, 2020",0.310832,0.339151,0.280824,0.331773,"37,762,671","431,304,500"
"Aug 01, 2020",0.306369,0.324256,0.305609,0.310785,"27,637,770","404,020,087"
"Jul 31, 2020",0.333346,0.339160,0.299906,0.306369,"34,265,516","398,280,282"
"Jul 30, 2020",0.315580,0.350728,0.308601,0.333623,"57,617,181","433,710,205"
"Jul 29, 2020",0.285716,0.328825,0.274266,0.314669,"55,428,250","409,070,248"
"Jul 28, 2020",0.237836,0.289018,0.232446,0.285694,"40,110,129","371,401,956"
"Jul 27, 2020",0.271392,0.275563,0.224307,0.236536,"38,318,622","307,496,886"
"Jul 26, 2020",0.289642,0.296482,0.261237,0.271095,"26,299,126","352,423,975"
"Jul 25, 2020",0.309961,0.328203,0.289372,0.289470,"27,143,590","376,310,989"
"Jul 24, 2020",0.286286,0.314991,0.278268,0.310086,"29,169,408","403,112,392"
"Jul 23, 2020",0.309951,0.315206,0.274607,0.285793,"30,512,983","371,530,272"
"Jul 22, 2020",0.303210,0.323901,0.295791,0.309938,"25,712,121","402,919,771"
"Jul 21, 2020",0.317333,0.337541,0.293380,0.303365,"32,124,900","394,373,953"
"Jul 20, 2020",0.356051,0.374031,0.296259,0.318633,"50,967,675","414,222,272"
"Jul 19, 2020",0.310116,0.375857,0.304045,0.354888,"46,919,550","461,354,702"
"Jul 18, 2020",0.288087,0.310780,0.276480,0.309414,"19,041,738","402,237,815"
"Jul 17, 2020",0.274337,0.309879,0.273641,0.288305,"30,693,979","374,796,931"
"Jul 16, 2020",0.253643,0.274847,0.241470,0.274847,"18,801,051","357,300,939"
"Jul 15, 2020",0.237066,0.271812,0.232796,0.253697,"22,787,808","329,805,769"
"Jul 14, 2020",0.212811,0.236970,0.207627,0.236970,"17,329,139","308,061,610"
"Jul 13, 2020",0.229255,0.238063,0.212484,0.213390,"12,992,888","277,407,400"
"Jul 12, 2020",0.226822,0.255354,0.218627,0.229255,"23,548,092","298,030,959"
"Jul 11, 2020",0.192034,0.234178,0.192034,0.226822,"19,716,411","294,868,011"
"Jul 10, 2020",0.187527,0.192274,0.180481,0.191959,"8,270,219","249,547,100"
"Jul 09, 2020",0.192297,0.199850,0.183665,0.187434,"8,627,781","243,663,669"
"Jul 08, 2020",0.192120,0.198002,0.188884,0.192256,"9,884,465","249,933,072"
"Jul 07, 2020",0.185455,0.206280,0.177304,0.191903,"20,177,958","249,473,712"
"Jul 06, 2020",0.145724,0.185369,0.145627,0.185369,"22,126,338","240,979,135"
"Jul 05, 2020",0.149125,0.149774,0.140330,0.145724,"6,234,634","189,440,546"
"Jul 04, 2020",0.143144,0.150174,0.140854,0.149302,"7,450,957","194,092,270"
"Jul 03, 2020",0.141534,0.145678,0.138529,0.142856,"9,113,690","185,712,944"
"Jul 02, 2020",0.144225,0.155034,0.138034,0.141267,"10,992,067","183,647,209"
"Jul 01, 2020",0.132313,0.148905,0.127876,0.144176,"9,768,399","187,428,585"
"Jun 30, 2020",0.122867,0.133250,0.122219,0.132072,"7,673,884","171,694,128"
"Jun 29, 2020",0.121177,0.123612,0.117747,0.122915,"5,766,693","159,789,831"
"Jun 28, 2020",0.120205,0.127748,0.115992,0.121177,"5,297,453","157,530,090"
"Jun 27, 2020",0.117526,0.132712,0.114910,0.120205,"8,274,008","156,266,633"
"Jun 26, 2020",0.129251,0.130725,0.110744,0.117496,"8,818,832","152,744,771"
"Jun 25, 2020",0.137442,0.140126,0.128949,0.129268,"3,611,896","168,048,318"
"Jun 24, 2020",0.145177,0.150607,0.136766,0.137053,"7,337,605","178,168,632"
"Jun 23, 2020",0.145482,0.153253,0.129708,0.144426,"11,246,533","187,753,338"
"Jun 22, 2020",0.159138,0.163665,0.133381,0.145581,"15,833,692","189,254,754"
"Jun 21, 2020",0.139968,0.168456,0.137498,0.159091,"15,382,474","206,818,064"
"Jun 20, 2020",0.130380,0.147514,0.126205,0.139899,"9,184,419","181,869,097"
"Jun 19, 2020",0.128575,0.147211,0.119517,0.130380,"15,958,889","169,494,515"
"Jun 18, 2020",0.098318,0.140280,0.098282,0.128314,"19,574,773","166,808,550"
"Jun 17, 2020",0.096469,0.101370,0.091075,0.098318,"3,973,308","127,813,530"
"Jun 16, 2020",0.086151,0.098235,0.085644,0.096304,"5,146,280","125,194,686"
"Jun 15, 2020",0.085873,0.087149,0.072663,0.086030,"5,392,440","111,839,556"
