Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.203013,0.218180,0.199708,0.214911,"48,180,938","126,202,270"
"Sep 15, 2020",0.186725,0.204677,0.180764,0.202860,"55,188,243","119,125,490"
"Sep 14, 2020",0.170451,0.187405,0.169302,0.186725,"44,964,769","109,650,393"
"Sep 13, 2020",0.175824,0.177640,0.166470,0.170467,"47,369,704","94,680,189"
"Sep 12, 2020",0.170683,0.176966,0.169683,0.175824,"49,139,722","97,655,803"
"Sep 11, 2020",0.166654,0.178012,0.163771,0.170927,"45,364,182","94,935,773"
"Sep 10, 2020",0.161075,0.168856,0.160913,0.166612,"39,805,684","92,539,010"
"Sep 09, 2020",0.166365,0.169836,0.160327,0.161040,"38,329,152","89,444,554"
"Sep 08, 2020",0.161941,0.168441,0.158369,0.166338,"36,561,746","92,387,141"
"Sep 07, 2020",0.156734,0.161973,0.154096,0.161920,"37,677,720","89,932,915"
"Sep 06, 2020",0.158391,0.158501,0.153395,0.156753,"39,347,361","87,063,320"
"Sep 05, 2020",0.150465,0.162012,0.150197,0.158391,"32,302,105","87,973,237"
"Sep 04, 2020",0.158346,0.159718,0.148170,0.150991,"36,458,817","83,863,168"
"Sep 03, 2020",0.148629,0.171722,0.148029,0.158369,"26,540,362","87,961,002"
"Sep 02, 2020",0.140023,0.148866,0.138271,0.148663,"27,479,431","82,570,183"
"Sep 01, 2020",0.132949,0.141692,0.131668,0.140112,"27,890,673","77,820,525"
"Aug 31, 2020",0.132939,0.135350,0.129787,0.132990,"24,773,536","73,865,144"
"Aug 30, 2020",0.135921,0.137081,0.129904,0.132917,"28,980,092","73,824,504"
"Aug 29, 2020",0.143991,0.145069,0.134580,0.135963,"32,211,577","75,516,198"
"Aug 28, 2020",0.126639,0.144071,0.126412,0.143998,"34,647,224","79,979,081"
"Aug 27, 2020",0.119503,0.126870,0.117478,0.126685,"36,084,785","70,363,249"
"Aug 26, 2020",0.117615,0.119811,0.115241,0.119172,"36,290,644","66,190,080"
"Aug 25, 2020",0.118078,0.118553,0.116341,0.117760,"38,770,101","65,406,111"
"Aug 24, 2020",0.118841,0.120002,0.115310,0.118082,"43,021,094","65,584,477"
"Aug 23, 2020",0.119215,0.120981,0.116774,0.118872,"41,298,704","66,023,774"
"Aug 22, 2020",0.120729,0.121081,0.118610,0.119233,"36,347,682","66,223,796"
"Aug 21, 2020",0.119038,0.123058,0.116037,0.120904,"48,008,877","67,152,374"
"Aug 20, 2020",0.114274,0.119948,0.113112,0.119067,"39,468,241","66,131,832"
"Aug 19, 2020",0.116963,0.116963,0.109716,0.114274,"43,644,357","63,469,711"
"Aug 18, 2020",0.119026,0.120291,0.115154,0.116945,"46,335,576","64,953,372"
"Aug 17, 2020",0.121463,0.122203,0.117397,0.119307,"32,801,501","66,264,888"
"Aug 16, 2020",0.120674,0.122829,0.118889,0.121463,"34,470,776","67,462,433"
"Aug 15, 2020",0.122230,0.123753,0.120312,0.120662,"33,616,053","67,017,892"
"Aug 14, 2020",0.123597,0.125075,0.120064,0.122213,"36,450,429","67,879,049"
"Aug 13, 2020",0.122963,0.124643,0.118116,0.123599,"43,042,119","68,648,839"
"Aug 12, 2020",0.122615,0.124216,0.118298,0.122867,"40,998,296","68,242,575"
"Aug 11, 2020",0.128703,0.132902,0.122366,0.122586,"47,625,281","68,086,103"
"Aug 10, 2020",0.133783,0.136514,0.126508,0.128732,"51,336,641","71,499,658"
"Aug 09, 2020",0.134624,0.139203,0.133604,0.133873,"54,513,139","74,355,061"
"Aug 08, 2020",0.127377,0.134878,0.126460,0.134603,"53,378,829","74,760,641"
"Aug 07, 2020",0.123329,0.127905,0.120432,0.127365,"45,850,225","70,740,727"
"Aug 06, 2020",0.125883,0.126258,0.121881,0.123308,"44,805,880","68,487,267"
"Aug 05, 2020",0.123261,0.132600,0.122216,0.125858,"43,297,785","69,903,589"
"Aug 04, 2020",0.126241,0.129523,0.120968,0.123245,"42,547,382","68,452,305"
"Aug 03, 2020",0.134492,0.136441,0.123569,0.126249,"45,764,448","70,120,921"
"Aug 02, 2020",0.145849,0.151914,0.129555,0.134694,"41,083,083","74,811,497"
"Aug 01, 2020",0.151812,0.154047,0.142609,0.145846,"42,703,566","81,005,197"
"Jul 31, 2020",0.157814,0.162709,0.144613,0.151812,"42,124,196","84,319,218"
"Jul 30, 2020",0.171122,0.171169,0.155481,0.157836,"44,418,987","87,664,684"
"Jul 29, 2020",0.169804,0.174738,0.156201,0.171030,"52,569,367","94,992,779"
"Jul 28, 2020",0.186032,0.188195,0.155301,0.169845,"52,985,754","94,334,995"
"Jul 27, 2020",0.180723,0.198877,0.153076,0.186300,"60,430,991","103,474,204"
"Jul 26, 2020",0.186514,0.194671,0.180074,0.180723,"63,939,447","100,376,500"
"Jul 25, 2020",0.175913,0.188550,0.173805,0.186353,"63,789,875","103,503,419"
"Jul 24, 2020",0.180771,0.181832,0.168937,0.175867,"70,409,152","97,679,465"
"Jul 23, 2020",0.173176,0.184992,0.172808,0.180771,"61,783,428","100,403,396"
"Jul 22, 2020",0.163956,0.174255,0.162406,0.173349,"64,571,311","96,280,899"
"Jul 21, 2020",0.146991,0.167591,0.143028,0.163952,"66,121,969","91,061,744"
"Jul 20, 2020",0.143200,0.152262,0.142312,0.147080,"57,122,506","81,690,658"
"Jul 19, 2020",0.131266,0.144057,0.131179,0.143117,"48,076,696","79,489,659"
"Jul 18, 2020",0.128371,0.159868,0.128308,0.131112,"46,281,147","72,822,093"
"Jul 17, 2020",0.110014,0.128457,0.109870,0.128457,"50,234,805","71,347,241"
