Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.760669,0.772266,0.730408,0.737708,"7,568,029","130,263,735"
"Sep 15, 2020",0.798783,0.834740,0.756936,0.760724,"12,266,692","137,424,375"
"Sep 14, 2020",0.726518,0.883018,0.708792,0.798783,"24,717,601","147,092,735"
"Sep 13, 2020",0.852660,0.854314,0.709064,0.725599,"15,056,366","137,370,044"
"Sep 12, 2020",0.949907,0.956708,0.846684,0.852344,"13,447,416","164,000,742"
"Sep 11, 2020",1.02,1.06,0.913830,0.950101,"23,632,009","184,312,346"
"Sep 10, 2020",0.758052,1.13,0.757757,1.02,"72,411,003","197,830,735"
"Sep 09, 2020",0.665669,0.804383,0.659388,0.758882,"18,348,239","147,834,148"
"Sep 08, 2020",0.705547,0.721136,0.656727,0.665730,"9,500,062","134,117,219"
"Sep 07, 2020",0.695035,0.778553,0.667837,0.705427,"19,346,970","146,283,264"
"Sep 06, 2020",0.651789,0.715856,0.614744,0.695481,"18,851,689","149,279,201"
"Sep 05, 2020",0.770280,0.826188,0.631616,0.651834,"22,586,389","144,065,495"
"Sep 04, 2020",0.849444,0.854865,0.751640,0.771026,"25,629,912","174,639,909"
"Sep 03, 2020",1.40,1.41,0.840005,0.849637,"69,370,765","192,445,571"
"Sep 02, 2020",2.29,2.29,1.38,1.40,"89,539,089","303,032,207"
"Sep 01, 2020",2.09,2.39,1.99,2.29,"72,497,142","443,015,311"
"Aug 31, 2020",1.76,2.08,1.66,2.08,"84,963,301","370,680,869"
"Aug 30, 2020",1.21,1.77,1.21,1.76,"72,298,336","296,550,866"
"Aug 29, 2020",0.777770,1.21,0.769850,1.21,"58,873,795","203,046,626"
"Aug 28, 2020",0.656066,0.806984,0.652570,0.777490,"21,773,992","134,238,416"
"Aug 27, 2020",0.643951,0.660329,0.616164,0.656618,"12,762,156","117,737,994"
"Aug 26, 2020",0.654362,0.694389,0.636774,0.644282,"9,043,863","119,628,812"
"Aug 25, 2020",0.759427,0.772262,0.629480,0.652377,"12,602,625","117,645,571"
"Aug 24, 2020",0.772865,0.799321,0.753918,0.760062,"17,933,354","140,628,387"
"Aug 23, 2020",0.780773,0.808157,0.759752,0.773286,"13,247,423","146,384,054"
"Aug 22, 2020",0.695810,0.781889,0.681267,0.780032,"23,727,244","151,869,406"
"Aug 21, 2020",0.620914,0.890168,0.612853,0.694474,"42,166,220","137,973,046"
"Aug 20, 2020",0.604262,0.634949,0.604181,0.621068,"11,330,494","128,279,972"
"Aug 19, 2020",0.591985,0.630583,0.577440,0.604262,"14,993,128","129,679,298"
"Aug 18, 2020",0.578859,0.641707,0.566092,0.591986,"17,673,603","132,422,480"
"Aug 17, 2020",0.613286,0.620858,0.579476,0.580074,"13,914,776","135,362,576"
"Aug 16, 2020",0.638405,0.654470,0.607757,0.613286,"11,894,983","148,774,554"
"Aug 15, 2020",0.693175,0.707363,0.638085,0.638136,"10,669,909","160,230,491"
"Aug 14, 2020",0.771106,0.782066,0.692426,0.693325,"14,566,124","179,644,116"
"Aug 13, 2020",0.867762,0.904401,0.751617,0.771253,"39,882,097","204,721,787"
"Aug 12, 2020",0.692620,0.930845,0.690040,0.867916,"55,069,048","233,304,256"
"Aug 11, 2020",0.750225,0.759125,0.661592,0.693105,"23,325,615","192,578,997"
"Aug 10, 2020",0.714004,0.805136,0.704779,0.753096,"21,595,612","214,129,587"
