Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.006922,0.006922,0.006320,0.006687,"17,390,849","38,982,102"
"Sep 15, 2020",0.007624,0.007698,0.006857,0.006868,"15,265,731","40,039,125"
"Sep 14, 2020",0.007641,0.008077,0.007472,0.007624,"16,830,755","44,446,889"
"Sep 13, 2020",0.008333,0.008670,0.007395,0.007704,"16,943,258","44,908,604"
"Sep 12, 2020",0.008335,0.008560,0.008199,0.008333,"15,522,334","48,577,162"
"Sep 11, 2020",0.008392,0.008705,0.007971,0.008296,"14,528,577","48,361,416"
"Sep 10, 2020",0.007798,0.008737,0.007795,0.008393,"19,030,251","48,927,632"
"Sep 09, 2020",0.007585,0.008330,0.007246,0.007814,"10,794,854","45,554,648"
"Sep 08, 2020",0.008281,0.008481,0.007313,0.007594,"16,530,329","44,266,999"
"Sep 07, 2020",0.008344,0.008486,0.007218,0.008281,"14,258,464","48,275,085"
"Sep 06, 2020",0.007640,0.008876,0.006835,0.008322,"18,737,329","48,513,856"
"Sep 05, 2020",0.009150,0.009463,0.007171,0.007668,"12,804,991","44,700,632"
"Sep 04, 2020",0.008906,0.009245,0.008034,0.009166,"19,544,186","53,431,247"
"Sep 03, 2020",0.011974,0.011980,0.008838,0.008923,"25,633,924","52,015,888"
"Sep 02, 2020",0.013141,0.013728,0.011537,0.011973,"24,144,097","69,796,547"
"Sep 01, 2020",0.013428,0.013485,0.012818,0.013216,"17,862,512","77,044,727"
"Aug 31, 2020",0.014796,0.014796,0.013255,0.013431,"30,417,343","78,296,448"
"Aug 30, 2020",0.013009,0.014780,0.012583,0.014780,"25,754,582","86,159,175"
"Aug 29, 2020",0.012767,0.013557,0.012590,0.013067,"13,337,081","76,173,674"
"Aug 28, 2020",0.011860,0.013155,0.011765,0.012779,"17,034,621","74,497,780"
"Aug 27, 2020",0.012581,0.012712,0.011465,0.011865,"12,832,425","69,168,190"
"Aug 26, 2020",0.012206,0.013007,0.011854,0.012573,"15,541,940","73,294,169"
"Aug 25, 2020",0.013724,0.013724,0.011568,0.012213,"18,799,259","71,195,241"
"Aug 24, 2020",0.013134,0.014025,0.012959,0.013685,"18,202,748","79,778,922"
"Aug 23, 2020",0.012316,0.013537,0.012111,0.013144,"20,179,772","76,621,085"
"Aug 22, 2020",0.011654,0.012406,0.011271,0.012342,"8,932,093","71,946,030"
"Aug 21, 2020",0.012786,0.013395,0.011597,0.011597,"18,603,547","67,607,919"
"Aug 20, 2020",0.012184,0.013043,0.011936,0.012784,"15,032,618","74,525,033"
"Aug 19, 2020",0.013623,0.014307,0.011484,0.012184,"30,156,559","71,025,400"
"Aug 18, 2020",0.014638,0.015391,0.013169,0.013588,"18,651,175","79,212,473"
"Aug 17, 2020",0.014045,0.015634,0.013479,0.014691,"43,956,806","85,644,760"
"Aug 16, 2020",0.012882,0.015215,0.012691,0.014045,"41,805,045","81,875,403"
"Aug 15, 2020",0.013194,0.013540,0.012435,0.012879,"20,987,627","75,080,201"
"Aug 14, 2020",0.013403,0.014054,0.012746,0.013193,"25,723,193","76,911,507"
"Aug 13, 2020",0.014519,0.015115,0.012971,0.013411,"36,837,510","78,179,514"
"Aug 12, 2020",0.013668,0.015654,0.012132,0.014527,"70,901,609","84,684,170"
"Aug 11, 2020",0.016535,0.016570,0.012924,0.013617,"81,573,605","79,383,906"
"Aug 10, 2020",0.013169,0.018332,0.011575,0.016544,"230,428,682","96,444,115"
"Aug 09, 2020",0.009602,0.013833,0.009121,0.013169,"84,008,215","76,771,408"
"Aug 08, 2020",0.008118,0.009846,0.008118,0.009587,"45,892,670","55,890,327"
"Aug 07, 2020",0.007954,0.008410,0.007061,0.008132,"21,098,987","47,403,899"
"Aug 06, 2020",0.006641,0.008068,0.006554,0.007953,"38,320,241","46,364,927"
"Aug 05, 2020",0.005801,0.006676,0.005727,0.006641,"13,255,860","38,714,927"
"Aug 04, 2020",0.005894,0.006065,0.005647,0.005800,"6,558,875","29,942,643"
"Aug 03, 2020",0.005248,0.006249,0.005183,0.005894,"18,482,001","30,430,431"
"Aug 02, 2020",0.005512,0.005521,0.004937,0.005239,"6,696,131","27,049,899"
"Aug 01, 2020",0.005797,0.005875,0.005430,0.005509,"5,874,905","28,441,160"
"Jul 31, 2020",0.005867,0.006198,0.005637,0.005797,"9,056,617","29,930,824"
"Jul 30, 2020",0.006020,0.006072,0.005726,0.005867,"4,715,608","30,291,038"
"Jul 29, 2020",0.005979,0.006270,0.005783,0.006020,"9,620,060","31,079,639"
"Jul 28, 2020",0.005793,0.006045,0.005490,0.006036,"11,120,758","31,164,491"
"Jul 27, 2020",0.006377,0.006406,0.005485,0.005791,"19,108,090","29,900,468"
"Jul 26, 2020",0.006572,0.006651,0.005934,0.006377,"13,850,104","32,925,295"
"Jul 25, 2020",0.006521,0.007064,0.006414,0.006574,"10,092,445","33,941,065"
"Jul 24, 2020",0.007330,0.007454,0.006268,0.006499,"18,010,000","33,554,747"
"Jul 23, 2020",0.007568,0.007723,0.007110,0.007330,"19,019,022","37,844,348"
"Jul 22, 2020",0.006404,0.007855,0.006404,0.007568,"41,910,064","39,074,895"
"Jul 21, 2020",0.006453,0.006837,0.006218,0.006404,"11,924,470","33,062,501"
"Jul 20, 2020",0.006097,0.006955,0.005895,0.006462,"21,006,631","33,361,635"
"Jul 19, 2020",0.006464,0.006572,0.006001,0.006092,"10,625,206","31,452,918"
"Jul 18, 2020",0.005820,0.006663,0.005576,0.006465,"21,043,484","33,379,872"
"Jul 17, 2020",0.005872,0.006281,0.005730,0.005782,"16,193,490","29,852,662"
"Jul 16, 2020",0.006866,0.006866,0.005792,0.005872,"26,514,591","30,316,318"
"Jul 15, 2020",0.006519,0.007283,0.005729,0.006906,"64,105,028","35,654,102"
"Jul 14, 2020",0.005004,0.006677,0.004983,0.006659,"90,177,124","34,379,852"
"Jul 13, 2020",0.004139,0.006009,0.003883,0.005004,"46,763,813","25,833,464"
"Jul 12, 2020",0.004006,0.004340,0.003933,0.004139,"9,700,024","21,367,341"
"Jul 11, 2020",0.004081,0.004677,0.003793,0.004014,"19,827,449","20,723,686"
"Jul 10, 2020",0.003333,0.004264,0.003208,0.004074,"13,127,050","21,032,695"
"Jul 09, 2020",0.003477,0.003508,0.003249,0.003332,"2,966,869","17,204,689"
"Jul 08, 2020",0.003411,0.003524,0.003306,0.003463,"3,892,241","17,877,193"
"Jul 07, 2020",0.003436,0.003503,0.003373,0.003410,"3,076,271","17,607,550"
"Jul 06, 2020",0.003391,0.003575,0.003309,0.003437,"4,082,290","17,747,267"
"Jul 05, 2020",0.003644,0.003712,0.003354,0.003391,"5,505,060","17,507,867"
"Jul 04, 2020",0.003577,0.003726,0.003411,0.003649,"8,144,694","18,841,262"
"Jul 03, 2020",0.003225,0.003655,0.003150,0.003572,"7,999,416","18,443,450"
"Jul 02, 2020",0.003305,0.003454,0.003161,0.003226,"6,154,636","16,657,033"
"Jul 01, 2020",0.003420,0.003430,0.003201,0.003302,"6,334,960","17,049,679"
"Jun 30, 2020",0.003284,0.003542,0.003260,0.003422,"13,781,920","17,665,443"
"Jun 29, 2020",0.002999,0.003532,0.002890,0.003281,"16,939,344","16,941,753"
"Jun 28, 2020",0.002835,0.003088,0.002717,0.002972,"5,166,671","15,341,688"
"Jun 27, 2020",0.003001,0.003016,0.002778,0.002835,"4,573,362","14,638,360"
"Jun 26, 2020",0.003018,0.003144,0.002868,0.003002,"5,654,080","15,496,909"
"Jun 25, 2020",0.002854,0.003096,0.002748,0.003019,"8,365,985","15,589,324"
"Jun 24, 2020",0.003044,0.003178,0.002832,0.002854,"6,104,353","14,733,889"
"Jun 23, 2020",0.002784,0.003240,0.002720,0.003018,"11,025,747","15,581,112"
"Jun 22, 2020",0.002832,0.002995,0.002692,0.002784,"7,239,808","14,374,287"
"Jun 21, 2020",0.003123,0.003137,0.002834,0.002852,"8,677,386","14,723,513"
"Jun 20, 2020",0.002483,0.003375,0.002483,0.003116,"30,125,873","16,089,937"
