Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.061234,0.062288,0.059171,0.060649,"3,183,380","60,588,448"
"Sep 15, 2020",0.064858,0.065273,0.060748,0.061377,"3,950,529","61,315,354"
"Sep 14, 2020",0.063006,0.065545,0.062122,0.065091,"3,228,348","65,025,532"
"Sep 13, 2020",0.067850,0.070012,0.060480,0.063023,"3,957,211","62,960,292"
"Sep 12, 2020",0.066773,0.069695,0.066726,0.067850,"3,740,330","67,782,318"
"Sep 11, 2020",0.065929,0.067846,0.060344,0.066773,"5,349,298","66,705,708"
"Sep 10, 2020",0.058748,0.066688,0.058748,0.065929,"5,746,794","65,862,779"
"Sep 09, 2020",0.055637,0.059828,0.055090,0.058869,"4,378,168","58,810,410"
"Sep 08, 2020",0.057282,0.062533,0.052959,0.055737,"4,500,422","55,681,053"
"Sep 07, 2020",0.055938,0.057555,0.052304,0.057395,"3,525,528","57,337,366"
"Sep 06, 2020",0.055048,0.057057,0.053279,0.055804,"3,612,605","55,747,806"
"Sep 05, 2020",0.062052,0.062446,0.053366,0.055048,"3,899,418","54,993,406"
"Sep 04, 2020",0.059161,0.063371,0.057842,0.062056,"4,673,128","61,994,127"
"Sep 03, 2020",0.075755,0.076257,0.058615,0.059305,"5,127,483","59,245,613"
"Sep 02, 2020",0.081525,0.082188,0.073192,0.075755,"5,209,525","75,679,074"
"Sep 01, 2020",0.085906,0.086395,0.080598,0.081539,"7,355,889","81,457,463"
"Aug 31, 2020",0.085514,0.089465,0.082260,0.085946,"8,173,927","85,859,884"
"Aug 30, 2020",0.080520,0.086883,0.080358,0.085362,"7,341,109","85,276,608"
"Aug 29, 2020",0.078114,0.081781,0.075869,0.080403,"7,053,557","80,322,470"
"Aug 28, 2020",0.080065,0.082480,0.075537,0.078230,"7,405,027","78,152,194"
"Aug 27, 2020",0.089100,0.089180,0.075601,0.079990,"8,822,550","79,910,113"
"Aug 26, 2020",0.081231,0.090072,0.078141,0.089093,"13,349,064","89,003,575"
"Aug 25, 2020",0.078400,0.082802,0.073512,0.081367,"9,671,215","81,285,224"
"Aug 24, 2020",0.076499,0.080140,0.074696,0.078405,"7,331,859","78,326,441"
"Aug 23, 2020",0.077383,0.078932,0.072656,0.076499,"7,198,619","76,421,977"
"Aug 22, 2020",0.068661,0.077599,0.066944,0.077408,"7,156,895","77,330,096"
"Aug 21, 2020",0.073077,0.075038,0.067757,0.068661,"6,341,332","68,592,263"
