Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",3.96,3.97,3.43,3.69,"2,474,290","123,097,358"
"Sep 15, 2020",4.38,4.57,3.91,3.96,"1,900,083","132,126,070"
"Sep 14, 2020",4.61,4.64,4.34,4.38,"1,756,305","146,392,395"
"Sep 13, 2020",4.31,5.54,4.30,4.62,"2,158,982","154,158,387"
"Sep 12, 2020",4.40,4.52,4.17,4.32,"1,853,188","144,115,072"
"Sep 11, 2020",4.65,4.70,4.08,4.41,"2,268,487","147,351,758"
"Sep 10, 2020",5.02,5.05,4.61,4.65,"2,513,906","155,413,676"
"Sep 09, 2020",4.50,5.07,4.27,5.02,"2,443,685","167,476,535"
"Sep 08, 2020",4.66,4.81,4.35,4.47,"2,214,034","149,285,972"
"Sep 07, 2020",5.12,5.33,4.26,4.67,"3,543,573","155,819,810"
"Sep 06, 2020",4.63,5.30,4.16,5.12,"6,264,685","170,997,359"
"Sep 05, 2020",6.31,6.65,4.12,4.61,"7,750,384","153,893,253"
"Sep 04, 2020",5.57,6.49,5.38,6.31,"8,738,672","210,886,493"
"Sep 03, 2020",6.59,6.84,5.54,5.56,"7,503,597","185,692,992"
"Sep 02, 2020",6.62,6.99,5.72,6.60,"9,592,090","220,474,636"
"Sep 01, 2020",6.09,7.81,5.83,6.61,"10,675,924","220,875,259"
"Aug 31, 2020",6.69,6.69,5.45,6.09,"8,458,284","203,534,326"
"Aug 30, 2020",7.00,7.48,6.36,6.71,"7,786,284",0
"Aug 29, 2020",5.67,7.56,5.67,7.01,"9,956,589",0
"Aug 28, 2020",5.51,5.86,5.39,5.67,"5,376,372",0
"Aug 27, 2020",4.94,5.84,4.82,5.51,"8,145,797",0
"Aug 26, 2020",4.02,4.97,3.87,4.96,"7,507,292",0
"Aug 25, 2020",4.18,4.19,3.81,4.02,"4,694,970",0
"Aug 24, 2020",3.64,4.34,3.54,4.18,"4,909,997",0
"Aug 23, 2020",3.21,3.68,3.14,3.64,"1,962,623",0
"Aug 22, 2020",2.83,3.24,2.52,3.21,"2,414,397",0
"Aug 21, 2020",3.17,3.22,2.78,2.86,"2,453,400",0
"Aug 20, 2020",3.38,3.40,3.09,3.16,"2,075,876",0
"Aug 19, 2020",3.60,3.67,3.11,3.38,"2,736,046",0
"Aug 18, 2020",3.51,3.80,3.15,3.59,"2,619,148",0
