Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",15.76,15.89,15.16,15.78,"10,593,581","173,583,736"
"Sep 15, 2020",16.41,16.58,15.68,15.72,"13,816,300","172,926,700"
"Sep 14, 2020",16.80,17.44,16.28,16.40,"13,455,157","180,429,306"
"Sep 13, 2020",17.78,18.21,16.59,16.80,"13,167,700","184,850,224"
"Sep 12, 2020",18.03,18.47,17.76,17.78,"16,094,825","195,586,432"
"Sep 11, 2020",16.83,18.35,16.15,18.03,"17,623,746","198,279,348"
"Sep 10, 2020",16.42,16.92,16.23,16.83,"11,751,507","185,116,819"
"Sep 09, 2020",15.67,16.54,15.50,16.42,"9,642,163","180,618,358"
"Sep 08, 2020",16.18,16.36,15.39,15.70,"12,622,192","172,734,529"
"Sep 07, 2020",16.26,16.48,15.24,16.18,"11,954,782","177,968,971"
"Sep 06, 2020",15.87,16.52,15.39,16.26,"13,311,800","178,835,868"
"Sep 05, 2020",17.05,17.63,15.35,15.87,"18,274,752","174,544,183"
"Sep 04, 2020",16.20,17.66,15.92,17.05,"18,864,041","187,592,558"
"Sep 03, 2020",20.56,21.09,16.17,16.20,"21,388,612","178,238,021"
"Sep 02, 2020",21.71,22.09,19.55,20.56,"13,240,786","226,105,061"
"Sep 01, 2020",21.86,22.38,20.64,21.76,"12,785,244","239,324,280"
"Aug 31, 2020",22.36,22.46,21.80,21.87,"10,920,179","240,552,867"
"Aug 30, 2020",22.64,22.68,21.81,22.36,"13,770,830","246,005,009"
"Aug 29, 2020",22.41,22.89,21.93,22.66,"13,511,258","249,284,166"
"Aug 28, 2020",21.58,22.57,21.27,22.33,"14,258,818","245,662,416"
"Aug 27, 2020",22.95,23.47,21.37,21.52,"17,685,552","236,716,372"
"Aug 26, 2020",21.86,24.21,21.13,22.99,"21,563,540","252,839,634"
"Aug 25, 2020",23.91,24.13,20.87,21.82,"21,868,012","240,040,963"
"Aug 24, 2020",24.29,24.70,23.17,23.92,"26,689,835","263,126,537"
"Aug 23, 2020",25.93,26.09,23.99,24.29,"29,103,433","267,232,100"
"Aug 22, 2020",28.73,30.65,24.23,26.01,"101,643,695","286,163,949"
"Aug 21, 2020",20.61,29.69,20.61,28.73,"113,587,107","316,024,456"
"Aug 20, 2020",19.83,20.98,19.52,20.57,"13,734,153","226,250,369"
"Aug 19, 2020",21.01,21.10,19.54,19.94,"12,994,154","219,393,100"
"Aug 18, 2020",21.88,21.94,20.42,21.01,"15,444,551","231,107,692"
"Aug 17, 2020",22.38,22.56,21.65,21.88,"18,520,279","240,697,709"
"Aug 16, 2020",22.36,22.45,21.75,22.38,"18,810,499","246,228,574"
"Aug 15, 2020",21.73,22.73,21.35,22.36,"21,407,846","246,013,950"
"Aug 14, 2020",21.07,21.78,20.99,21.74,"17,510,176","239,121,154"
"Aug 13, 2020",20.61,21.59,20.07,21.10,"21,946,708","232,108,854"
"Aug 12, 2020",20.50,20.72,19.78,20.59,"17,530,708","226,513,984"
"Aug 11, 2020",21.25,21.32,19.95,20.45,"16,956,574","224,934,434"
"Aug 10, 2020",21.00,22.20,20.82,21.25,"18,614,003","233,700,480"
"Aug 09, 2020",21.23,21.44,20.81,20.99,"13,146,688","230,939,709"
"Aug 08, 2020",20.82,21.23,20.76,21.22,"11,737,945","233,382,673"
"Aug 07, 2020",21.61,21.67,19.96,20.81,"13,158,428","228,939,220"
"Aug 06, 2020",21.11,21.65,20.63,21.61,"14,678,217","237,660,400"
"Aug 05, 2020",20.72,21.31,20.50,21.10,"16,524,253","232,081,558"
"Aug 04, 2020",20.41,21.75,20.41,20.72,"29,542,544","227,942,734"
"Aug 03, 2020",19.00,20.95,18.72,20.41,"20,087,359","224,542,186"
"Aug 02, 2020",20.69,21.02,18.68,18.96,"16,251,754","208,561,531"
"Aug 01, 2020",19.97,20.73,19.83,20.69,"20,189,259","227,574,300"
"Jul 31, 2020",20.44,20.64,19.85,19.97,"17,541,740","219,677,258"
"Jul 30, 2020",20.25,21.04,19.97,20.39,"21,126,022","224,314,668"
"Jul 29, 2020",21.48,21.57,19.98,20.20,"24,581,061","222,188,057"
"Jul 28, 2020",20.37,21.89,19.65,21.43,"50,519,600","235,702,457"
"Jul 27, 2020",22.27,23.36,19.46,20.38,"35,000,514","224,217,243"
"Jul 26, 2020",23.10,23.10,21.80,22.27,"24,668,743","244,946,093"
"Jul 25, 2020",23.13,24.35,22.95,23.06,"24,245,825","253,682,605"
"Jul 24, 2020",22.70,24.30,22.46,23.13,"27,383,543","254,419,505"
"Jul 23, 2020",23.87,24.08,22.33,22.65,"33,062,083","249,179,096"
"Jul 22, 2020",23.42,25.30,23.31,23.87,"55,458,065","262,524,458"
"Jul 21, 2020",19.41,23.46,19.35,23.39,"48,884,623","257,267,643"
"Jul 20, 2020",19.13,19.75,18.87,19.39,"18,940,241","213,281,253"
"Jul 19, 2020",19.36,19.52,18.81,19.13,"15,299,324","210,387,673"
"Jul 18, 2020",19.00,19.62,18.57,19.42,"17,087,497","213,623,005"
"Jul 17, 2020",19.16,19.35,18.90,19.02,"15,101,341","209,186,910"
"Jul 16, 2020",19.43,20.09,18.89,19.18,"24,693,255","210,956,106"
"Jul 15, 2020",20.13,20.48,19.21,19.42,"22,668,853","213,672,300"
"Jul 14, 2020",18.74,20.34,18.32,19.99,"21,336,474","219,894,727"
"Jul 13, 2020",19.42,19.75,18.43,18.78,"18,853,676","206,610,082"
"Jul 12, 2020",19.39,19.99,19.27,19.42,"16,376,466","213,643,500"
"Jul 11, 2020",19.25,19.48,18.86,19.39,"16,059,058","213,294,714"
"Jul 10, 2020",19.34,19.87,18.74,19.21,"17,242,805","211,263,469"
"Jul 09, 2020",20.26,20.28,19.13,19.35,"19,830,684","212,861,803"
"Jul 08, 2020",19.80,21.05,19.40,20.27,"25,903,402","222,981,981"
"Jul 07, 2020",18.97,19.84,18.80,19.83,"18,654,899","218,134,242"
"Jul 06, 2020",18.04,19.58,18.01,19.01,"22,952,164","209,062,161"
"Jul 05, 2020",18.66,18.84,17.53,18.04,"21,343,808","198,484,332"
"Jul 04, 2020",18.15,19.38,18.06,18.70,"31,328,758","205,679,536"
"Jul 03, 2020",16.89,18.41,16.81,18.13,"25,248,528","199,453,491"
"Jul 02, 2020",16.84,17.45,16.69,16.89,"17,391,529","185,791,242"
"Jul 01, 2020",16.44,17.27,16.22,16.83,"16,087,443","185,170,354"
"Jun 30, 2020",16.75,17.65,16.27,16.44,"16,074,743","180,830,517"
"Jun 29, 2020",15.89,16.96,15.87,16.76,"17,043,014","184,369,663"
"Jun 28, 2020",15.83,16.63,15.63,15.86,"13,640,918","174,482,513"
"Jun 27, 2020",17.47,17.93,15.55,15.83,"22,719,693","174,117,642"
"Jun 26, 2020",16.15,17.66,15.72,17.37,"40,234,173","191,060,364"
"Jun 25, 2020",16.86,16.86,16.07,16.16,"23,784,086","177,744,861"
"Jun 24, 2020",17.64,17.87,16.31,16.84,"19,963,826","185,201,266"
"Jun 23, 2020",18.13,18.84,17.43,17.63,"23,441,018","193,875,400"
"Jun 22, 2020",17.83,18.23,17.49,18.12,"24,510,931","199,287,693"
"Jun 21, 2020",17.58,18.22,17.26,17.81,"28,902,375","195,892,658"
"Jun 20, 2020",18.64,19.37,17.32,17.55,"46,283,546","193,034,435"
"Jun 19, 2020",16.30,18.65,15.98,18.64,"40,721,216","205,063,554"
"Jun 18, 2020",16.03,16.46,15.51,16.23,"27,096,949","178,569,816"
"Jun 17, 2020",15.68,16.36,15.35,16.04,"24,351,109","176,397,723"
"Jun 16, 2020",15.33,15.99,15.25,15.69,"20,895,396","172,564,553"
"Jun 15, 2020",15.58,15.92,14.61,15.35,"27,586,673","168,800,479"
"Jun 14, 2020",16.99,17.16,15.52,15.58,"32,111,526","171,389,878"
"Jun 13, 2020",14.92,17.13,14.37,17.02,"31,098,384","187,190,349"
"Jun 12, 2020",14.00,15.34,13.71,14.80,"22,275,343","162,771,832"
