Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",1.00,1.01,0.999022,1.00,"278,592,893","398,264,988"
"Sep 15, 2020",1.00,1.01,0.998573,1.00,"288,637,969","372,681,299"
"Sep 14, 2020",0.998469,1.01,0.992650,1.00,"379,689,973","352,917,687"
"Sep 13, 2020",1.00,1.01,0.995169,0.998983,"218,792,964","307,680,509"
"Sep 12, 2020",1.00,1.01,0.997218,1.00,"166,272,542","299,356,866"
"Sep 11, 2020",1.00,1.01,0.991621,1.00,"218,152,908","296,778,170"
"Sep 10, 2020",1.00,1.01,0.993551,1.00,"293,958,396","288,301,893"
"Sep 09, 2020",1.00,1.01,0.997949,1.00,"239,065,275","255,993,403"
"Sep 08, 2020",1.00,1.01,0.989262,1.00,"334,296,490","216,233,227"
"Sep 07, 2020",1.00,1.01,0.993269,1.00,"318,892,354","200,849,018"
"Sep 06, 2020",1.00,1.01,0.994923,1.00,"350,992,087","198,510,038"
"Sep 05, 2020",1.00,1.01,0.990598,1.00,"470,047,541","192,245,666"
"Sep 04, 2020",1.01,1.02,0.994621,1.00,"437,584,445","194,059,233"
"Sep 03, 2020",1.00,1.03,0.992805,1.00,"540,316,534","187,363,379"
"Sep 02, 2020",1.00,1.02,0.997060,1.00,"488,335,032","184,444,204"
"Sep 01, 2020",1.00,1.01,0.996871,1.00,"410,932,543","185,791,124"
"Aug 31, 2020",1.00,1.00,0.998099,1.00,"231,030,123","190,433,398"
"Aug 30, 2020",1.00,1.00,0.998042,1.00,"178,162,804","187,614,280"
"Aug 29, 2020",1.00,1.00,0.999357,1.00,"153,981,824","187,847,961"
"Aug 28, 2020",1.00,1.00,0.998507,1.00,"181,461,601","196,249,786"
"Aug 27, 2020",1.00,1.01,0.996514,1.00,"236,706,027","199,949,820"
"Aug 26, 2020",1.00,1.00,0.997092,1.00,"178,412,962","196,439,807"
"Aug 25, 2020",1.00,1.01,0.998705,1.00,"238,853,949","197,422,755"
"Aug 24, 2020",1.00,1.00,0.997048,1.00,"162,351,927","204,378,476"
"Aug 23, 2020",1.00,1.00,0.997496,1.00,"136,329,435","213,347,456"
"Aug 22, 2020",1.00,1.01,0.998219,1.00,"199,865,104","203,538,621"
"Aug 21, 2020",1.00,1.01,0.997898,1.00,"285,423,918","198,061,236"
"Aug 20, 2020",1.00,1.00,0.998282,0.999990,"177,079,655","201,310,650"
"Aug 19, 2020",1.00,1.01,0.999141,1.00,"280,159,895","195,681,187"
"Aug 18, 2020",0.997942,1.01,0.995036,1.00,"276,233,620","210,016,465"
"Aug 17, 2020",0.999601,1.01,0.994642,0.997662,"308,689,125","200,429,862"
"Aug 16, 2020",1.00,1.01,0.997967,0.999601,"213,868,644","188,665,526"
"Aug 15, 2020",0.999009,1.01,0.996882,1.00,"250,365,386","188,808,602"
"Aug 14, 2020",1.01,1.01,0.996959,0.999524,"261,111,752","192,664,004"
"Aug 13, 2020",1.01,1.01,0.998423,1.01,"308,265,167","180,850,243"
"Aug 12, 2020",1.00,1.01,0.995267,1.01,"248,734,352","174,729,827"
"Aug 11, 2020",0.999216,1.01,0.996245,1.00,"289,207,890","160,993,950"
"Aug 10, 2020",1.00,1.02,0.998461,0.999427,"238,444,027","169,614,455"
"Aug 09, 2020",0.998324,1.01,0.996312,1.00,"181,087,678","180,393,479"
"Aug 08, 2020",1.00,1.00,0.996624,0.998057,"159,077,038","178,649,038"
"Aug 07, 2020",1.00,1.01,0.997734,1.00,"232,263,398","165,609,813"
"Aug 06, 2020",1.00,1.00,0.999550,1.00,"225,337,053","163,491,649"
"Aug 05, 2020",1.00,1.01,0.999581,1.00,"253,954,992","163,515,795"
"Aug 04, 2020",1.00,1.01,0.997652,1.00,"229,722,057","159,655,891"
"Aug 03, 2020",0.998206,1.01,0.993426,1.00,"208,149,187","157,793,570"
"Aug 02, 2020",0.995426,1.05,0.991108,0.998466,"365,258,662","161,392,101"
"Aug 01, 2020",0.998264,1.00,0.990481,0.995070,"313,964,253","151,408,395"
"Jul 31, 2020",1.00,1.00,0.996997,0.998665,"219,408,395","159,018,825"
"Jul 30, 2020",0.999763,1.01,0.997152,1.00,"229,718,536","147,115,766"
"Jul 29, 2020",0.998452,1.01,0.994669,0.999763,"202,792,976","151,512,034"
"Jul 28, 2020",0.995865,1.01,0.994572,0.998522,"294,582,739","148,191,836"
"Jul 27, 2020",0.997001,1.02,0.988566,0.998961,"419,070,540","169,119,243"
"Jul 26, 2020",0.996817,1.00,0.989921,0.997070,"214,108,864","171,418,395"
"Jul 25, 2020",0.998229,1.00,0.994772,0.996886,"139,749,013","177,526,051"
"Jul 24, 2020",0.996816,1.00,0.995982,0.997700,"139,039,840","177,671,007"
"Jul 23, 2020",0.998591,1.00,0.993421,0.996816,"150,262,468","176,190,331"
"Jul 22, 2020",0.997969,1.00,0.989624,0.998992,"113,190,061","185,287,433"
"Jul 21, 2020",0.998937,1.01,0.992480,0.997551,"110,789,522","182,755,237"
"Jul 20, 2020",0.998717,1.01,0.994702,0.999265,"94,906,003","184,810,921"
"Jul 19, 2020",0.999403,1.00,0.994944,0.997411,"76,188,739","184,467,978"
"Jul 18, 2020",0.999628,1.01,0.996394,0.999584,"66,264,052","174,492,889"
"Jul 17, 2020",1.00,1.01,0.997035,0.999727,"69,362,761","171,957,353"
"Jul 16, 2020",0.999899,1.01,0.998436,1.00,"96,506,703","167,025,535"
"Jul 15, 2020",0.998379,1.00,0.997203,1.00,"82,632,174","163,211,721"
"Jul 14, 2020",1.00,1.01,0.997089,0.998961,"86,627,267","162,468,259"
"Jul 13, 2020",0.998006,1.01,0.994927,1.00,"103,104,351","166,012,080"
"Jul 12, 2020",1.00,1.00,0.997040,0.998006,"69,007,016","173,150,163"
"Jul 11, 2020",0.999898,1.00,0.996851,1.00,"51,805,205","173,671,079"
"Jul 10, 2020",1.00,1.01,0.997183,0.999826,"86,877,417","165,809,555"
"Jul 09, 2020",0.999198,1.01,0.997988,1.00,"95,833,006","167,786,878"
"Jul 08, 2020",0.999890,1.00,0.994640,0.999198,"107,483,664","178,574,036"
"Jul 07, 2020",0.998231,1.00,0.991869,0.999890,"75,741,748","172,933,465"
"Jul 06, 2020",0.998448,1.00,0.993540,0.998447,"86,202,632","173,971,900"
"Jul 05, 2020",0.999274,1.01,0.995511,0.998448,"55,752,835","173,823,598"
"Jul 04, 2020",1.00,1.01,0.994425,0.999809,"45,757,779","168,653,736"
"Jul 03, 2020",1.01,1.01,0.997683,1.00,"51,715,952","168,717,992"
"Jul 02, 2020",0.999951,1.01,0.998213,1.01,"79,129,545","179,226,605"
"Jul 01, 2020",1.00,1.01,0.997318,0.999874,"66,671,208","165,774,855"
"Jun 30, 2020",0.999993,1.01,0.998000,1.00,"54,013,007","165,802,737"
"Jun 29, 2020",1.00,1.01,0.997837,0.999887,"70,791,990","165,776,964"
"Jun 28, 2020",1.00,1.01,0.998459,1.00,"48,029,897","166,100,369"
"Jun 27, 2020",1.00,1.01,0.998355,1.00,"70,912,192","166,485,849"
"Jun 26, 2020",1.00,1.01,0.997962,1.00,"87,592,249","165,804,655"
"Jun 25, 2020",1.00,1.01,0.993444,1.00,"78,453,298","166,004,684"
"Jun 24, 2020",1.00,1.01,1.00,1.00,"100,630,843","165,999,255"
"Jun 23, 2020",0.997200,1.00,0.990895,1.00,"73,233,696","166,253,639"
"Jun 22, 2020",1.00,1.00,0.989609,0.997128,"77,519,288","165,319,526"
"Jun 21, 2020",0.998535,1.01,0.996581,1.00,"56,186,653","163,930,905"
"Jun 20, 2020",0.997258,1.01,0.991018,0.998932,"71,262,411","163,290,224"
"Jun 19, 2020",1.01,1.01,0.996495,0.997294,"92,324,436","163,022,415"
"Jun 18, 2020",1.00,1.01,0.999449,1.00,"66,638,964","164,192,432"
"Jun 17, 2020",1.00,1.01,0.999541,1.00,"76,040,318","163,728,473"
"Jun 16, 2020",1.00,1.00,0.997776,1.00,"68,878,900","163,515,312"
"Jun 15, 2020",1.01,1.01,0.998390,1.00,"133,415,251","163,669,629"
