Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.000334,0.000341,0.000321,0.000334,"245,506,780","329,394,913"
"Sep 15, 2020",0.000347,0.000351,0.000334,0.000334,"239,045,446","329,166,935"
"Sep 14, 2020",0.000339,0.000359,0.000333,0.000347,"248,936,294","341,907,269"
"Sep 13, 2020",0.000362,0.000364,0.000333,0.000340,"173,757,342","335,108,582"
"Sep 12, 2020",0.000360,0.000371,0.000355,0.000362,"142,835,615","357,027,132"
"Sep 11, 2020",0.000352,0.000370,0.000344,0.000360,"162,749,911","354,903,301"
"Sep 10, 2020",0.000351,0.000362,0.000344,0.000353,"209,226,461","348,191,217"
"Sep 09, 2020",0.000341,0.000351,0.000336,0.000351,"190,040,588","345,891,356"
"Sep 08, 2020",0.000338,0.000351,0.000331,0.000340,"256,319,206","335,643,721"
"Sep 07, 2020",0.000344,0.000353,0.000316,0.000338,"115,195,978","333,590,092"
"Sep 06, 2020",0.000344,0.000355,0.000306,0.000344,"33,987,176","339,804,168"
"Sep 05, 2020",0.000402,0.000407,0.000332,0.000344,"39,601,212","339,287,420"
"Sep 04, 2020",0.000436,0.000440,0.000378,0.000401,"56,783,264","395,975,162"
"Sep 03, 2020",0.000418,0.000507,0.000411,0.000438,"84,954,539","431,769,058"
"Sep 02, 2020",0.000454,0.000460,0.000410,0.000418,"46,498,948","412,540,100"
"Sep 01, 2020",0.000451,0.000456,0.000436,0.000454,"52,227,380","448,154,943"
"Aug 31, 2020",0.000459,0.000469,0.000447,0.000451,"49,021,710","444,913,375"
"Aug 30, 2020",0.000450,0.000462,0.000442,0.000459,"45,681,395","453,336,094"
"Aug 29, 2020",0.000427,0.000472,0.000427,0.000452,"57,193,257","446,063,884"
"Aug 28, 2020",0.000412,0.000428,0.000408,0.000426,"31,461,620","420,397,214"
"Aug 27, 2020",0.000420,0.000428,0.000405,0.000412,"28,382,766","406,331,597"
"Aug 26, 2020",0.000410,0.000421,0.000407,0.000420,"25,550,548","414,286,212"
"Aug 25, 2020",0.000437,0.000437,0.000403,0.000410,"27,497,817","404,186,921"
"Aug 24, 2020",0.000419,0.000444,0.000418,0.000437,"26,029,981","431,266,056"
"Aug 23, 2020",0.000430,0.000432,0.000412,0.000419,"23,179,713","413,568,695"
"Aug 22, 2020",0.000429,0.000431,0.000406,0.000430,"25,236,691","424,534,771"
"Aug 21, 2020",0.000469,0.000473,0.000430,0.000430,"27,529,091","424,396,727"
"Aug 20, 2020",0.000469,0.000482,0.000465,0.000469,"25,837,595","462,694,326"
"Aug 19, 2020",0.000484,0.000487,0.000449,0.000469,"32,484,371","462,777,231"
"Aug 18, 2020",0.000532,0.000546,0.000475,0.000484,"38,830,461","477,277,933"
"Aug 17, 2020",0.000515,0.000550,0.000506,0.000532,"49,304,858","524,886,483"
"Aug 16, 2020",0.000469,0.000524,0.000463,0.000515,"47,214,988","508,417,395"
"Aug 15, 2020",0.000471,0.000477,0.000463,0.000469,"27,075,819","462,350,639"
"Aug 14, 2020",0.000461,0.000487,0.000461,0.000471,"32,562,190","464,266,321"
"Aug 13, 2020",0.000458,0.000474,0.000435,0.000461,"31,651,892","454,974,055"
"Aug 12, 2020",0.000436,0.000462,0.000419,0.000458,"31,801,670","451,702,760"
"Aug 11, 2020",0.000475,0.000476,0.000425,0.000436,"46,618,425","287,652,931"
"Aug 10, 2020",0.000424,0.000488,0.000418,0.000475,"53,766,051","313,170,872"
"Aug 09, 2020",0.000437,0.000437,0.000417,0.000423,"25,220,169","279,489,865"
"Aug 08, 2020",0.000403,0.000446,0.000400,0.000436,"35,907,311","287,691,315"
"Aug 07, 2020",0.000420,0.000420,0.000395,0.000403,"39,710,038","265,867,919"
"Aug 06, 2020",0.000392,0.000423,0.000387,0.000420,"29,274,097","277,363,605"
"Aug 05, 2020",0.000387,0.000393,0.000386,0.000392,"20,796,662","258,630,577"
"Aug 04, 2020",0.000391,0.000396,0.000386,0.000387,"23,720,974","255,495,197"
"Aug 03, 2020",0.000383,0.000398,0.000381,0.000391,"25,937,337","258,332,094"
"Aug 02, 2020",0.000397,0.000409,0.000379,0.000383,"29,250,971","252,437,310"
"Aug 01, 2020",0.000386,0.000398,0.000384,0.000397,"27,327,086","262,232,766"
"Jul 31, 2020",0.000384,0.000388,0.000381,0.000386,"21,906,428","254,666,884"
"Jul 30, 2020",0.000385,0.000386,0.000378,0.000384,"22,589,278","253,603,030"
