Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.083443,0.089749,0.080133,0.086260,"27,327,112","118,433,076"
"Sep 15, 2020",0.090387,0.093725,0.081056,0.083435,"29,868,606","121,665,432"
"Sep 14, 2020",0.075611,0.095616,0.074742,0.090194,"55,991,037","120,183,186"
"Sep 13, 2020",0.081131,0.083331,0.073221,0.075844,"15,071,212","101,044,688"
"Sep 12, 2020",0.083054,0.083373,0.079397,0.081131,"13,721,420","108,068,287"
"Sep 11, 2020",0.081036,0.086014,0.075024,0.083054,"23,510,889","110,610,684"
"Sep 10, 2020",0.071875,0.083688,0.070764,0.081036,"21,921,558","107,904,848"
"Sep 09, 2020",0.071637,0.073536,0.069490,0.071864,"15,922,671","95,673,261"
"Sep 08, 2020",0.072293,0.074396,0.068937,0.071778,"19,897,237","95,539,444"
"Sep 07, 2020",0.073092,0.074661,0.067586,0.072531,"19,705,615","96,525,399"
"Sep 06, 2020",0.069823,0.074940,0.067244,0.073240,"21,665,863","97,449,614"
"Sep 05, 2020",0.076114,0.077737,0.066940,0.069823,"23,428,307","92,885,435"
"Sep 04, 2020",0.069088,0.078113,0.067891,0.076081,"31,608,330","101,191,480"
"Sep 03, 2020",0.095146,0.095920,0.061290,0.068472,"37,491,847","91,053,838"
"Sep 02, 2020",0.106562,0.106562,0.090121,0.095504,"38,658,762","126,978,832"
"Sep 01, 2020",0.110011,0.110483,0.105325,0.106633,"39,592,190","141,750,935"
"Aug 31, 2020",0.107427,0.114172,0.107239,0.110085,"39,874,532","146,313,386"
"Aug 30, 2020",0.106815,0.112412,0.106494,0.107394,"40,415,405","142,711,028"
"Aug 29, 2020",0.108788,0.109493,0.105582,0.106797,"32,266,529","141,892,690"
"Aug 28, 2020",0.108937,0.111820,0.106609,0.108707,"26,682,106","144,402,983"
"Aug 27, 2020",0.108904,0.110068,0.102794,0.109189,"41,794,372","145,017,761"
"Aug 26, 2020",0.108027,0.114996,0.106247,0.108990,"36,411,676","144,727,290"
"Aug 25, 2020",0.119113,0.119407,0.103144,0.108103,"45,765,225","143,524,204"
"Aug 24, 2020",0.121779,0.124795,0.117437,0.119138,"32,982,931","158,148,823"
"Aug 23, 2020",0.124582,0.130992,0.117530,0.121779,"42,201,930","161,626,731"
"Aug 22, 2020",0.103723,0.137849,0.099308,0.124127,"83,571,423","164,715,080"
"Aug 21, 2020",0.100925,0.114570,0.100881,0.103673,"46,807,292","137,546,703"
"Aug 20, 2020",0.097546,0.101379,0.095520,0.100856,"15,671,220","133,784,268"
"Aug 19, 2020",0.103455,0.104426,0.095472,0.097534,"19,182,494","129,354,233"
"Aug 18, 2020",0.108673,0.113100,0.101830,0.103455,"21,561,292","137,180,817"
"Aug 17, 2020",0.106394,0.114017,0.104760,0.108617,"28,783,769","144,003,125"
"Aug 16, 2020",0.106704,0.107122,0.101840,0.106394,"19,313,680","141,033,290"
"Aug 15, 2020",0.111728,0.111748,0.104990,0.106669,"21,954,884","141,375,244"
"Aug 14, 2020",0.103765,0.113792,0.103765,0.111836,"27,672,567","148,198,509"
"Aug 13, 2020",0.102093,0.117803,0.097351,0.103747,"62,970,291","136,312,730"
"Aug 12, 2020",0.095706,0.102984,0.090321,0.102054,"27,612,263","134,062,888"
"Aug 11, 2020",0.103470,0.108352,0.092238,0.096029,"30,757,144","126,124,962"
"Aug 10, 2020",0.102514,0.106149,0.097999,0.103264,"31,575,558","135,602,056"
"Aug 09, 2020",0.108109,0.108109,0.099780,0.102523,"29,742,246","134,604,879"
"Aug 08, 2020",0.097187,0.110117,0.096046,0.108032,"36,722,317","141,810,411"
"Aug 07, 2020",0.092961,0.098231,0.091649,0.097221,"30,499,737","127,597,781"
"Aug 06, 2020",0.089895,0.093789,0.087366,0.092948,"19,759,445","121,965,974"
"Aug 05, 2020",0.089461,0.090922,0.088604,0.089942,"14,933,217","117,999,720"
"Aug 04, 2020",0.090490,0.091346,0.088131,0.089475,"17,310,667","117,364,716"
"Aug 03, 2020",0.091544,0.091802,0.089784,0.090494,"19,597,764","118,680,337"
"Aug 02, 2020",0.095144,0.099275,0.087935,0.091471,"27,241,964","119,941,582"
"Aug 01, 2020",0.091045,0.097439,0.090570,0.095126,"24,514,714","124,713,108"
"Jul 31, 2020",0.092686,0.093341,0.090006,0.091045,"18,207,422","119,342,031"
"Jul 30, 2020",0.091250,0.092935,0.089952,0.092753,"16,895,757","121,558,214"
"Jul 29, 2020",0.092556,0.095053,0.090991,0.091244,"20,537,930","119,559,121"
"Jul 28, 2020",0.094123,0.096042,0.089137,0.092538,"21,912,624","121,231,774"
"Jul 27, 2020",0.088067,0.095912,0.086804,0.094045,"35,157,767","123,181,986"
"Jul 26, 2020",0.089263,0.089655,0.085171,0.088131,"22,308,376","115,412,579"
"Jul 25, 2020",0.082329,0.091152,0.081758,0.089257,"24,624,317","116,867,395"
"Jul 24, 2020",0.087920,0.088215,0.081428,0.082275,"20,515,682","107,706,296"
"Jul 23, 2020",0.088619,0.091154,0.086983,0.087866,"20,730,184","115,005,055"
"Jul 22, 2020",0.091316,0.091793,0.086253,0.088598,"25,361,749","115,943,087"
"Jul 21, 2020",0.092719,0.093388,0.088354,0.091370,"27,235,596","119,548,883"
"Jul 20, 2020",0.098406,0.099083,0.091745,0.092737,"24,794,359","121,316,744"
"Jul 19, 2020",0.091901,0.099011,0.091658,0.098456,"26,128,949","128,775,357"
"Jul 18, 2020",0.098063,0.098542,0.090872,0.091988,"27,165,284","120,293,228"
"Jul 17, 2020",0.099211,0.104409,0.095643,0.098000,"34,315,154","128,132,411"
"Jul 16, 2020",0.104167,0.106612,0.093582,0.099167,"40,656,257","108,809,204"
"Jul 15, 2020",0.114096,0.114780,0.103033,0.104175,"28,974,592","114,279,297"
"Jul 14, 2020",0.119373,0.119373,0.106347,0.114006,"38,887,106","125,720,746"
"Jul 13, 2020",0.106016,0.120529,0.104766,0.119694,"44,595,882","131,963,407"
"Jul 12, 2020",0.107477,0.112185,0.100476,0.106016,"32,415,697","116,857,331"
"Jul 11, 2020",0.093086,0.112617,0.091952,0.107554,"50,668,756","118,527,106"
"Jul 10, 2020",0.094109,0.095435,0.088285,0.093027,"27,365,407","102,496,326"
"Jul 09, 2020",0.087810,0.095709,0.084396,0.094123,"39,387,128","103,682,320"
"Jul 08, 2020",0.081196,0.089634,0.079576,0.087810,"26,276,435","96,707,200"
"Jul 07, 2020",0.081804,0.083162,0.077840,0.081140,"24,619,924","89,341,851"
"Jul 06, 2020",0.079682,0.088503,0.078789,0.081939,"38,496,690","90,201,399"
"Jul 05, 2020",0.068580,0.082997,0.068184,0.079682,"36,929,178","87,697,024"
"Jul 04, 2020",0.065335,0.071721,0.064652,0.068709,"16,481,504","75,603,404"
"Jul 03, 2020",0.065250,0.066155,0.064848,0.065277,"7,713,981","71,812,147"
"Jul 02, 2020",0.065780,0.067022,0.063906,0.065319,"7,921,633","71,841,240"
"Jul 01, 2020",0.064890,0.066351,0.064457,0.065727,"10,067,480","72,275,480"
"Jun 30, 2020",0.065425,0.066227,0.064666,0.064879,"9,643,853","71,326,720"
"Jun 29, 2020",0.064892,0.066191,0.064348,0.065477,"10,752,246","71,967,815"
"Jun 28, 2020",0.064825,0.066065,0.063346,0.064892,"11,180,614","71,309,600"
"Jun 27, 2020",0.067002,0.067782,0.064311,0.064825,"11,639,367","71,220,807"
"Jun 26, 2020",0.068276,0.068423,0.065780,0.066981,"14,969,489","73,572,894"
"Jun 25, 2020",0.069027,0.069283,0.066223,0.068207,"13,937,449","74,902,673"
"Jun 24, 2020",0.070299,0.072921,0.068636,0.069222,"14,613,237","76,000,607"
"Jun 23, 2020",0.069985,0.073216,0.068831,0.070313,"18,680,211","77,182,477"
"Jun 22, 2020",0.066256,0.070589,0.066142,0.069973,"17,584,683","76,794,664"
"Jun 21, 2020",0.066128,0.067396,0.065643,0.066279,"13,568,070","72,725,091"
"Jun 20, 2020",0.065791,0.066791,0.064952,0.066171,"14,792,808","72,590,094"
"Jun 19, 2020",0.066918,0.067057,0.064571,0.065791,"14,827,332","72,157,144"
"Jun 18, 2020",0.067421,0.068273,0.066256,0.066878,"12,938,520","73,332,110"
"Jun 17, 2020",0.068592,0.068637,0.066423,0.067421,"12,649,273","71,889,697"
"Jun 16, 2020",0.066975,0.069162,0.066144,0.068651,"13,022,691","73,184,765"
"Jun 15, 2020",0.068803,0.068860,0.062930,0.066997,"14,714,653","71,406,785"
"Jun 14, 2020",0.070386,0.070625,0.067764,0.068856,"11,963,078","74,128,850"
"Jun 13, 2020",0.069911,0.070609,0.069503,0.070399,"11,426,066","75,773,404"
"Jun 12, 2020",0.067774,0.070802,0.067651,0.070048,"14,501,614","75,379,818"
"Jun 11, 2020",0.074833,0.075116,0.067264,0.067764,"16,108,925","72,906,083"
"Jun 10, 2020",0.071432,0.075456,0.071409,0.074799,"13,184,649","80,457,409"
"Jun 09, 2020",0.071693,0.072103,0.070302,0.071505,"13,747,347","76,897,195"
"Jun 08, 2020",0.071275,0.072301,0.070911,0.071679,"13,697,566","77,067,034"
"Jun 07, 2020",0.070906,0.071918,0.069209,0.071273,"14,931,767","76,613,490"
"Jun 06, 2020",0.070779,0.072233,0.069378,0.070893,"15,101,246","76,187,667"
"Jun 05, 2020",0.073803,0.073803,0.070511,0.070773,"16,931,478","76,041,437"
"Jun 04, 2020",0.072345,0.074210,0.071130,0.073810,"15,900,555","79,283,382"
"Jun 03, 2020",0.071777,0.072810,0.069960,0.072351,"19,501,228","77,697,701"
"Jun 02, 2020",0.075814,0.076897,0.069059,0.071697,"28,740,403","76,976,812"
"Jun 01, 2020",0.072962,0.076854,0.071533,0.075749,"36,544,137","81,306,224"
"May 31, 2020",0.072683,0.078391,0.070916,0.072861,"37,020,185","78,186,097"
"May 30, 2020",0.068117,0.072696,0.067178,0.072696,"25,178,297","77,990,826"
"May 29, 2020",0.068752,0.069687,0.066872,0.068157,"19,861,509","73,105,071"
"May 28, 2020",0.065599,0.069672,0.065490,0.068783,"24,460,874","73,761,741"
"May 27, 2020",0.064968,0.066575,0.064536,0.065513,"20,296,829","70,213,910"
"May 26, 2020",0.064599,0.066522,0.062819,0.064968,"20,998,582","69,630,517"
"May 25, 2020",0.062125,0.064714,0.061494,0.064607,"19,879,977","64,768,518"
"May 24, 2020",0.067017,0.067800,0.062165,0.062183,"21,217,631","62,338,771"
"May 23, 2020",0.068723,0.069977,0.065450,0.067017,"23,267,918","67,184,282"
"May 22, 2020",0.060398,0.070254,0.059327,0.068724,"34,051,673","68,895,475"
"May 21, 2020",0.062860,0.063464,0.059121,0.060391,"18,650,759","60,542,240"
"May 20, 2020",0.063411,0.064102,0.061812,0.062836,"17,723,446","62,992,841"
"May 19, 2020",0.064121,0.064313,0.062790,0.063345,"15,452,963","63,503,811"
"May 18, 2020",0.063126,0.065774,0.063126,0.064183,"16,801,463","64,343,559"
"May 17, 2020",0.063057,0.064598,0.062809,0.063219,"14,127,723","63,377,181"
"May 16, 2020",0.063123,0.064116,0.062428,0.063057,"13,726,552","63,214,283"
"May 15, 2020",0.064018,0.065261,0.062759,0.063104,"14,427,277","63,261,621"
"May 14, 2020",0.063415,0.064469,0.062655,0.063898,"11,612,312","64,057,280"
"May 13, 2020",0.061861,0.063751,0.061803,0.063468,"11,477,212","63,626,278"
"May 12, 2020",0.060860,0.062774,0.060364,0.061861,"10,487,334","62,015,589"
"May 11, 2020",0.060449,0.062372,0.058235,0.060865,"12,826,884","61,017,244"
"May 10, 2020",0.068832,0.068832,0.058911,0.060539,"11,093,450","60,689,880"
"May 09, 2020",0.069117,0.071160,0.068109,0.068828,"15,620,785","68,999,670"
"May 08, 2020",0.068212,0.071490,0.066929,0.069087,"12,893,545","69,259,487"
"May 07, 2020",0.066698,0.068623,0.065395,0.068262,"12,762,133","68,432,394"
"May 06, 2020",0.066782,0.067874,0.065426,0.066690,"11,799,058","66,857,094"
"May 05, 2020",0.067596,0.069158,0.066343,0.066848,"11,814,985","67,014,894"
"May 04, 2020",0.069939,0.070472,0.065993,0.067530,"13,098,342","67,699,275"
"May 03, 2020",0.071885,0.073344,0.068408,0.070004,"10,902,524","70,179,405"
"May 02, 2020",0.071468,0.072881,0.070055,0.071885,"12,554,013","72,064,703"
"May 01, 2020",0.067381,0.072498,0.067272,0.071505,"19,051,353","71,683,799"
"Apr 30, 2020",0.069909,0.072534,0.066727,0.067381,"22,780,124","67,549,614"
"Apr 29, 2020",0.066931,0.072332,0.066047,0.069882,"23,412,897","70,056,284"
"Apr 28, 2020",0.067995,0.068105,0.064939,0.066957,"19,033,272","67,124,181"
"Apr 27, 2020",0.071547,0.072735,0.064906,0.067840,"25,871,171","68,009,096"
"Apr 26, 2020",0.060435,0.073129,0.060292,0.071585,"44,792,327","71,764,404"
"Apr 25, 2020",0.059434,0.062186,0.058875,0.060583,"18,224,515","60,734,779"
"Apr 24, 2020",0.056753,0.059947,0.056612,0.059441,"16,181,260","59,590,050"
"Apr 23, 2020",0.056174,0.058001,0.055736,0.056738,"11,486,369","56,879,433"
"Apr 22, 2020",0.055662,0.057059,0.055098,0.056206,"10,721,510","56,346,587"
"Apr 21, 2020",0.055769,0.056213,0.054575,0.055665,"12,383,053","55,803,885"
"Apr 20, 2020",0.058499,0.059006,0.055003,0.055833,"13,833,792","55,972,410"
"Apr 19, 2020",0.059724,0.060243,0.057946,0.058499,"11,583,299","58,644,854"
"Apr 18, 2020",0.057901,0.060442,0.057844,0.059729,"14,639,657","59,877,812"
"Apr 17, 2020",0.058564,0.059392,0.057298,0.057925,"12,912,815","58,069,734"
"Apr 16, 2020",0.054394,0.060045,0.053909,0.058582,"16,141,173","58,728,870"
"Apr 15, 2020",0.056104,0.056755,0.054252,0.054467,"10,819,732","54,603,457"
"Apr 14, 2020",0.056208,0.057230,0.055511,0.056184,"10,597,823","56,324,436"
"Apr 13, 2020",0.057522,0.057880,0.054826,0.056177,"11,245,949","56,317,734"
"Apr 12, 2020",0.056974,0.058619,0.056251,0.057433,"10,521,728","57,576,994"
"Apr 11, 2020",0.057543,0.058225,0.055692,0.056962,"11,479,319","57,104,269"
"Apr 10, 2020",0.061255,0.061280,0.055755,0.057543,"15,462,590","57,686,826"
