Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.333779,0.333779,0.258135,0.273023,"48,011,084","38,389,782"
"Sep 15, 2020",0.429354,0.444711,0.323713,0.334229,"66,588,291","46,995,957"
"Sep 14, 2020",0.463826,0.531426,0.423016,0.429354,"108,066,871","60,371,504"
"Sep 13, 2020",0.674995,0.692632,0.406706,0.462144,"105,909,245","64,982,116"
"Sep 12, 2020",0.615083,0.682108,0.569425,0.674320,"44,576,613","94,816,194"
"Sep 11, 2020",0.618447,0.637730,0.521509,0.614285,"51,960,862","86,374,717"
"Sep 10, 2020",0.643576,0.755291,0.617758,0.617758,"53,621,712","86,863,016"
"Sep 09, 2020",0.519445,0.687587,0.519398,0.643576,"33,716,877","90,493,240"
"Sep 08, 2020",0.554416,0.562720,0.484617,0.518994,"19,165,207","72,975,751"
"Sep 07, 2020",0.623204,0.637307,0.453470,0.554187,"26,043,583","77,924,329"
"Sep 06, 2020",0.468649,0.633434,0.453528,0.622216,"36,498,041","87,489,808"
"Sep 05, 2020",0.700657,0.792383,0.393853,0.466875,"32,102,423","65,647,294"
"Sep 04, 2020",0.737786,0.781463,0.637913,0.699181,"29,831,005","98,311,839"
"Sep 03, 2020",0.934521,1.10,0.714604,0.737827,"43,648,111","103,745,931"
"Sep 02, 2020",1.04,1.16,0.915021,0.933829,"46,936,581","131,305,749"
"Sep 01, 2020",1.27,1.53,1.03,1.04,"65,765,726","146,414,518"
"Aug 31, 2020",1.38,1.66,1.19,1.27,"102,863,109","178,608,842"
"Aug 30, 2020",1.12,1.41,1.09,1.38,"75,727,387","193,778,431"
"Aug 29, 2020",0.875906,1.17,0.874389,1.12,"65,737,878","158,109,981"
"Aug 28, 2020",0.768057,0.876330,0.759740,0.876200,"13,728,450","123,202,592"
"Aug 27, 2020",0.721024,0.817315,0.712593,0.768431,"10,440,707","108,049,115"
"Aug 26, 2020",0.592599,0.793433,0.588159,0.721259,"12,707,675","101,416,269"
"Aug 25, 2020",0.664341,0.667591,0.564147,0.592943,"8,839,882","83,373,770"
"Aug 24, 2020",0.564727,0.669266,0.561879,0.658999,"9,300,064","92,661,931"
"Aug 23, 2020",0.530923,0.598071,0.514767,0.564501,"5,985,309","79,374,499"
"Aug 22, 2020",0.524391,0.534549,0.506033,0.530994,"4,985,592","74,663,159"
"Aug 21, 2020",0.500716,0.600416,0.486320,0.524634,"8,798,886","73,768,840"
"Aug 20, 2020",0.502253,0.510503,0.483083,0.499875,"5,546,617","70,287,463"
"Aug 19, 2020",0.524458,0.526351,0.494269,0.502253,"4,978,834","70,621,815"
"Aug 18, 2020",0.531699,0.540997,0.506444,0.524359,"6,311,828","73,730,128"
"Aug 17, 2020",0.535380,0.547642,0.523819,0.531702,"6,037,432","74,762,695"
"Aug 16, 2020",0.499054,0.538637,0.483503,0.535380,"5,015,197","75,279,843"
"Aug 15, 2020",0.528516,0.545797,0.479885,0.497620,"6,190,777","69,970,439"
"Aug 14, 2020",0.495372,0.556927,0.477189,0.528183,"7,678,939","74,267,812"
"Aug 13, 2020",0.450564,0.496317,0.422396,0.494957,"6,645,124","69,595,869"
"Aug 12, 2020",0.476402,0.481243,0.425414,0.450593,"6,441,488","63,357,894"
"Aug 11, 2020",0.491757,0.549458,0.463527,0.478435,"7,787,602","67,272,790"
"Aug 10, 2020",0.427112,0.507752,0.425950,0.491977,"6,898,656","69,176,864"
"Aug 09, 2020",0.453692,0.460880,0.402547,0.427112,"4,696,333","60,056,253"
"Aug 08, 2020",0.407510,0.467238,0.400172,0.451105,"5,734,490","63,429,942"
"Aug 07, 2020",0.423370,0.461766,0.349007,0.406577,"6,173,032","57,168,833"
"Aug 06, 2020",0.380208,0.428423,0.379893,0.422854,"6,139,832","59,457,548"
"Aug 05, 2020",0.381995,0.390576,0.364497,0.380208,"3,466,479","53,461,102"
"Aug 04, 2020",0.349761,0.396989,0.349411,0.381429,"4,246,623","53,632,773"
"Aug 03, 2020",0.314409,0.352685,0.300438,0.349442,"3,864,655","49,135,097"
"Aug 02, 2020",0.329792,0.338263,0.299834,0.313905,"3,259,109","44,138,238"
"Aug 01, 2020",0.353365,0.369996,0.328940,0.329899,"3,434,489","46,387,141"
"Jul 31, 2020",0.306211,0.374148,0.305050,0.353594,"4,494,807","49,718,862"
"Jul 30, 2020",0.301279,0.329141,0.298617,0.306211,"3,744,422","43,056,331"
"Jul 29, 2020",0.297119,0.377676,0.278774,0.301368,"2,770,816","42,375,337"
"Jul 28, 2020",0.319262,0.321525,0.282441,0.297397,"1,950,525","41,816,946"
"Jul 27, 2020",0.366004,0.371111,0.294263,0.318950,"2,663,430","44,847,629"
"Jul 26, 2020",0.387417,0.395526,0.328088,0.366003,"2,865,335","51,463,689"
"Jul 25, 2020",0.362555,0.397002,0.361500,0.387901,"2,586,382","54,542,814"
"Jul 24, 2020",0.311603,0.390388,0.311603,0.362636,"2,712,528","50,990,342"
"Jul 23, 2020",0.305882,0.331196,0.277862,0.310580,"3,316,171","43,670,692"
"Jul 22, 2020",0.275394,0.328322,0.254694,0.305882,"3,539,376","43,010,152"
"Jul 21, 2020",0.298094,0.308494,0.248289,0.274711,"3,027,203","38,627,062"
"Jul 20, 2020",0.359050,0.361675,0.272123,0.297574,"7,086,861","41,841,947"
"Jul 19, 2020",0.366505,0.401336,0.296894,0.357203,"4,926,781",0
"Jul 18, 2020",0.272242,0.375231,0.265128,0.370301,"6,243,604",0
"Jul 17, 2020",0.174632,0.286635,0.173693,0.272351,"6,876,514",0
"Jul 16, 2020",0.183408,0.189387,0.166115,0.175107,"3,128,510",0
"Jul 15, 2020",0.140770,0.205317,0.134867,0.182660,"5,115,178",0
"Jul 14, 2020",0.168813,0.168813,0.122395,0.141083,"5,302,799",0
