Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",2.57,2.62,2.41,2.49,"4,454,830","310,019,400"
"Sep 15, 2020",2.78,2.82,2.48,2.57,"4,870,103","320,103,105"
"Sep 14, 2020",2.79,2.90,2.77,2.78,"3,025,737","346,439,342"
"Sep 13, 2020",2.97,3.02,2.79,2.79,"3,079,779","346,953,536"
"Sep 12, 2020",2.98,3.08,2.92,2.97,"4,266,108","369,877,402"
"Sep 11, 2020",3.08,3.08,2.93,2.97,"5,288,389","370,112,472"
"Sep 10, 2020",3.12,3.29,3.06,3.08,"4,318,235","383,435,278"
"Sep 09, 2020",3.09,3.21,3.01,3.12,"5,975,223","388,752,387"
"Sep 08, 2020",3.31,3.35,3.01,3.09,"6,684,909","383,950,375"
"Sep 07, 2020",3.48,3.53,3.12,3.31,"6,883,011","412,006,001"
"Sep 06, 2020",3.34,3.69,3.07,3.48,"10,087,845","432,956,679"
"Sep 05, 2020",4.05,4.22,3.10,3.34,"15,844,733","416,165,944"
"Sep 04, 2020",4.20,4.73,3.90,4.05,"37,521,368","504,163,579"
"Sep 03, 2020",3.85,4.55,3.44,4.20,"33,553,815","522,885,476"
"Sep 02, 2020",4.07,4.18,3.70,3.85,"9,453,890","478,855,442"
"Sep 01, 2020",3.92,4.30,3.70,4.07,"25,694,428","506,902,579"
"Aug 31, 2020",4.10,4.11,3.90,3.92,"9,379,334","487,828,311"
"Aug 30, 2020",4.04,4.23,3.91,4.11,"14,192,068","510,866,438"
"Aug 29, 2020",4.22,4.33,3.98,4.04,"10,205,674","502,574,660"
"Aug 28, 2020",3.97,4.26,3.95,4.22,"11,237,122","525,589,233"
"Aug 27, 2020",4.46,4.49,3.77,3.97,"22,240,103","494,564,809"
"Aug 26, 2020",2.88,4.48,2.84,4.46,"29,850,932","555,222,273"
"Aug 25, 2020",2.46,2.97,2.46,2.89,"9,386,936","359,346,683"
"Aug 24, 2020",2.36,2.46,2.36,2.46,"452,453","306,279,220"
"Aug 23, 2020",2.33,2.39,2.33,2.39,"244,401","296,927,377"
"Aug 22, 2020",2.44,2.45,2.20,2.33,"680,014","289,620,737"
"Aug 21, 2020",2.60,2.61,2.35,2.44,"791,686","303,714,017"
"Aug 20, 2020",2.56,2.62,2.55,2.60,"241,248","323,072,644"
"Aug 19, 2020",2.69,2.70,2.51,2.56,"473,538","318,979,719"
"Aug 18, 2020",2.58,2.72,2.52,2.69,"519,662","335,142,192"
"Aug 17, 2020",2.54,2.60,2.49,2.58,"484,291","321,038,809"
"Aug 16, 2020",2.48,2.55,2.44,2.54,"368,041","315,589,447"
"Aug 15, 2020",2.60,2.62,2.47,2.48,"378,653","308,562,158"
"Aug 14, 2020",2.47,2.65,2.47,2.60,"619,332","323,978,282"
"Aug 13, 2020",2.24,2.48,2.19,2.47,"475,930","306,829,651"
"Aug 12, 2020",2.04,2.25,2.03,2.24,"774,701","279,308,903"
"Aug 11, 2020",2.03,2.11,2.02,2.04,"393,322","253,477,437"
"Aug 10, 2020",1.96,2.04,1.92,2.03,"552,841","252,938,518"
"Aug 09, 2020",2.03,2.06,1.96,1.96,"239,486","243,666,867"
"Aug 08, 2020",1.80,2.06,1.80,2.03,"472,710","252,283,816"
"Aug 07, 2020",1.75,1.81,1.73,1.80,"240,201","224,144,007"
"Aug 06, 2020",1.76,1.76,1.74,1.75,"137,485","217,909,299"
