Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.555007,0.570970,0.542599,0.559006,"1,302,507","133,526,141"
"Sep 15, 2020",0.540808,0.573143,0.530710,0.555080,"1,613,710","132,588,361"
"Sep 14, 2020",0.498730,0.550245,0.490104,0.540452,"1,146,977","129,094,235"
"Sep 13, 2020",0.521135,0.528739,0.493721,0.498657,"1,089,071","119,110,907"
"Sep 12, 2020",0.534388,0.569026,0.515215,0.521140,"1,987,168","124,481,252"
"Sep 11, 2020",0.510706,0.558825,0.496362,0.534479,"2,621,231","127,667,528"
"Sep 10, 2020",0.424800,0.516173,0.408154,0.512746,"2,382,767","122,476,423"
"Sep 09, 2020",0.394802,0.452535,0.393874,0.428574,"1,463,654","102,370,600"
"Sep 08, 2020",0.391323,0.413644,0.360815,0.394921,"1,588,905","94,332,245"
"Sep 07, 2020",0.399402,0.406852,0.368476,0.391373,"859,677","93,484,823"
"Sep 06, 2020",0.367574,0.399881,0.358035,0.399448,"1,070,307","95,413,596"
"Sep 05, 2020",0.382286,0.388139,0.356712,0.367574,"1,215,537","87,800,078"
"Sep 04, 2020",0.367454,0.386753,0.363309,0.382820,"972,601","91,441,682"
"Sep 03, 2020",0.394147,0.401114,0.357556,0.367124,"1,040,576","87,692,435"
"Sep 02, 2020",0.420950,0.428774,0.374653,0.396804,"1,121,049","94,782,102"
"Sep 01, 2020",0.418172,0.435923,0.399850,0.421397,"1,363,023","100,656,352"
"Aug 31, 2020",0.439265,0.440022,0.414701,0.418294,"1,191,829","99,915,159"
"Aug 30, 2020",0.416097,0.439693,0.412765,0.439230,"1,210,384","104,915,936"
"Aug 29, 2020",0.423304,0.432534,0.411082,0.416389,"1,222,240","99,460,207"
"Aug 28, 2020",0.413046,0.431410,0.405039,0.423476,"1,410,561","101,152,866"
"Aug 27, 2020",0.404944,0.432931,0.398697,0.412543,"1,648,895","98,541,437"
"Aug 26, 2020",0.392227,0.407344,0.386368,0.405046,"1,175,665","96,750,781"
"Aug 25, 2020",0.367147,0.393528,0.360352,0.392491,"1,167,800","93,751,895"
"Aug 24, 2020",0.369629,0.379517,0.353255,0.367063,"1,196,095","87,677,997"
"Aug 23, 2020",0.377083,0.381778,0.359781,0.369666,"1,007,057","88,299,663"
"Aug 22, 2020",0.383968,0.399872,0.370556,0.377191,"1,024,946","90,097,220"
"Aug 21, 2020",0.393745,0.407715,0.383681,0.383844,"1,242,114","91,686,329"
"Aug 20, 2020",0.365269,0.397057,0.363194,0.393779,"1,179,551","94,059,490"
"Aug 19, 2020",0.376865,0.378604,0.354596,0.365133,"1,098,553","87,216,859"
"Aug 18, 2020",0.386627,0.393830,0.375099,0.376865,"1,373,175","90,019,210"
"Aug 17, 2020",0.400311,0.406552,0.386487,0.386578,"1,299,526","92,339,396"
"Aug 16, 2020",0.401166,0.406983,0.384768,0.400311,"1,063,648","95,619,609"
"Aug 15, 2020",0.416729,0.426007,0.398112,0.401151,"913,736","95,820,263"
"Aug 14, 2020",0.419648,0.427487,0.398692,0.416551,"1,028,364","99,498,882"
"Aug 13, 2020",0.413242,0.425558,0.394061,0.419798,"1,605,494","100,274,351"
"Aug 12, 2020",0.371047,0.418220,0.369240,0.413184,"1,208,589","98,694,637"
"Aug 11, 2020",0.381726,0.386065,0.359078,0.371052,"1,276,281","88,630,835"
"Aug 10, 2020",0.376420,0.389535,0.376193,0.381726,"1,312,618","91,180,499"
"Aug 09, 2020",0.392795,0.401104,0.372606,0.376371,"1,167,184","89,901,358"
"Aug 08, 2020",0.385074,0.405407,0.381708,0.392496,"1,121,653","93,752,970"
"Aug 07, 2020",0.396341,0.409047,0.382379,0.384702,"1,347,748","91,891,236"
"Aug 06, 2020",0.392390,0.422433,0.392337,0.396101,"1,119,638","94,614,156"
