Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.012896,0.012896,0.011968,0.012379,"6,059,294","60,857,938"
"Sep 15, 2020",0.013423,0.013564,0.012527,0.012897,"7,491,311","63,406,341"
"Sep 14, 2020",0.012305,0.013702,0.012293,0.013423,"9,729,505","65,993,047"
"Sep 13, 2020",0.012958,0.013042,0.012174,0.012283,"5,396,944","60,388,221"
"Sep 12, 2020",0.012450,0.013097,0.012331,0.012997,"7,248,271","63,896,527"
"Sep 11, 2020",0.012467,0.012975,0.012202,0.012435,"6,329,318","61,135,201"
"Sep 10, 2020",0.012283,0.012837,0.012220,0.012459,"6,969,764","61,253,207"
"Sep 09, 2020",0.011078,0.012577,0.010836,0.012282,"9,546,608","60,381,007"
"Sep 08, 2020",0.011209,0.011531,0.010704,0.011086,"5,415,245","54,503,449"
"Sep 07, 2020",0.011045,0.011713,0.010327,0.011208,"6,464,327","55,100,637"
"Sep 06, 2020",0.010566,0.011250,0.010138,0.011044,"6,723,230","54,295,902"
"Sep 05, 2020",0.012236,0.012369,0.010171,0.010568,"7,064,589","51,954,493"
"Sep 04, 2020",0.011407,0.012285,0.011174,0.012227,"7,135,078","60,114,814"
"Sep 03, 2020",0.014286,0.014415,0.011266,0.011404,"7,847,470","56,064,825"
"Sep 02, 2020",0.015090,0.015090,0.013832,0.014287,"8,112,126","70,238,501"
"Sep 01, 2020",0.014871,0.015898,0.014674,0.015086,"13,665,642","74,169,155"
"Aug 31, 2020",0.015005,0.015153,0.014690,0.014870,"8,285,186","73,105,727"
"Aug 30, 2020",0.014918,0.015078,0.014668,0.015029,"8,490,591","73,890,178"
"Aug 29, 2020",0.015141,0.015164,0.014675,0.014904,"7,752,823","73,275,549"
"Aug 28, 2020",0.014486,0.015165,0.014457,0.015165,"9,460,256","74,559,015"
"Aug 27, 2020",0.015673,0.015673,0.014334,0.014471,"9,052,682","71,145,788"
"Aug 26, 2020",0.015525,0.015961,0.015204,0.015679,"9,562,276","77,086,414"
"Aug 25, 2020",0.017264,0.017341,0.015181,0.015524,"12,688,618","76,322,399"
"Aug 24, 2020",0.016920,0.017348,0.016730,0.017281,"10,188,616","84,958,701"
"Aug 23, 2020",0.017290,0.017312,0.016702,0.016932,"7,745,977","83,242,883"
"Aug 22, 2020",0.016588,0.017574,0.016393,0.017298,"11,715,095","85,043,221"
"Aug 21, 2020",0.017900,0.018468,0.016093,0.016634,"25,894,747","81,780,774"
"Aug 20, 2020",0.016224,0.018248,0.016178,0.017865,"17,893,467","87,829,672"
"Aug 19, 2020",0.018257,0.018296,0.015698,0.016224,"19,605,203","79,763,956"
"Aug 18, 2020",0.020056,0.022039,0.017443,0.018250,"45,193,335","89,726,336"
"Aug 17, 2020",0.019523,0.020688,0.019169,0.019995,"22,830,794","98,301,478"
"Aug 16, 2020",0.018582,0.020062,0.018189,0.019523,"17,611,385","95,983,411"
"Aug 15, 2020",0.019671,0.019707,0.018169,0.018580,"16,483,018","91,344,528"
"Aug 14, 2020",0.018205,0.020144,0.017571,0.019662,"35,372,474","96,664,406"
"Aug 13, 2020",0.015996,0.018790,0.015961,0.018253,"49,179,295","89,738,909"
"Aug 12, 2020",0.014195,0.016050,0.013864,0.015974,"22,127,368","75,338,051"
"Aug 11, 2020",0.014277,0.014575,0.013575,0.014166,"14,185,031","66,811,172"
"Aug 10, 2020",0.013901,0.014590,0.013358,0.014282,"15,164,380","67,361,330"
"Aug 09, 2020",0.013244,0.013969,0.013220,0.013901,"12,846,414","65,560,620"
"Aug 08, 2020",0.013076,0.013293,0.013052,0.013250,"7,668,639","62,492,791"
"Aug 07, 2020",0.013245,0.013431,0.012719,0.013076,"9,175,360","61,673,179"
"Aug 06, 2020",0.013247,0.013606,0.013096,0.013245,"10,022,668","62,470,922"
"Aug 05, 2020",0.013287,0.013397,0.013113,0.013247,"8,589,043","62,479,761"
"Aug 04, 2020",0.013098,0.013521,0.012877,0.013283,"11,421,667","62,646,041"
"Aug 03, 2020",0.012642,0.013611,0.012520,0.013098,"13,772,869","61,777,916"
"Aug 02, 2020",0.013331,0.013364,0.012072,0.012642,"10,081,782","59,625,187"
"Aug 01, 2020",0.014007,0.014007,0.013116,0.013358,"15,921,242","62,999,602"
"Jul 31, 2020",0.012923,0.016379,0.012923,0.014007,"66,163,007","66,063,169"
"Jul 30, 2020",0.012135,0.013893,0.012053,0.012970,"21,402,953","61,172,454"
"Jul 29, 2020",0.011847,0.012418,0.011827,0.012129,"7,938,889","56,842,759"
"Jul 28, 2020",0.011505,0.012280,0.011369,0.011837,"8,096,926","55,471,285"
"Jul 27, 2020",0.011762,0.011965,0.010985,0.011541,"9,122,062","54,086,337"
"Jul 26, 2020",0.011847,0.012018,0.011722,0.011761,"5,796,526","55,116,748"
"Jul 25, 2020",0.011841,0.012025,0.011785,0.011843,"5,220,722","55,498,734"
"Jul 24, 2020",0.011998,0.012117,0.011784,0.011836,"4,263,615","55,466,402"
"Jul 23, 2020",0.012088,0.012268,0.011957,0.012006,"5,437,418","56,263,070"
"Jul 22, 2020",0.011963,0.012193,0.011901,0.012088,"5,372,143","56,650,230"
"Jul 21, 2020",0.011956,0.012087,0.011817,0.011980,"4,158,172","56,142,580"
"Jul 20, 2020",0.012011,0.012094,0.011852,0.011958,"4,562,703","56,038,352"
"Jul 19, 2020",0.012106,0.012160,0.011570,0.012004,"6,093,752","56,257,269"
"Jul 18, 2020",0.012153,0.012240,0.011994,0.012091,"2,845,745","56,662,580"
"Jul 17, 2020",0.011999,0.012364,0.011970,0.012144,"4,050,448","56,911,529"
"Jul 16, 2020",0.012315,0.012590,0.011653,0.011986,"5,990,875","56,170,401"
"Jul 15, 2020",0.012315,0.012635,0.012261,0.012329,"5,432,398","57,780,197"
"Jul 14, 2020",0.012277,0.012361,0.012064,0.012334,"5,057,887","57,804,701"
"Jul 13, 2020",0.012344,0.012785,0.012205,0.012277,"7,433,768","57,539,748"
"Jul 12, 2020",0.012418,0.012465,0.012198,0.012344,"4,122,426","57,850,565"
"Jul 11, 2020",0.012598,0.012630,0.012345,0.012428,"3,980,814","58,247,024"
"Jul 10, 2020",0.012227,0.012731,0.011997,0.012600,"7,173,666","59,051,368"
"Jul 09, 2020",0.012149,0.012681,0.011962,0.012229,"8,404,440","57,311,387"
"Jul 08, 2020",0.011971,0.012220,0.011878,0.012149,"5,212,847","56,936,389"
"Jul 07, 2020",0.011969,0.012291,0.011762,0.011971,"5,033,780","56,104,094"
"Jul 06, 2020",0.011596,0.011991,0.011582,0.011969,"4,036,816","56,097,141"
"Jul 05, 2020",0.011565,0.011851,0.011447,0.011596,"5,193,025","54,345,827"
"Jul 04, 2020",0.011277,0.011696,0.011220,0.011571,"4,767,547","54,229,727"
"Jul 03, 2020",0.011547,0.011572,0.011132,0.011282,"5,063,323","52,874,043"
"Jul 02, 2020",0.011923,0.011973,0.011389,0.011497,"4,977,052","53,881,713"
"Jul 01, 2020",0.011728,0.011961,0.011570,0.011925,"6,094,196","54,462,020"
"Jun 30, 2020",0.012049,0.012136,0.011651,0.011705,"4,365,125","53,456,416"
"Jun 29, 2020",0.011807,0.012123,0.011628,0.012043,"5,127,406","55,001,625"
"Jun 28, 2020",0.011688,0.011884,0.011329,0.011802,"5,777,930","53,901,734"
"Jun 27, 2020",0.012277,0.012620,0.011627,0.011688,"5,882,358","53,379,213"
"Jun 26, 2020",0.012706,0.012739,0.012053,0.012283,"7,143,439","56,096,426"
"Jun 25, 2020",0.013080,0.013209,0.012632,0.012708,"6,213,331","58,037,230"
"Jun 24, 2020",0.014045,0.014089,0.012850,0.013082,"16,338,493","59,746,436"
"Jun 23, 2020",0.013924,0.014159,0.013787,0.014056,"7,938,363","64,197,135"
"Jun 22, 2020",0.014099,0.015305,0.013648,0.013923,"29,133,852","63,588,114"
"Jun 21, 2020",0.013272,0.014236,0.013272,0.014086,"7,073,218","64,330,912"
"Jun 20, 2020",0.013656,0.013879,0.013153,0.013295,"8,080,004","60,721,076"
"Jun 19, 2020",0.014388,0.014426,0.013615,0.013653,"9,500,055","62,353,099"
"Jun 18, 2020",0.013170,0.014568,0.013015,0.014380,"16,013,972","65,676,133"
"Jun 17, 2020",0.012928,0.013278,0.012564,0.013169,"10,128,422","60,144,304"
"Jun 16, 2020",0.011941,0.013061,0.011888,0.012931,"15,646,941","59,057,150"
"Jun 15, 2020",0.011672,0.012150,0.011157,0.011943,"6,912,007","54,546,717"
"Jun 14, 2020",0.012341,0.012342,0.011688,0.011688,"4,275,464","53,381,839"
"Jun 13, 2020",0.011993,0.012358,0.011847,0.012317,"5,060,332","56,253,304"
"Jun 12, 2020",0.011354,0.012023,0.011303,0.011984,"5,547,093","54,731,672"
"Jun 11, 2020",0.012447,0.012662,0.011065,0.011352,"8,130,911","51,846,539"
"Jun 10, 2020",0.012588,0.012666,0.012272,0.012444,"5,090,089","56,832,661"
"Jun 09, 2020",0.012202,0.012749,0.012116,0.012543,"7,171,173","57,285,399"
"Jun 08, 2020",0.012188,0.012319,0.012082,0.012192,"4,114,845","55,681,831"
"Jun 07, 2020",0.012146,0.012293,0.011628,0.012188,"6,141,225","55,663,468"
"Jun 06, 2020",0.012415,0.012558,0.012139,0.012146,"5,285,439","55,473,260"
"Jun 05, 2020",0.012422,0.012815,0.012180,0.012435,"9,435,445","56,791,911"
"Jun 04, 2020",0.012183,0.012499,0.011666,0.012422,"7,667,732","56,733,047"
"Jun 03, 2020",0.011668,0.012233,0.011500,0.012157,"11,904,622","55,522,140"
"Jun 02, 2020",0.011269,0.011723,0.010626,0.011668,"10,750,311","53,288,122"
"Jun 01, 2020",0.010722,0.011271,0.010696,0.011211,"6,519,276","51,202,874"
"May 31, 2020",0.011061,0.011466,0.010641,0.010686,"8,085,688","48,805,360"
"May 30, 2020",0.010998,0.011233,0.010547,0.011058,"7,741,989","50,502,180"
"May 29, 2020",0.010088,0.011175,0.009974,0.011019,"12,962,875","50,325,623"
"May 28, 2020",0.009849,0.010298,0.009782,0.010088,"6,066,501","46,071,662"
"May 27, 2020",0.009891,0.010197,0.009703,0.009881,"6,466,173","45,126,296"
"May 26, 2020",0.009919,0.010114,0.009592,0.009891,"7,616,565","45,171,904"
"May 25, 2020",0.009175,0.010087,0.009116,0.009890,"9,649,028","45,169,985"
"May 24, 2020",0.009488,0.009795,0.009174,0.009223,"5,376,886","42,122,019"
"May 23, 2020",0.009546,0.009546,0.009293,0.009451,"2,428,314","43,164,093"
"May 22, 2020",0.009078,0.009544,0.008899,0.009544,"3,629,384","43,589,984"
"May 21, 2020",0.009602,0.009609,0.008767,0.009083,"4,114,849","41,482,735"
"May 20, 2020",0.009528,0.009855,0.009411,0.009580,"5,867,746","43,755,407"
"May 19, 2020",0.009606,0.009710,0.009429,0.009529,"2,705,186","43,520,077"
"May 18, 2020",0.009643,0.009900,0.009433,0.009611,"4,401,981","43,893,193"
"May 17, 2020",0.009742,0.009933,0.009602,0.009645,"3,362,313","44,047,843"
"May 16, 2020",0.009351,0.009832,0.009258,0.009803,"4,905,665","44,773,608"
"May 15, 2020",0.009911,0.009911,0.009256,0.009342,"4,903,226","42,664,228"
"May 14, 2020",0.009988,0.010068,0.009651,0.009903,"7,439,483","45,229,453"
"May 13, 2020",0.009096,0.010141,0.009096,0.009988,"10,245,155","45,616,723"
"May 12, 2020",0.008722,0.009231,0.008651,0.009098,"5,816,892","41,553,607"
"May 11, 2020",0.008400,0.009166,0.008332,0.008722,"9,901,125","39,833,536"
"May 10, 2020",0.009364,0.009388,0.007873,0.008378,"7,544,659","38,261,554"
"May 09, 2020",0.009878,0.010011,0.009394,0.009399,"6,001,901","42,925,394"
"May 08, 2020",0.009804,0.010687,0.009804,0.009876,"10,797,407","45,105,402"
"May 07, 2020",0.010516,0.012139,0.009525,0.009804,"38,429,030","44,776,913"
"May 06, 2020",0.009390,0.011309,0.009327,0.010516,"26,881,299","48,026,091"
"May 05, 2020",0.008504,0.009764,0.008233,0.009408,"13,621,350","42,968,051"
"May 04, 2020",0.007648,0.008557,0.007415,0.008501,"9,759,422","38,826,779"
"May 03, 2020",0.007867,0.008043,0.007530,0.007647,"2,928,613","34,925,295"
"May 02, 2020",0.007522,0.007902,0.007499,0.007863,"4,269,379","35,912,769"
"May 01, 2020",0.007257,0.007666,0.007245,0.007515,"2,637,421","34,321,919"
"Apr 30, 2020",0.007421,0.007869,0.007046,0.007257,"4,425,003","33,145,024"
"Apr 29, 2020",0.007313,0.007554,0.007237,0.007422,"4,538,936","33,897,734"
"Apr 28, 2020",0.007140,0.007319,0.007063,0.007319,"2,461,084","33,427,143"
"Apr 27, 2020",0.006855,0.007265,0.006824,0.007138,"4,211,631","32,598,053"
"Apr 26, 2020",0.006802,0.006907,0.006757,0.006850,"1,814,334","31,282,699"
"Apr 25, 2020",0.006779,0.006953,0.006731,0.006801,"1,894,778","31,062,340"
"Apr 24, 2020",0.006743,0.006884,0.006702,0.006793,"2,126,432","31,026,452"
"Apr 23, 2020",0.006586,0.006861,0.006468,0.006752,"2,721,760","30,839,397"
"Apr 22, 2020",0.006440,0.006682,0.006390,0.006573,"1,350,812","30,021,423"
"Apr 21, 2020",0.006441,0.006509,0.006312,0.006437,"1,833,588","29,397,015"
"Apr 20, 2020",0.006754,0.006826,0.006404,0.006440,"1,932,216","29,413,699"
"Apr 19, 2020",0.006889,0.006929,0.006734,0.006755,"1,806,317","30,850,530"
"Apr 18, 2020",0.006766,0.006932,0.006633,0.006892,"4,031,960","31,474,815"
"Apr 17, 2020",0.006788,0.008068,0.006754,0.006766,"29,468,802","30,902,114"
"Apr 16, 2020",0.006205,0.006879,0.006145,0.006803,"2,778,006","31,069,474"
"Apr 15, 2020",0.006503,0.006621,0.006174,0.006243,"1,554,907","28,513,465"
"Apr 14, 2020",0.006675,0.006897,0.006460,0.006499,"2,188,244","29,683,201"
"Apr 13, 2020",0.006431,0.006940,0.006165,0.006675,"1,930,473","30,485,804"
"Apr 12, 2020",0.006229,0.006704,0.006168,0.006428,"1,215,245","29,358,713"
"Apr 11, 2020",0.006425,0.006581,0.006127,0.006231,"737,026","28,456,384"
"Apr 10, 2020",0.007069,0.007097,0.006159,0.006425,"2,067,497","29,344,557"
"Apr 09, 2020",0.006905,0.007203,0.006802,0.007046,"2,099,221","32,178,935"
"Apr 08, 2020",0.006885,0.007140,0.006795,0.007021,"1,590,926","32,067,177"
"Apr 07, 2020",0.006891,0.007269,0.006796,0.006888,"2,082,135","31,457,715"
"Apr 06, 2020",0.006661,0.007161,0.006524,0.006890,"2,902,727","31,468,160"
"Apr 05, 2020",0.006997,0.007091,0.006541,0.006655,"1,736,643","30,394,794"
"Apr 04, 2020",0.006863,0.007377,0.006641,0.006989,"1,867,255","31,921,976"
"Apr 03, 2020",0.006511,0.007796,0.006438,0.006854,"9,247,736","31,305,344"
"Apr 02, 2020",0.006525,0.006844,0.006422,0.006497,"1,593,019","29,673,240"
"Apr 01, 2020",0.006387,0.006520,0.006207,0.006513,"1,451,377","29,745,367"
"Mar 31, 2020",0.006378,0.006517,0.006297,0.006387,"1,452,165","29,171,864"
"Mar 30, 2020",0.005993,0.006766,0.005933,0.006394,"2,854,633","29,202,657"
"Mar 29, 2020",0.006346,0.006401,0.005918,0.006124,"1,094,108","27,970,450"
"Mar 28, 2020",0.006490,0.006526,0.006062,0.006345,"1,315,858","28,977,658"
"Mar 27, 2020",0.006699,0.007183,0.006517,0.006527,"2,947,380","29,811,974"
"Mar 26, 2020",0.006193,0.006754,0.006168,0.006698,"1,253,548","30,590,378"
"Mar 25, 2020",0.006162,0.006366,0.006040,0.006193,"575,334","28,284,498"
"Mar 24, 2020",0.006040,0.006368,0.005983,0.006163,"767,674","28,146,331"
"Mar 23, 2020",0.005495,0.006041,0.005347,0.006034,"949,544","27,558,279"
"Mar 22, 2020",0.006006,0.006099,0.005479,0.005495,"1,709,443","25,095,685"
"Mar 21, 2020",0.006007,0.006193,0.005731,0.005966,"1,848,401","27,246,836"
"Mar 20, 2020",0.006306,0.006940,0.005596,0.006007,"2,190,279","27,434,124"
"Mar 19, 2020",0.005198,0.006452,0.005178,0.006311,"3,569,881","28,823,352"
"Mar 18, 2020",0.005492,0.005661,0.005141,0.005198,"2,328,735","23,738,614"
"Mar 17, 2020",0.005149,0.005780,0.005132,0.005484,"1,369,935","25,045,985"
"Mar 16, 2020",0.005812,0.005812,0.004854,0.005151,"1,831,488","23,523,232"
"Mar 15, 2020",0.005669,0.006163,0.005528,0.005813,"1,364,308","26,548,752"
"Mar 14, 2020",0.006183,0.006585,0.005492,0.005669,"1,585,012","25,889,712"
"Mar 13, 2020",0.005315,0.006931,0.004194,0.006134,"4,306,309","28,016,065"
"Mar 12, 2020",0.010930,0.011004,0.005303,0.005421,"16,378,312","24,756,770"
"Mar 11, 2020",0.010634,0.011230,0.010008,0.010929,"10,910,200","49,916,098"
"Mar 10, 2020",0.010351,0.010844,0.010236,0.010627,"7,487,471","48,534,095"
"Mar 09, 2020",0.010589,0.010813,0.009850,0.010345,"8,783,251","47,248,687"
"Mar 08, 2020",0.012427,0.012434,0.010559,0.010595,"8,962,119","48,388,793"
