Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",155.00,155.44,148.06,153.71,"108,727,844","393,682,137"
"Sep 15, 2020",166.38,169.85,152.68,155.09,"102,003,182","397,240,975"
"Sep 14, 2020",164.56,171.41,160.36,166.38,"121,566,393","426,154,061"
"Sep 13, 2020",180.38,184.92,162.52,164.57,"144,302,836","421,498,137"
"Sep 12, 2020",173.80,180.79,170.38,180.20,"120,660,820","461,537,453"
"Sep 11, 2020",172.00,178.63,162.95,173.30,"135,459,649","443,879,997"
"Sep 10, 2020",178.37,188.47,170.86,172.02,"98,291,441","440,590,811"
"Sep 09, 2020",173.94,184.88,167.67,178.25,"101,248,013","456,547,991"
"Sep 08, 2020",178.61,183.60,168.28,173.95,"109,948,794","445,523,988"
"Sep 07, 2020",172.33,179.38,155.29,178.96,"145,409,877","458,375,803"
"Sep 06, 2020",158.21,177.82,146.55,172.10,"125,303,750","440,799,394"
"Sep 05, 2020",188.23,197.14,152.00,158.16,"140,308,095","405,083,760"
"Sep 04, 2020",189.30,201.32,181.85,188.38,"158,792,245","482,499,211"
"Sep 03, 2020",226.56,242.93,185.30,187.74,"211,693,686","480,848,352"
"Sep 02, 2020",257.67,257.67,205.95,225.45,"182,349,805","577,430,491"
"Sep 01, 2020",245.89,270.80,237.44,257.91,"258,544,816","660,579,686"
"Aug 31, 2020",216.57,249.43,209.82,245.92,"158,099,923","629,867,028"
"Aug 30, 2020",194.36,224.23,193.19,217.01,"137,297,824","555,834,639"
"Aug 29, 2020",189.37,200.06,185.94,194.85,"83,110,709","499,073,987"
"Aug 28, 2020",171.46,202.38,169.94,189.29,"119,502,143","484,812,017"
"Aug 27, 2020",179.99,180.53,166.27,171.43,"85,097,296","439,085,372"
"Aug 26, 2020",165.99,185.87,162.67,180.28,"119,415,738","461,759,182"
"Aug 25, 2020",181.21,187.97,162.94,165.92,"107,931,562","424,966,488"
"Aug 24, 2020",169.34,188.19,167.06,181.57,"84,430,415","465,060,721"
"Aug 23, 2020",174.02,175.47,165.01,169.36,"57,786,997","433,778,138"
"Aug 22, 2020",170.15,175.22,161.43,174.30,"67,046,442","446,422,904"
"Aug 21, 2020",180.00,189.87,163.82,170.16,"105,665,214","435,828,628"
"Aug 20, 2020",182.64,186.53,178.11,179.95,"73,881,091","460,906,365"
"Aug 19, 2020",187.01,210.47,178.72,182.64,"162,418,437","467,780,310"
"Aug 18, 2020",185.10,189.96,175.10,186.65,"103,479,152","478,073,427"
"Aug 17, 2020",201.12,202.43,183.97,185.05,"105,614,393","473,970,394"
"Aug 16, 2020",196.69,206.62,192.79,201.12,"82,380,601","515,113,840"
"Aug 15, 2020",196.44,211.18,187.82,196.68,"115,715,312","503,749,771"
"Aug 14, 2020",207.60,217.74,192.92,196.44,"134,991,189","503,144,953"
"Aug 13, 2020",219.88,233.85,186.89,207.18,"296,332,378","530,651,262"
"Aug 12, 2020",196.13,264.59,192.97,219.68,"463,051,304","562,668,349"
"Aug 11, 2020",176.76,197.91,155.47,196.03,"144,570,805","502,094,357"
"Aug 10, 2020",171.24,186.48,170.25,176.84,"85,912,985","452,928,574"
"Aug 09, 2020",152.66,175.13,149.17,171.24,"80,105,526","438,599,331"
"Aug 08, 2020",154.73,160.00,148.55,152.38,"62,244,587","390,279,911"
"Aug 07, 2020",136.79,156.34,136.65,154.63,"86,044,115","396,039,844"
"Aug 06, 2020",135.36,142.29,133.21,136.80,"44,097,491","350,374,929"
"Aug 05, 2020",131.93,141.22,129.39,135.51,"50,026,541","347,083,151"
"Aug 04, 2020",127.29,133.04,126.86,131.96,"27,843,341","337,988,935"
"Aug 03, 2020",127.07,131.82,125.53,127.24,"28,230,756","325,887,372"
"Aug 02, 2020",137.55,138.36,121.65,127.14,"55,605,504","325,638,377"
"Aug 01, 2020",134.86,143.21,134.58,137.35,"52,198,170","351,792,456"
"Jul 31, 2020",133.19,139.14,129.62,134.59,"45,078,746","344,725,386"
"Jul 30, 2020",133.49,134.62,131.85,133.19,"27,981,225","341,124,003"
"Jul 29, 2020",136.25,138.96,131.87,133.51,"26,454,264","341,946,263"
"Jul 28, 2020",136.19,139.98,130.74,136.14,"40,352,678","348,686,041"
"Jul 27, 2020",157.28,157.89,125.17,136.36,"68,435,527","349,260,522"
"Jul 26, 2020",155.49,162.51,154.46,157.28,"44,366,553","402,850,589"
"Jul 25, 2020",154.65,157.06,154.00,155.57,"28,977,418","398,452,271"
"Jul 24, 2020",156.43,157.78,154.36,154.64,"26,708,951","396,075,517"
"Jul 23, 2020",158.04,161.95,155.99,156.93,"34,201,875","401,951,841"
"Jul 22, 2020",159.49,159.56,154.17,158.05,"31,963,640","404,812,996"
"Jul 21, 2020",158.33,161.54,157.56,159.47,"28,531,718","408,459,335"
"Jul 20, 2020",163.04,173.10,156.83,158.39,"52,375,367","405,677,156"
"Jul 19, 2020",163.59,164.26,159.85,162.87,"23,593,828","417,160,252"
"Jul 18, 2020",167.22,167.83,161.23,163.57,"31,776,769","418,946,471"
"Jul 17, 2020",154.92,175.99,154.42,167.38,"51,044,838","428,699,020"
"Jul 16, 2020",160.49,162.87,153.12,155.00,"30,070,432","396,998,179"
"Jul 15, 2020",163.86,167.17,160.00,160.45,"23,272,285","410,949,264"
"Jul 14, 2020",166.23,166.67,160.56,163.78,"39,831,101","419,490,605"
"Jul 13, 2020",175.92,178.10,160.90,165.68,"58,682,876","424,361,991"
"Jul 12, 2020",178.26,183.06,175.06,175.92,"59,251,349","450,577,922"
"Jul 11, 2020",175.48,184.18,174.00,178.01,"61,817,291","455,930,438"
"Jul 10, 2020",180.69,180.85,173.04,175.50,"61,531,023","449,515,676"
"Jul 09, 2020",184.46,187.99,177.12,180.54,"66,264,297","462,407,812"
"Jul 08, 2020",186.15,187.87,181.64,184.58,"74,382,380","472,771,134"
"Jul 07, 2020",194.92,194.92,185.18,186.15,"154,696,110","476,785,248"
"Jul 06, 2020",206.84,206.84,190.56,194.81,"54,385,801","498,972,438"
"Jul 05, 2020",180.34,214.16,177.99,207.32,"160,800,981","531,013,657"
"Jul 04, 2020",176.95,190.88,164.21,180.42,"35,742,627","462,101,930"
"Jul 03, 2020",177.32,182.24,176.04,177.03,"121,075,952","453,435,857"
"Jul 02, 2020",196.02,197.70,176.23,177.27,"231,016,434","454,043,372"
