Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",1.42,1.46,1.21,1.29,"84,947,488","66,277,609"
"Sep 15, 2020",1.85,1.89,1.38,1.43,"90,438,593","72,674,530"
"Sep 14, 2020",1.91,1.98,1.81,1.85,"81,062,991","88,328,079"
"Sep 13, 2020",2.09,2.14,1.78,1.91,"113,746,561","89,362,992"
"Sep 12, 2020",1.91,2.14,1.84,2.09,"137,119,595","95,509,397"
"Sep 11, 2020",1.97,2.00,1.72,1.90,"99,091,729","85,464,164"
"Sep 10, 2020",1.97,2.19,1.95,1.97,"108,040,224","83,138,351"
"Sep 09, 2020",1.86,2.13,1.79,1.97,"89,273,085","81,428,511"
"Sep 08, 2020",2.09,2.10,1.78,1.86,"90,597,335","74,834,951"
"Sep 07, 2020",2.17,2.29,1.74,2.10,"95,500,553","77,892,696"
"Sep 06, 2020",1.92,2.32,1.59,2.17,"143,492,818","78,938,845"
"Sep 05, 2020",2.89,3.07,1.70,1.93,"84,577,608","67,664,610"
"Sep 04, 2020",3.00,3.27,2.79,2.90,"98,147,017","99,141,361"
"Sep 03, 2020",4.33,4.36,2.84,3.01,"147,134,538","93,342,534"
"Sep 02, 2020",5.35,5.35,3.91,4.32,"199,311,259","128,936,041"
"Sep 01, 2020",4.41,5.63,4.16,5.35,"386,102,933","155,341,166"
"Aug 31, 2020",3.56,4.41,3.45,4.41,"119,470,585","114,110,202"
"Aug 30, 2020",3.13,3.74,3.11,3.57,"98,667,653","88,122,798"
"Aug 29, 2020",3.54,3.54,3.12,3.13,"61,128,438","74,453,130"
"Aug 28, 2020",3.37,3.90,3.36,3.53,"74,824,965","80,222,692"
"Aug 27, 2020",3.57,4.32,3.25,3.38,"155,477,672","66,735,606"
"Aug 26, 2020",2.88,4.10,2.82,3.59,"151,446,812","69,264,704"
"Aug 25, 2020",2.90,3.27,2.71,2.89,"74,617,385","50,802,377"
"Aug 24, 2020",2.71,3.04,2.64,2.90,"58,683,085","48,527,842"
"Aug 23, 2020",3.06,3.06,2.63,2.69,"30,411,528","26,516,397"
"Aug 22, 2020",3.25,3.28,2.79,3.06,"36,545,400","30,164,428"
"Aug 21, 2020",3.90,4.05,3.24,3.25,"49,691,038","31,983,678"
"Aug 20, 2020",3.94,4.65,3.85,3.90,"58,831,109","68,614,682"
"Aug 19, 2020",3.60,4.98,3.36,3.94,"108,867,209","65,161,727"
"Aug 18, 2020",4.40,4.43,3.29,3.60,"76,006,939","1,796,081"
"Aug 17, 2020",5.92,5.92,4.24,4.40,"72,752,377","2,193,043"
"Aug 16, 2020",6.95,7.39,5.86,5.92,"66,221,067","2,947,789"
"Aug 15, 2020",11.54,15.40,5.91,6.94,"140,369,869","3,456,593"
"Aug 14, 2020",12.91,60.50,10.25,11.61,"17,450,052","5,785,308"
