Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.108307,0.116172,0.105399,0.110265,"3,723,337","116,924,993"
"Sep 15, 2020",0.104763,0.112534,0.103374,0.108641,"4,400,514","115,203,223"
"Sep 14, 2020",0.105353,0.106676,0.104477,0.104994,"4,069,531","111,335,864"
"Sep 13, 2020",0.105789,0.106955,0.104951,0.105330,"3,320,380","111,692,172"
"Sep 12, 2020",0.106235,0.108708,0.105406,0.105807,"3,515,196","112,197,987"
"Sep 11, 2020",0.109138,0.109812,0.102416,0.106130,"4,245,991","112,540,536"
"Sep 10, 2020",0.113036,0.114005,0.108186,0.108965,"4,013,941","115,547,395"
"Sep 09, 2020",0.113647,0.117289,0.110901,0.113011,"2,638,831","119,837,573"
"Sep 08, 2020",0.116765,0.117380,0.105600,0.113664,"3,442,260","120,529,517"
"Sep 07, 2020",0.116092,0.117816,0.114814,0.116788,"4,038,299","123,842,694"
"Sep 06, 2020",0.115938,0.118137,0.114965,0.116062,"4,025,891","123,072,254"
"Sep 05, 2020",0.113853,0.124737,0.112883,0.115938,"4,468,944","122,941,045"
"Sep 04, 2020",0.108832,0.115418,0.105810,0.114477,"2,385,806","121,392,414"
"Sep 03, 2020",0.118616,0.120185,0.101493,0.108962,"4,628,766","115,544,014"
"Sep 02, 2020",0.120365,0.123604,0.114788,0.118700,"3,622,919","125,869,808"
"Sep 01, 2020",0.121825,0.123081,0.098822,0.120420,"2,866,850","127,693,808"
"Aug 31, 2020",0.081427,0.140064,0.081127,0.121846,"4,964,058","129,205,907"
"Aug 30, 2020",0.071993,0.081764,0.071477,0.081764,"2,616,787","86,703,335"
"Aug 29, 2020",0.067111,0.075459,0.067081,0.071957,"2,738,652","76,303,272"
"Aug 28, 2020",0.057145,0.068483,0.057068,0.067122,"2,318,311","71,176,684"
"Aug 27, 2020",0.056258,0.058013,0.055875,0.057168,"1,751,789","60,621,332"
"Aug 26, 2020",0.056362,0.056765,0.055553,0.056224,"2,446,181","59,620,640"
"Aug 25, 2020",0.056390,0.057333,0.056140,0.056527,"1,721,379","59,941,078"
"Aug 24, 2020",0.056403,0.056741,0.055294,0.056376,"1,973,266","59,781,154"
"Aug 23, 2020",0.055379,0.058021,0.055206,0.056628,"1,574,065","60,048,434"
"Aug 22, 2020",0.056909,0.057083,0.054979,0.055379,"1,852,408","58,723,790"
"Aug 21, 2020",0.057515,0.058282,0.055970,0.056877,"1,997,934","60,312,700"
"Aug 20, 2020",0.055035,0.058964,0.053996,0.057556,"2,167,691","61,032,926"
"Aug 19, 2020",0.051556,0.055655,0.051430,0.055035,"1,471,164","58,359,681"
"Aug 18, 2020",0.052468,0.053481,0.050201,0.051556,"120,719","54,670,143"
"Aug 17, 2020",0.053324,0.053542,0.051322,0.052451,"112,337","55,619,395"
"Aug 16, 2020",0.053395,0.054132,0.052491,0.053324,"122,935","56,544,742"
"Aug 15, 2020",0.054933,0.055982,0.050664,0.053342,"205,824","56,564,258"
"Aug 14, 2020",0.055719,0.055865,0.053329,0.054947,"143,740","58,266,075"
"Aug 13, 2020",0.052706,0.055892,0.052209,0.055691,"123,143","59,054,960"
"Aug 12, 2020",0.053600,0.055859,0.051761,0.052731,"120,761","55,916,474"
"Aug 11, 2020",0.056524,0.057128,0.050084,0.053629,"357,803","56,868,085"
"Aug 10, 2020",0.057908,0.059100,0.054488,0.056545,"410,358","59,960,212"
"Aug 09, 2020",0.058450,0.062167,0.050995,0.057924,"968,848","61,423,211"
"Aug 08, 2020",0.051160,0.059408,0.049981,0.058473,"449,133","62,005,085"
"Aug 07, 2020",0.049075,0.053200,0.048551,0.051158,"468,782","54,247,984"
"Aug 06, 2020",0.046043,0.051172,0.043692,0.049086,"706,165","52,050,708"
"Aug 05, 2020",0.038983,0.046434,0.038543,0.046045,"915,615","48,826,082"
"Aug 04, 2020",0.037191,0.039138,0.037094,0.038945,"1,430,816","41,297,382"
"Aug 03, 2020",0.036968,0.037514,0.036929,0.037192,"1,442,761","39,439,054"
"Aug 02, 2020",0.036027,0.037431,0.035566,0.037120,"1,370,340","39,362,170"
"Aug 01, 2020",0.036545,0.037324,0.035747,0.035927,"1,341,125","38,096,763"
"Jul 31, 2020",0.037093,0.037195,0.036414,0.036545,"1,536,941","38,752,128"
"Jul 30, 2020",0.037104,0.037287,0.036781,0.037042,"1,410,604","39,279,952"
"Jul 29, 2020",0.037176,0.037416,0.036946,0.037077,"1,204,156","39,316,806"
"Jul 28, 2020",0.037321,0.037468,0.037027,0.037149,"1,206,279","39,392,524"
"Jul 27, 2020",0.037491,0.037639,0.037029,0.037332,"906,008","39,586,982"
"Jul 26, 2020",0.037258,0.037963,0.037122,0.037545,"630,355","39,812,359"
"Jul 25, 2020",0.037157,0.037960,0.037096,0.037272,"1,192,094","39,523,023"
"Jul 24, 2020",0.037929,0.038059,0.037094,0.037162,"1,830,874","39,406,271"
"Jul 23, 2020",0.038578,0.039194,0.037723,0.037929,"1,587,195","40,220,417"
"Jul 22, 2020",0.039537,0.039658,0.038423,0.038583,"1,432,716","40,914,081"
"Jul 21, 2020",0.039210,0.039710,0.038740,0.039563,"1,089,119","41,952,402"
"Jul 20, 2020",0.038041,0.039281,0.037180,0.039188,"1,477,052","41,555,277"
"Jul 19, 2020",0.036909,0.038336,0.036830,0.037991,"1,338,227","40,286,159"
"Jul 18, 2020",0.037683,0.037704,0.036846,0.036908,"1,895,608","39,137,122"
"Jul 17, 2020",0.037971,0.038272,0.037080,0.037726,"1,530,577","40,004,789"
"Jul 16, 2020",0.037265,0.038874,0.037110,0.037956,"1,412,405","40,249,063"
"Jul 15, 2020",0.039110,0.039983,0.036631,0.037347,"1,454,916","39,602,995"
"Jul 14, 2020",0.039055,0.039484,0.038771,0.039208,"1,362,207","41,576,076"
"Jul 13, 2020",0.040610,0.040663,0.038108,0.039047,"1,683,282","41,405,777"
"Jul 12, 2020",0.040798,0.040974,0.040068,0.040610,"1,330,010","43,063,378"
"Jul 11, 2020",0.038671,0.041084,0.038115,0.040779,"1,646,896","43,242,118"
"Jul 10, 2020",0.038986,0.039404,0.037890,0.038642,"1,364,217","40,975,713"
"Jul 09, 2020",0.037075,0.047190,0.036978,0.038985,"1,291,229","41,339,901"
"Jul 08, 2020",0.037217,0.038013,0.036200,0.037066,"965,266","39,304,581"
"Jul 07, 2020",0.036828,0.037381,0.035400,0.037116,"1,111,980","39,358,158"
"Jul 06, 2020",0.036795,0.037172,0.035670,0.036851,"1,323,997","39,077,137"
"Jul 05, 2020",0.036970,0.037251,0.036653,0.036795,"1,891,584","39,017,598"
"Jul 04, 2020",0.037505,0.037863,0.036792,0.036953,"1,944,861","39,185,640"
"Jul 03, 2020",0.038201,0.053466,0.037020,0.037532,"1,727,117","39,798,851"
"Jul 02, 2020",0.037770,0.038427,0.037475,0.038250,"1,213,785","40,560,931"
"Jul 01, 2020",0.038621,0.038737,0.037471,0.037757,"1,367,307","40,038,030"
"Jun 30, 2020",0.038047,0.039019,0.037039,0.038629,"1,685,765","40,962,310"
"Jun 29, 2020",0.039511,0.039724,0.038001,0.038613,"1,640,358","40,945,222"
"Jun 28, 2020",0.038237,0.039840,0.037209,0.039511,"1,587,373","41,898,118"
"Jun 27, 2020",0.039690,0.039999,0.037985,0.038237,"1,386,578","40,546,174"
"Jun 26, 2020",0.039209,0.040081,0.039209,0.039689,"1,015,304","42,086,313"
"Jun 25, 2020",0.038196,0.039345,0.038133,0.039137,"1,021,242","41,500,674"
"Jun 24, 2020",0.036691,0.039733,0.036637,0.038218,"1,032,631","40,526,903"
"Jun 23, 2020",0.036750,0.037214,0.036373,0.036701,"1,483,543","38,917,543"
"Jun 22, 2020",0.036936,0.037440,0.036051,0.036705,"1,155,246","38,922,629"
"Jun 21, 2020",0.036693,0.037279,0.036189,0.036992,"1,536,914","39,226,259"
"Jun 20, 2020",0.036250,0.037552,0.035915,0.036710,"1,346,441","38,927,619"
"Jun 19, 2020",0.037115,0.040456,0.034601,0.036250,"3,297,810","38,440,147"
"Jun 18, 2020",0.034124,0.039212,0.030211,0.037096,"1,880,078","39,336,893"
"Jun 17, 2020",0.035225,0.035889,0.033976,0.034124,"2,444,453","36,185,227"
"Jun 16, 2020",0.035286,0.035684,0.035022,0.035244,"2,436,225","37,372,991"
"Jun 15, 2020",0.035217,0.036271,0.034180,0.035454,"2,812,201","37,595,651"
"Jun 14, 2020",0.035400,0.037525,0.034914,0.035217,"2,507,528","37,343,933"
"Jun 13, 2020",0.035893,0.036295,0.034185,0.035388,"2,249,621","37,526,113"
"Jun 12, 2020",0.036042,0.037639,0.035148,0.035882,"1,988,827","38,049,931"
"Jun 11, 2020",0.037942,0.038476,0.035024,0.036025,"2,026,150","38,201,602"
"Jun 10, 2020",0.038428,0.038546,0.037540,0.037942,"1,982,539","40,234,286"
"Jun 09, 2020",0.038438,0.040511,0.037538,0.038384,"2,370,177","40,702,194"
"Jun 08, 2020",0.041635,0.042560,0.037108,0.038390,"2,190,680","40,709,014"
"Jun 07, 2020",0.043677,0.043799,0.041604,0.041632,"2,452,848","44,147,270"
"Jun 06, 2020",0.045427,0.045602,0.042088,0.043677,"2,587,418","46,315,281"
"Jun 05, 2020",0.045208,0.046682,0.045008,0.045427,"2,629,691","48,170,530"
"Jun 04, 2020",0.045732,0.045738,0.044882,0.045208,"2,608,497","47,939,036"
"Jun 03, 2020",0.045899,0.046838,0.044392,0.045733,"3,111,850","48,495,919"
"Jun 02, 2020",0.046741,0.047050,0.044554,0.045899,"2,453,578","48,671,564"
"Jun 01, 2020",0.045582,0.046831,0.044031,0.046761,"2,433,880","49,585,639"
