Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.079413,0.080335,0.076838,0.078806,"5,423,966","115,257,853"
"Sep 15, 2020",0.082243,0.083792,0.079453,0.079561,"6,400,294","116,362,000"
"Sep 14, 2020",0.081775,0.083925,0.079662,0.082324,"9,416,930","120,402,806"
"Sep 13, 2020",0.085036,0.085897,0.078987,0.081794,"10,524,547","119,628,648"
"Sep 12, 2020",0.085089,0.085325,0.082202,0.085036,"9,263,238","124,369,927"
"Sep 11, 2020",0.082078,0.086114,0.080111,0.085089,"13,043,231","124,447,908"
"Sep 10, 2020",0.077409,0.082078,0.076999,0.082078,"9,959,374","120,073,430"
"Sep 09, 2020",0.074422,0.078962,0.072047,0.077438,"10,150,920","113,285,510"
"Sep 08, 2020",0.076866,0.077280,0.071293,0.074365,"12,781,491","108,790,089"
"Sep 07, 2020",0.078524,0.080875,0.070490,0.076879,"25,623,159","112,467,555"
"Sep 06, 2020",0.078609,0.081143,0.073036,0.078271,"37,722,033","114,504,120"
"Sep 05, 2020",0.088227,0.089837,0.072696,0.078609,"56,039,022","114,998,135"
"Sep 04, 2020",0.082707,0.090225,0.081716,0.088212,"52,366,483","129,046,107"
"Sep 03, 2020",0.100560,0.101295,0.082528,0.082960,"51,053,790","121,363,988"
"Sep 02, 2020",0.100694,0.104012,0.091389,0.100446,"60,876,653","146,944,687"
"Sep 01, 2020",0.098704,0.101842,0.096548,0.100905,"67,421,709","145,374,639"
"Aug 31, 2020",0.103745,0.106065,0.097254,0.098721,"68,749,493","142,228,892"
"Aug 30, 2020",0.108932,0.111293,0.101957,0.103426,"84,524,022","149,007,813"
"Aug 29, 2020",0.106755,0.121178,0.101784,0.108436,"125,382,862","156,224,946"
"Aug 28, 2020",0.094072,0.113277,0.091689,0.106741,"118,323,409","153,783,925"
"Aug 27, 2020",0.087086,0.094427,0.086239,0.094114,"85,888,712","135,591,696"
"Aug 26, 2020",0.086014,0.087225,0.083957,0.087110,"44,497,046","125,500,843"
"Aug 25, 2020",0.091913,0.093619,0.082780,0.086192,"44,211,507","124,178,813"
"Aug 24, 2020",0.092136,0.096352,0.090744,0.091928,"31,008,257","132,441,875"
"Aug 23, 2020",0.096723,0.097111,0.089707,0.092136,"28,804,865","132,743,006"
"Aug 22, 2020",0.094296,0.111508,0.087296,0.096749,"65,581,583","139,388,561"
"Aug 21, 2020",0.091288,0.094656,0.085439,0.094227,"30,260,402","135,754,442"
"Aug 20, 2020",0.083155,0.091139,0.081488,0.091139,"19,046,277","131,306,618"
"Aug 19, 2020",0.089982,0.091474,0.081087,0.083199,"21,903,333","119,866,902"
"Aug 18, 2020",0.095577,0.095698,0.087017,0.089982,"26,888,340","129,638,609"
"Aug 17, 2020",0.098609,0.099806,0.094692,0.095587,"30,790,155","137,713,956"
"Aug 16, 2020",0.098622,0.099887,0.094346,0.098609,"28,460,471","142,068,381"
"Aug 15, 2020",0.095312,0.101359,0.094951,0.098468,"32,702,808","141,865,036"
"Aug 14, 2020",0.093369,0.103420,0.091877,0.095280,"37,799,347","137,272,418"
"Aug 13, 2020",0.098695,0.104972,0.092864,0.093403,"48,365,087","134,567,905"
"Aug 12, 2020",0.090568,0.101755,0.085396,0.098807,"70,157,576","142,354,247"
"Aug 11, 2020",0.101101,0.102366,0.085460,0.090220,"65,449,903","129,981,877"
"Aug 10, 2020",0.099839,0.112119,0.093514,0.101101,"112,681,376","145,659,041"
"Aug 09, 2020",0.102550,0.131116,0.099720,0.099924,"188,170,478","143,962,987"
"Aug 08, 2020",0.074810,0.104092,0.073238,0.102823,"114,040,093","148,140,120"
"Aug 07, 2020",0.057741,0.075863,0.057668,0.074425,"59,714,615","107,226,220"
"Aug 06, 2020",0.053450,0.063930,0.051594,0.057703,"37,915,854","83,134,507"
"Aug 05, 2020",0.045426,0.055760,0.045413,0.053517,"25,489,036","77,104,188"
"Aug 04, 2020",0.045778,0.046430,0.044790,0.045439,"10,860,057","65,465,450"
"Aug 03, 2020",0.044300,0.046671,0.044177,0.045779,"16,417,850","65,955,609"
"Aug 02, 2020",0.046485,0.046708,0.042759,0.044308,"16,055,040","63,836,070"
"Aug 01, 2020",0.045716,0.046711,0.044670,0.046438,"15,020,574","66,905,077"
"Jul 31, 2020",0.047180,0.047801,0.044558,0.045716,"15,159,429","65,865,082"
"Jul 30, 2020",0.048502,0.048865,0.045429,0.047181,"17,876,508","67,975,006"
"Jul 29, 2020",0.042510,0.051257,0.042429,0.048605,"38,286,569","70,026,812"
"Jul 28, 2020",0.040883,0.044352,0.040461,0.042520,"23,092,237","61,260,560"
"Jul 27, 2020",0.044046,0.044764,0.038652,0.040948,"24,453,965","58,995,980"
"Jul 26, 2020",0.046303,0.047387,0.042751,0.044330,"18,014,755","63,868,123"
"Jul 25, 2020",0.046095,0.047829,0.045472,0.046257,"17,052,812","66,644,327"
"Jul 24, 2020",0.047903,0.049639,0.046053,0.046077,"16,455,698","66,388,036"
"Jul 23, 2020",0.047040,0.049721,0.045244,0.047909,"21,828,443","69,058,953"
"Jul 22, 2020",0.047154,0.049582,0.045230,0.047017,"24,369,502","67,773,578"
"Jul 21, 2020",0.041362,0.052791,0.041264,0.047156,"62,893,472","67,973,105"
"Jul 20, 2020",0.041866,0.042674,0.040719,0.041363,"14,544,204","59,021,708"
"Jul 19, 2020",0.039442,0.041824,0.039406,0.041817,"12,856,047","59,669,270"
"Jul 18, 2020",0.039148,0.039620,0.038589,0.039445,"8,187,432","56,285,040"
"Jul 17, 2020",0.038993,0.039386,0.038489,0.039168,"8,033,137","55,888,976"
"Jul 16, 2020",0.039545,0.039612,0.037723,0.038991,"9,431,530","55,637,678"
"Jul 15, 2020",0.040167,0.040423,0.039354,0.039547,"11,907,681","55,837,738"
"Jul 14, 2020",0.040904,0.040904,0.039435,0.040175,"10,862,306","56,723,405"
"Jul 13, 2020",0.040584,0.042457,0.040527,0.040967,"14,212,363","57,841,798"
"Jul 12, 2020",0.040597,0.041296,0.040270,0.040584,"11,675,116","57,301,463"
"Jul 11, 2020",0.040510,0.041331,0.039914,0.040595,"10,607,753","57,317,318"
"Jul 10, 2020",0.040308,0.040641,0.038668,0.040503,"12,469,114","57,187,838"
"Jul 09, 2020",0.040890,0.041921,0.039902,0.040439,"13,140,575","57,096,518"
"Jul 08, 2020",0.040060,0.042030,0.040041,0.040890,"10,552,248","57,734,418"
"Jul 07, 2020",0.039016,0.041166,0.038395,0.040036,"11,155,648","56,527,736"
"Jul 06, 2020",0.038242,0.039341,0.037775,0.039060,"11,468,557","55,150,711"
"Jul 05, 2020",0.039116,0.039438,0.037608,0.038242,"11,184,260","53,995,282"
"Jul 04, 2020",0.038133,0.039358,0.038126,0.039132,"10,856,462","55,252,368"
