Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.005055,0.005148,0.005001,0.005113,"766,361","52,108,842"
"Sep 15, 2020",0.005360,0.005424,0.005023,0.005053,"1,133,788","51,493,182"
"Sep 14, 2020",0.005344,0.005578,0.005291,0.005357,"870,506","54,599,046"
"Sep 13, 2020",0.005542,0.005597,0.005231,0.005355,"842,265","54,573,380"
"Sep 12, 2020",0.005308,0.005579,0.005022,0.005542,"842,569","56,481,962"
"Sep 11, 2020",0.005064,0.005348,0.004974,0.005302,"542,823","54,030,862"
"Sep 10, 2020",0.004934,0.005070,0.004870,0.005057,"471,722","51,531,074"
"Sep 09, 2020",0.004802,0.004940,0.004740,0.004927,"339,171","50,207,646"
"Sep 08, 2020",0.004863,0.004891,0.004681,0.004805,"973,185","48,956,998"
"Sep 07, 2020",0.004648,0.004861,0.004503,0.004851,"755,619","49,424,577"
"Sep 06, 2020",0.004488,0.004677,0.004379,0.004649,"596,276","47,367,536"
"Sep 05, 2020",0.004981,0.005014,0.004395,0.004488,"621,994","45,724,892"
"Sep 04, 2020",0.004727,0.005045,0.004614,0.004983,"589,099","50,768,481"
"Sep 03, 2020",0.005015,0.005364,0.004713,0.004723,"662,448","48,121,850"
"Sep 02, 2020",0.005245,0.005263,0.004974,0.005015,"360,546","51,095,973"
"Sep 01, 2020",0.005251,0.005355,0.005220,0.005242,"433,869","53,402,967"
"Aug 31, 2020",0.005423,0.005441,0.005238,0.005254,"383,847","53,520,632"
"Aug 30, 2020",0.005395,0.005481,0.005235,0.005428,"401,656","55,294,238"
"Aug 29, 2020",0.005436,0.005585,0.005360,0.005399,"301,657","54,998,378"
"Aug 28, 2020",0.005222,0.005496,0.005213,0.005435,"345,728","55,367,018"
"Aug 27, 2020",0.005779,0.005789,0.005212,0.005230,"373,479","53,276,224"
"Aug 26, 2020",0.005689,0.005816,0.005644,0.005774,"322,711","58,812,694"
"Aug 25, 2020",0.005991,0.006053,0.005630,0.005689,"386,202","57,947,978"
"Aug 24, 2020",0.005971,0.006068,0.005887,0.005993,"341,980","61,038,612"
"Aug 23, 2020",0.005582,0.006146,0.005566,0.005971,"652,857","60,815,498"
"Aug 22, 2020",0.005624,0.005627,0.005439,0.005587,"260,809","56,906,307"
"Aug 21, 2020",0.005920,0.005958,0.005449,0.005619,"380,038","57,231,001"
"Aug 20, 2020",0.005539,0.005934,0.005410,0.005919,"357,466","60,283,682"
"Aug 19, 2020",0.005792,0.005799,0.005391,0.005539,"411,739","56,411,262"
"Aug 18, 2020",0.006095,0.006206,0.005750,0.005792,"558,550","58,983,354"
"Aug 17, 2020",0.006218,0.006244,0.005934,0.006094,"596,728","62,058,704"
"Aug 16, 2020",0.006422,0.006735,0.006071,0.006218,"622,341","63,315,522"
"Aug 15, 2020",0.005742,0.006435,0.005739,0.006428,"673,068","65,459,225"
"Aug 14, 2020",0.005524,0.006171,0.005258,0.005744,"653,472","58,490,341"
"Aug 13, 2020",0.004961,0.005746,0.004886,0.005526,"610,838","56,263,228"
"Aug 12, 2020",0.004953,0.005128,0.004898,0.004959,"423,815","50,493,029"
"Aug 11, 2020",0.005190,0.005202,0.004794,0.004953,"391,575","50,432,249"
"Aug 10, 2020",0.004994,0.005347,0.004984,0.005194,"424,658","52,885,758"
"Aug 09, 2020",0.005442,0.005449,0.004978,0.004989,"458,553","50,797,049"
"Aug 08, 2020",0.005688,0.005818,0.005282,0.005451,"657,813","55,492,925"
"Aug 07, 2020",0.004873,0.005983,0.004785,0.005693,"943,628","57,959,295"
"Aug 06, 2020",0.005000,0.005071,0.004805,0.004873,"295,152","49,602,501"
"Aug 05, 2020",0.004863,0.005117,0.004838,0.005001,"276,772","50,907,928"
"Aug 04, 2020",0.004925,0.004980,0.004802,0.004866,"291,503","49,532,162"
"Aug 03, 2020",0.004965,0.005145,0.004905,0.004925,"301,114","50,132,266"
"Aug 02, 2020",0.005210,0.005210,0.004866,0.004964,"340,294","50,525,510"
"Aug 01, 2020",0.005088,0.005303,0.005058,0.005210,"357,606","53,030,855"
"Jul 31, 2020",0.005356,0.005393,0.005035,0.005088,"313,877","51,790,620"
"Jul 30, 2020",0.005109,0.005421,0.005015,0.005356,"524,043","54,518,501"
"Jul 29, 2020",0.005336,0.005394,0.005091,0.005105,"291,273","51,953,026"
"Jul 28, 2020",0.005369,0.005458,0.005134,0.005331,"355,088","54,251,393"
"Jul 27, 2020",0.005746,0.005839,0.005304,0.005395,"556,872","54,901,938"
"Jul 26, 2020",0.005560,0.005816,0.005548,0.005746,"323,970","58,476,344"
"Jul 25, 2020",0.005616,0.005808,0.005474,0.005558,"370,954","56,559,446"
"Jul 24, 2020",0.005827,0.005864,0.005604,0.005604,"334,984","57,027,600"
"Jul 23, 2020",0.005990,0.006033,0.005820,0.005830,"362,838","59,329,007"
"Jul 22, 2020",0.006257,0.006257,0.005889,0.005989,"338,480","60,946,104"
"Jul 21, 2020",0.006085,0.006310,0.005941,0.006255,"489,511","63,644,304"
"Jul 20, 2020",0.006048,0.006523,0.005925,0.006086,"570,822","61,913,549"
"Jul 19, 2020",0.005622,0.006194,0.005599,0.006042,"371,685","61,464,535"
"Jul 18, 2020",0.005625,0.005728,0.005578,0.005621,"267,995","57,177,897"
"Jul 17, 2020",0.005560,0.005728,0.005517,0.005622,"301,787","57,176,465"
"Jul 16, 2020",0.005815,0.005869,0.005510,0.005560,"312,409","56,542,207"
"Jul 15, 2020",0.005652,0.005841,0.005539,0.005816,"294,534","59,139,901"
"Jul 14, 2020",0.005562,0.005674,0.005386,0.005651,"287,137","57,457,830"
"Jul 13, 2020",0.005451,0.005635,0.005377,0.005583,"411,663","56,758,090"
"Jul 12, 2020",0.005553,0.005573,0.005388,0.005451,"321,077","55,408,009"
"Jul 11, 2020",0.005538,0.005744,0.005072,0.005554,"276,830","56,444,213"
"Jul 10, 2020",0.005508,0.005761,0.005418,0.005503,"390,717","55,919,747"
"Jul 09, 2020",0.005616,0.005708,0.005482,0.005508,"333,932","55,969,416"
"Jul 08, 2020",0.005939,0.006010,0.005574,0.005616,"552,417","57,064,703"
"Jul 07, 2020",0.005916,0.006011,0.005794,0.005944,"344,989","60,385,175"
"Jul 06, 2020",0.005673,0.005936,0.005672,0.005915,"337,291","60,085,164"
"Jul 05, 2020",0.005819,0.005905,0.005656,0.005673,"879,130","57,622,233"
"Jul 04, 2020",0.005935,0.005962,0.005693,0.005828,"769,927","59,190,659"
"Jul 03, 2020",0.006083,0.006107,0.005776,0.005935,"835,285","60,268,249"
"Jul 02, 2020",0.006217,0.006416,0.006048,0.006084,"904,038","61,775,724"
"Jul 01, 2020",0.006305,0.006629,0.006211,0.006216,"1,094,017","63,103,407"
"Jun 30, 2020",0.005654,0.006487,0.005603,0.006305,"987,609","64,004,584"
"Jun 29, 2020",0.005231,0.005746,0.005231,0.005656,"1,015,661","57,406,110"
