Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",13.07,13.08,11.89,12.62,"5,846,680","173,048,012"
"Sep 15, 2020",13.99,14.91,12.89,13.05,"10,796,552","178,964,630"
"Sep 14, 2020",13.30,14.44,12.81,13.99,"10,072,079","191,837,723"
"Sep 13, 2020",13.92,14.00,13.02,13.30,"4,359,422","182,401,074"
"Sep 12, 2020",14.30,14.50,13.69,13.91,"4,017,358","190,696,105"
"Sep 11, 2020",13.97,14.46,13.62,14.30,"5,079,868","196,051,764"
"Sep 10, 2020",15.14,15.64,13.91,13.98,"9,007,005","191,606,517"
"Sep 09, 2020",13.88,15.41,13.84,15.12,"11,363,483","207,242,204"
"Sep 08, 2020",13.22,15.52,13.22,13.88,"18,565,986","190,291,833"
"Sep 07, 2020",13.39,13.55,12.04,13.22,"12,113,978","181,261,489"
"Sep 06, 2020",12.37,14.39,11.87,13.39,"11,250,929","183,557,768"
"Sep 05, 2020",17.67,17.72,10.54,12.36,"14,702,761","169,506,957"
"Sep 04, 2020",17.20,20.43,16.96,17.66,"17,523,619","242,173,628"
