Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",1.53,1.57,1.49,1.50,"975,017","49,735,320"
"Sep 15, 2020",1.53,1.56,1.45,1.53,"1,037,740","50,469,290"
"Sep 14, 2020",1.49,1.55,1.46,1.53,"1,031,872","50,389,898"
"Sep 13, 2020",1.45,1.52,1.43,1.49,"873,152","49,229,554"
"Sep 12, 2020",1.49,1.54,1.43,1.45,"1,087,115","48,000,510"
"Sep 11, 2020",1.46,1.51,1.43,1.49,"883,609","49,045,020"
"Sep 10, 2020",1.43,1.49,1.42,1.46,"959,767","48,245,863"
"Sep 09, 2020",1.48,1.53,1.42,1.43,"968,887","47,083,923"
"Sep 08, 2020",1.47,1.52,1.41,1.48,"889,424","48,277,422"
"Sep 07, 2020",1.54,1.55,1.43,1.47,"995,321","48,035,514"
"Sep 06, 2020",1.48,1.56,1.45,1.54,"905,936","50,284,443"
"Sep 05, 2020",1.48,1.54,1.41,1.48,"907,480","48,248,700"
"Sep 04, 2020",1.44,1.55,1.44,1.48,"898,575","48,441,511"
"Sep 03, 2020",1.61,1.67,1.44,1.44,"979,514","47,138,389"
"Sep 02, 2020",1.75,1.76,1.60,1.61,"1,099,908","52,606,932"
"Sep 01, 2020",1.65,1.78,1.64,1.76,"1,248,077","55,729,947"
"Aug 31, 2020",1.63,1.70,1.61,1.65,"1,030,303","52,439,244"
"Aug 30, 2020",1.61,1.69,1.58,1.63,"1,196,088","51,649,763"
"Aug 29, 2020",1.67,1.69,1.57,1.61,"932,796","50,824,590"
"Aug 28, 2020",1.62,1.71,1.58,1.67,"993,372","52,733,542"
"Aug 27, 2020",1.66,1.70,1.57,1.62,"912,921","51,226,479"
"Aug 26, 2020",1.65,1.69,1.62,1.66,"1,137,777","52,394,231"
"Aug 25, 2020",1.81,1.81,1.63,1.65,"1,030,431","52,050,731"
"Aug 24, 2020",1.71,1.81,1.66,1.81,"1,155,337","56,942,022"
"Aug 23, 2020",1.70,1.79,1.68,1.71,"1,081,525","53,660,360"
"Aug 22, 2020",1.72,1.74,1.64,1.70,"1,097,277","53,503,007"
"Aug 21, 2020",1.77,1.82,1.69,1.72,"1,188,094","54,022,796"
"Aug 20, 2020",1.75,1.89,1.73,1.77,"1,454,821","55,652,696"
"Aug 19, 2020",1.74,1.81,1.69,1.75,"1,120,332","54,747,434"
"Aug 18, 2020",1.87,1.92,1.74,1.74,"1,111,894","54,652,659"
"Aug 17, 2020",1.97,1.97,1.80,1.87,"1,566,377","58,713,955"
"Aug 16, 2020",1.94,2.00,1.91,1.97,"1,551,986","61,343,533"
"Aug 15, 2020",1.98,2.07,1.86,1.94,"2,063,403","60,774,279"
"Aug 14, 2020",2.09,2.10,1.93,1.98,"1,879,507","61,870,545"
"Aug 13, 2020",2.04,2.16,1.94,2.09,"1,329,552","66,469,444"
"Aug 12, 2020",2.08,2.32,2.04,2.04,"1,626,258","64,756,003"
"Aug 11, 2020",2.51,2.51,2.00,2.08,"1,721,390","66,054,650"
"Aug 10, 2020",2.54,2.60,2.26,2.51,"2,435,993","79,539,388"
"Aug 09, 2020",1.95,2.56,1.89,2.54,"3,203,378","80,428,497"
"Aug 08, 2020",2.06,2.09,1.93,1.95,"1,194,681","61,789,040"
"Aug 07, 2020",2.07,2.21,2.01,2.06,"2,068,261","65,275,509"
"Aug 06, 2020",2.11,2.13,2.03,2.06,"1,796,802","65,389,288"
"Aug 05, 2020",2.08,2.15,2.04,2.11,"1,508,888","66,699,829"
"Aug 04, 2020",2.09,2.16,2.00,2.08,"2,222,757","65,731,961"
"Aug 03, 2020",2.04,2.18,2.03,2.09,"2,061,419","66,039,885"
"Aug 02, 2020",2.11,2.13,1.96,2.04,"1,490,611","64,551,603"
"Aug 01, 2020",2.19,2.24,2.09,2.11,"1,318,737","66,463,368"
"Jul 31, 2020",2.15,2.42,2.09,2.19,"2,954,804","69,134,585"
"Jul 30, 2020",2.14,2.17,2.05,2.15,"1,648,282","67,952,298"
"Jul 29, 2020",2.15,2.19,2.06,2.14,"1,535,738","67,126,517"
"Jul 28, 2020",2.13,2.23,2.03,2.15,"1,771,435","67,446,971"
"Jul 27, 2020",2.15,2.25,2.01,2.13,"1,674,345","66,713,164"
"Jul 26, 2020",1.93,2.25,1.93,2.15,"1,515,209","67,368,767"
"Jul 25, 2020",1.87,2.01,1.87,1.93,"1,305,250","60,287,738"
"Jul 24, 2020",1.94,1.96,1.87,1.87,"1,247,367","58,305,804"
"Jul 23, 2020",1.95,1.99,1.92,1.94,"1,400,759","60,609,962"
"Jul 22, 2020",1.92,1.95,1.87,1.95,"1,369,469","60,710,193"
"Jul 21, 2020",1.86,1.93,1.84,1.92,"1,092,762","59,806,968"
"Jul 20, 2020",1.93,1.95,1.83,1.86,"1,373,036","57,897,812"
"Jul 19, 2020",1.88,1.96,1.81,1.92,"1,288,648","59,920,108"
"Jul 18, 2020",2.02,2.04,1.86,1.87,"1,120,698","58,351,153"
"Jul 17, 2020",2.07,2.09,1.94,2.04,"1,192,805","63,536,353"
"Jul 16, 2020",1.89,2.23,1.82,2.06,"1,367,368","64,100,899"
"Jul 15, 2020",1.92,1.94,1.85,1.89,"1,288,666","58,353,903"
"Jul 14, 2020",1.93,1.94,1.85,1.92,"1,113,001","59,175,794"
"Jul 13, 2020",1.89,1.94,1.86,1.93,"1,166,304","59,431,722"
"Jul 12, 2020",1.94,1.96,1.86,1.89,"1,187,299","58,263,321"
"Jul 11, 2020",1.94,1.97,1.89,1.94,"1,109,369","59,804,487"
"Jul 10, 2020",1.99,2.01,1.88,1.94,"1,328,653","59,817,994"
"Jul 09, 2020",2.02,2.03,1.92,1.99,"1,130,914","61,162,587"
"Jul 08, 2020",2.00,2.04,1.92,2.02,"1,295,296","62,101,923"
"Jul 07, 2020",1.97,2.02,1.90,2.00,"1,283,442","61,493,176"
"Jul 06, 2020",1.97,2.05,1.90,1.97,"1,302,349","60,630,905"
"Jul 05, 2020",1.98,2.00,1.91,1.97,"850,800","60,508,745"
"Jul 04, 2020",2.04,2.08,1.93,1.98,"1,185,390","60,649,841"
"Jul 03, 2020",1.98,2.38,1.90,2.04,"1,176,678","62,547,307"
"Jul 02, 2020",1.99,2.09,1.96,1.98,"1,117,058","60,768,275"
"Jul 01, 2020",1.99,2.07,1.96,1.99,"1,201,702","60,830,118"
"Jun 30, 2020",2.08,2.09,1.96,1.99,"1,061,991","60,874,256"
"Jun 29, 2020",2.07,2.12,1.96,2.08,"1,307,749","63,180,455"
"Jun 28, 2020",2.06,2.13,1.98,2.07,"1,328,321","62,913,185"
"Jun 27, 2020",2.11,2.15,1.94,2.06,"1,130,762","62,586,663"
"Jun 26, 2020",2.16,2.22,2.05,2.11,"1,125,818","64,183,320"
"Jun 25, 2020",2.15,2.32,2.08,2.16,"1,583,392","65,315,460"
"Jun 24, 2020",2.31,2.32,2.14,2.15,"1,221,580","63,994,296"
"Jun 23, 2020",2.29,2.37,2.27,2.31,"1,192,779","69,741,853"
"Jun 22, 2020",2.16,2.29,2.14,2.29,"1,299,466","68,699,753"
"Jun 21, 2020",2.22,2.32,2.13,2.16,"1,246,271","64,960,497"
"Jun 20, 2020",2.15,2.25,2.15,2.22,"1,088,697","66,744,778"
"Jun 19, 2020",2.31,2.37,2.14,2.15,"1,205,574","64,483,709"
"Jun 18, 2020",2.32,2.39,2.23,2.30,"1,540,230","69,006,098"
