Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",9.89,10.06,9.27,9.61,"1,029,317","288,938,306"
"Sep 15, 2020",10.37,10.65,9.34,9.89,"1,253,693","297,208,290"
"Sep 14, 2020",10.40,10.77,9.74,10.37,"1,028,169","311,606,714"
"Sep 13, 2020",10.54,10.96,9.61,10.39,"1,030,790","312,495,903"
"Sep 12, 2020",10.54,11.47,9.41,10.52,"2,400,970","316,393,446"
"Sep 11, 2020",10.80,11.34,9.97,10.53,"2,641,413","316,495,979"
"Sep 10, 2020",10.22,11.00,10.09,10.80,"2,943,589","324,523,597"
"Sep 09, 2020",9.03,10.25,8.81,10.22,"1,577,910","307,302,929"
"Sep 08, 2020",9.54,9.75,8.68,9.03,"1,231,426","271,388,344"
"Sep 07, 2020",9.74,9.96,8.63,9.49,"1,205,382","285,435,542"
"Sep 06, 2020",9.06,9.94,8.63,9.76,"1,051,500","293,360,775"
"Sep 05, 2020",10.29,10.44,8.29,9.01,"1,645,979","270,788,332"
"Sep 04, 2020",10.09,10.91,9.85,10.28,"1,740,993","309,021,663"
"Sep 03, 2020",11.80,12.23,10.00,10.00,"2,776,568","300,633,870"
"Sep 02, 2020",11.64,12.06,10.52,11.84,"2,894,011","355,818,934"
"Sep 01, 2020",11.99,12.21,11.59,11.64,"1,649,632","350,020,820"
"Aug 31, 2020",12.18,12.23,11.60,11.99,"1,952,866","360,445,654"
"Aug 30, 2020",12.25,12.56,12.06,12.18,"1,021,210","366,207,370"
"Aug 29, 2020",12.31,12.66,12.17,12.26,"2,089,250","368,583,988"
"Aug 28, 2020",11.39,13.20,11.35,12.23,"2,517,617","367,763,374"
"Aug 27, 2020",11.85,12.07,11.20,11.39,"1,537,058","342,551,461"
"Aug 26, 2020",12.28,12.39,11.63,11.86,"2,573,479","356,392,128"
"Aug 25, 2020",12.66,12.77,11.82,12.29,"2,917,288","369,474,212"
"Aug 24, 2020",12.64,13.03,12.40,12.70,"1,607,480","381,879,549"
"Aug 23, 2020",13.01,13.01,12.37,12.63,"1,210,188","379,577,092"
"Aug 22, 2020",12.25,13.02,11.89,13.01,"2,395,780","391,228,774"
"Aug 21, 2020",12.97,13.28,11.79,12.25,"2,086,892","368,408,016"
"Aug 20, 2020",12.29,13.70,11.88,12.98,"4,523,473","390,157,501"
"Aug 19, 2020",12.63,12.83,11.64,12.29,"2,428,115","369,549,990"
