Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.011443,0.015319,0.010021,0.012685,"1,178,126","256,508,918"
"Sep 15, 2020",0.011658,0.016740,0.010343,0.011445,"1,163,330","231,430,677"
"Sep 14, 2020",0.012693,0.019614,0.011098,0.011658,"1,251,715","338,093,539"
"Sep 13, 2020",0.011703,0.014747,0.010086,0.012683,"1,211,619","367,820,396"
"Sep 12, 2020",0.010120,0.017357,0.009305,0.011703,"665,108","339,380,515"
"Sep 11, 2020",0.010051,0.010503,0.009329,0.010130,"492,183","293,781,574"
"Sep 10, 2020",0.009742,0.010605,0.009400,0.010021,"366,843","290,606,538"
"Sep 09, 2020",0.009242,0.009882,0.007677,0.009747,"754,760","282,648,740"
"Sep 08, 2020",0.009530,0.010303,0.008581,0.009219,"418,646","267,351,834"
"Sep 07, 2020",0.010090,0.010428,0.008660,0.009518,"551,078","276,032,351"
"Sep 06, 2020",0.007929,0.010293,0.007925,0.010075,"532,993","292,168,169"
"Sep 05, 2020",0.011193,0.011327,0.007611,0.007925,"424,456","229,832,178"
"Sep 04, 2020",0.013397,0.013576,0.008003,0.011170,"708,564","323,932,028"
"Sep 03, 2020",0.010796,0.013850,0.008577,0.013366,"1,319,416","387,600,397"
"Sep 02, 2020",0.011520,0.011725,0.009559,0.010782,"533,849","312,669,835"
"Sep 01, 2020",0.009483,0.013069,0.007877,0.011567,"721,051","335,450,254"
"Aug 31, 2020",0.008810,0.009985,0.008060,0.009490,"875,317","271,642,493"
"Aug 30, 2020",0.008649,0.010094,0.006270,0.008810,"698,420","252,185,867"
"Aug 29, 2020",0.008867,0.010301,0.008618,0.008676,"682,711","248,348,003"
"Aug 28, 2020",0.008715,0.009221,0.007694,0.008820,"637,000","252,464,129"
"Aug 27, 2020",0.008918,0.009244,0.007857,0.008715,"553,523","249,464,543"
"Aug 26, 2020",0.007872,0.010238,0.007303,0.008956,"627,876","256,356,464"
"Aug 25, 2020",0.008807,0.008941,0.007603,0.007879,"570,122","225,541,305"
"Aug 24, 2020",0.008678,0.008910,0.008122,0.008795,"531,976","251,758,202"
"Aug 23, 2020",0.008628,0.008768,0.008068,0.008656,"474,403","247,772,759"
"Aug 22, 2020",0.008975,0.009086,0.008282,0.008637,"552,411","247,241,940"
"Aug 21, 2020",0.008144,0.009622,0.008077,0.008971,"778,496","256,797,801"
"Aug 20, 2020",0.007307,0.009278,0.006301,0.008168,"865,429","233,823,044"
"Aug 19, 2020",0.007497,0.008324,0.006783,0.007307,"864,830","209,174,100"
"Aug 18, 2020",0.007122,0.008168,0.006959,0.007531,"1,375,449","215,577,137"
"Aug 17, 2020",0.005617,0.007231,0.005611,0.007231,"631,367","206,985,098"
"Aug 16, 2020",0.005074,0.005859,0.005015,0.005617,"365,270","160,787,192"
"Aug 15, 2020",0.006198,0.006308,0.005042,0.005073,"668,732","145,201,914"
"Aug 14, 2020",0.005906,0.006260,0.005093,0.006196,"536,710","177,366,971"
"Aug 13, 2020",0.004646,0.005931,0.004569,0.005886,"610,084","168,498,800"
"Aug 12, 2020",0.004637,0.005008,0.004465,0.004641,"289,548","132,847,790"
"Aug 11, 2020",0.004922,0.005096,0.004476,0.004632,"372,171","132,593,669"
"Aug 10, 2020",0.005204,0.005621,0.004588,0.004920,"312,826","140,837,346"
"Aug 09, 2020",0.006365,0.006727,0.004665,0.005204,"486,455","148,951,613"
"Aug 08, 2020",0.006408,0.007577,0.004430,0.006317,"792,555","180,828,579"
"Aug 07, 2020",0.004871,0.006356,0.004442,0.006276,"354,837","179,654,097"
"Aug 06, 2020",0.004733,0.005290,0.004433,0.004870,"330,199","139,395,995"
"Aug 05, 2020",0.004702,0.005362,0.004369,0.004733,"389,269","135,476,090"
"Aug 04, 2020",0.004946,0.005476,0.004227,0.004730,"401,376","135,398,357"
"Aug 03, 2020",0.004620,0.005213,0.004267,0.004946,"320,279","141,591,556"
"Aug 02, 2020",0.004887,0.004986,0.004092,0.004620,"324,562","132,260,619"
"Aug 01, 2020",0.004403,0.004955,0.004403,0.004883,"310,504","139,781,030"
"Jul 31, 2020",0.004418,0.004823,0.004259,0.004403,"312,232","124,640,445"
"Jul 30, 2020",0.004872,0.005261,0.003863,0.004425,"261,601","125,260,925"
"Jul 29, 2020",0.004352,0.005236,0.004089,0.004872,"441,581","137,918,891"
"Jul 28, 2020",0.004608,0.004905,0.003920,0.004356,"288,222","123,312,416"
"Jul 27, 2020",0.005200,0.005728,0.004022,0.004599,"339,339","130,191,670"
"Jul 26, 2020",0.005074,0.005588,0.004171,0.005199,"358,374","147,162,432"
"Jul 25, 2020",0.005221,0.005606,0.003930,0.005080,"343,817","143,802,708"
"Jul 24, 2020",0.005163,0.005419,0.003935,0.005271,"466,410","149,189,875"
"Jul 23, 2020",0.003729,0.005276,0.003257,0.005163,"400,884","146,135,687"
"Jul 22, 2020",0.003404,0.003917,0.003140,0.003729,"232,845","105,549,248"
"Jul 21, 2020",0.003349,0.003848,0.002936,0.003389,"208,267","95,921,618"
"Jul 20, 2020",0.002916,0.003602,0.002757,0.003349,"191,977","94,794,963"
"Jul 19, 2020",0.004150,0.004275,0.002916,0.002916,"278,589","82,530,133"
"Jul 18, 2020",0.003160,0.004301,0.002506,0.004166,"242,171","117,918,760"
"Jul 17, 2020",0.004118,0.004818,0.001832,0.003160,"200,689","89,452,905"
"Jul 16, 2020",0.003861,0.004598,0.003441,0.004149,"227,796","117,435,406"
"Jul 15, 2020",0.003648,0.004973,0.003241,0.003854,"183,301","109,096,831"
"Jul 14, 2020",0.004006,0.004399,0.003545,0.003623,"201,168","102,540,427"
"Jul 13, 2020",0.003183,0.004492,0.003117,0.004006,"182,400","113,407,116"
"Jul 12, 2020",0.003729,0.004263,0.002998,0.003183,"216,611","90,092,329"
"Jul 11, 2020",0.003240,0.004733,0.002661,0.003778,"234,009","106,940,141"
"Jul 10, 2020",0.003502,0.003791,0.002928,0.003283,"213,552","92,917,416"
"Jul 09, 2020",0.004128,0.004728,0.003475,0.003495,"192,490","98,934,109"
"Jul 08, 2020",0.003869,0.004582,0.003503,0.004127,"143,342","116,814,334"
"Jul 07, 2020",0.003487,0.004309,0.003107,0.003875,"230,993","109,686,556"
"Jul 06, 2020",0.003250,0.004080,0.003133,0.003532,"192,119","99,984,312"
"Jul 05, 2020",0.003422,0.003957,0.002866,0.003250,"106,552","92,003,558"
"Jul 04, 2020",0.003379,0.004452,0.002779,0.003420,"101,449","96,810,985"
"Jul 03, 2020",0.002891,0.003509,0.002472,0.003385,"123,216","95,815,793"
"Jul 02, 2020",0.002817,0.003615,0.002617,0.002861,"95,962.85","80,995,565"
"Jul 01, 2020",0.002601,0.003528,0.002391,0.002820,"174,206","79,819,962"
"Jun 30, 2020",0.002513,0.003275,0.002113,0.002592,"160,803","72,505,381"
"Jun 29, 2020",0.002467,0.003166,0.001923,0.002544,"100,175","71,177,576"
"Jun 28, 2020",0.003218,0.003735,0.002136,0.002484,"192,784","69,490,427"
"Jun 27, 2020",0.002781,0.003315,0.002540,0.003218,"210,625","90,030,274"
"Jun 26, 2020",0.002760,0.003100,0.002507,0.002803,"146,177","78,424,464"
"Jun 25, 2020",0.003241,0.003602,0.002685,0.002764,"83,768.83","77,333,012"
"Jun 24, 2020",0.002833,0.003660,0.002616,0.003217,"105,919","90,000,575"
"Jun 23, 2020",0.003171,0.004070,0.002732,0.002835,"94,820.93","79,306,644"
"Jun 22, 2020",0.003100,0.003915,0.002790,0.003282,"96,616.43","91,821,715"
"Jun 21, 2020",0.002960,0.003917,0.002754,0.003098,"94,585.39","86,668,580"
"Jun 20, 2020",0.002977,0.003355,0.002664,0.002914,"80,486.36","81,529,971"
"Jun 19, 2020",0.003410,0.004947,0.002760,0.002993,"114,335","83,716,004"
"Jun 18, 2020",0.002965,0.003481,0.002457,0.003379,"75,103.93","94,525,913"
"Jun 17, 2020",0.003124,0.004808,0.002640,0.002970,"63,508.72","83,071,797"
"Jun 16, 2020",0.003022,0.003607,0.002739,0.003118,"86,416.29","87,227,555"
"Jun 15, 2020",0.003284,0.004137,0.002728,0.003033,"87,877.20","84,836,326"
"Jun 14, 2020",0.002953,0.003284,0.002802,0.003284,"82,398.10","91,853,100"
"Jun 13, 2020",0.002996,0.003025,0.002836,0.002953,"60,340.56","82,596,561"
"Jun 12, 2020",0.002928,0.003072,0.002860,0.002992,"75,029.39","83,694,896"
"Jun 11, 2020",0.003168,0.003215,0.002815,0.002938,"76,161.96","82,191,063"
"Jun 10, 2020",0.003235,0.003367,0.002874,0.003167,"83,986.33","88,602,438"
"Jun 09, 2020",0.003308,0.003389,0.003146,0.003241,"60,316.09","90,660,488"
"Jun 08, 2020",0.003294,0.003391,0.003225,0.003292,"60,395.56","92,078,917"
"Jun 07, 2020",0.003331,0.003429,0.003143,0.003300,"73,543.26","92,322,600"
"Jun 06, 2020",0.003266,0.003407,0.003172,0.003331,"84,123.24","93,172,860"
"Jun 05, 2020",0.003238,0.003418,0.003168,0.003266,"75,050.16","91,355,364"
"Jun 04, 2020",0.003184,0.003341,0.003145,0.003238,"76,243.79","90,569,632"
"Jun 03, 2020",0.003227,0.003311,0.003093,0.003181,"64,343.53","88,976,395"
"Jun 02, 2020",0.002941,0.003450,0.002862,0.003227,"89,415.05","90,275,360"
"Jun 01, 2020",0.003256,0.004170,0.002682,0.002929,"119,854","81,923,418"
"May 31, 2020",0.003318,0.003365,0.003166,0.003249,"59,594.07","89,839,796"
"May 30, 2020",0.003252,0.003407,0.003199,0.003313,"101,409","91,586,975"
"May 29, 2020",0.003223,0.003369,0.003140,0.003257,"82,433.51","90,041,331"
"May 28, 2020",0.003133,0.003471,0.003091,0.003219,"111,521","89,011,323"
"May 27, 2020",0.003094,0.003324,0.003057,0.003127,"77,158.83","86,464,075"
"May 26, 2020",0.003126,0.003255,0.003082,0.003094,"54,886.40","85,535,641"
"May 25, 2020",0.003071,0.003294,0.003057,0.003126,"73,230.08","86,424,827"
"May 24, 2020",0.003266,0.003422,0.003076,0.003076,"62,327.78","85,036,483"
"May 23, 2020",0.003233,0.008225,0.003128,0.003261,"88,388.08","90,163,885"
"May 22, 2020",0.003125,0.003313,0.002964,0.003233,"78,412.25","89,378,483"
"May 21, 2020",0.003320,0.003331,0.003001,0.003125,"85,700.87","86,398,408"
"May 20, 2020",0.003342,0.003594,0.003258,0.003320,"110,674","91,787,561"
"May 19, 2020",0.003710,0.003788,0.003277,0.003340,"64,610.94","92,334,515"
"May 18, 2020",0.003235,0.003734,0.003148,0.003684,"90,771.45","101,852,787"
"May 17, 2020",0.003205,0.003285,0.003079,0.003243,"64,390.91","89,668,948"
"May 16, 2020",0.003322,0.003494,0.003081,0.003205,"51,692.46","88,614,634"
"May 15, 2020",0.003467,0.003794,0.003211,0.003317,"76,162.13","91,720,575"
"May 14, 2020",0.003384,0.003493,0.003047,0.003466,"68,916.14","95,820,464"
"May 13, 2020",0.003166,0.003458,0.003093,0.003393,"40,958.59","93,810,526"
"May 12, 2020",0.003032,0.003502,0.002930,0.003166,"85,147.45","87,535,674"
"May 11, 2020",0.003117,0.003453,0.002873,0.003048,"56,656.15","84,260,531"
"May 10, 2020",0.003294,0.003421,0.002923,0.003117,"50,572.58","86,191,715"
"May 09, 2020",0.003217,0.003459,0.003141,0.003290,"85,377.67","90,968,671"
"May 08, 2020",0.003236,0.003483,0.002978,0.003218,"141,799","88,962,405"
"May 07, 2020",0.003080,0.003328,0.002851,0.003236,"85,538.00","89,480,496"
"May 06, 2020",0.003103,0.004510,0.002427,0.003080,"512,820","85,163,972"
"May 05, 2020",0.003082,0.003605,0.002739,0.003105,"31,607.29","85,839,081"
"May 04, 2020",0.003335,0.003578,0.002481,0.003082,"44,579.00","85,214,983"
"May 03, 2020",0.002917,0.003847,0.002551,0.003335,"44,201.56","92,200,098"
"May 02, 2020",0.002901,0.004478,0.002561,0.002997,"46,416.10","82,861,054"
"May 01, 2020",0.003429,0.003677,0.002887,0.002900,"30,971.97","80,179,240"
"Apr 30, 2020",0.003251,0.003567,0.002645,0.003429,"42,818.09","93,703,228"
"Apr 29, 2020",0.003322,0.003876,0.002700,0.003260,"94,740.95","89,093,631"
"Apr 28, 2020",0.003645,0.003978,0.001905,0.003345,"45,882.15","91,400,469"
"Apr 27, 2020",0.003125,0.004075,0.002491,0.003699,"130,948","101,077,667"
"Apr 26, 2020",0.003210,0.003482,0.002575,0.003137,"69,463.57","85,721,314"
"Apr 25, 2020",0.003049,0.003433,0.002511,0.003209,"62,668.17","87,696,534"
"Apr 24, 2020",0.002718,0.003327,0.001941,0.003065,"60,615.46","83,760,641"
"Apr 23, 2020",0.002752,0.003156,0.002489,0.002752,"39,464.75","75,218,830"
"Apr 22, 2020",0.002325,0.003099,0.002319,0.002750,"41,791.03","75,139,890"
"Apr 21, 2020",0.002334,0.002388,0.002309,0.002326,"64,310.21","63,553,292"
"Apr 20, 2020",0.002417,0.002499,0.002304,0.002346,"70,293.93","64,104,946"
"Apr 19, 2020",0.002477,0.002503,0.002365,0.002417,"68,850.62","66,053,175"
"Apr 18, 2020",0.002423,0.002540,0.002276,0.002482,"73,231.55","67,816,080"
"Apr 17, 2020",0.002489,0.002543,0.002370,0.002423,"114,452","66,212,280"
"Apr 16, 2020",0.002200,0.002525,0.002083,0.002488,"156,653","67,993,349"
"Apr 15, 2020",0.002403,0.002583,0.002180,0.002202,"143,689","60,174,114"
"Apr 14, 2020",0.002166,0.002443,0.002166,0.002402,"156,092","65,630,503"
"Apr 13, 2020",0.002238,0.002238,0.002075,0.002166,"82,120.63","59,191,116"
"Apr 12, 2020",0.002283,0.002317,0.002157,0.002239,"63,180.74","61,199,696"
"Apr 11, 2020",0.002205,0.002350,0.002177,0.002285,"147,093","62,433,527"
"Apr 10, 2020",0.002237,0.002248,0.002042,0.002205,"107,803","60,268,733"
"Apr 09, 2020",0.002245,0.002282,0.002169,0.002231,"78,302.15","60,982,585"
"Apr 08, 2020",0.002408,0.002541,0.002183,0.002244,"87,396.11","61,321,663"
"Apr 07, 2020",0.002640,0.002725,0.002398,0.002413,"101,476","65,929,374"
"Apr 06, 2020",0.002302,0.002654,0.002295,0.002641,"89,305.41","72,167,880"
"Apr 05, 2020",0.002368,0.002368,0.002269,0.002310,"76,617.91","63,139,161"
"Apr 04, 2020",0.002245,0.002464,0.002193,0.002364,"85,824.94","64,593,050"
"Apr 03, 2020",0.002166,0.002358,0.002151,0.002242,"124,484","61,257,317"
"Apr 02, 2020",0.001780,0.002474,0.001760,0.002164,"170,988","59,147,039"
"Apr 01, 2020",0.001755,0.001776,0.001643,0.001771,"58,091.05","48,411,377"
"Mar 31, 2020",0.001820,0.001870,0.001691,0.001755,"63,939.91","47,395,297"
"Mar 30, 2020",0.001736,0.001926,0.001736,0.001823,"54,900.82","49,244,017"
"Mar 29, 2020",0.001564,0.001945,0.001556,0.001737,"54,806.90","46,926,704"
"Mar 28, 2020",0.001559,0.001600,0.001499,0.001564,"40,714.57","42,232,162"
"Mar 27, 2020",0.001567,0.001630,0.001536,0.001561,"42,870.80","42,147,829"
"Mar 26, 2020",0.001571,0.001605,0.001523,0.001569,"47,363.87","42,363,867"
"Mar 25, 2020",0.001589,0.001629,0.001520,0.001571,"44,052.80","42,418,939"
"Mar 24, 2020",0.001516,0.001654,0.001502,0.001590,"59,801.66","42,938,705"
"Mar 23, 2020",0.001363,0.001554,0.001359,0.001522,"44,850.89","41,106,693"
"Mar 22, 2020",0.001580,0.001915,0.001359,0.001363,"57,540.01","36,811,151"
"Mar 21, 2020",0.001406,0.001609,0.001382,0.001571,"51,882.73","42,427,313"
"Mar 20, 2020",0.001432,0.001528,0.001286,0.001406,"56,380.46","37,974,462"
"Mar 19, 2020",0.001181,0.001466,0.001156,0.001449,"49,402.43","39,145,184"
"Mar 18, 2020",0.001227,0.001234,0.001147,0.001181,"47,665.28","31,883,973"
"Mar 17, 2020",0.001044,0.001245,0.001044,0.001225,"43,846.84","33,097,883"
"Mar 16, 2020",0.001175,0.001178,0.000979,0.001044,"38,248.69","28,203,496"
"Mar 15, 2020",0.001185,0.001254,0.001141,0.001176,"35,368.81","31,773,256"
"Mar 14, 2020",0.001254,0.001291,0.001148,0.001185,"38,466.56","31,992,978"
"Mar 13, 2020",0.001012,0.001302,0.000847,0.001252,"54,491.98","33,817,679"
"Mar 12, 2020",0.001767,0.001779,0.000986,0.000994,"34,097.11","26,849,462"
"Mar 11, 2020",0.001784,0.001833,0.001657,0.001768,"61,952.33","47,743,397"
"Mar 10, 2020",0.001764,0.001844,0.001744,0.001792,"70,380.06","48,389,251"
"Mar 09, 2020",0.002047,0.002099,0.001689,0.001759,"103,226","47,498,800"
"Mar 08, 2020",0.002407,0.002407,0.002039,0.002061,"63,222.33","55,654,185"
"Mar 07, 2020",0.002367,0.002483,0.002258,0.002407,"95,354.93","64,998,337"
"Mar 06, 2020",0.002091,0.002388,0.002060,0.002382,"64,256.54","64,323,851"
"Mar 05, 2020",0.001889,0.002116,0.001885,0.002091,"112,787","56,463,500"
"Mar 04, 2020",0.001978,0.002019,0.001875,0.001889,"59,896.44","51,011,438"
"Mar 03, 2020",0.002029,0.002064,0.001922,0.002000,"60,174.72","54,008,986"
"Mar 02, 2020",0.001752,0.002079,0.001676,0.002043,"67,395.78","55,175,425"
"Mar 01, 2020",0.001914,0.002126,0.001731,0.001761,"75,750.42","47,571,607"
"Feb 29, 2020",0.001961,0.002029,0.001853,0.001937,"65,975.35","51,682,499"
"Feb 28, 2020",0.001933,0.002211,0.001906,0.001981,"60,294.59","52,878,538"
"Feb 27, 2020",0.001927,0.001978,0.001855,0.001923,"72,749.50","51,311,862"
