Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2015",0.000005,0.000005,0.000005,0.000005,1.34,153.16
"Mar 25, 2015",0.000005,0.000005,0.000005,0.000005,1.33,152.39
"Mar 24, 2015",0.000005,0.000005,0.000005,0.000005,1.33,151.43
"Mar 23, 2015",0.000005,0.000006,0.000005,0.000005,1.93,165.15
"Mar 22, 2015",0.000008,0.000008,0.000003,0.000005,4.91,165.94
"Mar 21, 2015",0.000008,0.000008,0.000008,0.000008,0.270486,241.53
"Mar 20, 2015",0.000005,0.000005,0.000005,0.000005,2.66,162.21
"Mar 19, 2015",0.000008,0.000008,0.000005,0.000005,9.99,161.47
"Mar 18, 2015",0.000006,0.000008,0.000005,0.000008,18.48,238.40
"Mar 17, 2015",0.000020,0.000020,0.000006,0.000006,21.88,176.78
"Mar 16, 2015",0.000023,0.000023,0.000014,0.000020,8.86,629.70
"Mar 15, 2015",0.000020,0.000023,0.000014,0.000023,17.00,707.47
"Mar 14, 2015",0.000014,0.000020,0.000011,0.000020,15.36,611.74
"Mar 13, 2015",0.000024,0.000024,0.000014,0.000014,14.33,443.59
"Mar 12, 2015",0.000015,0.000024,0.000012,0.000024,1.64,730.06
"Mar 11, 2015",0.000015,0.000015,0.000015,0.000015,0.777158,458.98
"Mar 10, 2015",0.000014,0.000015,0.000014,0.000015,1.35,451.60
"Mar 09, 2015",0.000014,0.000015,0.000014,0.000014,2.90,448.76
"Mar 08, 2015",0.000019,0.000019,0.000014,0.000014,21.19,424.79
"Mar 07, 2015",0.000019,0.000019,0.000017,0.000019,11.25,598.61
"Mar 06, 2015",0.000022,0.000022,0.000019,0.000019,1.88,590.85
"Mar 05, 2015",0.000030,0.000035,0.000021,0.000022,17.00,683.59
"Mar 04, 2015",0.000045,0.000045,0.000011,0.000030,149.01,931.39
"Mar 03, 2015",0.000047,0.000048,0.000046,0.000048,2.54,"1,493.11"
"Mar 02, 2015",0.000055,0.000055,0.000046,0.000047,30.24,"1,450.69"
"Mar 01, 2015",0.000045,0.000058,0.000045,0.000055,478.17,"1,693.02"
"Feb 28, 2015",0.000046,0.000046,0.000045,0.000045,0.352448,"1,393.60"
"Feb 27, 2015",0.000047,0.000047,0.000043,0.000046,0.357865,"1,415.02"
"Feb 26, 2015",0.000043,0.000047,0.000042,0.000047,4.73,"1,464.93"
"Feb 25, 2015",0.000079,0.000079,0.000043,0.000043,29.69,"1,323.02"
"Feb 24, 2015",0.000069,0.000079,0.000069,0.000079,2.45,"2,439.95"
"Feb 23, 2015",0.000068,0.000070,0.000068,0.000069,0.122526,"2,143.41"
"Feb 22, 2015",0.000073,0.000074,0.000070,0.000071,351.25,"2,192.72"
"Feb 21, 2015",0.000073,0.000077,0.000073,0.000073,363.63,"2,270.02"
"Feb 20, 2015",0.000067,0.000074,0.000067,0.000073,35.68,"2,267.24"
