Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.006710,0.006710,0.006084,0.006231,"6,885,267","38,975,388"
"Sep 15, 2020",0.007132,0.007211,0.006673,0.006686,"5,224,800","41,825,948"
"Sep 14, 2020",0.007443,0.007595,0.007072,0.007132,"5,631,823","44,614,173"
"Sep 13, 2020",0.007904,0.008106,0.007031,0.007455,"6,333,813","46,634,305"
"Sep 12, 2020",0.007303,0.008451,0.007299,0.007904,"11,804,693","49,445,749"
"Sep 11, 2020",0.006874,0.007329,0.006539,0.007303,"7,089,657","45,681,959"
"Sep 10, 2020",0.006563,0.007259,0.006551,0.006873,"6,725,683","42,993,473"
"Sep 09, 2020",0.006356,0.006984,0.006109,0.006563,"6,742,541","41,053,056"
"Sep 08, 2020",0.006682,0.006871,0.006184,0.006370,"5,479,982","39,846,616"
"Sep 07, 2020",0.007188,0.007240,0.006207,0.006690,"6,899,204","41,846,753"
"Sep 06, 2020",0.006966,0.007307,0.006182,0.007206,"7,970,985","45,077,709"
"Sep 05, 2020",0.008200,0.008488,0.006616,0.006962,"7,231,563","43,551,616"
"Sep 04, 2020",0.008033,0.008327,0.007121,0.008218,"10,645,903","51,410,351"
"Sep 03, 2020",0.010440,0.010480,0.007975,0.007983,"9,885,592","49,934,433"
"Sep 02, 2020",0.010109,0.010490,0.008985,0.010476,"13,263,002","65,533,448"
"Sep 01, 2020",0.010142,0.010352,0.009892,0.010107,"9,638,621","63,221,899"
"Aug 31, 2020",0.010530,0.010963,0.010089,0.010145,"9,200,109","63,458,852"
"Aug 30, 2020",0.010442,0.010944,0.010192,0.010524,"9,204,032","65,832,675"
"Aug 29, 2020",0.010791,0.010836,0.010355,0.010488,"8,649,636","65,605,741"
"Aug 28, 2020",0.011007,0.011102,0.010439,0.010839,"12,612,415","67,805,067"
"Aug 27, 2020",0.010916,0.011854,0.010454,0.011010,"22,241,596","68,873,047"
"Aug 26, 2020",0.010132,0.011115,0.009558,0.010921,"19,448,965","68,317,325"
"Aug 25, 2020",0.011378,0.011592,0.009740,0.010143,"13,844,007","63,451,029"
"Aug 24, 2020",0.010614,0.011628,0.010541,0.011391,"16,344,662","71,253,291"
"Aug 23, 2020",0.010549,0.010773,0.010186,0.010647,"8,143,108","66,604,391"
"Aug 22, 2020",0.010546,0.010776,0.009998,0.010566,"8,381,014","66,094,835"
"Aug 21, 2020",0.012012,0.012065,0.010188,0.010528,"10,228,797","65,857,497"
"Aug 20, 2020",0.010705,0.012321,0.010633,0.011962,"14,741,759","74,826,824"
"Aug 19, 2020",0.011588,0.011701,0.009960,0.010705,"14,727,442","66,964,576"
"Aug 18, 2020",0.012563,0.012665,0.011258,0.011592,"13,796,380","72,513,326"
"Aug 17, 2020",0.013072,0.013189,0.011985,0.012600,"14,854,102","78,817,939"
"Aug 16, 2020",0.012831,0.013717,0.012446,0.013072,"15,505,156","81,771,858"
"Aug 15, 2020",0.013303,0.013627,0.012461,0.012824,"13,973,600","80,218,762"
"Aug 14, 2020",0.012032,0.014399,0.011985,0.013293,"37,026,693","83,152,989"
"Aug 13, 2020",0.011312,0.012513,0.010348,0.012080,"26,458,413","75,564,366"
"Aug 12, 2020",0.011010,0.011604,0.010411,0.011262,"14,735,182","70,447,634"
"Aug 11, 2020",0.011486,0.012868,0.010453,0.011015,"25,038,404","68,906,290"
"Aug 10, 2020",0.010301,0.012202,0.009562,0.011487,"31,466,152","71,858,259"
"Aug 09, 2020",0.010107,0.010301,0.009484,0.010301,"10,768,442","64,440,178"
"Aug 08, 2020",0.009859,0.010560,0.009660,0.010176,"8,619,708","63,657,945"
"Aug 07, 2020",0.009687,0.010211,0.009132,0.009845,"10,532,875","61,586,935"
"Aug 06, 2020",0.008991,0.009932,0.008926,0.009710,"13,690,057","60,739,252"
"Aug 05, 2020",0.008234,0.009059,0.008093,0.008991,"9,198,810","56,240,052"
"Aug 04, 2020",0.008029,0.008335,0.007921,0.008268,"8,287,522","51,717,200"
"Aug 03, 2020",0.008062,0.008415,0.007894,0.008029,"7,984,573","50,224,459"
"Aug 02, 2020",0.008464,0.008771,0.007813,0.008062,"9,776,399","50,430,832"
"Aug 01, 2020",0.008605,0.009523,0.008281,0.008443,"13,594,552","52,817,219"
"Jul 31, 2020",0.008720,0.008742,0.007852,0.008605,"11,014,866","53,825,562"
"Jul 30, 2020",0.008460,0.009159,0.008336,0.008682,"10,877,524","54,311,488"
"Jul 29, 2020",0.009081,0.009372,0.008334,0.008460,"10,384,125","52,923,730"
"Jul 28, 2020",0.010089,0.010089,0.008800,0.009118,"14,866,437","57,035,560"
"Jul 27, 2020",0.007618,0.011153,0.007412,0.010102,"67,998,051","63,195,388"
"Jul 26, 2020",0.007836,0.007992,0.007128,0.007618,"8,770,120","47,655,970"
"Jul 25, 2020",0.007488,0.008362,0.007458,0.007869,"14,638,759","49,223,822"
"Jul 24, 2020",0.006868,0.007602,0.006740,0.007451,"8,791,357","46,610,246"
"Jul 23, 2020",0.007099,0.007304,0.006764,0.006868,"6,572,933","42,960,927"
"Jul 22, 2020",0.007174,0.007745,0.007013,0.007099,"12,119,661","44,409,807"
"Jul 21, 2020",0.006630,0.007366,0.006479,0.007184,"11,131,543","44,940,406"
"Jul 20, 2020",0.006476,0.007255,0.006353,0.006665,"15,315,977","41,691,848"
"Jul 19, 2020",0.005837,0.006473,0.005780,0.006473,"7,935,082","40,491,854"
"Jul 18, 2020",0.005811,0.005858,0.005633,0.005782,"4,244,806","36,169,557"
"Jul 17, 2020",0.005879,0.006071,0.005752,0.005789,"4,494,993","36,215,157"
"Jul 16, 2020",0.005623,0.006003,0.005576,0.005870,"5,843,576","36,720,345"
"Jul 15, 2020",0.005827,0.005922,0.005549,0.005610,"4,281,072","35,093,437"
