Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.000564,0.000584,0.000553,0.000577,"6,087,283","96,115,436"
"Sep 15, 2020",0.000576,0.000587,0.000559,0.000564,"6,262,673","93,875,216"
"Sep 14, 2020",0.000563,0.000583,0.000550,0.000575,"7,259,476","95,469,937"
"Sep 13, 2020",0.000598,0.000609,0.000553,0.000563,"6,290,427","93,601,270"
"Sep 12, 2020",0.000603,0.000608,0.000585,0.000598,"6,241,391","99,392,268"
"Sep 11, 2020",0.000563,0.000615,0.000544,0.000605,"7,028,649","100,487,437"
"Sep 10, 2020",0.000561,0.000582,0.000550,0.000562,"5,748,458","93,338,439"
"Sep 09, 2020",0.000544,0.000578,0.000534,0.000561,"4,594,262","93,160,200"
"Sep 08, 2020",0.000568,0.000579,0.000530,0.000546,"4,812,348","90,641,616"
"Sep 07, 2020",0.000562,0.000578,0.000516,0.000567,"5,827,708","94,259,581"
"Sep 06, 2020",0.000548,0.000573,0.000522,0.000563,"6,342,795","93,564,073"
"Sep 05, 2020",0.000617,0.000631,0.000519,0.000548,"7,635,766","91,060,020"
"Sep 04, 2020",0.000620,0.000626,0.000585,0.000618,"8,641,789","102,719,536"
"Sep 03, 2020",0.000713,0.000722,0.000608,0.000619,"9,750,375","102,885,531"
"Sep 02, 2020",0.000755,0.000760,0.000692,0.000713,"7,983,374","118,454,748"
"Sep 01, 2020",0.000742,0.000761,0.000725,0.000755,"10,834,398","125,449,268"
"Aug 31, 2020",0.000750,0.000753,0.000731,0.000742,"8,981,229","123,272,248"
"Aug 30, 2020",0.000771,0.000771,0.000733,0.000750,"9,204,687","124,553,106"
"Aug 29, 2020",0.000740,0.000780,0.000719,0.000753,"8,226,030","125,077,833"
"Aug 28, 2020",0.000718,0.000771,0.000718,0.000741,"8,763,552","122,998,428"
"Aug 27, 2020",0.000747,0.000749,0.000704,0.000719,"8,025,305","119,481,047"
"Aug 26, 2020",0.000752,0.000769,0.000725,0.000747,"7,701,257","124,010,318"
"Aug 25, 2020",0.000785,0.000791,0.000711,0.000753,"9,128,523","125,106,725"
"Aug 24, 2020",0.000777,0.000800,0.000771,0.000785,"8,131,043","130,272,101"
"Aug 23, 2020",0.000791,0.000792,0.000752,0.000777,"6,855,377","128,982,370"
"Aug 22, 2020",0.000781,0.000801,0.000754,0.000791,"7,906,955","131,291,912"
"Aug 21, 2020",0.000859,0.000860,0.000766,0.000781,"10,686,497","129,672,536"
"Aug 20, 2020",0.000829,0.000874,0.000824,0.000859,"10,019,852","142,578,803"
"Aug 19, 2020",0.000850,0.000877,0.000792,0.000831,"14,485,577","137,805,261"
"Aug 18, 2020",0.000891,0.000903,0.000809,0.000876,"15,486,759","145,286,655"
"Aug 17, 2020",0.000908,0.000922,0.000880,0.000890,"14,378,555","147,671,939"
"Aug 16, 2020",0.000862,0.000921,0.000846,0.000908,"14,141,618","150,578,716"
"Aug 15, 2020",0.000855,0.000874,0.000849,0.000861,"8,872,025","142,796,227"
"Aug 14, 2020",0.000867,0.000893,0.000851,0.000855,"10,779,642","141,850,401"
"Aug 13, 2020",0.000865,0.000901,0.000825,0.000862,"13,041,138","143,003,910"
"Aug 12, 2020",0.000826,0.000883,0.000801,0.000863,"13,938,755","143,104,834"
"Aug 11, 2020",0.000856,0.000871,0.000802,0.000827,"12,068,412","137,169,518"
"Aug 10, 2020",0.000840,0.000884,0.000826,0.000856,"15,284,303","142,028,924"
"Aug 09, 2020",0.000855,0.000882,0.000830,0.000835,"12,906,640","138,494,367"
"Aug 08, 2020",0.000852,0.000900,0.000828,0.000855,"17,650,360","141,868,999"
"Aug 07, 2020",0.000793,0.000868,0.000754,0.000852,"18,250,951","141,417,758"
"Aug 06, 2020",0.000783,0.000802,0.000771,0.000795,"9,692,905","131,861,427"
"Aug 05, 2020",0.000782,0.000791,0.000773,0.000781,"7,731,534","129,596,189"
"Aug 04, 2020",0.000781,0.000791,0.000770,0.000785,"8,224,350","130,197,312"
"Aug 03, 2020",0.000770,0.000790,0.000762,0.000781,"9,457,347","129,583,507"
"Aug 02, 2020",0.000810,0.000833,0.000751,0.000770,"13,491,375","127,706,089"
"Aug 01, 2020",0.000770,0.000825,0.000757,0.000810,"13,490,068","134,309,197"
"Jul 31, 2020",0.000770,0.000781,0.000736,0.000770,"7,698,310","127,692,537"
"Jul 30, 2020",0.000762,0.000779,0.000738,0.000772,"9,157,684","128,010,964"
"Jul 29, 2020",0.000794,0.000811,0.000737,0.000762,"11,193,276","126,414,832"
"Jul 28, 2020",0.000726,0.000800,0.000710,0.000793,"13,376,906","131,480,921"
"Jul 27, 2020",0.000759,0.000763,0.000715,0.000740,"13,770,812","122,668,964"
"Jul 26, 2020",0.000776,0.000778,0.000728,0.000759,"10,830,353","125,809,054"
"Jul 25, 2020",0.000788,0.000799,0.000756,0.000765,"10,510,460","126,820,625"
"Jul 24, 2020",0.000789,0.000801,0.000769,0.000788,"9,026,237","130,526,734"
"Jul 23, 2020",0.000782,0.000799,0.000768,0.000789,"10,940,209","130,696,304"
"Jul 22, 2020",0.000752,0.000809,0.000745,0.000781,"16,177,236","129,360,972"
"Jul 21, 2020",0.000710,0.000775,0.000699,0.000751,"18,344,016","124,456,029"
"Jul 20, 2020",0.000719,0.000731,0.000697,0.000708,"10,230,645","117,216,338"
"Jul 19, 2020",0.000700,0.000729,0.000687,0.000719,"11,460,214","119,110,757"
"Jul 18, 2020",0.000708,0.000728,0.000697,0.000701,"8,783,757","116,110,691"
"Jul 17, 2020",0.000744,0.000765,0.000702,0.000710,"13,881,660","117,616,765"
"Jul 16, 2020",0.000696,0.000752,0.000662,0.000749,"17,745,578","123,965,462"
"Jul 15, 2020",0.000723,0.000734,0.000697,0.000697,"7,950,482","115,428,034"
"Jul 14, 2020",0.000717,0.000738,0.000701,0.000723,"9,425,002","119,731,540"
"Jul 13, 2020",0.000706,0.000780,0.000688,0.000719,"20,043,610","118,977,165"
"Jul 12, 2020",0.000714,0.000730,0.000693,0.000706,"8,667,590","116,819,349"
"Jul 11, 2020",0.000734,0.000735,0.000698,0.000714,"11,673,335","118,202,508"
"Jul 10, 2020",0.000805,0.000811,0.000706,0.000737,"21,738,877","121,957,670"
"Jul 09, 2020",0.000629,0.000845,0.000628,0.000810,"84,232,902","134,029,036"
"Jul 08, 2020",0.000559,0.000648,0.000558,0.000629,"14,345,264","104,047,688"
"Jul 07, 2020",0.000566,0.000595,0.000557,0.000559,"6,052,301","92,515,582"
"Jul 06, 2020",0.000555,0.000601,0.000546,0.000568,"11,149,107","93,913,311"
"Jul 05, 2020",0.000562,0.000566,0.000546,0.000555,"4,788,788","91,877,845"
"Jul 04, 2020",0.000550,0.000570,0.000546,0.000562,"5,148,627","93,021,842"
"Jul 03, 2020",0.000556,0.000572,0.000535,0.000552,"5,107,890","91,369,035"
"Jul 02, 2020",0.000548,0.000580,0.000534,0.000557,"10,589,362","92,117,457"
"Jul 01, 2020",0.000532,0.000552,0.000523,0.000550,"11,123,051","90,821,949"
"Jun 30, 2020",0.000544,0.000547,0.000529,0.000532,"10,687,597","87,972,069"
"Jun 29, 2020",0.000539,0.000550,0.000532,0.000543,"11,680,234","89,766,357"
"Jun 28, 2020",0.000537,0.000544,0.000523,0.000539,"10,110,941","89,154,414"
"Jun 27, 2020",0.000552,0.000566,0.000527,0.000537,"10,307,550","88,739,925"
"Jun 26, 2020",0.000562,0.000568,0.000547,0.000554,"9,971,782","91,476,639"
"Jun 25, 2020",0.000571,0.000575,0.000556,0.000562,"7,208,476","92,820,513"
"Jun 24, 2020",0.000592,0.000601,0.000560,0.000570,"5,785,966","94,152,547"
"Jun 23, 2020",0.000591,0.000600,0.000579,0.000585,"9,614,392","96,636,506"
"Jun 22, 2020",0.000570,0.000594,0.000570,0.000590,"8,994,108","97,565,656"
"Jun 21, 2020",0.000575,0.000585,0.000566,0.000569,"8,123,506","94,027,090"
"Jun 20, 2020",0.000566,0.000583,0.000554,0.000575,"9,953,813","94,942,717"
"Jun 19, 2020",0.000576,0.000579,0.000561,0.000566,"9,693,772","93,560,736"
"Jun 18, 2020",0.000586,0.000591,0.000572,0.000577,"10,499,547","95,309,424"
"Jun 17, 2020",0.000583,0.000606,0.000578,0.000586,"10,753,506","96,736,958"
"Jun 16, 2020",0.000588,0.000602,0.000568,0.000583,"13,511,236","96,277,801"
"Jun 15, 2020",0.000593,0.000601,0.000554,0.000588,"11,322,888","97,121,788"
"Jun 14, 2020",0.000613,0.000619,0.000590,0.000593,"9,342,135","97,902,476"
"Jun 13, 2020",0.000608,0.000615,0.000590,0.000613,"9,740,935","101,270,423"
"Jun 12, 2020",0.000578,0.000611,0.000575,0.000608,"9,676,330","100,438,766"
"Jun 11, 2020",0.000638,0.000642,0.000567,0.000579,"11,098,192","95,580,704"
"Jun 10, 2020",0.000639,0.000643,0.000630,0.000638,"11,237,657","105,377,046"
"Jun 09, 2020",0.000638,0.000642,0.000627,0.000639,"10,839,446","105,586,331"
"Jun 08, 2020",0.000632,0.000637,0.000626,0.000637,"10,591,612","105,188,189"
"Jun 07, 2020",0.000639,0.000646,0.000613,0.000632,"10,524,517","104,393,245"
"Jun 06, 2020",0.000647,0.000649,0.000633,0.000639,"11,397,725","105,530,523"
"Jun 05, 2020",0.000650,0.000656,0.000641,0.000647,"15,315,398","106,853,267"
"Jun 04, 2020",0.000651,0.000653,0.000629,0.000650,"13,617,987","107,411,959"
"Jun 03, 2020",0.000622,0.000657,0.000614,0.000651,"12,597,190","107,511,036"
"Jun 02, 2020",0.000631,0.000645,0.000582,0.000622,"13,007,414","102,716,112"
"Jun 01, 2020",0.000631,0.000648,0.000611,0.000629,"12,357,332","103,894,634"
"May 31, 2020",0.000587,0.000689,0.000561,0.000633,"21,441,992","104,544,612"
"May 30, 2020",0.000565,0.000600,0.000550,0.000587,"10,413,266","96,911,451"
"May 29, 2020",0.000567,0.000575,0.000543,0.000564,"7,740,831","93,153,881"
"May 28, 2020",0.000563,0.000579,0.000529,0.000567,"10,370,663","93,630,718"
"May 27, 2020",0.000564,0.000573,0.000555,0.000562,"6,001,646","92,739,047"
"May 26, 2020",0.000575,0.000577,0.000545,0.000564,"7,848,259","92,512,047"
"May 25, 2020",0.000538,0.000582,0.000534,0.000574,"8,890,545","94,242,085"
"May 24, 2020",0.000532,0.000592,0.000524,0.000539,"19,895,680","88,415,228"
"May 23, 2020",0.000535,0.000538,0.000520,0.000534,"4,473,586","87,577,937"
"May 22, 2020",0.000518,0.000539,0.000508,0.000535,"6,498,643","87,779,538"
"May 21, 2020",0.000524,0.000530,0.000494,0.000518,"7,865,833","85,060,154"
"May 20, 2020",0.000539,0.000545,0.000520,0.000524,"7,287,243","86,046,655"
"May 19, 2020",0.000541,0.000546,0.000532,0.000539,"6,087,500","88,461,194"
"May 18, 2020",0.000540,0.000548,0.000533,0.000541,"7,053,248","88,825,176"
"May 17, 2020",0.000534,0.000548,0.000531,0.000539,"7,152,053","88,505,590"
"May 16, 2020",0.000530,0.000554,0.000524,0.000534,"7,684,691","87,561,332"
"May 15, 2020",0.000522,0.000550,0.000510,0.000531,"9,310,372","87,097,050"
"May 14, 2020",0.000517,0.000531,0.000502,0.000521,"6,584,890","85,517,589"
"May 13, 2020",0.000491,0.000527,0.000491,0.000520,"7,073,162","85,324,809"
"May 12, 2020",0.000488,0.000511,0.000481,0.000492,"6,479,355","80,764,649"
"May 11, 2020",0.000471,0.000516,0.000465,0.000490,"10,206,657","80,452,803"
"May 10, 2020",0.000527,0.000527,0.000440,0.000472,"9,934,236","77,486,010"
"May 09, 2020",0.000537,0.000546,0.000519,0.000523,"10,124,263","85,895,928"
"May 08, 2020",0.000553,0.000562,0.000533,0.000536,"10,700,487","87,968,798"
"May 07, 2020",0.000515,0.000571,0.000484,0.000551,"17,297,899","90,448,610"
"May 06, 2020",0.000551,0.000555,0.000512,0.000514,"12,603,863","84,394,276"
"May 05, 2020",0.000575,0.000582,0.000546,0.000550,"12,304,605","90,208,147"
