Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",1.26,1.26,1.06,1.22,"5,421,540","54,713,300"
"Sep 15, 2020",1.26,1.32,1.23,1.26,"13,465,344","56,293,699"
"Sep 14, 2020",1.24,1.31,1.22,1.27,"13,166,345","56,663,891"
"Sep 13, 2020",1.33,1.34,1.20,1.23,"15,493,846","55,291,140"
"Sep 12, 2020",1.27,1.36,1.25,1.33,"18,389,656","59,556,394"
"Sep 11, 2020",1.25,1.27,1.20,1.27,"11,652,237","56,776,393"
"Sep 10, 2020",1.22,1.28,1.22,1.25,"14,075,329","56,010,197"
"Sep 09, 2020",1.20,1.24,1.17,1.22,"10,269,588","54,659,441"
"Sep 08, 2020",1.24,1.26,1.17,1.20,"13,428,236","53,920,157"
"Sep 07, 2020",1.28,1.29,1.16,1.24,"17,136,611","55,545,937"
"Sep 06, 2020",1.25,1.29,1.21,1.28,"14,157,072","57,213,402"
"Sep 05, 2020",1.37,1.39,1.20,1.25,"23,615,315","55,921,316"
"Sep 04, 2020",1.25,1.39,1.22,1.37,"30,519,572","61,553,943"
"Sep 03, 2020",1.52,1.53,1.23,1.25,"35,951,962","55,886,942"
"Sep 02, 2020",1.66,1.66,1.45,1.52,"29,099,659","68,178,786"
"Sep 01, 2020",1.64,1.69,1.61,1.66,"25,329,748","74,457,846"
"Aug 31, 2020",1.60,1.68,1.57,1.64,"23,182,678","73,241,419"
"Aug 30, 2020",1.55,1.61,1.55,1.60,"14,993,588","71,677,680"
"Aug 29, 2020",1.54,1.58,1.52,1.56,"12,859,064","69,692,338"
"Aug 28, 2020",1.50,1.57,1.49,1.54,"14,907,957","68,715,890"
"Aug 27, 2020",1.63,1.64,1.43,1.50,"24,471,910","67,059,699"
"Aug 26, 2020",1.63,1.67,1.55,1.63,"24,091,691","73,082,774"
"Aug 25, 2020",1.74,1.74,1.58,1.63,"30,199,649","72,992,587"
"Aug 24, 2020",1.80,1.81,1.72,1.74,"24,285,683","77,872,925"
"Aug 23, 2020",1.86,1.93,1.75,1.80,"31,452,233","80,482,336"
"Aug 22, 2020",1.77,1.86,1.68,1.86,"41,864,693","83,139,890"
"Aug 21, 2020",1.69,2.10,1.69,1.77,"143,817,976","79,000,467"
"Aug 20, 2020",1.51,1.70,1.51,1.69,"30,836,593","75,796,686"
"Aug 19, 2020",1.56,1.57,1.47,1.51,"27,046,483","67,441,390"
"Aug 18, 2020",1.63,1.67,1.54,1.56,"28,324,429","69,788,954"
"Aug 17, 2020",1.61,1.69,1.57,1.64,"42,610,098","73,290,139"
"Aug 16, 2020",1.52,1.65,1.47,1.61,"35,211,443","72,066,918"
"Aug 15, 2020",1.47,1.55,1.45,1.52,"24,920,286","67,967,262"
"Aug 14, 2020",1.48,1.53,1.45,1.48,"19,592,187","66,091,788"
"Aug 13, 2020",1.45,1.48,1.37,1.48,"21,934,114","66,086,807"
"Aug 12, 2020",1.42,1.45,1.34,1.45,"21,169,257","64,784,101"
"Aug 11, 2020",1.48,1.55,1.39,1.42,"32,469,581","63,729,926"
"Aug 10, 2020",1.44,1.49,1.42,1.48,"23,360,614","66,359,677"
"Aug 09, 2020",1.44,1.46,1.40,1.44,"17,716,902","64,389,291"
"Aug 08, 2020",1.40,1.44,1.38,1.43,"18,743,575","64,171,893"
"Aug 07, 2020",1.45,1.49,1.37,1.40,"19,963,241","62,468,669"
"Aug 06, 2020",1.47,1.47,1.43,1.45,"19,604,060","64,737,273"
"Aug 05, 2020",1.48,1.49,1.45,1.47,"19,866,135","65,724,252"
"Aug 04, 2020",1.45,1.50,1.43,1.48,"25,880,444","66,064,932"
"Aug 03, 2020",1.37,1.48,1.37,1.45,"24,723,723","64,748,669"
"Aug 02, 2020",1.48,1.52,1.35,1.37,"39,604,171","61,277,283"
"Aug 01, 2020",1.37,1.47,1.37,1.47,"33,656,018","65,805,280"
"Jul 31, 2020",1.37,1.39,1.36,1.37,"14,459,619","61,372,781"
"Jul 30, 2020",1.37,1.39,1.35,1.37,"13,395,389","61,388,564"
"Jul 29, 2020",1.36,1.42,1.35,1.37,"22,638,482","61,140,901"
"Jul 28, 2020",1.36,1.39,1.32,1.36,"18,205,845","61,006,029"
"Jul 27, 2020",1.37,1.38,1.28,1.36,"23,964,015","60,657,523"
"Jul 26, 2020",1.32,1.40,1.31,1.37,"26,307,825","61,315,201"
"Jul 25, 2020",1.28,1.32,1.27,1.32,"14,389,446","59,025,712"
"Jul 24, 2020",1.31,1.31,1.27,1.27,"12,521,036","56,972,191"
"Jul 23, 2020",1.31,1.32,1.30,1.31,"15,789,766","58,681,653"
"Jul 22, 2020",1.30,1.31,1.28,1.31,"16,012,964","58,499,697"
"Jul 21, 2020",1.29,1.30,1.27,1.30,"14,556,093","58,230,738"
"Jul 20, 2020",1.28,1.32,1.27,1.29,"17,569,409","57,661,370"
"Jul 19, 2020",1.27,1.29,1.25,1.28,"14,621,700","57,344,766"
"Jul 18, 2020",1.27,1.29,1.25,1.27,"13,985,919","56,639,854"
"Jul 17, 2020",1.28,1.30,1.24,1.27,"15,417,333","56,984,878"
"Jul 16, 2020",1.32,1.33,1.23,1.28,"24,869,851","57,344,586"
"Jul 15, 2020",1.34,1.42,1.32,1.32,"25,760,832","58,809,936"
"Jul 14, 2020",1.26,1.42,1.23,1.34,"34,680,230","59,985,123"
"Jul 13, 2020",1.26,1.29,1.24,1.26,"18,114,349","56,481,256"
"Jul 12, 2020",1.27,1.30,1.24,1.26,"17,173,106","56,278,099"
"Jul 11, 2020",1.24,1.28,1.24,1.27,"15,132,073","56,945,716"
"Jul 10, 2020",1.27,1.27,1.22,1.24,"18,641,573","55,506,228"
"Jul 09, 2020",1.29,1.32,1.25,1.27,"21,069,692","56,780,905"
"Jul 08, 2020",1.20,1.31,1.19,1.29,"21,845,100","57,457,311"
"Jul 07, 2020",1.24,1.24,1.18,1.20,"11,848,477","53,594,297"
"Jul 06, 2020",1.12,1.24,1.12,1.24,"26,550,431","55,324,127"
"Jul 05, 2020",1.11,1.12,1.08,1.12,"13,775,484","49,944,406"
"Jul 04, 2020",1.08,1.12,1.08,1.11,"11,462,908","49,690,432"
"Jul 03, 2020",1.09,1.10,1.07,1.08,"10,658,078","48,462,511"
"Jul 02, 2020",1.09,1.11,1.06,1.09,"10,119,837","48,850,420"
"Jul 01, 2020",1.11,1.11,1.08,1.09,"12,453,451","48,873,921"
"Jun 30, 2020",1.11,1.12,1.10,1.11,"12,389,624","49,389,597"
"Jun 29, 2020",1.09,1.12,1.07,1.11,"14,120,764","49,554,967"
"Jun 28, 2020",1.09,1.11,1.05,1.09,"17,013,686","48,883,079"
"Jun 27, 2020",1.15,1.15,1.07,1.09,"15,440,037","48,744,321"
"Jun 26, 2020",1.16,1.17,1.13,1.15,"15,272,141","51,251,629"
"Jun 25, 2020",1.18,1.19,1.14,1.16,"15,510,893","51,873,881"
"Jun 24, 2020",1.23,1.25,1.17,1.18,"15,923,885","52,923,462"
"Jun 23, 2020",1.25,1.26,1.22,1.23,"16,376,311","55,011,287"
"Jun 22, 2020",1.21,1.25,1.20,1.25,"20,939,757","55,711,528"
"Jun 21, 2020",1.19,1.26,1.19,1.21,"16,968,968","54,047,065"
"Jun 20, 2020",1.17,1.21,1.16,1.19,"15,908,439","53,190,905"
"Jun 19, 2020",1.20,1.21,1.16,1.17,"14,227,726","52,030,162"
"Jun 18, 2020",1.20,1.21,1.18,1.20,"13,533,680","53,787,662"
"Jun 17, 2020",1.21,1.22,1.18,1.20,"13,715,029","53,520,160"
"Jun 16, 2020",1.18,1.24,1.18,1.21,"16,724,476","54,248,360"
"Jun 15, 2020",1.22,1.23,1.12,1.19,"26,294,874","52,990,250"
"Jun 14, 2020",1.26,1.27,1.21,1.22,"13,598,501","54,671,009"
"Jun 13, 2020",1.26,1.27,1.23,1.26,"14,067,801","56,401,675"
"Jun 12, 2020",1.22,1.26,1.18,1.26,"18,330,113","56,050,211"
"Jun 11, 2020",1.34,1.36,1.20,1.22,"23,018,898","54,373,917"
"Jun 10, 2020",1.34,1.36,1.32,1.34,"14,400,061","59,951,829"
"Jun 09, 2020",1.32,1.35,1.30,1.34,"16,056,765","59,674,621"
"Jun 08, 2020",1.32,1.32,1.30,1.32,"9,689,169","58,776,919"
"Jun 07, 2020",1.33,1.34,1.26,1.32,"18,021,346","58,758,506"
"Jun 06, 2020",1.34,1.35,1.32,1.33,"11,966,364","59,262,774"
"Jun 05, 2020",1.36,1.36,1.33,1.34,"14,928,792","59,721,049"
"Jun 04, 2020",1.36,1.37,1.33,1.36,"14,911,847","60,596,898"
"Jun 03, 2020",1.34,1.37,1.31,1.37,"17,196,583","60,976,751"
"Jun 02, 2020",1.37,1.46,1.31,1.34,"36,391,720","59,833,688"
"Jun 01, 2020",1.32,1.39,1.32,1.38,"26,429,346","61,423,380"
"May 31, 2020",1.36,1.38,1.31,1.32,"26,810,795","59,037,652"
"May 30, 2020",1.28,1.41,1.26,1.36,"47,859,627","60,726,103"
"May 29, 2020",1.30,1.32,1.27,1.28,"21,505,899","56,932,645"
"May 28, 2020",1.27,1.31,1.26,1.30,"21,814,793","58,149,444"
"May 27, 2020",1.26,1.30,1.25,1.27,"18,448,805","56,858,026"
"May 26, 2020",1.32,1.32,1.24,1.26,"18,101,441","56,016,918"
"May 25, 2020",1.24,1.34,1.21,1.32,"22,458,161","58,787,500"
"May 24, 2020",1.34,1.42,1.24,1.24,"35,294,414","55,246,089"
"May 23, 2020",1.49,1.59,1.33,1.34,"64,354,602","59,971,405"
"May 22, 2020",1.09,1.59,1.09,1.49,"103,483,002","66,377,201"
"May 21, 2020",1.05,1.13,1.05,1.09,"18,041,146","48,811,577"
"May 20, 2020",1.05,1.10,1.04,1.05,"11,967,467","47,025,210"
"May 19, 2020",1.04,1.06,1.03,1.06,"13,888,957","47,093,855"
"May 18, 2020",1.03,1.07,1.03,1.04,"12,124,778","46,357,736"
"May 17, 2020",1.03,1.05,1.02,1.03,"9,147,486","46,074,624"
"May 16, 2020",1.01,1.04,0.998246,1.03,"11,015,880","45,759,616"
"May 15, 2020",1.04,1.05,1.01,1.01,"11,202,358","44,874,906"
"May 14, 2020",1.02,1.04,1.01,1.04,"13,428,848","46,337,666"
"May 13, 2020",0.999140,1.03,0.996543,1.02,"12,180,416","45,503,293"
"May 12, 2020",0.980405,1.01,0.977543,0.999140,"10,408,443","44,570,988"
"May 11, 2020",1.00,1.02,0.946178,0.980169,"13,813,259","43,723,503"
"May 10, 2020",1.09,1.09,0.975047,1.00,"19,989,347","44,767,900"
"May 09, 2020",1.15,1.16,1.09,1.09,"14,502,249","48,600,776"
"May 08, 2020",1.10,1.16,1.09,1.15,"14,996,602","51,298,076"
"May 07, 2020",1.10,1.11,1.05,1.10,"16,425,973","48,995,306"
"May 06, 2020",1.11,1.13,1.10,1.11,"13,410,177","49,359,997"
"May 05, 2020",1.12,1.13,1.09,1.11,"13,313,934","49,410,901"
"May 04, 2020",1.15,1.16,1.08,1.12,"18,987,377","49,867,390"
"May 03, 2020",1.17,1.21,1.14,1.15,"19,774,170","51,474,205"
"May 02, 2020",1.15,1.18,1.13,1.17,"13,200,519","52,361,055"
"May 01, 2020",1.13,1.18,1.13,1.15,"14,094,515","51,373,154"
"Apr 30, 2020",1.16,1.21,1.10,1.13,"32,498,706","50,509,176"
"Apr 29, 2020",1.08,1.18,1.07,1.16,"24,789,509","51,815,040"
"Apr 28, 2020",1.10,1.10,1.06,1.08,"14,904,851","48,077,157"
"Apr 27, 2020",1.10,1.11,1.05,1.10,"19,280,875","48,867,725"
"Apr 26, 2020",1.06,1.13,1.05,1.10,"20,919,632","49,159,195"
"Apr 25, 2020",1.04,1.09,1.03,1.06,"17,807,994","47,477,230"
"Apr 24, 2020",1.02,1.06,1.01,1.04,"13,001,321","46,311,953"
"Apr 23, 2020",1.01,1.03,0.995833,1.01,"14,829,670","45,219,068"
"Apr 22, 2020",0.989152,1.02,0.975045,1.01,"13,499,916","45,002,254"
"Apr 21, 2020",0.977242,1.00,0.955291,0.989434,"16,908,729","44,113,560"
"Apr 20, 2020",1.03,1.04,0.975008,0.976751,"17,516,911","43,546,923"
"Apr 19, 2020",1.06,1.06,1.02,1.03,"13,617,674","46,044,296"
"Apr 18, 2020",1.03,1.06,1.03,1.06,"16,241,701","47,179,358"
"Apr 17, 2020",1.05,1.05,1.03,1.04,"12,989,434","46,200,961"
"Apr 16, 2020",0.982214,1.06,0.963350,1.04,"22,104,609","46,576,968"
"Apr 15, 2020",0.997458,1.01,0.978545,0.982259,"10,796,042","43,786,752"
"Apr 14, 2020",1.00,1.02,0.995346,0.996550,"12,806,988","44,422,669"
"Apr 13, 2020",1.04,1.04,0.985542,1.00,"18,414,551","44,645,533"
"Apr 12, 2020",1.04,1.06,1.03,1.04,"17,014,899","46,235,975"
"Apr 11, 2020",1.04,1.06,1.03,1.04,"14,388,493","46,291,709"
"Apr 10, 2020",1.12,1.12,1.01,1.04,"25,413,002","46,311,931"
"Apr 09, 2020",1.14,1.14,1.10,1.12,"16,200,618","49,892,936"
"Apr 08, 2020",1.07,1.14,1.06,1.14,"24,843,182","50,696,906"
"Apr 07, 2020",1.10,1.12,1.06,1.07,"27,199,301","47,783,026"
"Apr 06, 2020",0.993976,1.10,0.992979,1.10,"27,815,865","49,031,657"
"Apr 05, 2020",1.01,1.02,0.982734,0.990692,"18,134,033","44,151,599"
"Apr 04, 2020",1.00,1.01,0.985341,1.01,"13,471,246","44,880,530"
"Apr 03, 2020",1.01,1.03,0.973955,1.00,"17,517,803","44,596,477"
"Apr 02, 2020",0.975739,1.03,0.975600,1.00,"21,111,451","44,589,976"
"Apr 01, 2020",0.966849,0.977522,0.936647,0.977055,"15,050,388","43,539,494"
"Mar 31, 2020",0.963078,0.995956,0.957818,0.966849,"14,423,124","43,083,523"
"Mar 30, 2020",0.907192,0.973612,0.901780,0.964259,"17,660,220","42,967,005"
"Mar 29, 2020",0.941768,0.948217,0.902556,0.904653,"13,945,251","40,309,968"
"Mar 28, 2020",0.966989,0.966989,0.910496,0.941723,"22,168,086","41,960,721"
"Mar 27, 2020",0.999710,1.02,0.968033,0.968033,"16,223,015","43,131,913"
"Mar 26, 2020",1.01,1.01,0.977632,0.998660,"16,952,181","44,495,371"
"Mar 25, 2020",1.03,1.03,0.990424,1.01,"21,273,048","44,939,368"
"Mar 24, 2020",1.00,1.04,0.984351,1.03,"22,715,922","45,766,121"
"Mar 23, 2020",0.932001,1.01,0.924492,1.00,"26,842,199","44,693,947"
"Mar 22, 2020",1.03,1.08,0.930657,0.932001,"22,447,030","41,521,298"
"Mar 21, 2020",1.03,1.06,0.987955,1.03,"23,029,104","45,814,976"
"Mar 20, 2020",1.03,1.15,0.986029,1.03,"42,228,834","45,840,776"
"Mar 19, 2020",0.905564,1.06,0.905564,1.03,"40,419,362","45,772,214"
"Mar 18, 2020",0.890691,0.914448,0.873765,0.903930,"23,017,779","40,266,754"
"Mar 17, 2020",0.861759,0.926555,0.846818,0.891489,"21,038,583","39,711,533"
"Mar 16, 2020",0.948046,0.949700,0.780775,0.860754,"24,235,013","38,341,546"
"Mar 15, 2020",0.906713,0.980321,0.891761,0.947685,"12,907,035","42,212,837"
"Mar 14, 2020",0.967480,0.980046,0.860915,0.906713,"21,755,745","40,386,836"
"Mar 13, 2020",0.710345,1.00,0.617615,0.965640,"70,730,557","43,010,576"
"Mar 12, 2020",1.40,1.41,0.708182,0.708182,"37,851,071","31,542,353"
"Mar 11, 2020",1.43,1.44,1.35,1.41,"23,352,745","62,686,888"
"Mar 10, 2020",1.45,1.46,1.41,1.43,"26,593,059","63,556,370"
"Mar 09, 2020",1.48,1.50,1.36,1.45,"41,682,938","64,400,822"
"Mar 08, 2020",1.64,1.64,1.44,1.48,"26,850,636","65,854,106"
"Mar 07, 2020",1.73,1.74,1.64,1.64,"18,280,288","73,090,275"
"Mar 06, 2020",1.71,1.76,1.67,1.73,"31,798,064","77,157,506"
"Mar 05, 2020",1.59,1.75,1.59,1.71,"25,337,318","76,372,901"
"Mar 04, 2020",1.58,1.60,1.57,1.59,"26,623,693","70,678,571"
"Mar 03, 2020",1.57,1.61,1.56,1.58,"27,926,463","70,551,814"
"Mar 02, 2020",1.50,1.61,1.50,1.58,"30,350,222","70,144,417"
"Mar 01, 2020",1.52,1.55,1.47,1.51,"26,503,940","67,020,556"
"Feb 29, 2020",1.52,1.58,1.51,1.52,"31,187,185","67,812,477"
"Feb 28, 2020",1.59,1.62,1.46,1.51,"38,857,844","67,452,016"
"Feb 27, 2020",1.54,1.66,1.46,1.58,"46,205,231","70,447,622"
"Feb 26, 2020",1.78,1.79,1.46,1.54,"64,215,798","68,647,932"
"Feb 25, 2020",1.87,1.93,1.78,1.78,"45,432,280","79,373,044"
"Feb 24, 2020",1.94,1.95,1.82,1.87,"34,013,671","83,111,913"
"Feb 23, 2020",1.90,1.95,1.89,1.93,"26,084,729","86,061,599"
"Feb 22, 2020",1.90,1.92,1.88,1.89,"33,974,066","84,359,885"
"Feb 21, 2020",1.89,1.94,1.87,1.90,"37,060,887","84,685,249"
"Feb 20, 2020",1.87,1.93,1.81,1.89,"49,623,655","84,344,595"
"Feb 19, 2020",2.06,2.09,1.84,1.86,"34,078,365","82,875,569"
"Feb 18, 2020",1.94,2.11,1.89,2.06,"68,060,240","91,501,223"
"Feb 17, 2020",1.97,1.98,1.74,1.94,"83,935,218","86,140,639"
"Feb 16, 2020",2.20,2.29,1.61,1.98,"94,027,816","88,089,842"
"Feb 15, 2020",2.48,2.51,2.12,2.20,"51,033,901","98,020,054"
"Feb 14, 2020",2.44,2.48,2.38,2.48,"40,461,150","110,513,168"
"Feb 13, 2020",2.38,2.52,2.34,2.44,"63,174,424","108,716,623"
"Feb 12, 2020",2.34,2.40,2.32,2.38,"43,005,107","105,914,212"
"Feb 11, 2020",2.23,2.35,2.13,2.33,"46,748,717","103,921,320"
"Feb 10, 2020",2.33,2.35,2.12,2.23,"55,541,647","99,168,654"
"Feb 09, 2020",2.28,2.39,2.22,2.34,"48,612,133","103,996,534"
"Feb 08, 2020",2.43,2.44,2.16,2.28,"83,307,797","101,600,403"
"Feb 07, 2020",1.93,2.42,1.93,2.42,"102,853,859","107,827,592"
"Feb 06, 2020",1.82,1.94,1.78,1.93,"38,267,548","86,020,182"
"Feb 05, 2020",1.70,1.83,1.70,1.82,"32,117,645","81,053,259"
"Feb 04, 2020",1.74,1.74,1.65,1.70,"16,977,544","75,771,953"
"Feb 03, 2020",1.75,1.79,1.70,1.74,"28,653,841","77,296,782"
"Feb 02, 2020",1.75,1.82,1.70,1.75,"34,536,729","77,895,717"
"Feb 01, 2020",1.60,1.78,1.60,1.75,"35,412,122","77,732,917"
"Jan 31, 2020",1.65,1.69,1.56,1.60,"26,642,382","71,253,886"
"Jan 30, 2020",1.55,1.66,1.52,1.65,"30,617,149","73,588,180"
"Jan 29, 2020",1.54,1.59,1.52,1.55,"22,730,288","69,154,539"
"Jan 28, 2020",1.51,1.55,1.49,1.54,"21,481,646","68,367,123"
"Jan 27, 2020",1.48,1.56,1.46,1.50,"25,900,764","66,920,408"
"Jan 26, 2020",1.38,1.51,1.36,1.48,"17,582,128","65,715,818"
"Jan 25, 2020",1.38,1.39,1.36,1.38,"11,426,189","61,230,349"
"Jan 24, 2020",1.38,1.40,1.32,1.38,"18,423,941","61,515,295"
"Jan 23, 2020",1.44,1.44,1.34,1.38,"17,643,144","61,209,452"
"Jan 22, 2020",1.43,1.46,1.42,1.44,"15,905,521","63,926,343"
"Jan 21, 2020",1.42,1.44,1.38,1.42,"17,069,923","63,394,345"
"Jan 20, 2020",1.45,1.46,1.37,1.42,"17,349,673","63,359,772"
"Jan 19, 2020",1.51,1.57,1.41,1.45,"12,525,153","64,706,459"
"Jan 18, 2020",1.58,1.61,1.50,1.51,"14,272,465","67,210,120"
"Jan 17, 2020",1.47,1.63,1.45,1.59,"38,387,554","70,554,339"
"Jan 16, 2020",1.55,1.59,1.38,1.47,"31,744,241","65,549,946"
"Jan 15, 2020",1.38,1.73,1.35,1.55,"61,422,772","68,870,099"
"Jan 14, 2020",1.20,1.39,1.20,1.38,"33,687,323","61,278,640"
"Jan 13, 2020",1.23,1.23,1.17,1.20,"13,504,416","53,225,805"
"Jan 12, 2020",1.21,1.25,1.20,1.23,"13,756,917","54,749,276"
"Jan 11, 2020",1.22,1.25,1.19,1.20,"17,332,926","53,540,481"
"Jan 10, 2020",1.14,1.22,1.11,1.22,"18,787,792","54,282,461"
"Jan 09, 2020",1.17,1.17,1.12,1.15,"15,875,404","50,942,031"
"Jan 08, 2020",1.23,1.25,1.15,1.17,"18,768,771","51,891,251"
"Jan 07, 2020",1.16,1.25,1.16,1.23,"24,229,817","54,524,219"
"Jan 06, 2020",1.09,1.16,1.08,1.16,"18,840,390","51,613,372"
"Jan 05, 2020",1.09,1.10,1.08,1.09,"6,381,587","48,361,685"
"Jan 04, 2020",1.10,1.10,1.06,1.09,"10,864,879","48,287,594"
"Jan 03, 2020",1.05,1.10,1.04,1.10,"12,073,986","48,705,161"
"Jan 02, 2020",1.10,1.10,1.05,1.06,"7,126,787","46,966,307"
"Jan 01, 2020",1.10,1.11,1.09,1.10,"8,567,176","48,722,454"
"Dec 31, 2019",1.11,1.12,1.10,1.10,"9,656,973","49,083,333"
"Dec 30, 2019",1.12,1.13,1.10,1.11,"10,669,321","49,311,644"
"Dec 29, 2019",1.10,1.14,1.10,1.12,"10,427,506","50,024,612"
"Dec 28, 2019",1.12,1.13,1.10,1.10,"9,481,067","49,117,385"
"Dec 27, 2019",1.11,1.14,1.09,1.12,"9,644,344","49,861,689"
"Dec 26, 2019",1.09,1.12,1.08,1.11,"10,679,928","49,208,897"
"Dec 25, 2019",1.12,1.12,1.08,1.09,"9,962,944","48,643,127"
"Dec 24, 2019",1.10,1.14,1.09,1.12,"9,635,201","49,854,600"
"Dec 23, 2019",1.10,1.16,1.09,1.10,"12,033,118","48,779,617"
"Dec 22, 2019",1.09,1.14,1.08,1.10,"7,224,779","48,721,035"
"Dec 21, 2019",1.10,1.10,1.08,1.09,"8,443,911","48,391,234"
"Dec 20, 2019",1.11,1.12,1.09,1.10,"10,161,252","48,981,890"
"Dec 19, 2019",1.14,1.15,1.07,1.11,"13,422,061","49,272,403"
"Dec 18, 2019",1.08,1.15,1.03,1.14,"15,290,928","50,499,631"
"Dec 17, 2019",1.12,1.15,1.05,1.08,"9,865,414","48,025,643"
"Dec 16, 2019",1.16,1.19,1.12,1.12,"55,146,743","49,841,185"
"Dec 15, 2019",1.17,1.20,1.11,1.16,"16,944,223","51,694,058"
"Dec 14, 2019",1.21,1.22,1.15,1.17,"9,433,731","51,941,931"
"Dec 13, 2019",1.16,1.24,1.16,1.21,"11,568,769","53,658,565"
"Dec 12, 2019",1.16,1.17,1.14,1.16,"7,773,812","51,578,128"
