Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.603622,0.623907,0.586543,0.612430,"2,825,686","74,598,296"
"Sep 15, 2020",0.631790,0.639182,0.603195,0.603842,"3,046,649","73,547,041"
"Sep 14, 2020",0.610830,0.638618,0.600316,0.631633,"3,126,946","76,927,437"
"Sep 13, 2020",0.653517,0.655278,0.601831,0.610705,"3,771,785","74,372,211"
"Sep 12, 2020",0.644794,0.661872,0.636497,0.653356,"3,854,703","79,559,078"
"Sep 11, 2020",0.627122,0.649328,0.598762,0.644794,"4,337,770","78,510,909"
"Sep 10, 2020",0.613322,0.646531,0.606440,0.627122,"5,308,657","76,350,295"
"Sep 09, 2020",0.583501,0.635020,0.569719,0.613104,"4,324,401","74,621,758"
"Sep 08, 2020",0.612804,0.621342,0.571211,0.584073,"3,879,621","71,081,011"
"Sep 07, 2020",0.621688,0.626418,0.568846,0.612764,"3,329,106","74,567,352"
"Sep 06, 2020",0.591257,0.626352,0.564903,0.621676,"4,674,571","75,643,082"
"Sep 05, 2020",0.630599,0.636983,0.567197,0.591257,"3,684,316","71,936,544"
"Sep 04, 2020",0.610623,0.644164,0.594340,0.631270,"4,532,409","76,797,748"
"Sep 03, 2020",0.707307,0.710537,0.601419,0.610320,"4,081,044","74,242,306"
"Sep 02, 2020",0.761084,0.767229,0.686584,0.707585,"5,836,819","86,028,319"
"Sep 01, 2020",0.800764,0.801685,0.755822,0.760632,"5,850,080","92,469,251"
"Aug 31, 2020",0.779772,0.805921,0.768420,0.801199,"5,110,294","97,393,129"
"Aug 30, 2020",0.796948,0.806290,0.773646,0.778354,"4,582,392","94,601,961"
"Aug 29, 2020",0.781890,0.809587,0.776530,0.796764,"4,616,115","96,826,301"
"Aug 28, 2020",0.752768,0.789072,0.745362,0.782801,"4,461,906","95,082,434"
"Aug 27, 2020",0.831665,0.832500,0.726324,0.752943,"6,187,081","91,451,325"
"Aug 26, 2020",0.813262,0.832650,0.791274,0.831612,"4,582,172","101,000,533"
"Aug 25, 2020",0.894846,0.895071,0.777173,0.814936,"7,842,745","98,957,816"
"Aug 24, 2020",0.902694,0.905003,0.867746,0.894994,"6,981,092","108,667,922"
"Aug 23, 2020",0.972447,0.989351,0.884880,0.902694,"9,194,940","109,595,369"
"Aug 22, 2020",0.859686,0.994748,0.833873,0.972277,"16,772,164","118,025,157"
"Aug 21, 2020",0.857408,0.903743,0.832505,0.859686,"14,192,723","104,344,552"
"Aug 20, 2020",0.812234,0.863481,0.782240,0.857460,"9,566,461","104,062,435"
"Aug 19, 2020",0.821976,0.874894,0.757522,0.811276,"14,270,664","98,450,376"
"Aug 18, 2020",0.774714,0.834111,0.746565,0.821976,"7,222,693","99,735,053"
"Aug 17, 2020",0.797435,0.816081,0.769064,0.772796,"6,576,664","93,759,185"
"Aug 16, 2020",0.771706,0.807868,0.748106,0.797435,"5,749,056","96,738,822"
"Aug 15, 2020",0.800562,0.810069,0.758991,0.771232,"5,634,411","93,551,125"
"Aug 14, 2020",0.795161,0.840463,0.786216,0.799799,"8,606,833","97,010,494"
