Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.026777,0.027412,0.025815,0.026440,"6,292,966","68,195,937"
"Sep 15, 2020",0.030463,0.030762,0.026793,0.026793,"7,135,659","69,106,658"
"Sep 14, 2020",0.029852,0.030824,0.029714,0.030463,"6,355,546","78,571,459"
"Sep 13, 2020",0.030233,0.030282,0.029127,0.029917,"6,744,453","77,162,507"
"Sep 12, 2020",0.031107,0.031247,0.029917,0.030233,"6,842,213","77,977,869"
"Sep 11, 2020",0.027731,0.032720,0.026615,0.031002,"9,184,040","79,961,180"
"Sep 10, 2020",0.026045,0.028385,0.025940,0.027719,"6,232,815","70,940,412"
"Sep 09, 2020",0.025866,0.026420,0.025535,0.026045,"5,296,826","66,525,941"
"Sep 08, 2020",0.026853,0.027100,0.025494,0.025867,"3,503,500","66,071,616"
"Sep 07, 2020",0.027605,0.027906,0.025303,0.026853,"7,111,465","68,588,626"
"Sep 06, 2020",0.026303,0.027932,0.025612,0.027642,"8,004,749","70,273,432"
"Sep 05, 2020",0.028521,0.028703,0.025649,0.026303,"9,346,530","66,867,965"
"Sep 04, 2020",0.025229,0.031115,0.025229,0.028522,"9,181,697","72,510,548"
"Sep 03, 2020",0.034861,0.035529,0.024304,0.025515,"10,429,555","64,660,900"
"Sep 02, 2020",0.036639,0.042812,0.034086,0.034851,"13,176,800","88,196,304"
"Sep 01, 2020",0.035985,0.040009,0.035634,0.036636,"4,617,529","92,567,109"
"Aug 31, 2020",0.035020,0.037253,0.034411,0.035961,"4,195,351","90,859,602"
"Aug 30, 2020",0.032568,0.035004,0.032056,0.035004,"3,762,591","88,231,533"
"Aug 29, 2020",0.034344,0.034583,0.031894,0.032568,"4,085,479","82,091,470"
"Aug 28, 2020",0.037105,0.040258,0.033875,0.034346,"5,674,043","86,230,271"
"Aug 27, 2020",0.039360,0.040663,0.032170,0.037044,"9,035,999","92,855,273"
"Aug 26, 2020",0.028471,0.042059,0.028394,0.039368,"7,508,909","98,326,609"
"Aug 25, 2020",0.026558,0.028598,0.026268,0.028459,"3,474,150","71,011,041"
"Aug 24, 2020",0.026468,0.027554,0.026106,0.026555,"2,006,981","65,942,584"
"Aug 23, 2020",0.026940,0.027007,0.025413,0.026417,"3,247,608","65,600,751"
"Aug 22, 2020",0.026005,0.026998,0.025574,0.026900,"2,041,803","66,798,523"
"Aug 21, 2020",0.025793,0.026893,0.025624,0.025975,"2,939,431","64,503,060"
"Aug 20, 2020",0.024738,0.025993,0.024291,0.025806,"2,349,407","64,081,564"
"Aug 19, 2020",0.027308,0.027562,0.024065,0.024738,"3,218,216","61,430,400"
"Aug 18, 2020",0.024754,0.027641,0.024671,0.027315,"2,860,726","67,830,256"
"Aug 17, 2020",0.024182,0.025519,0.023554,0.024819,"3,925,086","61,630,495"
"Aug 16, 2020",0.024035,0.024701,0.023198,0.024182,"3,511,836","60,048,800"
"Aug 15, 2020",0.023180,0.027810,0.022773,0.024031,"7,906,024","59,433,428"
"Aug 14, 2020",0.018487,0.025788,0.018111,0.023174,"12,346,393","57,315,948"
"Aug 13, 2020",0.018556,0.018661,0.017117,0.018505,"4,203,053","46,156,463"
"Aug 12, 2020",0.017650,0.018816,0.016926,0.018550,"4,377,883","46,045,747"
"Aug 11, 2020",0.016729,0.018370,0.016559,0.017645,"5,017,344","43,799,145"
"Aug 10, 2020",0.016928,0.017109,0.015990,0.016738,"2,192,797","41,212,407"
"Aug 09, 2020",0.016925,0.017306,0.016199,0.016930,"2,195,946","41,685,790"
"Aug 08, 2020",0.016735,0.017499,0.016466,0.016877,"2,831,819","41,554,597"
"Aug 07, 2020",0.014990,0.017955,0.014983,0.016749,"7,680,712","42,329,909"
"Aug 06, 2020",0.014076,0.015191,0.013317,0.014980,"4,591,240","37,857,538"
"Aug 05, 2020",0.012229,0.014148,0.011886,0.014076,"3,531,786","35,292,142"
"Aug 04, 2020",0.011563,0.013813,0.011563,0.012236,"2,276,831","30,678,061"
"Aug 03, 2020",0.011538,0.011681,0.011275,0.011563,"1,559,892","28,991,164"
"Aug 02, 2020",0.011922,0.011951,0.011069,0.011546,"2,272,599","28,949,138"
"Aug 01, 2020",0.011370,0.013045,0.011331,0.011914,"4,070,696","29,871,554"
"Jul 31, 2020",0.011341,0.011397,0.010786,0.011370,"1,451,165","28,506,307"
"Jul 30, 2020",0.011974,0.011991,0.011091,0.011342,"1,657,300","28,464,370"
"Jul 29, 2020",0.012056,0.012117,0.011130,0.011974,"1,748,566","30,050,922"
"Jul 28, 2020",0.011859,0.012139,0.010295,0.012050,"3,924,923","30,507,807"
"Jul 27, 2020",0.011693,0.012498,0.011357,0.011859,"2,562,716","30,024,471"
"Jul 26, 2020",0.013760,0.013789,0.011580,0.011706,"7,518,343","29,672,896"
"Jul 25, 2020",0.010948,0.013945,0.009497,0.013302,"5,719,139","33,450,407"
"Jul 24, 2020",0.011607,0.011735,0.010856,0.010968,"1,853,287","27,582,803"
"Jul 23, 2020",0.012160,0.012372,0.011495,0.011607,"2,426,739","29,514,011"
"Jul 22, 2020",0.012598,0.012755,0.011982,0.012160,"3,345,982","30,750,080"
"Jul 21, 2020",0.012195,0.012762,0.010753,0.012623,"3,526,100","31,794,445"
"Jul 20, 2020",0.010760,0.012290,0.010584,0.012195,"3,520,773","31,385,453"
"Jul 19, 2020",0.011017,0.011195,0.010435,0.010758,"2,891,297","27,688,630"
"Jul 18, 2020",0.009654,0.012027,0.009460,0.011114,"7,825,137","28,603,450"
"Jul 17, 2020",0.008313,0.010270,0.008164,0.009654,"7,913,253","24,344,660"
"Jul 16, 2020",0.008486,0.008643,0.008100,0.008312,"2,702,966","20,867,399"
"Jul 15, 2020",0.009071,0.009769,0.008263,0.008486,"5,926,057","21,099,762"
"Jul 14, 2020",0.007135,0.013956,0.006698,0.008995,"36,606,182","23,077,508"
"Jul 13, 2020",0.006690,0.007801,0.006497,0.007135,"4,044,963","18,162,770"
"Jul 12, 2020",0.006808,0.006817,0.006670,0.006690,"1,866,083","17,029,229"
"Jul 11, 2020",0.006649,0.006831,0.006646,0.006805,"1,714,705","17,323,009"
"Jul 10, 2020",0.006406,0.006652,0.006350,0.006649,"2,272,178","16,926,296"
"Jul 09, 2020",0.006389,0.006705,0.004777,0.006408,"2,380,511","16,133,319"
"Jul 08, 2020",0.006297,0.006475,0.006240,0.006387,"1,719,983","16,079,086"
"Jul 07, 2020",0.006300,0.006652,0.006178,0.006296,"1,501,935","15,983,553"
"Jul 06, 2020",0.006369,0.006749,0.006233,0.006415,"2,015,445","16,283,788"
"Jul 05, 2020",0.006366,0.006909,0.006289,0.006378,"3,955,052","16,337,871"
"Jul 04, 2020",0.005993,0.006399,0.005903,0.006371,"1,889,248","16,128,577"
"Jul 03, 2020",0.005876,0.006259,0.005834,0.005996,"2,341,149","15,180,165"
"Jul 02, 2020",0.006021,0.006071,0.005766,0.005875,"1,570,953","14,872,258"
"Jul 01, 2020",0.005616,0.006472,0.005571,0.006023,"3,315,677","15,090,023"
"Jun 30, 2020",0.005539,0.005689,0.005490,0.005614,"1,978,630","14,066,415"
"Jun 29, 2020",0.005634,0.005697,0.005421,0.005540,"2,652,666","13,881,425"
"Jun 28, 2020",0.006186,0.006186,0.005535,0.005635,"3,948,026","14,119,372"
"Jun 27, 2020",0.005462,0.006605,0.005202,0.006186,"7,438,558","15,499,657"
"Jun 26, 2020",0.005444,0.005787,0.005444,0.005462,"1,852,456","13,684,566"
"Jun 25, 2020",0.005497,0.005556,0.005321,0.005445,"1,596,628","13,642,577"
