Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.120728,0.120731,0.110505,0.111274,"42,213,386","1,001,468,925"
"Sep 15, 2020",0.121512,0.124263,0.117422,0.120787,"37,845,649","1,087,082,696"
"Sep 14, 2020",0.120014,0.126040,0.117806,0.121472,"36,955,968","1,093,248,155"
"Sep 13, 2020",0.127729,0.127767,0.114123,0.119967,"58,462,309","1,079,706,348"
"Sep 12, 2020",0.131324,0.134176,0.127600,0.127729,"37,420,298","1,149,565,048"
"Sep 11, 2020",0.131254,0.134226,0.127581,0.131258,"35,809,486","1,181,322,237"
"Sep 10, 2020",0.126245,0.133729,0.126245,0.131254,"47,592,204","1,181,288,819"
"Sep 09, 2020",0.126016,0.129538,0.121078,0.126187,"41,856,953","1,135,683,913"
"Sep 08, 2020",0.135674,0.135820,0.121652,0.126028,"54,375,675","1,134,253,513"
"Sep 07, 2020",0.135972,0.138735,0.115727,0.135449,"98,245,461","1,219,041,141"
"Sep 06, 2020",0.111584,0.138384,0.103694,0.135100,"127,272,657","1,215,903,514"
"Sep 05, 2020",0.138018,0.142070,0.103609,0.111584,"133,528,573","1,004,258,058"
"Sep 04, 2020",0.142395,0.147547,0.121487,0.138026,"143,656,637","1,242,230,911"
"Sep 03, 2020",0.160538,0.167172,0.133422,0.142447,"136,878,717","1,282,022,784"
"Sep 02, 2020",0.156910,0.162955,0.141427,0.160538,"136,981,334","1,444,842,835"
"Sep 01, 2020",0.141562,0.168927,0.138680,0.157103,"249,266,584","1,413,927,181"
"Aug 31, 2020",0.129489,0.144939,0.128052,0.141655,"164,357,255","1,274,891,025"
"Aug 30, 2020",0.144219,0.155974,0.124886,0.129637,"296,780,177","1,166,734,002"
"Aug 29, 2020",0.108475,0.149730,0.106278,0.145203,"234,452,468","1,306,826,405"
"Aug 28, 2020",0.092744,0.108661,0.091903,0.108446,"76,379,931","976,018,476"
"Aug 27, 2020",0.097320,0.097320,0.089027,0.092762,"67,355,568","834,857,966"
"Aug 26, 2020",0.094192,0.099476,0.089407,0.097368,"73,256,450","876,313,742"
"Aug 25, 2020",0.091953,0.101475,0.086039,0.094161,"82,492,801","847,452,525"
"Aug 24, 2020",0.097725,0.103254,0.088358,0.091933,"55,076,100","827,396,243"
"Aug 23, 2020",0.083419,0.102160,0.081638,0.097725,"66,171,770","879,520,536"
"Aug 22, 2020",0.073849,0.083359,0.072128,0.083288,"38,151,541","749,594,346"
"Aug 21, 2020",0.075398,0.082431,0.073813,0.073838,"32,799,059","664,539,123"
"Aug 20, 2020",0.071027,0.075295,0.069520,0.075205,"16,727,039","676,847,496"
"Aug 19, 2020",0.074061,0.077549,0.068530,0.071054,"23,832,281","639,485,137"
"Aug 18, 2020",0.079439,0.080293,0.072255,0.074143,"39,002,395","667,289,494"
"Aug 17, 2020",0.066129,0.081552,0.066067,0.080034,"36,811,158","720,307,441"
"Aug 16, 2020",0.064136,0.067645,0.063228,0.066129,"15,713,498","595,157,620"
"Aug 15, 2020",0.062271,0.064120,0.062065,0.064120,"10,023,465","577,076,182"
"Aug 14, 2020",0.062210,0.063032,0.061579,0.062286,"9,632,437","560,573,918"
"Aug 13, 2020",0.061420,0.062206,0.059692,0.062206,"10,760,600","559,852,102"
"Aug 12, 2020",0.061337,0.061571,0.058606,0.061439,"13,349,311","552,947,875"
"Aug 11, 2020",0.063029,0.064858,0.058274,0.061292,"49,514,025","551,623,851"
"Aug 10, 2020",0.063466,0.064101,0.062708,0.062958,"14,008,336","566,620,340"
"Aug 09, 2020",0.063361,0.064408,0.062210,0.063421,"13,482,252","570,785,142"
"Aug 08, 2020",0.063128,0.063911,0.061587,0.063274,"12,195,514","569,467,719"
"Aug 07, 2020",0.062153,0.065551,0.058810,0.063208,"60,524,499","568,867,913"
"Aug 06, 2020",0.056997,0.062878,0.056607,0.062199,"24,086,094","559,788,502"
"Aug 05, 2020",0.055712,0.057323,0.054588,0.057000,"11,487,757","512,999,296"
"Aug 04, 2020",0.056500,0.057276,0.054188,0.055747,"13,080,960","501,719,110"
"Aug 03, 2020",0.054114,0.057991,0.053816,0.056502,"15,377,251","508,517,112"
"Aug 02, 2020",0.055834,0.061381,0.052712,0.054102,"25,850,703","486,920,512"
"Aug 01, 2020",0.052504,0.056213,0.052438,0.055827,"17,959,958","502,442,893"
"Jul 31, 2020",0.051852,0.052756,0.051645,0.052504,"10,657,158","472,537,346"
"Jul 30, 2020",0.051529,0.051903,0.051052,0.051857,"9,328,048","466,714,329"
"Jul 29, 2020",0.050998,0.052450,0.050763,0.051518,"11,686,078","463,657,708"
"Jul 28, 2020",0.049566,0.051798,0.049167,0.051013,"12,550,211","459,119,389"
"Jul 27, 2020",0.049516,0.050159,0.046722,0.049546,"15,193,861","445,910,233"
"Jul 26, 2020",0.050733,0.051338,0.048047,0.049515,"13,076,541","445,634,713"
"Jul 25, 2020",0.050381,0.051383,0.050341,0.050747,"8,755,426","456,719,574"
"Jul 24, 2020",0.049973,0.051831,0.049382,0.050391,"15,496,691","453,517,297"
"Jul 23, 2020",0.050959,0.051070,0.049287,0.049954,"12,528,349","449,586,172"
"Jul 22, 2020",0.049909,0.051732,0.049173,0.050972,"11,710,223","458,746,091"
"Jul 21, 2020",0.049124,0.050265,0.048707,0.049919,"12,511,110","449,270,763"
"Jul 20, 2020",0.050764,0.052153,0.048998,0.049134,"14,203,934","442,209,609"
"Jul 19, 2020",0.053402,0.054138,0.049292,0.050709,"24,654,492","456,382,702"
"Jul 18, 2020",0.044928,0.053531,0.044602,0.053531,"29,310,102","481,778,776"
"Jul 17, 2020",0.044877,0.045513,0.044475,0.044928,"6,763,745","404,350,115"
"Jul 16, 2020",0.045732,0.045947,0.043823,0.044839,"9,480,168","403,549,493"
"Jul 15, 2020",0.046685,0.047114,0.045694,0.045734,"7,919,147","411,608,787"
