Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.005388,0.005822,0.005281,0.005661,"8,530,877","117,109,703"
"Sep 15, 2020",0.005080,0.005590,0.005077,0.005366,"8,490,153","110,960,529"
"Sep 14, 2020",0.004869,0.005140,0.004828,0.005080,"6,509,284","104,982,217"
"Sep 13, 2020",0.004945,0.005262,0.004814,0.004861,"6,638,928","100,402,095"
"Sep 12, 2020",0.004775,0.005103,0.004693,0.004945,"6,862,590","102,066,554"
"Sep 11, 2020",0.004972,0.004982,0.004726,0.004777,"6,467,916","98,547,003"
"Sep 10, 2020",0.005025,0.005345,0.004915,0.004972,"6,641,098","102,498,283"
"Sep 09, 2020",0.005020,0.005263,0.004862,0.005025,"6,131,212","103,529,362"
"Sep 08, 2020",0.005242,0.005288,0.004885,0.005022,"6,447,719","103,422,886"
"Sep 07, 2020",0.005218,0.005442,0.004870,0.005247,"6,727,386","107,995,981"
"Sep 06, 2020",0.004790,0.005450,0.004603,0.005217,"7,517,959","107,302,084"
"Sep 05, 2020",0.005610,0.005850,0.004773,0.004790,"7,701,693","98,460,554"
"Sep 04, 2020",0.005389,0.005685,0.005123,0.005616,"8,399,828","115,372,134"
"Sep 03, 2020",0.006369,0.006377,0.005357,0.005420,"9,038,276","111,284,659"
"Sep 02, 2020",0.006908,0.007061,0.005833,0.006373,"10,959,235","130,767,643"
"Sep 01, 2020",0.007002,0.007623,0.006682,0.006911,"12,293,086","141,731,921"
"Aug 31, 2020",0.007004,0.007487,0.006789,0.007003,"11,800,642","143,533,135"
"Aug 30, 2020",0.006646,0.007193,0.006612,0.007004,"9,386,117","143,472,469"
"Aug 29, 2020",0.006805,0.006867,0.006580,0.006640,"8,342,272","135,941,006"
"Aug 28, 2020",0.006777,0.007108,0.006764,0.006787,"9,282,574","138,871,836"
"Aug 27, 2020",0.007408,0.008044,0.006531,0.006766,"11,111,763","138,366,749"
"Aug 26, 2020",0.006839,0.007644,0.006719,0.007393,"11,657,073","151,085,007"
"Aug 25, 2020",0.007551,0.007734,0.006833,0.006833,"10,592,223","139,561,559"
"Aug 24, 2020",0.008120,0.008382,0.007527,0.007536,"11,335,273","153,823,104"
"Aug 23, 2020",0.008413,0.008441,0.007847,0.008110,"8,441,027","165,445,560"
"Aug 22, 2020",0.008187,0.008421,0.008024,0.008410,"9,038,021","171,476,319"
"Aug 21, 2020",0.008865,0.009004,0.008155,0.008197,"10,028,584","167,030,718"
"Aug 20, 2020",0.008589,0.008903,0.008352,0.008875,"10,298,739","180,742,018"
"Aug 19, 2020",0.009081,0.009321,0.008347,0.008589,"8,258,840","174,810,284"
"Aug 18, 2020",0.009161,0.009853,0.008760,0.009083,"14,123,371","184,744,606"
"Aug 17, 2020",0.008874,0.009543,0.008648,0.009196,"9,452,457","186,943,308"
"Aug 16, 2020",0.009183,0.009338,0.008409,0.008874,"7,923,650","180,297,006"
"Aug 15, 2020",0.008628,0.009555,0.008500,0.009174,"15,416,289","186,283,882"
"Aug 14, 2020",0.009135,0.009185,0.008308,0.008624,"11,605,190","174,998,400"
"Aug 13, 2020",0.008155,0.009139,0.007317,0.009138,"15,996,113","185,320,264"
"Aug 12, 2020",0.007702,0.008413,0.007099,0.008135,"12,503,998","164,875,118"
"Aug 11, 2020",0.008476,0.008719,0.007182,0.007742,"13,608,033","156,815,136"
"Aug 10, 2020",0.006889,0.009150,0.006884,0.008479,"20,774,989","171,661,149"
"Aug 09, 2020",0.006130,0.006951,0.006043,0.006889,"11,088,328","139,390,696"
"Aug 08, 2020",0.006146,0.006328,0.005990,0.006130,"7,624,522","123,944,981"
"Aug 07, 2020",0.006295,0.006498,0.005835,0.006146,"8,264,865","124,195,398"
"Aug 06, 2020",0.006412,0.006432,0.006126,0.006299,"8,786,801","127,221,037"
"Aug 05, 2020",0.005639,0.006656,0.005639,0.006412,"10,908,470","129,427,398"
"Aug 04, 2020",0.005503,0.005697,0.005478,0.005635,"6,356,033","113,674,456"
"Aug 03, 2020",0.005518,0.005561,0.005450,0.005502,"6,359,962","110,917,924"
