Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",6.27,6.46,6.13,6.39,"112,372,101","383,656,132"
"Sep 15, 2020",6.51,6.57,6.13,6.27,"137,631,670","376,176,566"
"Sep 14, 2020",6.54,6.70,6.33,6.51,"126,885,283","390,542,313"
"Sep 13, 2020",5.70,6.62,5.65,6.55,"198,757,712","392,761,785"
"Sep 12, 2020",5.45,5.71,5.44,5.70,"89,711,146","342,259,669"
"Sep 11, 2020",5.50,5.52,5.34,5.44,"82,134,814","326,639,635"
"Sep 10, 2020",5.36,5.73,5.35,5.52,"121,710,818","330,911,017"
"Sep 09, 2020",5.26,5.41,5.23,5.36,"87,658,752","321,386,301"
"Sep 08, 2020",5.42,5.48,5.15,5.26,"92,137,844","315,711,860"
"Sep 07, 2020",5.32,5.56,5.12,5.42,"123,689,231","325,359,576"
"Sep 06, 2020",4.92,5.37,4.83,5.32,"106,350,018","319,376,715"
"Sep 05, 2020",5.18,5.28,4.83,4.92,"96,606,060","295,492,683"
"Sep 04, 2020",5.16,5.44,4.86,5.18,"119,391,025","310,705,647"
"Sep 03, 2020",5.72,5.83,5.14,5.17,"113,319,709","309,933,647"
"Sep 02, 2020",5.77,5.91,5.36,5.73,"95,745,186","343,652,449"
"Sep 01, 2020",5.64,5.95,5.57,5.77,"97,765,524","346,002,283"
"Aug 31, 2020",5.52,5.72,5.45,5.65,"76,167,752","338,732,960"
"Aug 30, 2020",5.43,5.57,5.30,5.52,"88,599,172","331,379,371"
"Aug 29, 2020",5.52,5.53,5.40,5.43,"66,450,030","325,837,052"
"Aug 28, 2020",5.46,5.56,5.43,5.52,"49,325,802","331,403,612"
"Aug 27, 2020",5.63,5.64,5.34,5.46,"71,344,850","327,415,629"
"Aug 26, 2020",5.64,5.87,5.60,5.63,"92,663,266","337,727,147"
"Aug 25, 2020",5.31,5.80,5.17,5.64,"107,865,564","338,182,538"
"Aug 24, 2020",5.25,5.36,5.22,5.31,"43,108,207","318,303,223"
