Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.014677,0.015214,0.013381,0.014164,"53,919,091","132,435,630"
"Sep 15, 2020",0.017008,0.017080,0.014441,0.014676,"56,039,713","100,527,386"
"Sep 14, 2020",0.016801,0.017710,0.016415,0.017008,"54,024,505","116,506,339"
"Sep 13, 2020",0.018339,0.018736,0.016372,0.016977,"53,688,696","116,292,678"
"Sep 12, 2020",0.017036,0.018709,0.016633,0.018339,"49,558,375","125,624,241"
"Sep 11, 2020",0.017465,0.017508,0.015934,0.017090,"50,903,151","117,065,970"
"Sep 10, 2020",0.017905,0.018296,0.016983,0.017435,"50,353,616","119,430,502"
"Sep 09, 2020",0.015874,0.019058,0.015329,0.017901,"48,380,153","122,624,634"
"Sep 08, 2020",0.016529,0.017344,0.014967,0.015884,"49,169,882","108,804,969"
"Sep 07, 2020",0.018798,0.018798,0.014638,0.016455,"50,489,233","112,717,281"
"Sep 06, 2020",0.016519,0.019383,0.014809,0.018518,"53,117,949","126,851,433"
"Sep 05, 2020",0.020168,0.022085,0.014359,0.016552,"26,268,487","113,379,550"
"Sep 04, 2020",0.020068,0.021917,0.018574,0.020135,"26,433,333","137,925,041"
"Sep 03, 2020",0.027450,0.027595,0.019548,0.020024,"29,739,710","137,162,965"
"Sep 02, 2020",0.027642,0.030458,0.025505,0.027559,"35,087,828","188,779,225"
"Sep 01, 2020",0.028519,0.028519,0.026640,0.027749,"26,848,152","190,080,110"
"Aug 31, 2020",0.027151,0.031370,0.027140,0.028546,"39,086,992","195,538,986"
"Aug 30, 2020",0.024209,0.027468,0.023738,0.027173,"23,794,442","186,133,635"
"Aug 29, 2020",0.025712,0.026063,0.023582,0.024193,"21,918,273","165,719,119"
"Aug 28, 2020",0.023856,0.027581,0.023796,0.025713,"18,869,934","176,135,059"
"Aug 27, 2020",0.025456,0.026302,0.022467,0.023720,"17,145,973","162,483,422"
"Aug 26, 2020",0.027354,0.028352,0.025108,0.025334,"19,971,675","173,539,339"
"Aug 25, 2020",0.021903,0.029007,0.021566,0.027307,"47,208,182","187,051,593"
"Aug 24, 2020",0.021435,0.022566,0.020827,0.021798,"14,497,333","149,318,680"
"Aug 23, 2020",0.021859,0.022605,0.020444,0.021377,"13,264,103","146,431,368"
"Aug 22, 2020",0.019374,0.023781,0.018315,0.021753,"18,169,941","149,006,032"
"Aug 21, 2020",0.022007,0.022974,0.019003,0.019348,"19,256,484","132,532,286"
"Aug 20, 2020",0.024769,0.025553,0.021953,0.022049,"16,718,631","151,033,510"
"Aug 19, 2020",0.025394,0.026935,0.022987,0.024769,"21,639,074","169,666,351"
"Aug 18, 2020",0.024961,0.026977,0.020945,0.025380,"23,392,793","173,851,853"
"Aug 17, 2020",0.025620,0.026229,0.022283,0.024950,"25,537,731","170,907,759"
"Aug 16, 2020",0.020936,0.026419,0.020055,0.025620,"38,752,585","175,497,772"
"Aug 15, 2020",0.015533,0.020939,0.015032,0.020930,"20,507,777","143,370,261"
"Aug 14, 2020",0.013598,0.019501,0.013449,0.015536,"26,642,262","106,424,589"
"Aug 13, 2020",0.011493,0.013973,0.011383,0.013667,"16,109,827","93,617,515"
"Aug 12, 2020",0.011015,0.011754,0.010679,0.011494,"11,242,590","78,733,188"
"Aug 11, 2020",0.011900,0.012848,0.010566,0.011038,"12,760,656","75,608,963"
"Aug 10, 2020",0.010089,0.012470,0.010042,0.011897,"11,349,822","81,496,393"
"Aug 09, 2020",0.011132,0.011356,0.010031,0.010089,"6,818,202","69,107,034"
"Aug 08, 2020",0.011164,0.011418,0.010893,0.011138,"5,832,395","76,295,551"
"Aug 07, 2020",0.011682,0.011900,0.011120,0.011165,"6,935,670","76,478,713"
"Aug 06, 2020",0.011996,0.012259,0.011506,0.011680,"7,976,708","80,009,198"
"Aug 05, 2020",0.011700,0.012579,0.011650,0.011996,"6,795,970","82,173,255"
"Aug 04, 2020",0.012316,0.012403,0.011614,0.011704,"6,209,451","80,174,619"
"Aug 03, 2020",0.010418,0.012706,0.010276,0.012316,"8,052,466","84,364,075"
"Aug 02, 2020",0.011617,0.011617,0.010175,0.010418,"6,952,331","71,360,951"
"Aug 01, 2020",0.010185,0.012007,0.010011,0.011593,"8,619,684","79,409,746"
"Jul 31, 2020",0.008795,0.010520,0.008700,0.010185,"8,171,160","69,764,546"
"Jul 30, 2020",0.009270,0.009415,0.008714,0.008795,"4,421,422","60,247,714"
"Jul 29, 2020",0.009318,0.009864,0.008884,0.009270,"6,384,037","63,499,251"
"Jul 28, 2020",0.008050,0.009869,0.007788,0.009358,"6,916,121","64,099,121"
"Jul 27, 2020",0.009682,0.009724,0.007753,0.008050,"7,785,734","55,139,143"
"Jul 26, 2020",0.009107,0.010369,0.008776,0.009683,"7,233,552","66,328,589"
"Jul 25, 2020",0.009728,0.010424,0.008854,0.009121,"7,081,648","62,477,283"
"Jul 24, 2020",0.011407,0.011448,0.009721,0.009721,"4,687,176","66,591,281"
"Jul 23, 2020",0.012278,0.012490,0.011166,0.011407,"5,576,028","78,140,096"
"Jul 22, 2020",0.010952,0.012799,0.010541,0.012278,"7,131,164","84,107,639"
"Jul 21, 2020",0.012464,0.012590,0.010290,0.010948,"7,717,158","74,994,255"
"Jul 20, 2020",0.012174,0.013127,0.011346,0.012505,"7,606,089","85,659,155"
"Jul 19, 2020",0.013739,0.013931,0.011769,0.012170,"11,510,918","83,365,711"
"Jul 18, 2020",0.010696,0.014253,0.010515,0.013877,"10,816,713","95,058,322"
"Jul 17, 2020",0.009740,0.010875,0.009537,0.010740,"4,661,845","73,571,208"
"Jul 16, 2020",0.009160,0.009954,0.008830,0.009724,"5,113,778","66,607,303"
"Jul 15, 2020",0.008542,0.009210,0.008355,0.009152,"3,582,545","62,693,838"
"Jul 14, 2020",0.008559,0.009013,0.008224,0.008523,"3,677,659","58,383,091"
"Jul 13, 2020",0.009044,0.009396,0.008468,0.008559,"5,268,375","58,631,021"
"Jul 12, 2020",0.007960,0.009052,0.007901,0.009044,"4,637,107","61,952,427"
"Jul 11, 2020",0.007542,0.008015,0.007404,0.007961,"3,111,267","54,531,876"
"Jul 10, 2020",0.008109,0.008112,0.007447,0.007545,"2,977,976","51,680,206"
"Jul 09, 2020",0.008343,0.008755,0.007504,0.008119,"4,740,966","55,616,094"
"Jul 08, 2020",0.008100,0.008992,0.007980,0.008341,"5,441,098","57,134,950"
"Jul 07, 2020",0.008543,0.008847,0.007905,0.008100,"4,846,765","55,483,643"
"Jul 06, 2020",0.006994,0.008720,0.006990,0.008528,"6,309,169","58,414,461"
"Jul 05, 2020",0.006615,0.007259,0.006475,0.006994,"3,317,021","47,912,018"
"Jul 04, 2020",0.006418,0.006831,0.006173,0.006611,"2,741,573","45,284,370"
"Jul 03, 2020",0.006528,0.006618,0.005891,0.006410,"2,968,956","43,906,254"
"Jul 02, 2020",0.007110,0.007179,0.006153,0.006531,"3,762,979","44,737,836"
"Jul 01, 2020",0.006711,0.007303,0.006431,0.007112,"3,680,640","48,718,944"
"Jun 30, 2020",0.006107,0.006782,0.005897,0.006672,"3,678,086","45,703,095"
"Jun 29, 2020",0.006262,0.006297,0.005561,0.006115,"3,602,117","41,886,396"
"Jun 28, 2020",0.005827,0.006428,0.005340,0.006254,"4,955,411","42,839,445"
"Jun 27, 2020",0.006848,0.006912,0.005599,0.005827,"6,040,646","39,913,681"
"Jun 26, 2020",0.007400,0.008721,0.006566,0.006840,"9,200,427","46,856,148"
"Jun 25, 2020",0.006296,0.007491,0.006069,0.007413,"6,330,195","50,779,334"
"Jun 24, 2020",0.005306,0.006681,0.005253,0.006283,"6,359,398","43,039,778"
"Jun 23, 2020",0.005038,0.005346,0.004807,0.005305,"3,233,633","36,336,348"
"Jun 22, 2020",0.004587,0.005067,0.004539,0.005015,"2,588,355","34,352,490"
"Jun 21, 2020",0.004683,0.004849,0.004519,0.004589,"1,161,800","31,431,237"
"Jun 20, 2020",0.004557,0.004849,0.004424,0.004676,"1,306,365","32,033,254"
"Jun 19, 2020",0.004586,0.004785,0.004405,0.004556,"1,966,177","31,207,116"
"Jun 18, 2020",0.004651,0.004831,0.004379,0.004588,"2,377,704","31,427,879"
"Jun 17, 2020",0.004572,0.005087,0.004463,0.004659,"3,410,989","31,916,596"
"Jun 16, 2020",0.004100,0.004735,0.004031,0.004572,"2,471,762","31,316,300"
"Jun 15, 2020",0.003960,0.004110,0.003524,0.004105,"3,040,856","28,117,591"
"Jun 14, 2020",0.004038,0.004080,0.003792,0.003959,"2,147,578","27,121,015"
"Jun 13, 2020",0.003953,0.004291,0.003858,0.004033,"2,777,862","27,626,242"
"Jun 12, 2020",0.003338,0.003966,0.003291,0.003934,"2,499,934","26,947,457"
"Jun 11, 2020",0.003411,0.003512,0.003251,0.003333,"3,420,317","22,831,214"
