Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",2.04,2.05,1.76,1.84,"173,003,497","91,854,805"
"Sep 15, 2020",2.41,2.52,2.02,2.05,"587,416,664","102,407,523"
"Sep 14, 2020",2.37,2.54,2.25,2.41,"559,516,670","120,326,247"
"Sep 13, 2020",2.40,2.64,2.22,2.37,"626,360,769","118,649,986"
"Sep 12, 2020",2.38,2.48,2.26,2.40,"310,001,260","120,074,850"
"Sep 11, 2020",2.30,2.41,2.17,2.38,"512,064,044","119,031,664"
"Sep 10, 2020",2.46,2.58,2.27,2.30,"453,463,453","114,881,558"
"Sep 09, 2020",2.13,2.57,2.08,2.46,"506,718,715","122,943,301"
"Sep 08, 2020",2.42,2.47,2.07,2.14,"554,450,138","107,149,291"
"Sep 07, 2020",2.61,2.70,2.10,2.42,"521,881,198","120,973,456"
"Sep 06, 2020",2.21,2.69,1.97,2.61,"444,239,688","130,583,491"
"Sep 05, 2020",2.90,3.14,1.98,2.20,"456,472,486","110,041,817"
"Sep 04, 2020",2.92,3.25,2.57,2.91,"132,477,344","145,413,976"
"Sep 03, 2020",3.61,3.61,2.87,2.93,"164,281,546","146,272,301"
"Sep 02, 2020",3.14,3.65,2.79,3.62,"237,881,924","180,990,096"
"Sep 01, 2020",3.32,3.78,3.15,3.15,"232,297,393","157,394,602"
"Aug 31, 2020",2.89,3.58,2.64,3.32,"233,025,389","165,871,631"
"Aug 30, 2020",2.83,2.97,2.67,2.89,"178,546,026","144,408,867"
"Aug 29, 2020",2.42,2.96,2.30,2.85,"179,158,020","142,726,534"
"Aug 28, 2020",2.54,2.79,2.35,2.42,"188,296,870","120,950,744"
"Aug 27, 2020",2.08,2.58,2.04,2.54,"233,481,850","126,930,707"
"Aug 26, 2020",1.68,2.10,1.65,2.08,"110,752,817","103,886,115"
"Aug 25, 2020",1.84,1.87,1.59,1.68,"55,963,662","83,916,714"
"Aug 24, 2020",1.54,1.84,1.51,1.84,"107,252,669","91,852,576"
"Aug 23, 2020",1.54,1.60,1.48,1.54,"44,221,341","76,829,368"
"Aug 22, 2020",1.52,1.57,1.45,1.54,"47,508,018","77,236,468"
"Aug 21, 2020",1.78,1.78,1.52,1.52,"56,154,583","76,232,379"
"Aug 20, 2020",1.60,1.79,1.60,1.78,"54,365,123","88,931,300"
"Aug 19, 2020",1.68,1.77,1.57,1.60,"52,195,082","80,055,004"
"Aug 18, 2020",1.65,1.79,1.54,1.68,"59,646,882","83,811,885"
"Aug 17, 2020",1.73,1.78,1.63,1.65,"26,711,020","82,392,214"
"Aug 16, 2020",1.67,1.84,1.53,1.73,"47,218,212","86,669,122"
"Aug 15, 2020",1.86,1.89,1.65,1.66,"43,803,297","83,207,930"
"Aug 14, 2020",2.03,2.16,1.82,1.86,"63,678,645","93,065,939"
"Aug 13, 2020",1.68,2.22,1.64,2.03,"149,212,198",0
"Aug 12, 2020",1.56,1.98,1.56,1.69,"262,553,228",0
"Aug 11, 2020",0.110091,1.61,0.110006,1.57,"211,232,756",0
