Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.036610,0.039696,0.026893,0.027247,"8,553,633","39,294,917"
"Sep 15, 2020",0.037552,0.042083,0.035642,0.036633,"9,958,852","52,830,808"
"Sep 14, 2020",0.034221,0.039233,0.033747,0.037552,"9,432,553","54,156,145"
"Sep 13, 2020",0.037028,0.038432,0.032622,0.033830,"7,752,573","50,262,171"
"Sep 12, 2020",0.032254,0.038398,0.031815,0.037028,"7,928,117","55,012,917"
"Sep 11, 2020",0.030442,0.033972,0.029229,0.032120,"6,848,948","47,721,965"
"Sep 10, 2020",0.024511,0.031907,0.024137,0.030593,"7,474,946","45,452,135"
"Sep 09, 2020",0.016668,0.025248,0.016124,0.024511,"5,052,195","36,416,278"
"Sep 08, 2020",0.018882,0.019826,0.015402,0.016529,"3,257,122","24,524,791"
"Sep 07, 2020",0.019288,0.019810,0.017716,0.018301,"4,711,229","26,393,738"
"Sep 06, 2020",0.018928,0.020844,0.017065,0.019405,"5,028,211","28,946,817"
"Sep 05, 2020",0.020819,0.022158,0.017075,0.018928,"7,006,159","28,235,378"
"Sep 04, 2020",0.020564,0.022819,0.019562,0.020083,"8,003,652","29,946,534"
"Sep 03, 2020",0.023289,0.024047,0.020098,0.020536,"5,534,070","30,601,260"
"Sep 02, 2020",0.021558,0.024191,0.020977,0.023309,"6,651,362","34,722,877"
"Sep 01, 2020",0.023854,0.025093,0.021549,0.021550,"6,223,604","32,103,967"
"Aug 31, 2020",0.025614,0.026770,0.023623,0.023849,"5,779,930","35,488,981"
"Aug 30, 2020",0.024311,0.026984,0.023621,0.025614,"5,682,500","38,106,681"
"Aug 29, 2020",0.024316,0.026414,0.023461,0.024593,"5,437,448","36,588,028"
"Aug 28, 2020",0.023019,0.025474,0.021512,0.024310,"5,889,292","36,125,043"
"Aug 27, 2020",0.022021,0.025819,0.021310,0.022701,"6,668,705","33,734,398"
"Aug 26, 2020",0.026216,0.027118,0.015527,0.022964,"5,738,930","34,114,455"
"Aug 25, 2020",0.027550,0.028296,0.024898,0.026331,"6,302,429","39,050,233"
"Aug 24, 2020",0.027563,0.029519,0.026476,0.027249,"5,935,381","40,406,283"
"Aug 23, 2020",0.029375,0.031344,0.027408,0.028024,"6,064,347","41,554,553"
"Aug 22, 2020",0.026091,0.032684,0.025477,0.029434,"6,975,996","43,642,392"
"Aug 21, 2020",0.027352,0.031033,0.025314,0.026400,"6,970,175","39,137,272"
"Aug 20, 2020",0.029423,0.029967,0.026080,0.027065,"5,384,874","40,119,104"
"Aug 19, 2020",0.030510,0.031253,0.026786,0.029423,"7,943,127","43,790,943"
"Aug 18, 2020",0.028843,0.031463,0.025222,0.030480,"7,004,182","45,362,879"
"Aug 17, 2020",0.028954,0.031624,0.027218,0.028813,"7,484,140","42,911,103"
"Aug 16, 2020",0.032890,0.033986,0.027232,0.028954,"7,724,336","43,120,996"
"Aug 15, 2020",0.031655,0.034589,0.028829,0.032181,"7,947,115","47,927,865"
"Aug 14, 2020",0.032897,0.035693,0.027417,0.031632,"6,907,147","46,801,309"
"Aug 13, 2020",0.033691,0.034905,0.029523,0.031865,"6,116,677","47,144,886"
"Aug 12, 2020",0.034033,0.036305,0.032119,0.033699,"5,326,611","49,859,572"
"Aug 11, 2020",0.037579,0.039074,0.033001,0.034879,"6,684,901","50,889,298"
"Aug 10, 2020",0.036949,0.040578,0.033953,0.037577,"8,068,436","54,788,135"
"Aug 09, 2020",0.035520,0.038830,0.030826,0.036949,"6,425,143","54,046,667"
"Aug 08, 2020",0.036763,0.039753,0.030327,0.034715,"6,131,656","50,810,814"
"Aug 07, 2020",0.039545,0.041306,0.033356,0.037917,"7,373,344","55,296,480"
"Aug 06, 2020",0.041710,0.044765,0.037740,0.039122,"6,430,259","57,053,534"
"Aug 05, 2020",0.036332,0.044331,0.036197,0.041710,"7,748,092","60,912,047"
