Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",2.94,2.94,2.45,2.55,"24,199,804","93,917,563"
"Sep 15, 2020",3.27,3.32,2.92,2.94,"11,992,538","107,710,516"
"Sep 14, 2020",3.23,3.52,3.09,3.27,"21,301,450","118,987,736"
"Sep 13, 2020",3.34,3.47,3.01,3.23,"15,316,353","113,349,810"
"Sep 12, 2020",3.42,3.47,3.15,3.33,"10,368,518","117,103,943"
"Sep 11, 2020",3.47,3.50,3.04,3.43,"17,090,627","120,434,613"
"Sep 10, 2020",3.64,3.85,3.32,3.47,"31,177,875","120,996,909"
"Sep 09, 2020",2.47,3.75,2.39,3.64,"52,354,542","125,895,646"
"Sep 08, 2020",2.93,2.94,2.40,2.47,"10,163,725","84,805,195"
"Sep 07, 2020",3.09,3.19,2.39,2.93,"17,135,013","99,856,838"
"Sep 06, 2020",2.60,3.18,2.29,3.09,"20,375,890","103,685,157"
"Sep 05, 2020",3.55,3.66,2.19,2.60,"25,062,205","87,285,369"
"Sep 04, 2020",3.52,3.83,3.20,3.55,"17,729,340","119,132,915"
"Sep 03, 2020",4.17,4.44,3.53,3.53,"26,473,634","117,631,513"
"Sep 02, 2020",4.35,4.36,3.71,4.16,"23,655,802","137,185,057"
"Sep 01, 2020",4.78,4.94,4.34,4.34,"16,944,927","142,029,236"
"Aug 31, 2020",4.42,4.87,4.11,4.78,"20,950,150","155,135,267"
"Aug 30, 2020",3.97,4.71,3.92,4.44,"22,220,239","143,848,364"
"Aug 29, 2020",4.01,4.11,3.79,3.97,"14,585,964","128,704,140"
"Aug 28, 2020",3.45,4.31,3.45,4.01,"27,212,888","130,085,569"
"Aug 27, 2020",3.56,3.85,3.29,3.45,"21,031,356","111,060,306"
"Aug 26, 2020",3.27,3.80,3.19,3.56,"22,147,431","113,824,142"
"Aug 25, 2020",3.35,3.36,3.03,3.26,"13,444,308","103,619,132"
"Aug 24, 2020",3.31,3.61,3.22,3.34,"15,785,208","106,162,866"
"Aug 23, 2020",3.02,3.40,3.02,3.32,"11,991,402","104,616,816"
"Aug 22, 2020",2.95,3.19,2.76,3.02,"10,296,805","95,122,114"
"Aug 21, 2020",3.21,3.22,2.91,2.94,"11,796,736","92,690,989"
"Aug 20, 2020",2.90,3.43,2.90,3.21,"13,756,478","101,023,083"
"Aug 19, 2020",3.33,3.48,2.84,2.90,"14,838,389","91,286,346"
"Aug 18, 2020",3.10,3.71,2.89,3.33,"30,350,145","103,607,423"
"Aug 17, 2020",3.39,3.39,3.09,3.10,"10,723,919","90,597,950"
"Aug 16, 2020",3.19,3.47,3.14,3.39,"10,395,313","98,990,654"
"Aug 15, 2020",3.41,3.72,3.17,3.18,"13,155,762","93,088,677"
"Aug 14, 2020",3.76,3.79,3.33,3.41,"18,427,950","99,684,621"
"Aug 13, 2020",3.77,4.16,3.53,3.76,"28,236,179","64,766,753"
"Aug 12, 2020",3.31,3.92,3.10,3.77,"28,461,707","65,004,788"
"Aug 11, 2020",3.13,3.49,2.75,3.30,"36,356,155","56,963,800"
"Aug 10, 2020",2.67,3.40,2.53,3.13,"22,863,251","54,004,594"
"Aug 09, 2020",2.47,2.71,2.30,2.67,"12,107,837","45,959,454"
"Aug 08, 2020",2.08,2.57,2.03,2.47,"10,919,229","42,655,747"
"Aug 07, 2020",2.20,2.20,1.89,2.09,"8,068,102","35,970,037"
"Aug 06, 2020",1.75,2.23,1.75,2.21,"11,143,557","38,047,324"
"Aug 05, 2020",1.87,1.89,1.71,1.75,"5,405,764","30,256,506"
"Aug 04, 2020",1.80,1.95,1.79,1.87,"5,495,665","32,275,884"
"Aug 03, 2020",1.73,1.83,1.67,1.80,"5,836,036","31,085,735"
"Aug 02, 2020",1.53,1.75,1.41,1.74,"7,216,576","30,054,694"
"Aug 01, 2020",1.53,1.66,1.50,1.53,"4,589,882","26,326,510"
"Jul 31, 2020",1.69,1.69,1.51,1.54,"4,822,046","26,526,191"
"Jul 30, 2020",1.66,1.80,1.64,1.69,"5,222,980","29,089,540"
"Jul 29, 2020",1.79,2.10,1.59,1.66,"10,348,945","28,597,943"
"Jul 28, 2020",1.78,1.86,1.61,1.78,"9,692,632","30,767,254"
"Jul 27, 2020",1.57,2.04,1.56,1.78,"32,838,355","30,673,811"
"Jul 26, 2020",1.24,1.62,1.24,1.57,"10,463,130","26,991,607"
"Jul 25, 2020",0.995440,1.43,0.995397,1.25,"9,978,279","21,595,765"
"Jul 24, 2020",1.05,1.05,0.974780,0.995346,"1,991,763","17,165,795"
"Jul 23, 2020",1.05,1.10,0.997394,1.05,"2,970,423","18,105,796"
"Jul 22, 2020",0.977198,1.10,0.972485,1.04,"5,295,002","18,006,642"
"Jul 21, 2020",0.872928,1.01,0.860316,0.977166,"4,299,502","16,852,602"
"Jul 20, 2020",0.920515,0.921584,0.851878,0.873089,"3,036,871","15,057,755"
"Jul 19, 2020",0.968004,0.970354,0.899515,0.920349,"2,206,671","15,872,928"
"Jul 18, 2020",0.977515,1.00,0.931726,0.966583,"2,923,007","16,670,417"
"Jul 17, 2020",0.870761,1.05,0.801884,0.977837,"8,973,774","16,864,619"
"Jul 16, 2020",1.28,1.37,0.855044,0.872441,"7,486,568","15,046,966"
"Jul 15, 2020",1.15,1.40,1.14,1.29,"3,355,229","22,241,797"
"Jul 14, 2020",1.17,1.25,1.12,1.15,"2,213,135","19,801,055"
"Jul 13, 2020",1.02,1.29,1.01,1.18,"4,062,069","20,278,238"
"Jul 12, 2020",0.923856,1.13,0.914117,1.02,"4,693,371","17,535,716"
"Jul 11, 2020",0.913560,0.926347,0.859095,0.924624,"1,788,814","15,947,476"
"Jul 10, 2020",0.853304,0.939629,0.842850,0.913560,"1,856,095","15,756,748"
"Jul 09, 2020",0.794018,0.882358,0.759906,0.853453,"2,668,724","14,720,152"
"Jul 08, 2020",0.753048,0.827523,0.743411,0.796713,"2,220,223","13,741,613"
"Jul 07, 2020",0.707858,0.780893,0.701922,0.753048,"1,700,041","12,988,566"
"Jul 06, 2020",0.691664,0.721046,0.686580,0.707908,"1,120,773","12,210,073"
"Jul 05, 2020",0.780101,0.785547,0.642635,0.691664,"3,799,016","11,929,966"
"Jul 04, 2020",0.767941,0.823155,0.761451,0.780372,"1,644,301","13,460,111"
"Jul 03, 2020",0.782036,0.786035,0.755113,0.768093,"1,144,958","13,248,410"
"Jul 02, 2020",0.832116,0.837127,0.753668,0.780219,"1,749,581","13,457,644"
"Jul 01, 2020",0.863364,0.901715,0.820927,0.832642,"1,772,560","14,361,931"
"Jun 30, 2020",0.853022,1.03,0.850104,0.860094,"3,887,548","14,835,525"
"Jun 29, 2020",0.798495,0.885339,0.770009,0.852454,"2,147,791","14,703,825"
"Jun 28, 2020",0.713548,0.843977,0.687095,0.798495,"3,412,582","13,773,165"
