Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.027624,0.027673,0.026281,0.027054,"6,696,482","93,889,979"
"Sep 15, 2020",0.028897,0.029484,0.027326,0.027608,"9,046,590","95,812,203"
"Sep 14, 2020",0.028670,0.029342,0.027800,0.028889,"7,786,782","100,257,234"
"Sep 13, 2020",0.031228,0.031394,0.027876,0.028573,"10,135,885","99,162,495"
"Sep 12, 2020",0.030687,0.031828,0.030384,0.031228,"11,897,128","108,377,553"
"Sep 11, 2020",0.029983,0.030707,0.028965,0.030687,"10,336,623","106,498,085"
"Sep 10, 2020",0.028909,0.030943,0.028896,0.029983,"10,156,888","104,054,140"
"Sep 09, 2020",0.028296,0.029427,0.027253,0.028906,"10,486,572","100,316,872"
"Sep 08, 2020",0.028708,0.029807,0.027370,0.028328,"12,693,035","98,312,237"
"Sep 07, 2020",0.029438,0.029719,0.026364,0.028803,"13,306,693","99,961,376"
"Sep 06, 2020",0.028615,0.030051,0.026434,0.029431,"16,096,299","102,139,467"
"Sep 05, 2020",0.032726,0.033316,0.028042,0.028615,"16,560,591","99,306,426"
"Sep 04, 2020",0.031655,0.033407,0.030158,0.032648,"23,730,934","113,305,256"
"Sep 03, 2020",0.037843,0.039151,0.031615,0.031707,"25,503,848","110,037,437"
"Sep 02, 2020",0.041245,0.042071,0.036101,0.037843,"41,325,034","131,333,252"
"Sep 01, 2020",0.040782,0.042752,0.039616,0.041304,"95,118,374","143,345,988"
"Aug 31, 2020",0.039875,0.041947,0.038063,0.040817,"75,146,348","141,653,815"
"Aug 30, 2020",0.038775,0.043945,0.038775,0.039832,"91,853,014","138,236,054"
"Aug 29, 2020",0.036588,0.040307,0.035900,0.038758,"54,074,895","134,509,877"
"Aug 28, 2020",0.035848,0.037615,0.035455,0.036272,"47,977,613","125,881,808"
"Aug 27, 2020",0.038767,0.038933,0.035039,0.035870,"77,096,623","124,486,483"
"Aug 26, 2020",0.037771,0.041344,0.036467,0.038852,"98,794,331","134,834,183"
"Aug 25, 2020",0.039070,0.043020,0.036056,0.037690,"75,175,143","130,803,878"
"Aug 24, 2020",0.037407,0.039522,0.036735,0.039045,"17,242,971","135,504,750"
"Aug 23, 2020",0.039445,0.039681,0.036444,0.037438,"17,089,484","129,928,547"
"Aug 22, 2020",0.038500,0.040025,0.035325,0.039437,"28,012,270","136,865,851"
"Aug 21, 2020",0.044544,0.052099,0.038451,0.038500,"87,855,832","133,612,514"
"Aug 20, 2020",0.033050,0.044928,0.032102,0.044464,"57,372,765","154,310,890"
"Aug 19, 2020",0.035657,0.035976,0.032400,0.033052,"16,222,154","114,706,710"
"Aug 18, 2020",0.036356,0.037126,0.034410,0.035657,"19,236,928","123,746,510"
"Aug 17, 2020",0.039454,0.039523,0.036220,0.036349,"21,318,077","126,147,407"
"Aug 16, 2020",0.038635,0.041222,0.036712,0.039454,"40,745,870","136,923,797"
"Aug 15, 2020",0.030769,0.038921,0.030758,0.038585,"36,238,704","133,907,678"
"Aug 14, 2020",0.030288,0.031565,0.029371,0.030749,"12,735,371","106,713,900"
"Aug 13, 2020",0.030443,0.030494,0.028651,0.030275,"13,948,882","105,068,441"
"Aug 12, 2020",0.029134,0.030481,0.027273,0.030436,"16,013,796","105,628,336"
"Aug 11, 2020",0.029709,0.030097,0.028105,0.029124,"15,981,292","101,075,993"
"Aug 10, 2020",0.027733,0.030216,0.027466,0.029714,"21,690,570","103,122,928"
"Aug 09, 2020",0.027150,0.027978,0.026965,0.027773,"13,697,286","96,384,927"
"Aug 08, 2020",0.026876,0.027792,0.026641,0.027181,"12,659,676","94,331,860"
"Aug 07, 2020",0.026621,0.027899,0.026344,0.026886,"11,494,804","93,307,312"
"Aug 06, 2020",0.026753,0.027190,0.026302,0.026611,"11,800,613","92,353,560"
"Aug 05, 2020",0.026807,0.027079,0.026336,0.026738,"12,145,249","92,792,457"
"Aug 04, 2020",0.026299,0.026953,0.025927,0.026826,"12,718,959","93,099,470"
"Aug 03, 2020",0.026031,0.027209,0.025973,0.026299,"18,272,694","91,270,631"
"Aug 02, 2020",0.027184,0.028794,0.025812,0.026024,"22,025,092","90,315,170"
"Aug 01, 2020",0.026325,0.027974,0.026325,0.027117,"16,701,927","94,109,724"
"Jul 31, 2020",0.026337,0.026598,0.026150,0.026325,"17,147,788","91,359,698"
"Jul 30, 2020",0.026836,0.026858,0.026163,0.026343,"13,371,808","91,423,669"
"Jul 29, 2020",0.026789,0.027588,0.026536,0.026849,"17,682,141","93,179,224"
"Jul 28, 2020",0.026660,0.027111,0.026225,0.026793,"19,928,969","92,985,316"
"Jul 27, 2020",0.029198,0.029304,0.025798,0.026664,"23,878,271","92,536,082"
"Jul 26, 2020",0.026546,0.030162,0.026172,0.029155,"28,805,988","101,181,308"
"Jul 25, 2020",0.025802,0.026648,0.025769,0.026550,"14,243,204","92,142,803"
"Jul 24, 2020",0.026323,0.026333,0.025654,0.025803,"17,379,309","89,549,874"
"Jul 23, 2020",0.027009,0.027011,0.026123,0.026338,"18,198,508","91,407,144"
"Jul 22, 2020",0.025798,0.027187,0.025637,0.027001,"19,459,107","93,707,287"
"Jul 21, 2020",0.025561,0.025857,0.025332,0.025798,"19,312,738","89,531,565"
"Jul 20, 2020",0.025707,0.025751,0.025375,0.025555,"14,830,952","88,689,738"
"Jul 19, 2020",0.026151,0.026286,0.025469,0.025696,"11,369,898","89,177,592"
"Jul 18, 2020",0.026554,0.027477,0.025817,0.026181,"13,654,939","90,859,998"
"Jul 17, 2020",0.025454,0.026630,0.025120,0.026502,"20,000,434","91,973,871"
"Jul 16, 2020",0.026069,0.026092,0.024747,0.025471,"14,417,652","88,396,736"
"Jul 15, 2020",0.025532,0.026614,0.025102,0.026070,"16,859,917","90,474,109"
"Jul 14, 2020",0.025672,0.025706,0.024926,0.025514,"19,605,086","88,547,606"
"Jul 13, 2020",0.026281,0.026351,0.025600,0.025699,"20,955,877","89,189,287"
"Jul 12, 2020",0.026755,0.026946,0.025744,0.026281,"16,987,978","91,209,096"
"Jul 11, 2020",0.026564,0.027871,0.026436,0.026751,"23,912,483","92,839,309"
"Jul 10, 2020",0.027961,0.027981,0.025767,0.026565,"32,089,996","92,192,718"
"Jul 09, 2020",0.027265,0.030065,0.026397,0.027978,"49,676,555","97,095,463"
"Jul 08, 2020",0.024956,0.027620,0.024811,0.027265,"23,968,895","94,623,469"
"Jul 07, 2020",0.023971,0.024949,0.023704,0.024949,"12,129,175","86,583,764"
"Jul 06, 2020",0.023087,0.024522,0.022919,0.023986,"16,920,210","83,243,471"
"Jul 05, 2020",0.024252,0.024259,0.022867,0.023087,"16,114,087","80,122,226"
"Jul 04, 2020",0.022777,0.024596,0.022692,0.024322,"23,520,764","84,408,900"
"Jul 03, 2020",0.021890,0.023640,0.021374,0.022827,"19,324,828","79,219,756"
"Jul 02, 2020",0.022882,0.022999,0.021489,0.021889,"13,994,563","75,964,379"
"Jul 01, 2020",0.022486,0.022862,0.021758,0.022862,"15,560,907","79,340,704"
"Jun 30, 2020",0.023088,0.023153,0.022373,0.022506,"15,006,269","78,105,461"
"Jun 29, 2020",0.022334,0.023140,0.021844,0.023113,"15,749,265","80,214,996"
