Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.172737,0.173082,0.167246,0.172914,"3,268,249","65,949,052"
"Sep 15, 2020",0.182667,0.184301,0.171132,0.172528,"3,707,293","65,724,300"
"Sep 14, 2020",0.182681,0.186512,0.180072,0.182638,"3,161,217","69,462,842"
"Sep 13, 2020",0.191864,0.194139,0.178527,0.182700,"2,957,583","69,376,486"
"Sep 12, 2020",0.191135,0.193606,0.187081,0.191864,"2,429,127","72,905,817"
"Sep 11, 2020",0.188911,0.191533,0.179681,0.190934,"3,012,858","72,777,282"
"Sep 10, 2020",0.175106,0.190458,0.175073,0.188911,"3,890,448","72,209,815"
"Sep 09, 2020",0.169314,0.179088,0.167565,0.175147,"2,314,612","66,969,019"
"Sep 08, 2020",0.174740,0.176612,0.166576,0.169282,"3,086,350","64,712,312"
"Sep 07, 2020",0.177884,0.179111,0.165120,0.174729,"2,996,754","66,709,283"
"Sep 06, 2020",0.170275,0.178124,0.164101,0.177393,"3,153,982","67,506,765"
"Sep 05, 2020",0.188097,0.193417,0.161492,0.170275,"5,065,456","64,483,650"
"Sep 04, 2020",0.179018,0.195224,0.177244,0.188236,"5,896,934","70,650,530"
"Sep 03, 2020",0.215542,0.216410,0.179161,0.179194,"6,211,531","66,905,529"
"Sep 02, 2020",0.230897,0.230897,0.210947,0.215542,"6,377,249","80,384,665"
"Sep 01, 2020",0.228578,0.233265,0.225886,0.230150,"5,248,829","85,736,094"
"Aug 31, 2020",0.235078,0.236175,0.228070,0.228726,"4,690,046","85,161,449"
"Aug 30, 2020",0.236813,0.237645,0.233178,0.235498,"3,743,924","87,688,928"
"Aug 29, 2020",0.231231,0.239487,0.227521,0.236929,"4,089,710","88,202,281"
"Aug 28, 2020",0.224285,0.233473,0.220530,0.231301,"2,477,244","86,062,432"
"Aug 27, 2020",0.240584,0.242281,0.220175,0.224364,"4,184,181","83,366,085"
"Aug 26, 2020",0.239137,0.241647,0.232064,0.240601,"4,127,955","89,304,230"
"Aug 25, 2020",0.256919,0.269839,0.230789,0.239099,"10,917,830","88,702,178"
"Aug 24, 2020",0.239697,0.257107,0.237813,0.256946,"6,624,677","95,301,852"
"Aug 23, 2020",0.245141,0.245451,0.235584,0.239697,"3,204,816","88,908,756"
"Aug 22, 2020",0.238927,0.246450,0.227243,0.245288,"5,115,041","91,038,968"
"Aug 21, 2020",0.244370,0.258749,0.238602,0.238927,"12,555,707","88,608,507"
"Aug 20, 2020",0.229645,0.245611,0.227121,0.245269,"6,608,531","90,940,079"
"Aug 19, 2020",0.245627,0.246223,0.223525,0.229650,"6,985,318","85,036,950"
"Aug 18, 2020",0.257843,0.268800,0.238355,0.245627,"10,692,494","90,957,232"
"Aug 17, 2020",0.241765,0.273800,0.239089,0.256867,"26,355,562","95,257,107"
"Aug 16, 2020",0.238428,0.242280,0.228803,0.241765,"5,251,581","89,740,530"
"Aug 15, 2020",0.228609,0.239718,0.227411,0.237805,"5,929,060","88,383,470"
"Aug 14, 2020",0.228584,0.234214,0.226463,0.228209,"4,789,419","84,985,762"
"Aug 13, 2020",0.221261,0.230458,0.213518,0.228808,"6,068,970","85,189,622"
"Aug 12, 2020",0.220396,0.223555,0.211106,0.220902,"4,461,562","82,254,499"
"Aug 11, 2020",0.231555,0.241832,0.214050,0.220653,"13,172,693","82,143,459"
"Aug 10, 2020",0.218593,0.231510,0.216563,0.231510,"7,245,960","86,222,745"
"Aug 09, 2020",0.221049,0.221314,0.214722,0.218451,"3,797,339","81,395,681"
"Aug 08, 2020",0.210420,0.221891,0.210189,0.220738,"5,263,813","82,314,008"
"Aug 07, 2020",0.214637,0.217792,0.206513,0.210397,"3,961,861","78,524,267"
"Aug 06, 2020",0.209485,0.217232,0.207183,0.214699,"3,406,651","80,140,812"
"Aug 05, 2020",0.208917,0.210694,0.206834,0.209482,"2,451,205","78,204,157"
"Aug 04, 2020",0.209087,0.211029,0.204477,0.209377,"2,862,265","78,147,350"
"Aug 03, 2020",0.204947,0.211343,0.203736,0.209091,"2,819,709","77,939,279"
"Aug 02, 2020",0.215661,0.221607,0.201270,0.204970,"6,462,291","76,332,438"
"Aug 01, 2020",0.211935,0.216046,0.210078,0.215123,"2,942,338","80,095,314"
"Jul 31, 2020",0.214376,0.215453,0.209023,0.211935,"3,033,210","78,890,674"
"Jul 30, 2020",0.211045,0.215423,0.208857,0.214366,"4,083,819","79,890,265"
"Jul 29, 2020",0.206740,0.214733,0.205680,0.210999,"3,696,683","78,674,751"
"Jul 28, 2020",0.202840,0.209254,0.202428,0.206728,"2,429,396","77,064,833"
"Jul 27, 2020",0.206776,0.207369,0.198275,0.202667,"5,253,838","75,452,169"
"Jul 26, 2020",0.210861,0.211498,0.204856,0.206786,"3,478,409","76,914,213"
