Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.502425,0.502425,0.475085,0.484370,"2,168,577","48,417,121"
"Sep 15, 2020",0.494047,0.526378,0.492949,0.502536,"1,209,535","50,232,255"
"Sep 14, 2020",0.495600,0.508022,0.489696,0.493942,"606,201","49,372,585"
"Sep 13, 2020",0.539384,0.547143,0.487675,0.495602,"1,144,044","49,537,881"
"Sep 12, 2020",0.533790,0.554208,0.518266,0.539384,"1,823,097","53,913,423"
"Sep 11, 2020",0.492463,0.535613,0.479789,0.533790,"1,611,213","53,353,580"
"Sep 10, 2020",0.464556,0.497626,0.462267,0.492454,"1,187,666","49,221,378"
"Sep 09, 2020",0.445572,0.472525,0.440062,0.464657,"839,197","46,442,425"
"Sep 08, 2020",0.465359,0.466493,0.434661,0.445556,"1,226,764","44,532,654"
"Sep 07, 2020",0.469735,0.471147,0.430158,0.465297,"1,151,014","46,505,150"
"Sep 06, 2020",0.455495,0.471596,0.432083,0.468791,"1,324,228","46,853,772"
"Sep 05, 2020",0.500184,0.508414,0.441398,0.455495,"1,189,908","45,524,330"
"Sep 04, 2020",0.470893,0.516009,0.465757,0.499754,"1,706,171","49,947,127"
"Sep 03, 2020",0.568062,0.569666,0.467184,0.468992,"2,214,532","46,872,080"
"Sep 02, 2020",0.599537,0.600828,0.543153,0.568062,"2,145,072","56,772,635"
"Sep 01, 2020",0.599607,0.615283,0.592186,0.599591,"2,282,558","59,922,889"
"Aug 31, 2020",0.619073,0.626223,0.596748,0.599801,"2,171,479","59,943,085"
"Aug 30, 2020",0.621296,0.630750,0.615503,0.618905,"1,755,938","61,851,534"
"Aug 29, 2020",0.610500,0.624949,0.605975,0.621101,"1,758,629","62,070,195"
"Aug 28, 2020",0.591752,0.617150,0.583446,0.610742,"1,902,527","61,034,228"
"Aug 27, 2020",0.655616,0.657215,0.582586,0.590895,"4,029,866","59,050,001"
"Aug 26, 2020",0.681311,0.682712,0.633077,0.655212,"4,372,148","65,476,595"
"Aug 25, 2020",0.691063,0.740605,0.655419,0.680258,"10,425,133","67,978,640"
"Aug 24, 2020",0.666338,0.709054,0.649322,0.691088,"4,374,754","69,059,977"
"Aug 23, 2020",0.679027,0.688640,0.650372,0.666338,"3,822,239","66,585,856"
"Aug 22, 2020",0.635203,0.718463,0.593697,0.679877,"14,624,029","67,937,902"
"Aug 21, 2020",0.596887,0.756989,0.594219,0.635203,"26,148,441","63,472,938"
"Aug 20, 2020",0.567675,0.599357,0.552814,0.595044,"1,894,474","59,459,308"
"Aug 19, 2020",0.601727,0.604967,0.550384,0.567428,"2,542,521","56,699,066"
"Aug 18, 2020",0.613923,0.622510,0.590806,0.601727,"2,996,538","60,125,577"
"Aug 17, 2020",0.628319,0.637770,0.597413,0.612613,"5,120,622","61,212,531"
"Aug 16, 2020",0.617935,0.634573,0.603603,0.628319,"2,645,685","62,781,016"
"Aug 15, 2020",0.638185,0.640005,0.611663,0.617405,"2,514,792","61,689,713"
"Aug 14, 2020",0.636176,0.665075,0.630018,0.639801,"4,427,452","63,926,630"
"Aug 13, 2020",0.636748,0.667083,0.601301,0.637920,"6,768,689","63,737,929"
"Aug 12, 2020",0.612799,0.643592,0.588917,0.636688,"4,384,500","63,613,967"
"Aug 11, 2020",0.595781,0.639050,0.585726,0.613634,"7,116,067","61,309,733"
"Aug 10, 2020",0.597797,0.600494,0.576972,0.596152,"3,660,733","59,562,362"
"Aug 09, 2020",0.593681,0.622267,0.578973,0.597061,"3,572,568","59,652,347"
"Aug 08, 2020",0.559312,0.602289,0.555786,0.594002,"3,386,112","59,345,969"
"Aug 07, 2020",0.538408,0.560687,0.536160,0.558936,"2,222,454","55,841,904"
"Aug 06, 2020",0.536602,0.543464,0.532191,0.538692,"1,547,059","53,818,698"
"Aug 05, 2020",0.539870,0.545963,0.530452,0.536803,"1,962,069","53,629,266"
"Aug 04, 2020",0.555755,0.556542,0.530998,0.539851,"2,040,488","53,933,040"
"Aug 03, 2020",0.540568,0.559952,0.538144,0.555785,"2,017,836","55,524,169"
"Aug 02, 2020",0.556907,0.569653,0.519645,0.540477,"3,634,443","53,994,252"
"Aug 01, 2020",0.550295,0.557151,0.539565,0.557077,"2,160,963","55,651,825"
"Jul 31, 2020",0.562671,0.568038,0.539069,0.550295,"2,023,728","54,973,666"
"Jul 30, 2020",0.561241,0.573243,0.555971,0.562696,"2,062,610","56,211,742"
"Jul 29, 2020",0.559775,0.588546,0.553527,0.561603,"3,346,837","56,101,891"
"Jul 28, 2020",0.552257,0.576999,0.540855,0.561447,"3,205,858","56,085,554"
"Jul 27, 2020",0.606343,0.607430,0.523800,0.552969,"5,641,542","55,237,952"
"Jul 26, 2020",0.600280,0.619592,0.564620,0.606349,"4,190,112","60,569,429"
"Jul 25, 2020",0.593236,0.624135,0.592213,0.600957,"3,299,158","60,030,090"
"Jul 24, 2020",0.597820,0.599508,0.579156,0.592303,"2,110,663","59,164,812"
"Jul 23, 2020",0.603325,0.612869,0.587609,0.597654,"3,621,234","59,698,535"
"Jul 22, 2020",0.625936,0.639565,0.593548,0.604154,"4,779,933","60,347,055"
"Jul 21, 2020",0.663378,0.667255,0.605490,0.626084,"7,543,884","62,536,838"
"Jul 20, 2020",0.633039,0.729786,0.617865,0.662554,"12,210,116","66,178,728"
"Jul 19, 2020",0.604661,0.664274,0.584784,0.632657,"9,513,231","63,191,672"
"Jul 18, 2020",0.565924,0.619223,0.553943,0.603954,"5,584,054","60,323,983"
"Jul 17, 2020",0.580225,0.584681,0.555740,0.565335,"3,962,245","56,465,913"
"Jul 16, 2020",0.563177,0.582802,0.512508,0.581201,"7,064,546","58,049,880"
"Jul 15, 2020",0.567800,0.612072,0.559522,0.563207,"5,273,251","56,251,939"
"Jul 14, 2020",0.570560,0.594543,0.547426,0.567674,"5,112,352","56,697,324"
"Jul 13, 2020",0.627021,0.627115,0.568156,0.572497,"6,287,799","57,178,359"
"Jul 12, 2020",0.650436,0.657086,0.614740,0.627021,"7,064,966","62,623,120"
"Jul 11, 2020",0.638306,0.684119,0.633103,0.650487,"12,066,558","64,965,975"
"Jul 10, 2020",0.588256,0.683714,0.552886,0.637685,"25,716,295","63,686,569"
"Jul 09, 2020",0.565197,0.598561,0.527499,0.589003,"9,499,398","58,823,834"
"Jul 08, 2020",0.499338,0.598013,0.489453,0.566978,"17,097,593","56,623,521"
