Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.042271,0.045925,0.041231,0.044617,"967,628","30,515,736"
"Sep 15, 2020",0.043393,0.043663,0.041456,0.042250,"422,994","28,896,889"
"Sep 14, 2020",0.042589,0.046128,0.041708,0.043364,"594,476","29,658,838"
"Sep 13, 2020",0.046986,0.047400,0.042065,0.042612,"633,009","29,144,220"
"Sep 12, 2020",0.045256,0.046988,0.043931,0.046986,"843,914","32,135,610"
"Sep 11, 2020",0.048360,0.049920,0.043655,0.045261,"1,073,354","30,955,884"
"Sep 10, 2020",0.040860,0.053517,0.040813,0.048555,"2,099,964","33,209,218"
"Sep 09, 2020",0.039849,0.042473,0.038724,0.040867,"511,846","27,950,873"
"Sep 08, 2020",0.041308,0.042521,0.038512,0.039853,"529,340","27,257,341"
"Sep 07, 2020",0.042484,0.043143,0.038208,0.041272,"512,193","28,227,975"
"Sep 06, 2020",0.039369,0.043152,0.038312,0.042421,"611,403","29,013,808"
"Sep 05, 2020",0.045458,0.046175,0.037256,0.039369,"851,353","26,926,349"
"Sep 04, 2020",0.045044,0.046568,0.042819,0.045478,"682,322","31,104,093"
"Sep 03, 2020",0.055017,0.055381,0.044729,0.045078,"919,948","30,830,832"
"Sep 02, 2020",0.056811,0.057107,0.053314,0.055120,"719,050","37,698,644"
"Sep 01, 2020",0.061011,0.061378,0.056801,0.056841,"1,090,855","38,876,110"
"Aug 31, 2020",0.059368,0.061445,0.058352,0.061001,"1,201,526","41,721,361"
"Aug 30, 2020",0.059963,0.060466,0.059188,0.059379,"833,122","40,611,687"
"Aug 29, 2020",0.058047,0.061677,0.057768,0.059981,"1,395,451","41,023,598"
"Aug 28, 2020",0.056121,0.058515,0.055310,0.058037,"805,563","39,693,812"
"Aug 27, 2020",0.058655,0.058987,0.054484,0.056101,"1,018,675","38,370,071"
"Aug 26, 2020",0.058314,0.060021,0.057358,0.058645,"874,432","40,109,567"
"Aug 25, 2020",0.062718,0.062944,0.056335,0.058356,"1,249,588","39,912,205"
"Aug 24, 2020",0.062577,0.064041,0.059941,0.062717,"1,897,374","42,894,914"
"Aug 23, 2020",0.064366,0.074620,0.060589,0.062577,"5,801,820","42,799,449"
"Aug 22, 2020",0.058439,0.064541,0.056291,0.064240,"1,368,866","43,936,422"
"Aug 21, 2020",0.064742,0.066118,0.058256,0.058548,"1,370,486","40,043,329"
"Aug 20, 2020",0.059258,0.066242,0.059003,0.064716,"1,444,831","44,261,953"
"Aug 19, 2020",0.061408,0.062376,0.057338,0.059268,"1,207,273","40,535,670"
"Aug 18, 2020",0.063839,0.065949,0.060843,0.061408,"1,150,941","41,999,898"
"Aug 17, 2020",0.070033,0.070307,0.062154,0.063803,"2,670,638","43,637,582"
"Aug 16, 2020",0.067008,0.070033,0.066081,0.070033,"2,088,672","47,898,544"
"Aug 15, 2020",0.069159,0.069822,0.065703,0.067004,"1,856,124","45,827,019"
"Aug 14, 2020",0.072310,0.079219,0.067680,0.069148,"6,413,164","47,293,569"
"Aug 13, 2020",0.058338,0.077315,0.054843,0.072764,"7,428,768","49,766,444"
"Aug 12, 2020",0.054864,0.059159,0.052959,0.058201,"1,546,053","39,805,962"
"Aug 11, 2020",0.058731,0.061704,0.053149,0.054816,"1,686,078","37,490,828"
"Aug 10, 2020",0.056893,0.059681,0.053425,0.058746,"2,179,980","40,179,298"
"Aug 09, 2020",0.054814,0.057638,0.054287,0.056982,"1,709,195","38,972,194"
"Aug 08, 2020",0.051152,0.056511,0.050964,0.054929,"1,840,356","37,568,096"
"Aug 07, 2020",0.051500,0.054234,0.049626,0.051147,"1,252,108","34,981,711"
"Aug 06, 2020",0.050361,0.051842,0.049420,0.051418,"955,308","35,167,362"
"Aug 05, 2020",0.050581,0.050786,0.049617,0.050361,"841,349","34,443,934"
"Aug 04, 2020",0.049278,0.050877,0.049010,0.050575,"940,503","34,590,330"
"Aug 03, 2020",0.050247,0.050379,0.048832,0.049280,"1,001,306","33,704,925"
"Aug 02, 2020",0.049626,0.051786,0.046885,0.050231,"1,400,295","34,355,297"
"Aug 01, 2020",0.050149,0.050833,0.049249,0.049611,"981,599","33,931,142"
"Jul 31, 2020",0.050282,0.052133,0.049889,0.050149,"703,241","34,299,121"
"Jul 30, 2020",0.049929,0.051175,0.049723,0.050230,"749,643","34,354,317"
"Jul 29, 2020",0.052305,0.052951,0.049607,0.049896,"826,609","34,126,374"
"Jul 28, 2020",0.048464,0.052749,0.048097,0.052268,"1,228,480","35,748,299"
"Jul 27, 2020",0.050584,0.051463,0.047612,0.048475,"1,217,663","33,153,852"
"Jul 26, 2020",0.052690,0.052934,0.048564,0.050583,"1,122,308","34,595,778"
"Jul 25, 2020",0.052674,0.054583,0.052316,0.052669,"1,013,215","36,022,297"
"Jul 24, 2020",0.055303,0.055450,0.052477,0.052626,"1,028,675","35,993,164"
"Jul 23, 2020",0.056014,0.056643,0.054072,0.055302,"1,479,571","37,823,434"
"Jul 22, 2020",0.055193,0.058604,0.054694,0.056059,"2,192,951","38,340,876"
"Jul 21, 2020",0.056883,0.058229,0.054886,0.055197,"1,242,453","37,751,554"
"Jul 20, 2020",0.056454,0.059193,0.055846,0.056877,"1,976,982","38,900,524"
"Jul 19, 2020",0.059514,0.059623,0.056260,0.056404,"1,195,142","38,576,877"
"Jul 18, 2020",0.061426,0.061877,0.057781,0.059439,"1,268,716","40,652,798"
"Jul 17, 2020",0.064361,0.064361,0.059336,0.061315,"1,783,516","41,935,877"
"Jul 16, 2020",0.057602,0.068402,0.057512,0.064369,"5,539,069","43,831,401"
"Jul 15, 2020",0.055222,0.061396,0.054914,0.057609,"2,381,436","39,228,472"
"Jul 14, 2020",0.055851,0.057578,0.053144,0.055179,"1,436,102","37,573,464"
"Jul 13, 2020",0.052591,0.060968,0.052528,0.056293,"3,130,758","38,332,525"
"Jul 12, 2020",0.051503,0.053138,0.051195,0.052591,"929,493","35,811,540"
"Jul 11, 2020",0.051276,0.051795,0.050439,0.051497,"849,076","35,066,472"
"Jul 10, 2020",0.050994,0.051450,0.049318,0.051208,"806,263","34,869,709"
"Jul 09, 2020",0.050777,0.054296,0.049555,0.051042,"1,334,650","34,756,917"
"Jul 08, 2020",0.049871,0.051308,0.049472,0.050777,"889,478","34,576,460"
"Jul 07, 2020",0.049845,0.050411,0.048796,0.049900,"829,749","33,978,887"
"Jul 06, 2020",0.046865,0.050087,0.046555,0.049881,"1,302,756","33,966,171"
"Jul 05, 2020",0.048792,0.049283,0.046664,0.046865,"668,174","31,912,656"
"Jul 04, 2020",0.048686,0.050978,0.047978,0.048871,"1,054,002","33,278,550"
"Jul 03, 2020",0.047216,0.052918,0.047186,0.048910,"2,222,281","33,305,191"
"Jul 02, 2020",0.045975,0.051516,0.044706,0.047241,"2,115,212","32,168,774"
"Jul 01, 2020",0.045963,0.046518,0.045221,0.046060,"589,367","31,180,009"
"Jun 30, 2020",0.046789,0.047071,0.045078,0.045966,"626,908","31,116,206"
"Jun 29, 2020",0.047080,0.047363,0.044289,0.046823,"807,978","31,696,363"
"Jun 28, 2020",0.046259,0.048176,0.044852,0.047080,"629,260","31,870,231"
"Jun 27, 2020",0.048958,0.049350,0.044767,0.046259,"821,805","31,314,708"
"Jun 26, 2020",0.052501,0.052713,0.048765,0.048765,"971,622","33,011,474"
"Jun 25, 2020",0.054136,0.054136,0.051825,0.052511,"851,556","35,546,914"
"Jun 24, 2020",0.055245,0.055856,0.053338,0.054038,"723,859","36,580,445"
"Jun 23, 2020",0.055221,0.055880,0.054559,0.055224,"813,943","37,383,636"
"Jun 22, 2020",0.054493,0.055654,0.054131,0.055257,"883,700","37,406,007"
"Jun 21, 2020",0.056857,0.057812,0.054424,0.054497,"1,051,379","36,891,185"
"Jun 20, 2020",0.054177,0.058321,0.054171,0.056991,"1,327,804","38,579,544"
"Jun 19, 2020",0.054696,0.057433,0.053310,0.054177,"1,323,309","36,674,479"
"Jun 18, 2020",0.055176,0.055417,0.054113,0.054640,"936,455","36,987,936"
"Jun 17, 2020",0.057371,0.057632,0.054375,0.055176,"868,908","37,350,735"
"Jun 16, 2020",0.056259,0.058862,0.055496,0.057356,"868,800","38,826,597"
"Jun 15, 2020",0.056865,0.057100,0.052334,0.056227,"765,987","38,062,695"
"Jun 14, 2020",0.060460,0.061053,0.056489,0.056865,"770,436","38,494,243"
"Jun 13, 2020",0.059934,0.061627,0.057940,0.060399,"1,529,892","40,886,980"
"Jun 12, 2020",0.054710,0.064687,0.054529,0.060021,"1,716,274","40,630,662"
"Jun 11, 2020",0.060927,0.062053,0.054150,0.054788,"919,502","37,088,078"
"Jun 10, 2020",0.061157,0.062423,0.060262,0.060927,"837,036","41,389,391"
"Jun 09, 2020",0.059941,0.062340,0.059254,0.061187,"747,403","41,566,253"
"Jun 08, 2020",0.060646,0.062428,0.059712,0.059939,"457,293","40,718,398"
"Jun 07, 2020",0.059057,0.060839,0.057286,0.060815,"432,068","41,313,528"
"Jun 06, 2020",0.060147,0.060485,0.058753,0.059057,"304,958","40,118,886"
"Jun 05, 2020",0.061662,0.062233,0.059110,0.060147,"572,418","40,859,603"
"Jun 04, 2020",0.062469,0.063892,0.060493,0.061665,"651,096","41,890,472"
"Jun 03, 2020",0.059379,0.066758,0.059211,0.062462,"1,724,724","42,432,260"
"Jun 02, 2020",0.058320,0.061703,0.056573,0.059378,"998,896","40,337,423"
"Jun 01, 2020",0.058559,0.060071,0.056239,0.058430,"1,104,301","39,693,224"
"May 31, 2020",0.061493,0.062779,0.058434,0.058570,"827,965","39,788,270"
"May 30, 2020",0.063665,0.066794,0.060253,0.061493,"1,658,310","41,773,715"
"May 29, 2020",0.063111,0.064630,0.062761,0.063686,"952,352","43,263,343"
"May 28, 2020",0.067498,0.068008,0.062917,0.063112,"1,377,757","42,873,808"
"May 27, 2020",0.070155,0.070739,0.066581,0.067469,"1,433,212","45,833,375"
"May 26, 2020",0.072904,0.072986,0.069542,0.070155,"1,034,632","47,658,138"
"May 25, 2020",0.069061,0.073543,0.068456,0.072864,"1,522,800","48,623,818"
"May 24, 2020",0.071324,0.077586,0.069170,0.069207,"1,781,480","46,183,641"
"May 23, 2020",0.071526,0.072299,0.070712,0.071364,"787,213","47,623,041"
"May 22, 2020",0.069612,0.072144,0.068450,0.071572,"1,220,366","47,761,709"
"May 21, 2020",0.072847,0.076086,0.067518,0.069658,"1,771,099","46,484,789"
"May 20, 2020",0.074924,0.075607,0.071830,0.072880,"992,259","48,635,069"
"May 19, 2020",0.073794,0.075644,0.072663,0.074924,"1,102,896","49,998,555"
"May 18, 2020",0.074567,0.075873,0.072648,0.073770,"1,033,094","49,228,635"
"May 17, 2020",0.074787,0.075939,0.073836,0.074479,"921,030","49,701,624"
"May 16, 2020",0.074464,0.076167,0.073869,0.074776,"1,037,318","49,900,244"
"May 15, 2020",0.073734,0.079123,0.073022,0.074592,"2,202,016","49,777,492"
"May 14, 2020",0.072509,0.074971,0.072307,0.073792,"1,553,208","49,243,174"
"May 13, 2020",0.075374,0.075937,0.072259,0.072629,"1,987,055","48,467,001"
"May 12, 2020",0.074507,0.077377,0.071956,0.075374,"1,877,352","50,299,430"
"May 11, 2020",0.072082,0.077771,0.069757,0.074407,"3,011,478","50,385,253"
"May 10, 2020",0.076584,0.077873,0.065764,0.072042,"4,569,843","48,783,739"
"May 09, 2020",0.074998,0.080153,0.073824,0.076519,"2,510,543","51,815,354"
"May 08, 2020",0.071255,0.081880,0.070535,0.074965,"4,898,285","50,763,192"
"May 07, 2020",0.078422,0.078440,0.069344,0.071345,"4,842,618","48,311,434"
"May 06, 2020",0.076591,0.079615,0.074219,0.078530,"17,291,261","53,176,794"
"May 05, 2020",0.070440,0.083732,0.070432,0.076738,"26,476,435","51,963,685"
"May 04, 2020",0.067223,0.074239,0.062383,0.070714,"13,074,586","47,884,611"
"May 03, 2020",0.074453,0.075346,0.065965,0.067234,"7,456,069","45,527,740"
"May 02, 2020",0.079901,0.079941,0.073182,0.074414,"8,770,125","50,389,590"
"May 01, 2020",0.081046,0.086001,0.077652,0.079879,"11,061,649","54,090,467"
"Apr 30, 2020",0.080943,0.099875,0.075730,0.081046,"42,485,884","54,880,448"
"Apr 29, 2020",0.048656,0.087994,0.048114,0.081089,"41,607,730","54,910,115"
"Apr 28, 2020",0.048283,0.049234,0.046764,0.048634,"631,838","32,933,063"
"Apr 27, 2020",0.047244,0.048262,0.046371,0.048201,"638,550","32,639,502"
"Apr 26, 2020",0.047860,0.050518,0.046793,0.047206,"1,202,525","31,965,570"
"Apr 25, 2020",0.046523,0.048868,0.045454,0.047746,"1,243,243","32,331,363"
"Apr 24, 2020",0.043905,0.046889,0.043668,0.046508,"916,815","31,493,103"
"Apr 23, 2020",0.044573,0.044903,0.042469,0.043726,"1,839,591","29,609,268"
"Apr 22, 2020",0.042670,0.047036,0.042652,0.044615,"3,493,317","30,211,309"
"Apr 21, 2020",0.038009,0.043936,0.037846,0.042688,"2,135,142","28,906,099"
"Apr 20, 2020",0.040426,0.041170,0.037770,0.037985,"474,709","25,722,043"
"Apr 19, 2020",0.041410,0.041561,0.039930,0.040443,"481,932","27,386,185"
"Apr 18, 2020",0.040834,0.042062,0.040639,0.041494,"577,074","28,097,916"
"Apr 17, 2020",0.042104,0.042307,0.040736,0.040854,"532,659","27,664,193"
"Apr 16, 2020",0.037935,0.042305,0.037091,0.042194,"807,416","28,572,080"
"Apr 15, 2020",0.040506,0.041504,0.037981,0.037981,"573,879","25,719,110"
"Apr 14, 2020",0.040553,0.042091,0.040286,0.040784,"861,941","27,617,247"
"Apr 13, 2020",0.039349,0.041332,0.036777,0.040483,"3,315,132","27,413,389"
"Apr 12, 2020",0.037055,0.041310,0.036962,0.039379,"1,499,887","26,665,660"
"Apr 11, 2020",0.038136,0.039010,0.036347,0.037065,"564,794","25,098,801"
