Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.099927,0.105037,0.098409,0.104317,"2,499,035","30,282,036"
"Sep 15, 2020",0.102100,0.104956,0.097679,0.099562,"2,999,329","28,892,741"
"Sep 14, 2020",0.107894,0.109245,0.100181,0.102100,"3,453,442","29,620,408"
"Sep 13, 2020",0.110609,0.114961,0.103551,0.108229,"2,804,870","31,388,891"
"Sep 12, 2020",0.113078,0.116297,0.108218,0.110660,"3,228,388","32,084,225"
"Sep 11, 2020",0.113710,0.115588,0.107077,0.113370,"3,401,216","32,859,720"
"Sep 10, 2020",0.103095,0.117640,0.102573,0.114169,"4,111,769","33,081,297"
"Sep 09, 2020",0.102327,0.105597,0.100627,0.103095,"3,421,835","29,863,703"
"Sep 08, 2020",0.101092,0.106490,0.095372,0.102296,"3,384,437","29,623,302"
"Sep 07, 2020",0.095068,0.103990,0.094670,0.101081,"3,514,078","29,262,767"
"Sep 06, 2020",0.097822,0.101426,0.091281,0.095185,"3,185,606","27,547,604"
"Sep 05, 2020",0.101583,0.106307,0.091722,0.098013,"3,766,080","28,357,560"
"Sep 04, 2020",0.103900,0.111764,0.098121,0.101567,"3,359,120","29,051,680"
"Sep 03, 2020",0.108581,0.108980,0.098850,0.104297,"3,467,219","29,823,528"
"Sep 02, 2020",0.107316,0.124888,0.103458,0.108650,"4,872,064","31,058,805"
"Sep 01, 2020",0.110453,0.112596,0.095561,0.107624,"4,329,192","30,755,885"
"Aug 31, 2020",0.119927,0.119927,0.104098,0.110474,"4,373,719","31,560,660"
"Aug 30, 2020",0.118039,0.121528,0.116238,0.119691,"3,924,636","34,183,448"
"Aug 29, 2020",0.119276,0.122610,0.104659,0.117899,"3,740,672","33,661,121"
"Aug 28, 2020",0.120068,0.124658,0.109604,0.119631,"4,742,733","34,145,123"
"Aug 27, 2020",0.129305,0.129531,0.114462,0.120091,"4,376,210","34,265,819"
"Aug 26, 2020",0.131510,0.131979,0.128552,0.129288,"3,587,589","36,775,086"
"Aug 25, 2020",0.139426,0.139556,0.129320,0.131431,"4,095,085","37,373,006"
"Aug 24, 2020",0.132529,0.141918,0.130163,0.139784,"4,460,347","39,735,943"
"Aug 23, 2020",0.132142,0.135316,0.127786,0.132011,"3,875,844","37,514,619"
"Aug 22, 2020",0.129407,0.140370,0.127827,0.131487,"3,413,071","37,354,172"
"Aug 21, 2020",0.139749,0.146351,0.128851,0.129518,"4,054,118","36,783,091"
"Aug 20, 2020",0.133968,0.145344,0.127660,0.139895,"5,283,268","39,718,201"
"Aug 19, 2020",0.142937,0.144377,0.132836,0.133968,"4,438,401","38,023,419"
"Aug 18, 2020",0.153568,0.153763,0.142045,0.142765,"4,879,608","40,507,911"
"Aug 17, 2020",0.151007,0.155711,0.150221,0.153478,"3,263,473","43,533,878"
"Aug 16, 2020",0.154881,0.156251,0.150639,0.151007,"2,852,664","42,819,864"
"Aug 15, 2020",0.155511,0.157999,0.154574,0.154733,"4,375,160","43,862,406"
"Aug 14, 2020",0.161278,0.162501,0.149910,0.155493,"4,162,458","44,064,714"
"Aug 13, 2020",0.162528,0.162528,0.152940,0.161245,"3,739,960","45,680,433"
"Aug 12, 2020",0.157093,0.165077,0.152393,0.162706,"3,944,367","46,080,313"
"Aug 11, 2020",0.164482,0.164755,0.154743,0.157300,"4,497,978","44,535,320"
"Aug 10, 2020",0.160768,0.165113,0.157536,0.164533,"3,621,830","46,568,429"
"Aug 09, 2020",0.156876,0.165298,0.154469,0.160768,"5,248,232","45,488,588"
"Aug 08, 2020",0.158465,0.158588,0.149777,0.156886,"3,955,754","44,376,113"
"Aug 07, 2020",0.161843,0.162541,0.151399,0.158436,"4,131,421","44,800,909"
"Aug 06, 2020",0.163455,0.163552,0.157815,0.161821,"4,132,586","45,743,926"
"Aug 05, 2020",0.160624,0.164353,0.155263,0.163455,"4,138,020","46,191,338"
"Aug 04, 2020",0.164806,0.170780,0.155681,0.160698,"5,323,158","44,883,615"
"Aug 03, 2020",0.173428,0.174146,0.155819,0.164806,"5,139,309","46,016,773"
"Aug 02, 2020",0.178023,0.186859,0.155734,0.173428,"4,541,154","48,408,864"
"Aug 01, 2020",0.177823,0.180155,0.170013,0.177675,"6,085,301","49,578,580"
"Jul 31, 2020",0.160831,0.180385,0.159933,0.177823,"6,476,742","49,604,301"
"Jul 30, 2020",0.155316,0.167161,0.153687,0.161060,"5,860,430","44,784,930"
"Jul 29, 2020",0.156625,0.159781,0.146889,0.155080,"6,491,836","43,108,445"
"Jul 28, 2020",0.172634,0.174505,0.155342,0.156450,"5,610,214","43,475,616"
"Jul 27, 2020",0.182817,0.183041,0.168700,0.172899,"5,615,139","48,031,905"
"Jul 26, 2020",0.185540,0.187710,0.176626,0.182820,"3,861,656","50,771,865"
"Jul 25, 2020",0.182253,0.186276,0.179805,0.185534,"5,640,506","51,509,078"
"Jul 24, 2020",0.187698,0.188168,0.179774,0.182242,"4,692,122","50,578,791"
"Jul 23, 2020",0.186630,0.195232,0.185605,0.187698,"5,638,950","52,076,106"
"Jul 22, 2020",0.192339,0.192339,0.175173,0.186630,"7,166,036","51,763,651"
"Jul 21, 2020",0.200787,0.202216,0.190752,0.192339,"6,000,915","53,330,903"
"Jul 20, 2020",0.201569,0.204697,0.199209,0.200984,"7,846,809","55,709,828"
"Jul 19, 2020",0.207868,0.207928,0.196760,0.201567,"11,299,102","55,853,501"
"Jul 18, 2020",0.208127,0.210318,0.203843,0.207973,"12,912,034","57,610,134"
"Jul 17, 2020",0.207062,0.215738,0.194897,0.208220,"11,701,117","57,658,779"
"Jul 16, 2020",0.225922,0.226784,0.188360,0.207219,"14,751,511","57,363,557"
"Jul 15, 2020",0.226306,0.230407,0.217073,0.225649,"10,824,398","62,445,558"
"Jul 14, 2020",0.225351,0.228542,0.213079,0.226865,"11,246,104","62,761,892"
"Jul 13, 2020",0.213455,0.230458,0.213282,0.225351,"11,378,126","62,322,914"
"Jul 12, 2020",0.226424,0.227525,0.205344,0.213455,"12,807,674","59,013,877"
"Jul 11, 2020",0.248875,0.274940,0.198727,0.226605,"16,616,956","62,629,153"
"Jul 10, 2020",0.205163,0.249260,0.201784,0.248893,"18,361,407","68,767,456"
"Jul 09, 2020",0.170973,0.204954,0.170973,0.204954,"9,901,163","56,608,213"
"Jul 08, 2020",0.161961,0.172027,0.158434,0.170973,"7,740,165","47,207,124"
"Jul 07, 2020",0.162330,0.164004,0.157974,0.161961,"6,672,433","44,704,228"
"Jul 06, 2020",0.168251,0.168902,0.152414,0.162423,"8,412,166","44,817,465"
"Jul 05, 2020",0.158015,0.169793,0.153879,0.168251,"7,735,934","46,410,985"
"Jul 04, 2020",0.137440,0.162999,0.137302,0.158359,"9,196,909","43,161,822"
"Jul 03, 2020",0.127440,0.137644,0.125505,0.137196,"5,454,016","37,271,768"
"Jul 02, 2020",0.123678,0.127917,0.121123,0.127392,"4,409,450","34,595,913"
"Jul 01, 2020",0.124483,0.124971,0.121510,0.123549,"3,935,885","33,541,464"
"Jun 30, 2020",0.124782,0.125440,0.122083,0.124156,"3,760,684","33,695,573"
"Jun 29, 2020",0.123576,0.125917,0.122665,0.125044,"3,465,362","33,925,330"
"Jun 28, 2020",0.122462,0.124599,0.116584,0.123705,"4,217,646","33,551,055"
"Jun 27, 2020",0.122346,0.127573,0.119375,0.122462,"5,450,838","33,203,040"
"Jun 26, 2020",0.113901,0.122771,0.113901,0.122717,"4,291,125","33,261,297"
"Jun 25, 2020",0.112777,0.114843,0.110724,0.113983,"3,209,246","30,883,706"
"Jun 24, 2020",0.113245,0.116771,0.111125,0.112890,"3,815,461","30,577,577"
"Jun 23, 2020",0.107594,0.116968,0.105503,0.113289,"3,691,784","30,675,619"
"Jun 22, 2020",0.104788,0.108636,0.103822,0.107687,"4,077,781","29,149,407"
"Jun 21, 2020",0.104551,0.106584,0.104193,0.104833,"2,744,316","28,367,506"
"Jun 20, 2020",0.103904,0.105919,0.103115,0.104601,"2,764,326","28,295,494"
"Jun 19, 2020",0.103544,0.104840,0.101086,0.103849,"3,117,650","28,082,607"
"Jun 18, 2020",0.104866,0.105122,0.102524,0.103702,"2,655,503","28,033,910"
"Jun 17, 2020",0.107026,0.108671,0.102782,0.104763,"2,936,270","28,311,461"
"Jun 16, 2020",0.101649,0.107049,0.101546,0.107049,"3,180,181","28,920,149"
"Jun 15, 2020",0.103004,0.103293,0.095677,0.101649,"3,563,052","27,452,300"
"Jun 14, 2020",0.110161,0.111850,0.099563,0.103126,"3,458,636","27,842,401"
"Jun 13, 2020",0.111046,0.113410,0.107931,0.110122,"4,603,403","29,721,319"
"Jun 12, 2020",0.104134,0.113534,0.102818,0.111272,"7,819,580","30,021,470"
"Jun 11, 2020",0.098026,0.114024,0.097749,0.104716,"10,026,319","28,243,207"
"Jun 10, 2020",0.098642,0.099317,0.096628,0.098021,"6,360,489","26,428,911"
"Jun 09, 2020",0.099012,0.099619,0.093807,0.098585,"6,703,396","26,572,461"
"Jun 08, 2020",0.092655,0.099611,0.091787,0.099148,"6,480,631","26,715,627"
"Jun 07, 2020",0.091404,0.093305,0.090652,0.092430,"5,828,525","24,897,648"
"Jun 06, 2020",0.091387,0.093107,0.090535,0.091404,"5,770,759","24,539,746"
"Jun 05, 2020",0.091771,0.093277,0.089811,0.091387,"5,811,295","24,527,166"
"Jun 04, 2020",0.091100,0.092494,0.090270,0.091771,"5,858,744","24,328,165"
"Jun 03, 2020",0.090079,0.092833,0.089266,0.091126,"5,600,557","24,149,195"
"Jun 02, 2020",0.091901,0.093650,0.087990,0.090079,"8,271,146","23,863,892"
"Jun 01, 2020",0.088204,0.092160,0.087059,0.091202,"10,472,819","24,153,494"
"May 31, 2020",0.093549,0.093549,0.086835,0.089118,"10,336,140","23,593,365"
"May 30, 2020",0.084707,0.094047,0.084108,0.092362,"10,449,094","24,443,866"
"May 29, 2020",0.084548,0.086128,0.083548,0.084968,"9,449,418","22,479,411"
