Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",1.76,1.80,1.48,1.51,"219,596,422","170,927,999"
"Sep 15, 2020",2.47,2.63,1.74,1.76,"414,091,618","197,615,136"
"Sep 14, 2020",2.32,2.67,2.18,2.47,"339,732,470","274,713,911"
"Sep 13, 2020",2.62,2.63,2.21,2.33,"232,778,008","257,764,417"
"Sep 12, 2020",2.72,2.72,2.34,2.62,"391,306,556","287,875,548"
"Sep 11, 2020",2.39,2.93,2.10,2.71,"463,814,467","278,847,639"
"Sep 10, 2020",2.88,3.13,2.27,2.39,"357,473,452","229,057,953"
"Sep 09, 2020",2.37,3.17,2.19,2.88,"470,324,448","255,255,781"
"Sep 08, 2020",2.84,2.95,2.31,2.38,"333,785,355","193,628,611"
"Sep 07, 2020",3.20,3.31,2.24,2.84,"641,983,271","210,996,000"
"Sep 06, 2020",1.92,3.48,1.17,3.19,"1,108,253,041","214,727,821"
"Sep 05, 2020",4.59,5.02,1.38,1.95,"493,710,512","116,847,416"
"Sep 04, 2020",4.96,5.75,4.46,4.61,"342,998,662","243,339,470"
"Sep 03, 2020",7.24,8.80,4.78,4.99,"577,016,889","227,251,771"
"Sep 02, 2020",8.90,9.09,6.18,7.22,"581,254,410","233,596,268"
"Sep 01, 2020",6.71,11.93,6.22,8.92,"592,326,063","225,944,055"
"Aug 31, 2020",3.14,7.15,2.79,6.71,"261,601,062","153,066,943"
"Aug 30, 2020",1.22,3.76,1.21,3.14,"93,981,664","1,519,874"
"Aug 29, 2020",2.54,2.98,0.696558,1.19,"24,371,937","573,857"
"Aug 28, 2020",3.40,5.20,1.26,2.55,"9,782,182","1,231,871"
