Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",1.62,1.63,1.47,1.52,"64,924,874","111,032,533"
"Sep 15, 2020",1.86,1.89,1.60,1.62,"87,895,282","118,752,853"
"Sep 14, 2020",1.72,1.96,1.64,1.86,"123,424,561","136,284,586"
"Sep 13, 2020",1.83,1.92,1.68,1.72,"81,042,666","126,155,656"
"Sep 12, 2020",1.79,1.87,1.72,1.83,"67,836,989","133,909,233"
"Sep 11, 2020",1.79,1.82,1.67,1.79,"45,464,928","131,185,508"
"Sep 10, 2020",1.81,1.95,1.77,1.79,"80,400,298","130,822,168"
"Sep 09, 2020",1.66,1.87,1.63,1.81,"72,917,692","132,565,214"
"Sep 08, 2020",1.75,1.79,1.62,1.66,"77,881,393","121,348,030"
"Sep 07, 2020",1.81,1.86,1.58,1.75,"114,139,644","127,827,196"
"Sep 06, 2020",1.69,1.94,1.55,1.81,"141,022,469","132,476,630"
"Sep 05, 2020",2.06,2.11,1.56,1.69,"170,378,465","123,340,253"
"Sep 04, 2020",1.84,2.18,1.79,2.06,"227,146,956","150,688,713"
"Sep 03, 2020",2.38,2.42,1.83,1.84,"145,417,390","121,585,488"
"Sep 02, 2020",2.57,2.72,2.13,2.38,"162,398,377","156,919,671"
"Sep 01, 2020",2.86,2.98,2.58,2.58,"151,160,564","170,194,357"
"Aug 31, 2020",2.95,3.09,2.84,2.86,"124,726,574","188,915,090"
"Aug 30, 2020",3.04,3.21,2.94,2.95,"123,369,775","194,727,486"
"Aug 29, 2020",2.89,3.25,2.88,3.06,"149,776,281","202,195,130"
"Aug 28, 2020",2.75,3.01,2.74,2.89,"128,166,254","190,646,286"
"Aug 27, 2020",2.86,3.08,2.60,2.76,"187,471,860","181,857,014"
"Aug 26, 2020",2.66,2.94,2.57,2.86,"134,461,846","188,737,734"
"Aug 25, 2020",2.94,2.97,2.50,2.67,"150,303,717","175,998,369"
"Aug 24, 2020",2.86,3.11,2.73,2.95,"168,776,024","194,401,250"
"Aug 23, 2020",2.80,2.95,2.53,2.86,"152,273,046","188,686,119"
"Aug 22, 2020",2.63,2.87,2.34,2.81,"262,423,779","185,399,288"
"Aug 21, 2020",3.20,3.27,2.57,2.63,"282,012,568","173,221,941"
"Aug 20, 2020",3.09,3.54,3.09,3.20,"236,963,718","211,339,133"
"Aug 19, 2020",3.60,3.78,3.02,3.09,"293,198,153","204,159,518"
"Aug 18, 2020",3.10,4.06,3.03,3.60,"382,619,423","237,607,006"
"Aug 17, 2020",3.39,3.49,3.01,3.09,"216,787,762","204,081,460"
"Aug 16, 2020",3.35,3.69,3.24,3.39,"251,247,609","224,010,162"
"Aug 15, 2020",3.72,3.93,3.34,3.35,"230,985,661","220,889,304"
"Aug 14, 2020",4.34,4.47,3.58,3.73,"286,713,114","246,376,832"
"Aug 13, 2020",3.85,5.01,3.72,4.34,"473,861,478","286,520,619"
"Aug 12, 2020",3.16,3.89,3.02,3.84,"253,711,288","253,542,011"
"Aug 11, 2020",2.54,3.23,2.41,3.16,"347,760,166","208,505,424"
"Aug 10, 2020",2.35,2.69,2.31,2.54,"195,685,856","167,701,929"
"Aug 09, 2020",2.15,2.52,2.06,2.35,"211,511,380","154,796,673"
"Aug 08, 2020",1.84,2.18,1.82,2.15,"162,973,292","141,841,665"
"Aug 07, 2020",1.92,1.94,1.78,1.84,"77,373,805","121,478,722"
"Aug 06, 2020",1.79,1.93,1.77,1.92,"79,716,975","126,541,071"
"Aug 05, 2020",1.84,1.93,1.76,1.79,"118,191,345","117,851,134"
"Aug 04, 2020",1.93,2.07,1.75,1.84,"128,622,361","121,503,296"
"Aug 03, 2020",1.73,1.94,1.68,1.92,"101,984,330","126,887,952"
"Aug 02, 2020",1.63,1.77,1.48,1.72,"100,102,343","113,462,209"
"Aug 01, 2020",1.76,1.93,1.60,1.63,"121,175,892","107,372,277"
"Jul 31, 2020",1.52,1.84,1.52,1.76,"103,727,306","116,155,703"
"Jul 30, 2020",1.57,1.61,1.52,1.52,"40,841,476","100,583,139"
"Jul 29, 2020",1.61,1.74,1.50,1.57,"62,164,091","103,459,965"
"Jul 28, 2020",1.51,1.71,1.45,1.61,"91,918,851","106,303,754"
"Jul 27, 2020",1.90,1.93,1.30,1.51,"152,870,487","99,336,030"
"Jul 26, 2020",1.98,2.04,1.80,1.90,"85,258,266","125,079,739"
"Jul 25, 2020",2.03,2.26,1.96,1.98,"108,534,603","130,757,522"
