Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.042930,0.042930,0.038991,0.040213,"520,584","33,343,093"
"Sep 15, 2020",0.044955,0.046486,0.042559,0.042915,"531,568","35,582,939"
"Sep 14, 2020",0.045607,0.048697,0.043531,0.044913,"580,554","37,240,173"
"Sep 13, 2020",0.050331,0.050468,0.044569,0.045676,"545,129","37,872,824"
"Sep 12, 2020",0.049623,0.051689,0.047120,0.050310,"646,850","41,714,388"
"Sep 11, 2020",0.043920,0.050143,0.042506,0.049660,"742,414","41,175,488"
"Sep 10, 2020",0.041687,0.045705,0.041211,0.043675,"595,730","36,213,278"
"Sep 09, 2020",0.040668,0.043244,0.040244,0.041667,"564,707","34,548,308"
"Sep 08, 2020",0.042101,0.042576,0.038475,0.040685,"584,063","33,733,974"
"Sep 07, 2020",0.042424,0.043323,0.037243,0.042095,"758,992","34,903,108"
"Sep 06, 2020",0.038290,0.042428,0.036065,0.042407,"743,268","35,119,626"
"Sep 05, 2020",0.042584,0.043643,0.037250,0.038290,"777,975","31,710,099"
"Sep 04, 2020",0.046451,0.046692,0.038046,0.042460,"1,013,336","35,163,462"
"Sep 03, 2020",0.052503,0.053533,0.044222,0.046396,"1,156,183","38,399,366"
"Sep 02, 2020",0.050766,0.053616,0.045720,0.052477,"1,262,759","43,432,787"
"Sep 01, 2020",0.054575,0.057127,0.046725,0.050799,"992,905","42,043,911"
"Aug 31, 2020",0.052956,0.062392,0.052598,0.054689,"1,363,014","45,263,380"
"Aug 30, 2020",0.045516,0.055506,0.045513,0.052995,"1,343,935","43,860,906"
"Aug 29, 2020",0.053506,0.054276,0.044389,0.045494,"1,425,332","37,652,934"
"Aug 28, 2020",0.056286,0.057375,0.052256,0.053505,"1,096,600","43,914,391"
"Aug 27, 2020",0.062130,0.064187,0.052813,0.056232,"966,740","46,152,634"
"Aug 26, 2020",0.057362,0.067259,0.057362,0.062109,"1,394,827","50,976,712"
"Aug 25, 2020",0.070864,0.073580,0.055773,0.057294,"1,533,717","47,018,146"
"Aug 24, 2020",0.080885,0.084698,0.069907,0.070905,"1,401,930","58,187,646"
"Aug 23, 2020",0.088955,0.092481,0.073542,0.080908,"1,387,780","66,389,637"
"Aug 22, 2020",0.082108,0.089781,0.076046,0.088986,"1,273,316","72,661,910"
"Aug 21, 2020",0.064486,0.085052,0.064071,0.081849,"1,887,743","66,670,506"
"Aug 20, 2020",0.062368,0.064575,0.058298,0.064505,"817,742","52,413,352"
"Aug 19, 2020",0.067382,0.069007,0.058730,0.062368,"969,090","47,558,927"
"Aug 18, 2020",0.066179,0.070597,0.056841,0.067382,"1,926,988","50,598,675"
"Aug 17, 2020",0.065117,0.070410,0.063582,0.066236,"1,869,262","49,347,503"
"Aug 16, 2020",0.050507,0.065117,0.049142,0.065117,"1,730,181","48,514,207"
"Aug 15, 2020",0.050719,0.056405,0.048214,0.050485,"1,030,021","37,612,856"
"Aug 14, 2020",0.047468,0.052134,0.047187,0.050618,"1,039,216","37,711,732"
"Aug 13, 2020",0.042093,0.048846,0.041012,0.047450,"1,439,390","35,351,272"
"Aug 12, 2020",0.043235,0.044755,0.040112,0.042091,"1,035,821","31,359,057"
"Aug 11, 2020",0.047127,0.055984,0.042355,0.043204,"1,759,545","32,188,101"
"Aug 10, 2020",0.043882,0.050495,0.041429,0.047125,"1,648,724","35,006,613"
"Aug 09, 2020",0.036916,0.045070,0.036292,0.044105,"1,372,768","32,762,939"
"Aug 08, 2020",0.026937,0.040273,0.026937,0.037051,"1,701,572","27,523,113"
"Aug 07, 2020",0.024947,0.027476,0.024333,0.027295,"547,422","20,248,972"
"Aug 06, 2020",0.024701,0.025524,0.024220,0.024952,"465,088","18,473,036"
"Aug 05, 2020",0.023843,0.025970,0.023489,0.024702,"406,673","18,288,052"
"Aug 04, 2020",0.023550,0.025248,0.023324,0.023863,"435,496","17,666,966"
"Aug 03, 2020",0.023417,0.024249,0.022784,0.023550,"438,684","17,435,119"
"Aug 02, 2020",0.025715,0.028647,0.023278,0.023398,"699,990","17,322,380"
"Aug 01, 2020",0.025127,0.026880,0.024507,0.025738,"458,607","19,055,045"
"Jul 31, 2020",0.024290,0.025714,0.024217,0.025127,"333,026","18,602,703"
"Jul 30, 2020",0.023922,0.024700,0.022781,0.024301,"407,131","17,991,243"
"Jul 29, 2020",0.026674,0.027441,0.023679,0.023927,"472,746","17,714,404"
"Jul 28, 2020",0.024642,0.028285,0.024629,0.026720,"574,044","19,781,783"
"Jul 27, 2020",0.025080,0.026265,0.023572,0.024654,"569,914","18,252,565"
"Jul 26, 2020",0.025071,0.027129,0.024566,0.025092,"469,817","18,569,425"
"Jul 25, 2020",0.024091,0.026707,0.023380,0.024926,"624,607","18,446,431"
"Jul 24, 2020",0.021717,0.024547,0.020963,0.024088,"402,691","17,826,088"
"Jul 23, 2020",0.021501,0.023306,0.019794,0.021717,"566,317","16,071,612"
"Jul 22, 2020",0.022888,0.025387,0.019722,0.021501,"884,213","15,911,947"
"Jul 21, 2020",0.023750,0.027497,0.021902,0.022892,"778,347","16,941,375"
"Jul 20, 2020",0.025450,0.028000,0.023688,0.023760,"563,188","17,584,073"
"Jul 19, 2020",0.027108,0.027576,0.024678,0.025449,"642,313","18,808,648"
"Jul 18, 2020",0.025441,0.029183,0.025340,0.027215,"786,159","20,113,661"
"Jul 17, 2020",0.021759,0.025564,0.021647,0.025435,"1,024,865","18,798,450"
"Jul 16, 2020",0.019201,0.022372,0.018107,0.021763,"295,502","16,173,640"
"Jul 15, 2020",0.019153,0.019858,0.018737,0.019212,"311,476","14,277,558"
"Jul 14, 2020",0.013906,0.021899,0.013906,0.019245,"458,436","14,301,843"
"Jul 13, 2020",0.014425,0.014965,0.013813,0.013903,"119,380","7,267,225"
"Jul 12, 2020",0.014707,0.015027,0.013856,0.014425,"81,017.34","7,539,662"
