Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.337571,0.361134,0.319480,0.321150,"16,487,641","123,903,987"
"Sep 15, 2020",0.320063,0.353967,0.307749,0.337586,"11,377,840","130,240,601"
"Sep 14, 2020",0.309134,0.326319,0.308031,0.320063,"3,546,521","123,476,219"
"Sep 13, 2020",0.329701,0.347515,0.301163,0.309017,"5,729,780","119,208,972"
"Sep 12, 2020",0.338845,0.339771,0.321443,0.329701,"5,839,564","127,185,967"
"Sep 11, 2020",0.349890,0.356698,0.315367,0.338888,"6,544,461","130,728,170"
"Sep 10, 2020",0.317455,0.381527,0.317317,0.349891,"10,150,695","134,968,897"
"Sep 09, 2020",0.316927,0.329375,0.310953,0.317388,"4,667,526","122,409,614"
"Sep 08, 2020",0.325925,0.329677,0.309491,0.316848,"5,797,043","122,198,944"
"Sep 07, 2020",0.342117,0.355883,0.309149,0.326114,"7,396,679","125,767,621"
"Sep 06, 2020",0.335342,0.344830,0.320574,0.342084,"7,010,454","131,924,005"
"Sep 05, 2020",0.376497,0.384946,0.330382,0.335342,"7,806,071","129,318,646"
"Sep 04, 2020",0.382879,0.386195,0.366821,0.376441,"8,780,901","145,166,754"
"Sep 03, 2020",0.445406,0.452005,0.383410,0.383508,"11,895,841","147,870,871"
"Sep 02, 2020",0.481670,0.481670,0.426709,0.445431,"11,976,647","171,715,723"
"Sep 01, 2020",0.510535,0.510607,0.477216,0.481460,"13,606,791","185,636,041"
"Aug 31, 2020",0.532532,0.533007,0.509776,0.510621,"10,519,908","196,835,315"
"Aug 30, 2020",0.538455,0.561160,0.525054,0.532386,"12,985,987","205,243,945"
"Aug 29, 2020",0.564606,0.567523,0.516653,0.538372,"15,615,978","207,575,487"
"Aug 28, 2020",0.504328,0.568606,0.503241,0.563494,"19,624,080","217,257,850"
"Aug 27, 2020",0.495559,0.515334,0.475201,0.503859,"14,991,706","194,256,604"
"Aug 26, 2020",0.464259,0.492733,0.462987,0.491105,"10,472,777","189,336,684"
"Aug 25, 2020",0.529584,0.529586,0.452459,0.464317,"15,158,877","179,006,204"
"Aug 24, 2020",0.483165,0.529345,0.480956,0.529345,"12,485,391","204,071,504"
"Aug 23, 2020",0.468375,0.483875,0.453700,0.482799,"16,506,861","186,123,496"
"Aug 22, 2020",0.433162,0.495610,0.416335,0.468402,"13,705,821","180,565,150"
"Aug 21, 2020",0.514707,0.516277,0.428837,0.433145,"20,202,039","166,970,885"
"Aug 20, 2020",0.508157,0.536762,0.506896,0.514732,"14,522,463","198,416,655"
"Aug 19, 2020",0.563072,0.642898,0.498743,0.508157,"65,606,822","195,878,744"
"Aug 18, 2020",0.564358,0.565744,0.524570,0.563460,"14,899,293","217,191,391"
"Aug 17, 2020",0.602702,0.602702,0.547463,0.564197,"13,749,722","217,473,760"
"Aug 16, 2020",0.512052,0.603196,0.509597,0.602702,"25,319,706","232,310,818"
"Aug 15, 2020",0.519798,0.521232,0.508375,0.511841,"7,021,145","197,286,295"
"Aug 14, 2020",0.527974,0.542598,0.510261,0.519978,"19,371,321","200,418,717"
"Aug 13, 2020",0.566141,0.571559,0.526242,0.527676,"34,688,570","203,382,243"
"Aug 12, 2020",0.522741,0.576747,0.520835,0.565640,"28,381,043","218,012,279"
"Aug 11, 2020",0.570162,0.582722,0.495664,0.523326,"37,672,665","201,700,004"
"Aug 10, 2020",0.436063,0.603332,0.409025,0.570409,"38,263,512","219,725,913"
"Aug 09, 2020",0.361639,0.441171,0.359912,0.436063,"15,689,633","167,979,978"
"Aug 08, 2020",0.335961,0.402184,0.335961,0.361829,"10,137,315","139,364,952"
"Aug 07, 2020",0.347623,0.349329,0.331965,0.335914,"6,093,306","129,382,470"
"Aug 06, 2020",0.340038,0.360304,0.336692,0.347310,"8,333,846","133,804,862"
"Aug 05, 2020",0.325767,0.349863,0.324927,0.340038,"9,676,514","130,999,238"
"Aug 04, 2020",0.326949,0.341872,0.311458,0.325699,"7,159,743","125,489,108"
"Aug 03, 2020",0.325812,0.353084,0.321906,0.326648,"9,570,839","125,896,506"
"Aug 02, 2020",0.281256,0.325903,0.276825,0.325812,"10,572,956","125,569,944"
"Aug 01, 2020",0.304992,0.313031,0.280724,0.280988,"5,909,431","108,290,171"
"Jul 31, 2020",0.336978,0.337132,0.296526,0.304992,"7,143,087","117,535,417"
