Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.580751,0.625434,0.544241,0.592188,"8,576,423","93,821,523"
"Sep 15, 2020",0.643383,0.646200,0.533272,0.580487,"7,636,691","91,967,694"
"Sep 14, 2020",0.707042,0.708074,0.632560,0.643383,"7,981,246","101,932,506"
"Sep 13, 2020",0.798293,0.799261,0.658548,0.706285,"7,766,852","111,898,139"
"Sep 12, 2020",0.744214,0.802794,0.713334,0.798293,"8,184,899","126,475,156"
"Sep 11, 2020",0.725671,0.760514,0.663310,0.743629,"6,133,147","117,814,682"
"Sep 10, 2020",0.729513,0.798142,0.707457,0.725965,"5,315,288","115,016,162"
"Sep 09, 2020",0.695587,0.759294,0.657870,0.729513,"5,481,368","115,578,320"
"Sep 08, 2020",0.721573,0.761261,0.654297,0.695102,"6,019,647","110,126,449"
"Sep 07, 2020",0.782210,0.799440,0.629116,0.720691,"6,380,056","114,180,620"
"Sep 06, 2020",0.638640,0.806883,0.621494,0.782214,"7,637,761","123,927,778"
"Sep 05, 2020",0.817535,0.850496,0.557856,0.638640,"7,899,670","101,181,041"
"Sep 04, 2020",0.748116,0.957012,0.673591,0.816855,"14,465,005","129,416,040"
"Sep 03, 2020",0.924713,1.04,0.744855,0.745339,"8,507,391","118,085,662"
"Sep 02, 2020",0.998144,1.10,0.897156,0.926293,"7,821,961","146,754,558"
"Sep 01, 2020",1.03,1.16,0.994049,0.998300,"9,289,699","158,162,776"
"Aug 31, 2020",1.09,1.10,0.990584,1.03,"6,952,497","163,420,384"
"Aug 30, 2020",0.942271,1.18,0.926161,1.08,"11,799,288","171,890,343"
"Aug 29, 2020",0.873912,0.943699,0.863440,0.940830,"5,165,112","149,057,736"
"Aug 28, 2020",0.926185,0.982199,0.858299,0.874233,"5,076,055","138,506,615"
"Aug 27, 2020",0.854566,0.954790,0.807170,0.928098,"6,243,351","147,040,532"
"Aug 26, 2020",0.829151,0.941420,0.829151,0.854622,"6,361,757","135,399,567"
"Aug 25, 2020",0.872880,0.911146,0.797022,0.826624,"4,703,608","130,963,817"
"Aug 24, 2020",0.807763,0.917950,0.798664,0.873609,"4,467,459","138,407,635"
"Aug 23, 2020",0.844542,0.858345,0.793753,0.807685,"1,986,660","127,963,170"
"Aug 22, 2020",0.784326,0.858220,0.753687,0.849495,"3,599,153","134,587,273"
"Aug 21, 2020",0.900772,0.952170,0.775428,0.783168,"3,556,034","124,078,952"
"Aug 20, 2020",0.794291,0.921858,0.772027,0.900790,"4,276,464","142,714,087"
"Aug 19, 2020",0.839036,0.839088,0.736489,0.794291,"4,125,114","125,841,139"
"Aug 18, 2020",0.864696,0.918760,0.819615,0.840478,"3,463,325","133,158,759"
"Aug 17, 2020",0.937224,0.985980,0.858875,0.867095,"4,821,657","137,375,726"
"Aug 16, 2020",0.883468,0.966103,0.857401,0.937224,"3,207,850","148,486,365"
"Aug 15, 2020",0.959266,1.04,0.866647,0.883254,"5,320,751","139,935,797"
"Aug 14, 2020",0.838203,1.01,0.814887,0.956069,"7,334,644","151,472,041"
"Aug 13, 2020",0.907057,0.933586,0.790348,0.837479,"7,300,521","132,683,623"
"Aug 12, 2020",0.765498,0.937307,0.722761,0.906920,"7,952,259","143,685,260"
"Aug 11, 2020",0.794497,0.810067,0.709845,0.765509,"7,160,413","121,281,174"
"Aug 10, 2020",0.776410,0.948190,0.722267,0.793859,"10,151,619","125,772,737"
"Aug 09, 2020",0.660477,0.798351,0.629729,0.776410,"6,442,289","123,008,222"
"Aug 08, 2020",0.585664,0.701300,0.583222,0.662262,"5,925,505","104,923,592"
"Aug 07, 2020",0.583960,0.630004,0.573159,0.585429,"4,114,741","92,750,710"
"Aug 06, 2020",0.559706,0.611693,0.514201,0.584172,"4,751,355","92,551,574"
"Aug 05, 2020",0.505188,0.628660,0.498648,0.559706,"7,196,828","88,675,395"
"Aug 04, 2020",0.458257,0.511270,0.456841,0.505470,"2,807,573","80,082,741"
"Aug 03, 2020",0.479207,0.503093,0.448261,0.458574,"2,488,624","72,652,855"
"Aug 02, 2020",0.444276,0.482637,0.407109,0.479207,"3,179,332","75,921,756"
"Aug 01, 2020",0.460329,0.495747,0.442097,0.443933,"2,413,782","70,333,209"
"Jul 31, 2020",0.489900,0.508451,0.457538,0.460329,"2,868,066","72,930,861"
"Jul 30, 2020",0.503887,0.577499,0.488923,0.489900,"3,406,389","77,615,943"
"Jul 29, 2020",0.493662,0.599214,0.468287,0.505266,"5,363,535","80,050,380"
"Jul 28, 2020",0.426428,0.557618,0.426214,0.493541,"5,943,049","78,192,784"
"Jul 27, 2020",0.498070,0.504340,0.394391,0.427365,"6,618,624","67,708,396"
"Jul 26, 2020",0.532475,0.645777,0.484719,0.497789,"5,904,053","78,865,802"
"Jul 25, 2020",0.613605,0.696069,0.526750,0.532516,"7,839,421","84,367,664"
"Jul 24, 2020",0.531730,0.719599,0.531034,0.612852,"25,846,725","97,095,436"
"Jul 23, 2020",0.540115,0.548513,0.523331,0.531730,"3,050,392","84,243,162"
"Jul 22, 2020",0.538990,0.542179,0.518061,0.540115,"2,138,478","85,571,619"
"Jul 21, 2020",0.538483,0.551085,0.510025,0.538863,"2,093,934","85,373,163"
"Jul 20, 2020",0.482025,0.585463,0.461968,0.537962,"4,068,043","85,230,519"
"Jul 19, 2020",0.483937,0.538586,0.461611,0.482019,"2,028,415","76,367,219"
"Jul 18, 2020",0.482516,0.507263,0.473566,0.483934,"1,753,302","76,670,675"
"Jul 17, 2020",0.413042,0.494101,0.412431,0.482914,"2,041,104","76,509,021"
"Jul 16, 2020",0.406067,0.423888,0.399276,0.413050,"1,160,533","65,440,385"
"Jul 15, 2020",0.409840,0.423419,0.402300,0.406130,"1,157,454","64,343,976"
"Jul 14, 2020",0.388974,0.459800,0.386307,0.403958,"2,008,773","63,999,834"
"Jul 13, 2020",0.448497,0.459973,0.382957,0.388974,"4,642,080","61,625,918"
"Jul 12, 2020",0.479454,0.480012,0.445612,0.448497,"3,154,235","71,056,375"
"Jul 11, 2020",0.444288,0.479135,0.441240,0.477949,"2,959,196","75,722,446"
"Jul 10, 2020",0.462630,0.464433,0.437871,0.443669,"2,961,841","70,291,443"
"Jul 09, 2020",0.482357,0.502350,0.445723,0.463404,"4,923,412","73,417,985"
"Jul 08, 2020",0.436034,0.489535,0.418996,0.482054,"5,705,497","76,372,755"
"Jul 07, 2020",0.414352,0.449236,0.407113,0.436034,"4,351,791","69,081,727"
"Jul 06, 2020",0.465100,0.481642,0.409455,0.416237,"5,077,195","65,945,248"
"Jul 05, 2020",0.462650,0.483561,0.440936,0.465100,"4,436,331","73,686,707"
"Jul 04, 2020",0.448774,0.481560,0.445219,0.463178,"4,064,423","73,382,198"
"Jul 03, 2020",0.429784,0.460782,0.420338,0.448757,"5,164,242","71,097,498"
"Jul 02, 2020",0.394780,0.430123,0.390396,0.429478,"5,411,766","68,043,038"
"Jul 01, 2020",0.365280,0.405218,0.352408,0.394066,"4,073,271","62,432,715"
"Jun 30, 2020",0.342234,0.369253,0.340839,0.364168,"3,779,588","57,695,970"
"Jun 29, 2020",0.351859,0.356085,0.327592,0.342216,"3,574,585","54,217,990"
"Jun 28, 2020",0.336382,0.369403,0.330438,0.355017,"2,972,502","56,246,021"
"Jun 27, 2020",0.375754,0.382008,0.329565,0.336382,"2,872,392","53,293,684"
"Jun 26, 2020",0.389128,0.400591,0.370630,0.376855,"4,024,525","59,705,909"
"Jun 25, 2020",0.362184,0.396960,0.347313,0.390105,"4,911,266","61,805,120"
"Jun 24, 2020",0.319172,0.362461,0.297725,0.362461,"801,491","57,425,461"
"Jun 23, 2020",0.302056,0.319973,0.294226,0.318178,"509,158","50,409,530"
"Jun 22, 2020",0.289315,0.319991,0.279389,0.302234,"508,330","47,883,579"
"Jun 21, 2020",0.298324,0.311342,0.285339,0.289309,"441,659","45,835,885"
"Jun 20, 2020",0.309739,0.332571,0.293379,0.306865,"343,740","48,617,319"
"Jun 19, 2020",0.295112,0.322449,0.284280,0.311952,"498,984","49,423,152"
"Jun 18, 2020",0.339835,0.349944,0.262787,0.295147,"728,478","46,760,692"
"Jun 17, 2020",0.269534,0.344697,0.262948,0.341097,"1,249,502","54,040,780"
"Jun 16, 2020",0.242174,0.291291,0.240424,0.269512,"485,059","42,699,373"
"Jun 15, 2020",0.241182,0.257630,0.224992,0.242741,"519,963","38,457,975"
"Jun 14, 2020",0.239790,0.252091,0.228378,0.241134,"475,849","38,203,296"
"Jun 13, 2020",0.198024,0.245741,0.195126,0.237141,"439,334","37,570,812"
"Jun 12, 2020",0.184444,0.200305,0.177112,0.195786,"304,392","31,018,788"
"Jun 11, 2020",0.190032,0.215486,0.182148,0.184376,"324,902","29,211,061"
"Jun 10, 2020",0.207647,0.217719,0.185939,0.190006,"405,004","30,103,038"
"Jun 09, 2020",0.183523,0.243041,0.181166,0.206493,"605,969","32,715,118"
"Jun 08, 2020",0.161148,0.214170,0.159732,0.183268,"516,070","29,035,476"
"Jun 07, 2020",0.150138,0.208621,0.142133,0.161141,"328,139","25,529,827"
"Jun 06, 2020",0.135888,0.155029,0.130941,0.150138,"204,113","23,786,685"
"Jun 05, 2020",0.132177,0.138982,0.129191,0.135888,"308,656","21,529,018"
"Jun 04, 2020",0.131397,0.135458,0.124985,0.132177,"209,584","20,941,035"
"Jun 03, 2020",0.127690,0.132525,0.125316,0.131422,"214,382","20,821,459"
"Jun 02, 2020",0.137419,0.142262,0.123104,0.127690,"245,200","20,230,203"
"Jun 01, 2020",0.129447,0.140584,0.127292,0.137035,"225,267","21,710,797"
"May 31, 2020",0.135963,0.136955,0.128340,0.129330,"153,536","20,490,087"
"May 30, 2020",0.125816,0.139273,0.122064,0.135972,"293,519","21,542,330"
"May 29, 2020",0.109453,0.128046,0.109056,0.125883,"181,050","19,943,955"
"May 28, 2020",0.103617,0.111830,0.101896,0.110309,"238,863","17,476,477"
"May 27, 2020",0.103413,0.104854,0.100411,0.103644,"178,835","16,420,600"
"May 26, 2020",0.103953,0.104973,0.098960,0.103413,"124,356","16,383,986"
"May 25, 2020",0.104725,0.105195,0.100512,0.104201,"159,930","16,508,829"
"May 24, 2020",0.106730,0.107942,0.102775,0.104704,"183,310","16,588,415"
