Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.027909,0.029203,0.026238,0.026494,"3,463,620,542","1,898,583,126"
"Sep 15, 2020",0.030403,0.030431,0.027701,0.027901,"3,079,049,243","1,999,410,434"
"Sep 14, 2020",0.030592,0.031586,0.030155,0.030452,"2,776,982,500","2,182,192,408"
"Sep 13, 2020",0.032749,0.032750,0.029659,0.030583,"2,416,138,366","2,191,568,821"
"Sep 12, 2020",0.033548,0.033552,0.032248,0.032749,"2,301,374,668","2,346,750,749"
"Sep 11, 2020",0.033077,0.034409,0.031431,0.033509,"2,419,591,539","2,401,224,116"
"Sep 10, 2020",0.034059,0.035182,0.032726,0.033077,"2,259,381,039","2,370,301,924"
"Sep 09, 2020",0.035110,0.035873,0.033793,0.034025,"2,334,257,138","2,438,215,516"
"Sep 08, 2020",0.032329,0.035430,0.031760,0.035001,"3,157,190,949","2,508,169,833"
"Sep 07, 2020",0.031476,0.032552,0.028658,0.032276,"2,401,424,526","2,312,921,523"
"Sep 06, 2020",0.029997,0.032374,0.028171,0.031523,"3,126,107,645","2,258,950,780"
"Sep 05, 2020",0.035749,0.036656,0.028109,0.029997,"3,631,605,784","2,149,577,199"
"Sep 04, 2020",0.041029,0.044489,0.032994,0.035620,"5,318,358,918","2,552,524,883"
"Sep 03, 2020",0.034544,0.048876,0.034292,0.041192,"6,184,131,222","2,951,805,244"
"Sep 02, 2020",0.034617,0.038077,0.032415,0.034451,"4,058,694,827","2,468,726,553"
"Sep 01, 2020",0.029277,0.035672,0.028380,0.034553,"2,177,409,507","2,476,052,862"
"Aug 31, 2020",0.026991,0.029708,0.025909,0.029298,"1,169,223,528","2,099,451,707"
"Aug 30, 2020",0.025001,0.028140,0.024989,0.026952,"907,256,920","1,931,397,452"
"Aug 29, 2020",0.023985,0.025196,0.023799,0.025038,"548,310,637","1,794,220,106"
"Aug 28, 2020",0.023108,0.024252,0.022803,0.023981,"563,814,715","1,718,466,141"
"Aug 27, 2020",0.023746,0.024470,0.022343,0.023100,"656,715,523","1,655,338,315"
"Aug 26, 2020",0.023123,0.023922,0.022883,0.023747,"584,388,284","1,701,684,374"
"Aug 25, 2020",0.025164,0.025407,0.022464,0.023132,"660,656,192","1,657,663,560"
"Aug 24, 2020",0.024452,0.025611,0.024049,0.025163,"562,364,027","1,803,169,492"
"Aug 23, 2020",0.025142,0.025232,0.023842,0.024465,"559,951,529","1,753,164,209"
"Aug 22, 2020",0.024349,0.025452,0.023548,0.025163,"871,932,825","1,803,205,764"
"Aug 21, 2020",0.027541,0.027729,0.024234,0.024343,"901,541,907","1,744,436,133"
"Aug 20, 2020",0.026519,0.027719,0.026450,0.027545,"925,062,330","1,973,861,703"
"Aug 19, 2020",0.028778,0.028925,0.025642,0.026537,"1,532,284,594","1,901,641,329"
"Aug 18, 2020",0.030332,0.032394,0.028507,0.028803,"1,708,225,951","2,063,994,280"
"Aug 17, 2020",0.028207,0.031145,0.026942,0.030388,"1,342,730,121","2,177,601,319"
"Aug 16, 2020",0.025212,0.028444,0.024295,0.028207,"1,128,912,475","2,021,333,619"
"Aug 15, 2020",0.024739,0.025508,0.023756,0.025201,"836,345,615","1,805,876,956"
"Aug 14, 2020",0.022628,0.025748,0.022628,0.024750,"1,078,753,054","1,773,606,735"
"Aug 13, 2020",0.020389,0.023213,0.019705,0.022606,"771,131,136","1,619,905,327"
"Aug 12, 2020",0.020161,0.020664,0.019191,0.020391,"477,942,729","1,461,236,236"
"Aug 11, 2020",0.021514,0.021522,0.019653,0.020157,"806,259,540","1,444,462,750"
"Aug 10, 2020",0.020496,0.021771,0.020496,0.021517,"596,055,237","1,541,918,650"
"Aug 09, 2020",0.020448,0.020634,0.020205,0.020473,"383,920,387","1,467,055,935"
"Aug 08, 2020",0.019899,0.020574,0.019784,0.020418,"396,763,867","1,463,143,428"
"Aug 07, 2020",0.020268,0.021060,0.019310,0.019938,"800,831,329","1,428,782,610"
"Aug 06, 2020",0.020449,0.020537,0.020047,0.020275,"450,623,907","1,452,910,867"
"Aug 05, 2020",0.020359,0.020711,0.020172,0.020451,"472,602,438","1,465,487,761"
"Aug 04, 2020",0.019887,0.020636,0.019887,0.020352,"535,229,652","1,458,423,566"
