Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",16.09,16.17,14.09,14.33,"21,743,426","786,406,900"
"Sep 15, 2020",17.42,17.72,15.58,16.08,"38,067,267","882,437,388"
"Sep 14, 2020",17.13,17.80,16.54,17.42,"27,627,285","954,868,937"
"Sep 13, 2020",18.76,19.06,16.07,17.08,"23,293,462","935,615,737"
"Sep 12, 2020",17.60,19.56,17.24,18.73,"26,457,681","1,026,001,511"
"Sep 11, 2020",16.87,17.88,15.48,17.55,"25,025,452","961,282,942"
"Sep 10, 2020",16.21,17.12,16.19,16.86,"29,649,964","923,787,634"
"Sep 09, 2020",15.58,17.70,15.26,16.21,"38,218,057","888,163,710"
"Sep 08, 2020",15.00,16.94,14.40,15.58,"36,241,072","853,008,010"
"Sep 07, 2020",15.74,16.11,13.92,15.07,"35,721,171","825,426,363"
"Sep 06, 2020",12.22,16.17,10.74,15.82,"20,087,219","865,938,675"
"Sep 05, 2020",18.89,19.59,10.44,12.21,"22,615,447","668,163,281"
"Sep 04, 2020",17.38,18.90,16.70,18.88,"20,311,927","1,033,202,263"
"Sep 03, 2020",23.49,23.98,17.01,17.36,"39,544,944","949,943,686"
"Sep 02, 2020",24.92,24.92,18.30,23.44,"92,628,082","1,282,767,572"
"Sep 01, 2020",22.70,27.63,20.69,24.99,"101,371,997","1,361,196,189"
"Aug 31, 2020",16.00,23.48,15.90,22.70,"87,170,084","1,236,489,736"
"Aug 30, 2020",11.27,16.11,11.25,15.80,"16,909,113","860,389,070"
"Aug 29, 2020",12.12,14.29,10.61,11.27,"16,228,310","607,228,915"
"Aug 28, 2020",8.53,12.11,8.46,12.11,"13,959,500","652,723,567"
"Aug 27, 2020",6.93,8.54,6.90,8.54,"4,988,940","460,172,396"
"Aug 26, 2020",6.58,7.02,6.52,6.94,"2,885,440","373,779,884"
"Aug 25, 2020",6.97,7.01,6.35,6.57,"2,528,983","353,715,040"
"Aug 24, 2020",6.24,6.99,6.21,6.97,"2,658,436","375,696,699"
"Aug 23, 2020",6.27,6.42,6.07,6.24,"2,035,621","336,189,652"
"Aug 22, 2020",6.32,6.59,6.12,6.27,"3,297,287","337,913,977"
"Aug 21, 2020",6.95,7.00,6.30,6.33,"1,841,085","340,752,550"
"Aug 20, 2020",7.10,7.45,6.77,6.97,"2,378,904","375,286,219"
"Aug 19, 2020",7.36,7.84,7.01,7.10,"2,367,226","382,391,320"
"Aug 18, 2020",7.10,7.86,7.07,7.34,"2,947,527","395,249,817"
"Aug 17, 2020",7.21,7.33,6.77,7.11,"1,921,272","382,520,365"
"Aug 16, 2020",7.12,7.54,6.80,7.21,"2,292,041",0
"Aug 15, 2020",7.31,7.44,6.95,7.12,"2,186,292",0
"Aug 14, 2020",6.60,7.37,6.57,7.30,"3,294,877",0
"Aug 13, 2020",5.84,6.79,5.53,6.59,"3,527,823",0
"Aug 12, 2020",5.29,5.84,4.98,5.84,"3,352,976",0
"Aug 11, 2020",5.41,5.99,5.21,5.27,"2,808,671",0
"Aug 10, 2020",4.54,5.43,4.54,5.41,"3,123,200",0
"Aug 09, 2020",4.56,4.88,4.38,4.54,"1,952,548",0
"Aug 08, 2020",4.37,4.73,4.31,4.56,"1,773,256",0
"Aug 07, 2020",4.51,4.55,4.25,4.36,"1,614,658",0
"Aug 06, 2020",4.34,4.57,4.27,4.52,"1,571,772",0
"Aug 05, 2020",4.30,4.57,4.29,4.34,"1,892,976",0
"Aug 04, 2020",4.43,4.76,4.30,4.30,"1,640,785",0
"Aug 03, 2020",4.49,4.62,4.33,4.41,"1,635,374",0
"Aug 02, 2020",4.21,4.87,4.20,4.50,"1,809,498",0
"Aug 01, 2020",4.33,4.39,4.00,4.22,"1,669,710",0
"Jul 31, 2020",4.14,4.60,4.09,4.33,"2,080,006",0
"Jul 30, 2020",4.01,4.15,3.82,4.14,"1,744,477",0
"Jul 29, 2020",4.05,4.53,3.83,4.01,"1,742,534",0
"Jul 28, 2020",4.03,4.15,3.96,4.04,"1,248,428",0
"Jul 27, 2020",4.19,4.31,3.99,4.03,"1,386,604",0
"Jul 26, 2020",4.11,5.16,3.87,4.19,"1,637,954",0
"Jul 25, 2020",3.57,4.12,3.36,4.12,"1,484,039",0
"Jul 24, 2020",2.99,3.94,2.87,3.56,"1,255,614",0
"Jul 23, 2020",2.46,2.99,2.45,2.99,"1,179,044",0
"Jul 22, 2020",2.11,2.47,2.04,2.46,"1,136,357",0
"Jul 21, 2020",2.17,2.26,1.91,2.11,"981,215",0
"Jul 20, 2020",1.86,2.24,1.86,2.17,"1,056,637",0
"Jul 19, 2020",1.89,2.01,1.85,1.86,"837,586",0
"Jul 18, 2020",1.93,2.01,1.84,1.90,"913,884",0
"Jul 17, 2020",1.68,2.05,1.59,1.93,"980,706",0
"Jul 16, 2020",1.69,1.75,1.63,1.68,"589,142",0
"Jul 15, 2020",1.72,1.75,1.67,1.70,"596,599",0
"Jul 14, 2020",2.04,2.04,1.69,1.73,"770,367",0
"Jul 13, 2020",2.07,2.32,2.03,2.03,"317,113",0
"Jul 12, 2020",2.03,2.38,1.98,2.07,"183,099",0
"Jul 11, 2020",2.22,2.23,2.00,2.03,"187,841",0
