Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.023043,0.023086,0.021921,0.022686,"1,969,111","47,410,066"
"Sep 15, 2020",0.023793,0.023917,0.022998,0.023026,"1,871,121","48,102,472"
"Sep 14, 2020",0.023830,0.024396,0.023430,0.023793,"1,717,831","49,686,416"
"Sep 13, 2020",0.024839,0.025017,0.023203,0.023856,"2,347,397","49,800,168"
"Sep 12, 2020",0.025297,0.025307,0.024462,0.024839,"2,050,371","51,833,427"
"Sep 11, 2020",0.024628,0.025718,0.023315,0.025414,"3,230,664","53,012,575"
"Sep 10, 2020",0.024295,0.025042,0.023935,0.024578,"2,673,569","51,250,248"
"Sep 09, 2020",0.023636,0.024389,0.023399,0.024258,"1,818,736","50,564,041"
"Sep 08, 2020",0.023916,0.024263,0.023147,0.023613,"2,704,438","49,200,468"
"Sep 07, 2020",0.024419,0.024573,0.022552,0.023928,"2,437,484","49,839,302"
"Sep 06, 2020",0.023236,0.024798,0.022910,0.024415,"2,246,865","50,834,491"
"Sep 05, 2020",0.025896,0.026248,0.022732,0.023236,"3,150,490","48,360,758"
"Sep 04, 2020",0.024085,0.027141,0.022985,0.025877,"5,017,836","53,838,545"
"Sep 03, 2020",0.029975,0.030733,0.024072,0.024100,"4,998,106","50,123,103"
"Sep 02, 2020",0.031520,0.031520,0.028945,0.029986,"5,201,304","62,341,510"
"Sep 01, 2020",0.032244,0.034378,0.031362,0.031542,"7,650,174","65,552,154"
"Aug 31, 2020",0.033422,0.036446,0.032143,0.032290,"7,646,833","67,081,192"
"Aug 30, 2020",0.038047,0.040218,0.033077,0.033422,"14,455,468","69,406,317"
"Aug 29, 2020",0.028643,0.041530,0.028554,0.038034,"31,370,857","78,954,241"
"Aug 28, 2020",0.026900,0.029349,0.026884,0.028634,"2,866,631","59,418,483"
"Aug 27, 2020",0.028505,0.028540,0.026735,0.026911,"3,178,897","55,823,402"
"Aug 26, 2020",0.028237,0.028635,0.027581,0.028515,"3,157,025","59,128,004"
"Aug 25, 2020",0.030234,0.030368,0.027386,0.028229,"3,752,346","58,511,974"
"Aug 24, 2020",0.030495,0.032011,0.030170,0.030209,"5,103,218","62,594,241"
"Aug 23, 2020",0.029124,0.030612,0.029124,0.030470,"3,092,199","63,111,503"
"Aug 22, 2020",0.028883,0.029279,0.028087,0.029199,"2,213,889","60,454,452"
"Aug 21, 2020",0.028648,0.030999,0.028535,0.028948,"4,046,543","59,913,126"
"Aug 20, 2020",0.028207,0.028995,0.027992,0.028656,"2,523,980","59,286,281"
"Aug 19, 2020",0.029889,0.030159,0.028129,0.028207,"3,144,233","58,336,164"
"Aug 18, 2020",0.031310,0.031451,0.029078,0.029880,"3,644,959","61,772,201"
"Aug 17, 2020",0.032310,0.032460,0.031092,0.031295,"3,271,673","64,672,664"
"Aug 16, 2020",0.030576,0.032380,0.030492,0.032310,"4,871,140","66,745,154"
"Aug 15, 2020",0.030081,0.031101,0.029312,0.030561,"3,301,332","63,109,592"
"Aug 14, 2020",0.032034,0.032248,0.029517,0.030079,"4,392,407","62,090,548"
"Aug 13, 2020",0.029223,0.032273,0.028007,0.032087,"6,551,221","66,210,943"
"Aug 12, 2020",0.028170,0.029582,0.026311,0.029233,"5,042,279","60,298,448"
"Aug 11, 2020",0.029988,0.030976,0.027709,0.028156,"5,861,118","58,054,773"
"Aug 10, 2020",0.028044,0.032939,0.027203,0.029995,"10,601,041","61,823,246"
"Aug 09, 2020",0.027404,0.028317,0.026642,0.028003,"3,355,090","57,697,218"
"Aug 08, 2020",0.025800,0.028488,0.025746,0.027369,"3,938,249","56,367,846"
"Aug 07, 2020",0.026544,0.026888,0.025521,0.025798,"2,498,463","53,114,029"
"Aug 06, 2020",0.026048,0.026645,0.025978,0.026515,"2,419,159","54,569,159"
"Aug 05, 2020",0.025950,0.026271,0.025549,0.026048,"2,615,634","53,588,105"
"Aug 04, 2020",0.025913,0.026435,0.025803,0.025953,"1,910,149","53,371,861"
"Aug 03, 2020",0.026173,0.026323,0.025658,0.025914,"2,254,969","53,270,913"
"Aug 02, 2020",0.026414,0.027137,0.025241,0.026184,"4,317,628","53,805,753"
"Aug 01, 2020",0.026883,0.027036,0.026104,0.026447,"3,152,100","54,326,030"
"Jul 31, 2020",0.026932,0.027192,0.026737,0.026883,"2,853,077","55,201,206"
"Jul 30, 2020",0.026930,0.027527,0.026505,0.026940,"4,030,949","55,297,328"
"Jul 29, 2020",0.026129,0.027620,0.026052,0.026930,"2,993,149","55,256,177"
"Jul 28, 2020",0.025716,0.026415,0.025685,0.026093,"2,829,694","53,517,382"
"Jul 27, 2020",0.026619,0.026853,0.025365,0.025732,"5,378,555","52,757,101"
"Jul 26, 2020",0.026946,0.027391,0.026519,0.026608,"4,184,006","54,532,348"
"Jul 25, 2020",0.027708,0.027982,0.026930,0.026930,"5,007,487","55,171,546"
"Jul 24, 2020",0.028090,0.028681,0.027403,0.027639,"3,906,017","56,602,606"
"Jul 23, 2020",0.028595,0.028802,0.028010,0.028087,"4,747,464","57,498,815"
"Jul 22, 2020",0.028534,0.029092,0.028006,0.028592,"4,848,668","58,509,769"
"Jul 21, 2020",0.027223,0.029073,0.027097,0.028530,"6,963,718","58,361,438"
"Jul 20, 2020",0.026681,0.027576,0.026638,0.027215,"3,637,317","55,648,944"
"Jul 19, 2020",0.026866,0.027122,0.026554,0.026703,"2,725,731","54,583,009"
"Jul 18, 2020",0.027396,0.027434,0.026633,0.026855,"2,959,702","54,871,749"
"Jul 17, 2020",0.027438,0.027809,0.026868,0.027374,"3,372,672","55,911,040"
"Jul 16, 2020",0.029170,0.029329,0.026424,0.027455,"6,304,778","56,055,866"
"Jul 15, 2020",0.027189,0.029714,0.026739,0.029051,"8,930,462","59,290,629"
"Jul 14, 2020",0.028000,0.028629,0.026021,0.027212,"5,788,528","55,517,793"
"Jul 13, 2020",0.026406,0.028000,0.026367,0.028000,"6,431,504","57,101,742"
"Jul 12, 2020",0.027247,0.027345,0.026066,0.026406,"4,424,394","53,831,906"
"Jul 11, 2020",0.026227,0.027711,0.026181,0.027264,"7,018,459","55,559,560"
"Jul 10, 2020",0.025159,0.026269,0.024945,0.026232,"4,410,070","53,436,371"
"Jul 09, 2020",0.025092,0.025326,0.024751,0.025179,"2,977,067","51,271,723"
"Jul 08, 2020",0.024691,0.025264,0.024586,0.025093,"4,031,571","51,077,088"
"Jul 07, 2020",0.025197,0.025316,0.024620,0.024660,"4,761,062","50,177,038"
"Jul 06, 2020",0.024487,0.025755,0.024449,0.025214,"5,185,834","51,283,987"
"Jul 05, 2020",0.025142,0.025892,0.024294,0.024502,"4,450,051","49,816,643"
"Jul 04, 2020",0.024532,0.025347,0.024440,0.025125,"3,388,820","51,064,711"
"Jul 03, 2020",0.024639,0.024826,0.024407,0.024527,"1,540,785","49,831,712"
"Jul 02, 2020",0.024831,0.025155,0.024192,0.024630,"2,261,379","50,019,983"
"Jul 01, 2020",0.024838,0.025303,0.024576,0.024857,"2,117,167","50,462,518"
"Jun 30, 2020",0.025102,0.025349,0.024590,0.024760,"2,313,368","50,245,385"
"Jun 29, 2020",0.025087,0.025744,0.024790,0.025108,"2,647,906","50,933,367"
"Jun 28, 2020",0.025626,0.025863,0.024965,0.025085,"2,870,626","50,867,192"
"Jun 27, 2020",0.026485,0.027839,0.025552,0.025626,"6,244,416","51,945,236"
"Jun 26, 2020",0.024986,0.027362,0.024875,0.026497,"6,157,720","53,689,763"
"Jun 25, 2020",0.025632,0.025793,0.024481,0.024969,"2,916,600","50,574,789"
"Jun 24, 2020",0.026901,0.026974,0.025004,0.025618,"4,045,689","51,870,170"
"Jun 23, 2020",0.028073,0.028319,0.026239,0.026893,"8,157,254","54,429,407"
"Jun 22, 2020",0.024871,0.029789,0.024776,0.028072,"10,904,164","56,795,581"
"Jun 21, 2020",0.024404,0.025746,0.024404,0.024861,"2,380,187","50,278,630"
"Jun 20, 2020",0.024669,0.024989,0.024193,0.024415,"2,435,172","49,358,152"
"Jun 19, 2020",0.025490,0.025986,0.023968,0.024656,"4,288,297","49,826,393"
"Jun 18, 2020",0.024437,0.025468,0.024386,0.025468,"3,097,698","51,448,074"
"Jun 17, 2020",0.024325,0.024571,0.024038,0.024457,"2,115,051","49,386,793"
"Jun 16, 2020",0.023962,0.024427,0.023777,0.024326,"2,043,678","49,102,187"
"Jun 15, 2020",0.024134,0.024409,0.022835,0.023916,"5,847,146","48,255,791"
"Jun 14, 2020",0.024602,0.024735,0.024087,0.024134,"2,898,021","48,677,521"
"Jun 13, 2020",0.024730,0.025003,0.024192,0.024614,"2,664,262","49,626,183"
"Jun 12, 2020",0.023184,0.024846,0.022988,0.024731,"3,218,970","49,843,477"
"Jun 11, 2020",0.025140,0.026313,0.023126,0.023163,"10,148,593","46,665,753"
"Jun 10, 2020",0.024730,0.025197,0.024612,0.025140,"5,053,053","50,627,617"
"Jun 09, 2020",0.024626,0.025023,0.024284,0.024718,"4,828,528","49,758,720"
