Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.040847,0.041631,0.040214,0.040792,"3,202,678","57,583,907"
"Sep 15, 2020",0.040839,0.041770,0.040569,0.040838,"3,025,182","57,648,469"
"Sep 14, 2020",0.039607,0.041677,0.039357,0.040839,"3,081,059","57,649,387"
"Sep 13, 2020",0.040780,0.040812,0.039355,0.039632,"3,131,238","55,946,328"
"Sep 12, 2020",0.040168,0.042361,0.039836,0.040780,"3,210,956","57,565,964"
"Sep 11, 2020",0.039421,0.041348,0.038690,0.040183,"3,190,223","56,724,168"
"Sep 10, 2020",0.039902,0.040875,0.039113,0.039421,"2,916,189","55,648,615"
"Sep 09, 2020",0.038648,0.040737,0.037924,0.039902,"2,475,768","56,326,405"
"Sep 08, 2020",0.040372,0.041041,0.038276,0.038648,"2,280,553","54,557,304"
"Sep 07, 2020",0.041625,0.041724,0.039895,0.040375,"2,211,481","56,994,179"
"Sep 06, 2020",0.040796,0.043848,0.040448,0.041626,"2,282,433","58,447,618"
"Sep 05, 2020",0.042431,0.042538,0.040350,0.040796,"2,280,717","57,282,114"
"Sep 04, 2020",0.043407,0.044260,0.042316,0.042425,"2,562,314","59,569,683"
"Sep 03, 2020",0.042809,0.045912,0.041360,0.043446,"2,611,622","61,004,196"
"Sep 02, 2020",0.044339,0.044339,0.042330,0.042809,"2,262,016","60,109,572"
"Sep 01, 2020",0.042196,0.045951,0.041813,0.044336,"2,399,624","62,253,869"
"Aug 31, 2020",0.043502,0.043630,0.040799,0.042212,"1,774,463","59,270,862"
"Aug 30, 2020",0.045262,0.045379,0.042682,0.043546,"1,895,559","61,143,569"
"Aug 29, 2020",0.046762,0.046852,0.044843,0.045237,"2,108,928","63,518,005"
"Aug 28, 2020",0.047712,0.047927,0.046390,0.046761,"2,239,248","65,657,697"
"Aug 27, 2020",0.048159,0.049272,0.047450,0.047694,"2,244,681","66,968,394"
"Aug 26, 2020",0.047717,0.049243,0.047541,0.048187,"2,677,741","67,660,894"
"Aug 25, 2020",0.047859,0.050102,0.047332,0.047727,"2,580,087","67,014,816"
"Aug 24, 2020",0.047876,0.049880,0.047466,0.047860,"2,528,459","67,202,037"
"Aug 23, 2020",0.048811,0.048868,0.047462,0.047880,"2,391,144","67,229,092"
"Aug 22, 2020",0.048786,0.050352,0.047732,0.048808,"2,430,560","68,532,448"
"Aug 21, 2020",0.047898,0.051097,0.046763,0.048781,"2,727,035","68,494,399"
"Aug 20, 2020",0.046657,0.050655,0.046657,0.047915,"3,446,166","67,278,712"
"Aug 19, 2020",0.047287,0.050829,0.046458,0.046657,"2,967,782","65,512,001"
"Aug 18, 2020",0.049041,0.049538,0.047255,0.047287,"2,834,267","66,396,505"
"Aug 17, 2020",0.049144,0.052234,0.048124,0.049079,"3,261,974","68,913,149"
"Aug 16, 2020",0.048970,0.050328,0.048702,0.049144,"3,602,225","69,002,442"
"Aug 15, 2020",0.048994,0.049966,0.048754,0.048943,"3,493,640","68,714,648"
"Aug 14, 2020",0.048878,0.050074,0.047798,0.048977,"3,624,858","68,757,284"
"Aug 13, 2020",0.048521,0.049122,0.047412,0.048848,"3,529,943","68,454,319"
"Aug 12, 2020",0.048417,0.050159,0.047642,0.048518,"3,546,481","67,980,503"
"Aug 11, 2020",0.049654,0.050289,0.047904,0.048429,"3,747,729","68,205,367"
"Aug 10, 2020",0.051395,0.052254,0.048614,0.049657,"3,744,100","66,679,962"
"Aug 09, 2020",0.051968,0.053700,0.050642,0.051395,"3,908,097","69,013,200"
"Aug 08, 2020",0.051501,0.052626,0.049230,0.051957,"4,116,399","69,768,799"
"Aug 07, 2020",0.044343,0.051623,0.044076,0.051508,"3,776,556","69,166,083"
"Aug 06, 2020",0.044334,0.046936,0.043760,0.044341,"3,352,591","59,541,869"
"Aug 05, 2020",0.044369,0.045004,0.043801,0.044334,"3,517,799","59,532,225"
"Aug 04, 2020",0.043874,0.044723,0.043365,0.044374,"3,242,169","59,586,233"
"Aug 03, 2020",0.043323,0.044820,0.042871,0.043868,"3,107,506","58,906,837"
"Aug 02, 2020",0.044558,0.045219,0.042438,0.043314,"3,145,087","58,162,819"
"Aug 01, 2020",0.045773,0.046866,0.044462,0.044518,"2,924,113","59,779,823"
"Jul 31, 2020",0.045937,0.047752,0.045013,0.045775,"3,348,659","61,466,647"
"Jul 30, 2020",0.048919,0.049525,0.043091,0.045937,"3,867,239","61,685,188"
"Jul 29, 2020",0.047612,0.051445,0.045501,0.048919,"3,673,426","65,688,864"
"Jul 28, 2020",0.052917,0.054677,0.047273,0.047593,"3,468,544","63,908,501"
"Jul 27, 2020",0.053802,0.055189,0.051857,0.052915,"4,521,099","71,054,666"
"Jul 26, 2020",0.060142,0.061190,0.052690,0.053801,"4,441,281","72,244,827"
"Jul 25, 2020",0.059767,0.060177,0.057796,0.060121,"4,262,517","80,730,669"
"Jul 24, 2020",0.061829,0.061907,0.059247,0.059726,"5,007,216","80,200,596"
