Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",2.50,2.56,2.36,2.56,"43,732,844","263,565,730"
"Sep 15, 2020",2.88,2.90,2.48,2.50,"53,760,072","257,389,874"
"Sep 14, 2020",3.07,3.11,2.81,2.87,"73,838,718","295,390,300"
"Sep 13, 2020",2.61,3.11,2.55,3.07,"114,291,576","316,503,284"
"Sep 12, 2020",2.50,2.66,2.47,2.61,"42,467,980","268,827,800"
"Sep 11, 2020",2.44,2.50,2.38,2.50,"31,778,050","257,561,341"
"Sep 10, 2020",2.40,2.54,2.40,2.44,"36,566,759","251,157,861"
"Sep 09, 2020",2.32,2.46,2.28,2.40,"34,481,884","247,334,645"
"Sep 08, 2020",2.41,2.46,2.26,2.32,"42,168,906","238,943,994"
"Sep 07, 2020",2.50,2.51,2.28,2.41,"50,624,847","248,160,290"
"Sep 06, 2020",2.32,2.54,2.23,2.50,"56,526,569","257,276,388"
"Sep 05, 2020",2.65,2.72,2.18,2.32,"60,292,486","238,841,122"
"Sep 04, 2020",2.52,2.83,2.39,2.65,"91,285,105","273,035,519"
"Sep 03, 2020",3.29,3.34,2.47,2.52,"66,212,770","259,832,926"
"Sep 02, 2020",3.55,3.59,3.07,3.29,"73,647,126","338,814,195"
"Sep 01, 2020",3.62,3.87,3.55,3.55,"86,158,001","364,979,827"
"Aug 31, 2020",3.39,3.75,3.39,3.62,"98,822,547","372,479,474"
"Aug 30, 2020",3.39,3.48,3.32,3.39,"61,289,816","348,708,437"
"Aug 29, 2020",3.38,3.55,3.30,3.39,"79,027,693","348,836,209"
"Aug 28, 2020",3.11,3.51,3.07,3.38,"86,842,477","347,412,665"
"Aug 27, 2020",3.27,3.30,3.00,3.11,"82,084,428","319,670,785"
"Aug 26, 2020",3.26,3.35,3.16,3.27,"75,785,188","336,720,072"
"Aug 25, 2020",3.67,3.67,3.14,3.26,"98,337,488","335,542,841"
"Aug 24, 2020",3.50,3.75,3.41,3.67,"76,940,321","377,506,202"
"Aug 23, 2020",3.40,3.66,3.23,3.50,"99,003,780","360,061,689"
"Aug 22, 2020",3.21,3.51,2.94,3.40,"106,015,881","349,904,739"
"Aug 21, 2020",3.88,3.89,3.21,3.21,"143,738,198","330,463,591"
"Aug 20, 2020",3.84,4.05,3.77,3.89,"102,498,645","399,389,213"
"Aug 19, 2020",4.23,4.50,3.67,3.84,"177,785,343","394,557,112"
"Aug 18, 2020",4.40,4.55,3.80,4.23,"219,033,549","434,263,469"
"Aug 17, 2020",4.04,4.76,4.02,4.40,"285,854,626","452,097,877"
"Aug 16, 2020",3.42,4.25,3.40,4.04,"249,125,149","415,313,811"
"Aug 15, 2020",3.50,3.74,3.23,3.42,"152,273,912","351,629,336"
"Aug 14, 2020",3.40,4.06,2.99,3.50,"309,161,961","359,280,961"
"Aug 13, 2020",2.19,3.54,2.08,3.42,"397,725,190","351,197,545"
"Aug 12, 2020",1.87,2.24,1.81,2.18,"99,155,535","224,415,250"
"Aug 11, 2020",1.97,2.06,1.82,1.87,"41,388,920","192,013,274"
"Aug 10, 2020",1.95,2.05,1.89,1.97,"48,282,968","202,456,328"
"Aug 09, 2020",1.82,1.98,1.80,1.95,"45,556,786","199,743,377"
"Aug 08, 2020",1.78,1.94,1.77,1.82,"47,649,429","186,838,407"
"Aug 07, 2020",1.71,1.79,1.68,1.78,"37,686,926","182,850,019"
"Aug 06, 2020",1.64,1.75,1.64,1.71,"55,429,946","175,661,844"
"Aug 05, 2020",1.65,1.65,1.60,1.64,"44,125,924","168,755,116"
"Aug 04, 2020",1.69,1.70,1.61,1.64,"47,393,346","168,831,328"
"Aug 03, 2020",1.59,1.70,1.58,1.69,"59,968,602","173,396,477"
"Aug 02, 2020",1.58,1.67,1.53,1.60,"51,819,381","163,788,805"
"Aug 01, 2020",1.52,1.58,1.51,1.58,"36,466,317","161,834,346"
"Jul 31, 2020",1.53,1.54,1.51,1.52,"30,608,320","156,325,857"
"Jul 30, 2020",1.50,1.59,1.50,1.53,"37,129,594","157,363,558"
"Jul 29, 2020",1.50,1.56,1.49,1.50,"29,169,842","153,698,473"
"Jul 28, 2020",1.47,1.53,1.47,1.50,"31,800,244","153,553,710"
"Jul 27, 2020",1.52,1.54,1.39,1.47,"39,522,800","151,110,746"
"Jul 26, 2020",1.53,1.54,1.47,1.52,"33,788,225","156,262,286"
"Jul 25, 2020",1.56,1.60,1.52,1.53,"30,279,732","156,633,661"
"Jul 24, 2020",1.59,1.65,1.54,1.56,"35,972,763","159,991,089"
"Jul 23, 2020",1.67,1.69,1.57,1.59,"41,426,215","162,585,284"
"Jul 22, 2020",1.66,1.74,1.64,1.67,"45,495,213","171,729,335"
"Jul 21, 2020",1.59,1.73,1.55,1.66,"48,430,131","169,787,023"
"Jul 20, 2020",1.45,1.73,1.41,1.60,"72,757,253","163,532,651"
"Jul 19, 2020",1.47,1.50,1.42,1.45,"26,392,020","149,073,436"
"Jul 18, 2020",1.46,1.53,1.41,1.47,"33,582,802","150,509,836"
"Jul 17, 2020",1.35,1.54,1.31,1.46,"57,968,781","149,703,801"
"Jul 16, 2020",1.32,1.53,1.23,1.35,"72,248,950","138,518,372"
"Jul 15, 2020",1.31,1.41,1.29,1.33,"46,566,083","135,791,004"
"Jul 14, 2020",1.18,1.31,1.17,1.31,"38,383,577","134,020,138"
"Jul 13, 2020",1.21,1.22,1.18,1.19,"23,289,176","121,490,100"
"Jul 12, 2020",1.20,1.22,1.19,1.21,"24,876,217","123,663,065"
"Jul 11, 2020",1.16,1.20,1.16,1.20,"24,582,566","122,921,525"
"Jul 10, 2020",1.18,1.20,1.15,1.16,"25,611,765","118,914,511"
"Jul 09, 2020",1.21,1.22,1.17,1.18,"27,184,475","120,557,054"
"Jul 08, 2020",1.16,1.21,1.16,1.21,"26,453,184","123,656,823"
"Jul 07, 2020",1.16,1.17,1.14,1.16,"21,276,208","119,175,808"
"Jul 06, 2020",1.11,1.16,1.11,1.16,"26,008,601","118,508,988"
"Jul 05, 2020",1.13,1.14,1.11,1.11,"25,148,057","114,139,657"
"Jul 04, 2020",1.12,1.14,1.12,1.13,"25,518,589","115,651,101"
"Jul 03, 2020",1.14,1.14,1.12,1.13,"24,754,800","115,168,913"
"Jul 02, 2020",1.15,1.18,1.12,1.14,"28,434,244","116,480,336"
"Jul 01, 2020",1.12,1.16,1.12,1.15,"28,233,976","117,865,707"
"Jun 30, 2020",1.14,1.15,1.12,1.12,"25,469,441","114,987,368"
"Jun 29, 2020",1.14,1.15,1.12,1.14,"26,851,218","116,898,774"
"Jun 28, 2020",1.12,1.14,1.11,1.14,"25,073,620","116,506,507"
"Jun 27, 2020",1.16,1.17,1.11,1.12,"31,607,431","114,348,777"
"Jun 26, 2020",1.19,1.19,1.15,1.16,"31,906,634","118,334,401"
"Jun 25, 2020",1.19,1.20,1.16,1.19,"28,139,457","121,441,358"
"Jun 24, 2020",1.24,1.25,1.18,1.19,"29,023,415","121,799,510"
"Jun 23, 2020",1.23,1.26,1.22,1.24,"26,811,872","127,101,955"
"Jun 22, 2020",1.20,1.23,1.20,1.23,"28,755,088","125,589,966"
"Jun 21, 2020",1.20,1.24,1.20,1.20,"29,517,584","123,201,534"
"Jun 20, 2020",1.21,1.23,1.19,1.20,"31,986,365","122,910,914"
"Jun 19, 2020",1.24,1.25,1.20,1.21,"31,533,774","124,008,320"
"Jun 18, 2020",1.26,1.26,1.21,1.24,"33,842,260","126,568,525"
"Jun 17, 2020",1.26,1.28,1.23,1.26,"36,565,574","128,823,325"
"Jun 16, 2020",1.17,1.28,1.17,1.26,"48,737,883","128,463,836"
"Jun 15, 2020",1.19,1.19,1.10,1.17,"37,070,436","119,526,232"
"Jun 14, 2020",1.25,1.26,1.18,1.19,"34,299,317","121,124,929"
"Jun 13, 2020",1.21,1.25,1.19,1.25,"37,592,920","127,391,765"
"Jun 12, 2020",1.14,1.21,1.14,1.21,"35,572,696","123,439,385"
"Jun 11, 2020",1.24,1.29,1.14,1.14,"46,187,890","116,615,949"
"Jun 10, 2020",1.17,1.30,1.16,1.24,"57,507,554","126,961,527"
