Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020","10,822.89","11,151.15","10,731.03","11,031.11","43,295,302","644,073,532"
"Sep 15, 2020","10,700.85","10,945.81","10,644.77","10,823.35","33,204,258","631,943,067"
"Sep 14, 2020","10,370.90","10,933.15","10,286.51","10,700.85","25,283,442","608,318,325"
"Sep 13, 2020","10,473.92","10,605.36","10,322.77","10,367.30","14,182,168","589,357,083"
"Sep 12, 2020","10,396.22","10,552.31","10,333.11","10,473.92","19,802,587","581,280,007"
"Sep 11, 2020","10,388.97","10,464.39","10,152.62","10,398.09","15,878,815","554,725,435"
"Sep 10, 2020","10,260.74","10,640.61","10,252.38","10,381.27","30,055,012","532,504,332"
"Sep 09, 2020","10,143.91","10,396.04","9,947.83","10,264.38","12,951,222","507,271,257"
"Sep 08, 2020","10,371.58","10,726.60","9,973.21","10,146.91","15,633,080","482,645,257"
"Sep 07, 2020","10,300.03","10,400.70","9,924.06","10,370.37","11,551,948","481,404,806"
"Sep 06, 2020","10,270.14","10,415.80","10,083.13","10,299.87","11,006,771","459,600,487"
"Sep 05, 2020","10,550.38","10,667.55","10,113.83","10,272.64","17,450,225","449,604,309"
"Sep 04, 2020","10,568.74","10,697.53","10,264.74","10,548.82","10,731,020","437,175,780"
"Sep 03, 2020","11,524.24","11,563.65","10,481.24","10,564.66","17,753,084","437,832,317"
"Sep 02, 2020","11,750.41","12,039.31","11,250.27","11,495.74","9,505,340","449,530,258"
"Sep 01, 2020","11,847.08","12,388.67","11,650.43","11,750.63","23,768,873","447,751,610"
"Aug 31, 2020","11,740.88","11,936.54","11,521.53","11,845.59","23,468,332","417,623,883"
"Aug 30, 2020","12,340.87","12,408.58","11,528.60","11,740.33","24,144,995","387,508,326"
"Aug 29, 2020","11,676.86","12,299.79","11,342.18","12,299.79","8,284,789","398,720,103"
"Aug 28, 2020","11,478.05","11,675.80","11,372.75","11,675.80","6,860,553","378,492,183"
"Aug 27, 2020","11,581.00","11,618.48","11,192.36","11,479.18","5,804,633","360,643,818"
"Aug 26, 2020","11,458.64","11,653.01","11,303.09","11,626.01","6,719,406","361,538,431"
"Aug 25, 2020","11,750.93","11,890.87","11,254.28","11,449.23","3,801,412","356,041,214"
"Aug 24, 2020","11,619.61","11,832.59","11,482.66","11,749.63","5,319,503","361,859,481"
"Aug 23, 2020","11,682.97","11,884.21","11,484.40","11,622.21","8,576,857","357,935,397"
"Aug 22, 2020","11,429.10","12,512.96","11,282.33","11,692.23","6,268,310","360,091,924"
"Aug 21, 2020","11,773.23","11,987.64","11,409.31","11,430.20","3,085,287","352,022,049"
"Aug 20, 2020","11,767.34","11,907.40","11,621.75","11,771.51","4,313,650","362,533,371"
"Aug 19, 2020","12,062.97","12,198.10","11,601.09","11,767.34","4,281,865","362,404,938"
"Aug 18, 2020","12,191.57","12,420.51","11,927.22","12,125.71","3,528,697","348,716,536"
"Aug 17, 2020","12,036.50","12,347.16","11,707.04","12,180.55","5,671,393","345,423,898"
"Aug 16, 2020","11,646.98","12,054.41","11,615.32","12,036.50","5,940,136","320,283,421"
"Aug 15, 2020","11,963.71","12,350.96","11,572.72","11,646.02","6,232,602","299,370,628"
"Aug 14, 2020","11,904.64","12,176.46","11,678.91","11,953.82","8,383,305","276,825,515"
"Aug 13, 2020","11,643.43","12,185.89","11,060.66","11,906.39","2,722,882","251,282,957"
"Aug 12, 2020","11,496.02","12,458.89","11,165.17","11,637.43","2,396,289","238,626,946"
"Aug 11, 2020","12,008.15","12,174.02","11,220.80","11,503.52","2,278,007","232,431,824"
"Aug 10, 2020","11,747.96","12,248.21","11,708.42","12,008.02","1,858,365","232,063,264"
"Aug 09, 2020","11,744.89","11,859.38","11,587.00","11,745.58","1,490,605","193,471,228"
"Aug 08, 2020","11,585.18","11,810.22","11,425.35","11,724.59","712,572","191,965,555"
"Aug 07, 2020","11,784.31","11,892.87","11,390.39","11,562.45","699,746","189,310,771"
"Aug 06, 2020","11,551.90","11,900.45","11,486.34","11,783.52","1,548,895","192,930,382"
"Aug 05, 2020","11,141.16","11,677.50","11,049.93","11,551.90","776,947","182,764,007"
"Aug 04, 2020","11,126.89","11,319.37","10,980.79","11,144.51","1,409,390","172,976,964"
"Aug 03, 2020","10,876.41","11,252.69","10,771.15","11,126.89","687,923","172,703,517"
"Aug 02, 2020","11,910.99","11,951.72","10,788.47","10,876.97","1,765,040","168,824,481"
"Aug 01, 2020","11,919.18","12,838.17","11,445.59","11,930.54","1,558,146","185,177,098"
"Jul 31, 2020","11,198.24","12,376.08","10,977.97","11,919.18","519,024","185,000,837"
"Jul 30, 2020","11,218.18","11,513.66","10,746.36","11,226.70","2,066,317","174,252,614"
"Jul 29, 2020","10,896.36","12,255.73","10,849.89","11,218.18","1,069,483","174,120,378"
"Jul 28, 2020","11,028.59","11,254.46","10,630.33","10,894.48","748,680","169,096,132"
"Jul 27, 2020","9,940.77","11,393.08","9,940.77","11,039.95","938,364","169,147,631"
"Jul 26, 2020","9,705.75","10,065.31","9,638.14","9,940.04","1,043,019","149,822,119"
"Jul 25, 2020","9,516.05","10,795.02","9,513.41","9,707.10","831,978","145,350,706"
"Jul 24, 2020","9,666.25","9,672.69","9,436.71","9,514.07","520,216","142,460,396"
"Jul 23, 2020","9,533.76","9,717.22","9,422.53","9,666.25","335,706","142,807,143"
"Jul 22, 2020","9,353.99","9,709.22","9,292.71","9,533.76","358,792","132,501,876"
"Jul 21, 2020","9,113.67","9,449.53","9,095.72","9,356.65","186,747","114,422,582"
"Jul 20, 2020","9,151.94","9,256.75","9,040.53","9,125.05","351,476","111,590,340"
"Jul 19, 2020","9,129.95","9,294.93","9,026.89","9,154.00","384,600","111,944,353"
"Jul 18, 2020","9,133.30","9,240.87","9,105.85","9,132.39","154,940","106,441,201"
"Jul 17, 2020","9,205.79","9,237.35","9,065.03","9,133.30","87,296.96","105,082,754"
"Jul 16, 2020","9,253.33","9,275.78","9,029.65","9,204.74","203,589","105,904,729"
"Jul 15, 2020","9,212.91","9,281.69","9,124.68","9,258.53","101,278","105,690,949"
"Jul 14, 2020","9,197.34","9,281.86","9,134.96","9,217.74","103,247","104,534,470"
"Jul 13, 2020","9,303.87","9,383.12","9,149.23","9,197.34","91,996.01","104,303,055"
"Jul 12, 2020","9,234.14","9,380.96","9,185.79","9,303.87","92,809.65","54,132,773"
"Jul 11, 2020","9,266.16","9,302.39","9,168.45","9,235.23","120,241","53,733,427"
"Jul 10, 2020","9,281.38","9,281.38","9,114.26","9,265.40","222,353","53,908,975"
"Jul 09, 2020","9,441.19","9,477.34","9,164.73","9,298.73","232,061","54,102,919"
"Jul 08, 2020","9,313.14","9,479.91","9,264.91","9,437.68","379,252","54,911,359"
"Jul 07, 2020","9,399.83","9,466.69","9,151.47","9,313.14","206,405","54,186,730"
"Jul 06, 2020","9,104.21","9,464.82","9,043.59","9,464.82","432,595","55,069,277"
"Jul 05, 2020","9,170.62","9,192.98","8,988.61","9,104.77","420,898","52,974,354"
"Jul 04, 2020","9,061.55","9,256.41","9,050.45","9,176.49","199,324","53,391,643"
"Jul 03, 2020","9,239.32","9,249.37","9,027.89","9,065.43","257,558","52,745,508"
