Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020","4,997.67","5,236.25","4,421.06","4,697.49","572,875,539","181,304,507"
"Sep 15, 2020","5,775.38","6,103.39","4,930.35","4,999.40","552,051,354","192,956,737"
"Sep 14, 2020","5,498.98","6,453.33","5,086.92","5,775.38","771,172,605","222,906,759"
"Sep 13, 2020","6,505.01","6,505.01","4,998.37","5,478.45","717,912,806","211,446,190"
"Sep 12, 2020","4,854.61","6,897.67","4,582.28","6,503.10","1,099,178,252","250,993,771"
"Sep 11, 2020","3,955.66","4,829.91","3,679.08","4,827.35","420,226,685","186,316,469"
"Sep 10, 2020","3,513.25","4,197.03","3,513.25","3,953.88","375,790,567","152,603,871"
"Sep 09, 2020","3,158.90","3,642.34","2,931.00","3,513.25","184,034,689","135,597,361"
"Sep 08, 2020","3,660.80","3,685.94","3,098.87","3,159.42","130,888,850","121,940,990"
"Sep 07, 2020","3,853.23","3,990.56","3,240.85","3,664.19","199,694,616","141,423,053"
"Sep 06, 2020","3,729.06","4,190.68","3,073.76","3,853.32","344,833,140","148,722,555"
"Sep 05, 2020","4,311.79","5,722.29","3,439.29","3,718.32","464,604,468","143,512,262"
"Sep 04, 2020","5,245.65","5,552.79","4,132.23","4,313.71","260,918,279","166,492,026"
"Sep 03, 2020","7,498.52","7,522.09","5,044.73","5,259.02","452,114,225","202,977,230"
"Sep 02, 2020","8,671.16","8,671.16","6,386.51","7,496.60","645,825,066","281,159,961"
"Sep 01, 2020","3,755.19","9,385.42","3,340.62","8,690.04","1,198,875,658","325,919,832"
"Aug 31, 2020","4,662.19","4,869.44","3,738.61","3,755.63","223,859,870","140,855,052"
"Aug 30, 2020","4,524.86","5,922.16","3,533.68","4,646.34","416,153,326","174,261,067"
"Aug 29, 2020","1,313.98","4,796.53","1,312.17","4,527.47","217,564,455","169,802,794"
"Aug 28, 2020",944.43,"1,311.25",888.00,"1,311.16","23,469,672","49,174,983"
"Aug 27, 2020","1,051.95","1,071.28",906.40,946.99,"7,416,161",0
"Aug 26, 2020",915.62,"1,088.67",896.95,"1,051.76","17,909,625",0
"Aug 25, 2020","1,038.63","1,105.68",855.34,912.97,"8,282,435",0
"Aug 24, 2020","1,255.45","1,353.32",964.44,"1,038.56","9,137,186",0
"Aug 23, 2020",859.74,"1,433.77",849.00,"1,254.44","14,838,695",0
"Aug 22, 2020",643.60,961.80,550.54,861.45,"8,727,633",0
"Aug 21, 2020",783.26,"1,023.90",566.63,649.95,"13,896,058",0
"Aug 20, 2020",356.63,926.69,292.87,783.75,"14,542,376",0
"Aug 19, 2020",180.03,356.63,168.33,356.63,"3,424,242",0
"Aug 18, 2020",137.48,202.28,129.79,180.22,"2,034,526",0
"Aug 17, 2020",128.86,145.70,122.08,137.49,"1,123,832",0
"Aug 16, 2020",132.16,142.14,121.98,128.86,"746,358",0
"Aug 15, 2020",143.07,151.21,118.07,132.12,"1,262,584",0
"Aug 14, 2020",151.84,169.88,126.56,139.76,"1,498,572",0
"Aug 13, 2020",192.20,252.87,132.94,151.93,"1,898,867",0
"Aug 12, 2020",127.62,242.82,121.28,188.39,"3,030,669",0
"Aug 11, 2020",155.57,163.56,138.55,140.55,"1,140,616",0
"Aug 10, 2020",133.29,165.82,118.24,155.60,"650,254",0
"Aug 09, 2020",124.49,139.73,122.91,133.29,"185,941",0
"Aug 08, 2020",135.81,154.98,123.12,124.03,"150,781",0
"Aug 07, 2020",140.50,440.38,130.88,135.12,"212,036",0
"Aug 06, 2020",132.93,156.07,126.56,143.24,"116,937",0
"Aug 05, 2020",129.75,155.03,122.08,132.93,"164,871",0
"Aug 04, 2020",116.03,149.40,104.85,129.87,"163,122",0
"Aug 03, 2020",448.45,487.75,96.29,115.91,"480,764",0
"Aug 02, 2020",452.45,546.61,329.25,448.46,"8,042.46",0
"Aug 01, 2020",559.80,570.12,433.32,451.52,"17,800.05",0
"Jul 31, 2020","1,100.48","1,102.15",422.71,559.84,"28,776.62",0
"Jul 30, 2020",861.66,"1,182.76",793.37,"1,100.48","37,457.49",0
"Jul 29, 2020",610.03,"1,156.21",440.99,862.07,"177,860",0
