Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020","35,415.96","36,987.37","30,962.53","34,856.55","722,331,107","1,044,561,937"
"Sep 15, 2020","39,943.71","41,464.75","35,383.68","35,421.45","607,013,551","1,061,490,524"
"Sep 14, 2020","36,805.61","42,211.91","34,996.17","39,943.71","578,697,437","1,197,010,938"
"Sep 13, 2020","43,341.27","43,341.27","32,783.50","36,748.12","577,867,566","1,101,247,187"
"Sep 12, 2020","38,038.85","43,873.82","36,611.62","43,282.04","625,806,005","1,297,052,005"
"Sep 11, 2020","34,052.92","38,133.07","31,872.95","37,966.53","437,606,131","1,137,759,049"
"Sep 10, 2020","27,848.49","34,937.02","27,728.27","34,052.09","632,167,299","1,020,452,294"
"Sep 09, 2020","22,433.91","29,036.96","21,676.62","27,875.43","307,226,839","835,353,853"
"Sep 08, 2020","22,948.31","23,428.97","21,237.15","22,440.50","149,939,446","672,479,394"
"Sep 07, 2020","24,007.71","24,533.30","20,766.13","22,960.95","175,222,401","688,075,010"
"Sep 06, 2020","22,226.57","25,101.13","19,798.17","23,917.51","294,856,675","716,734,348"
"Sep 05, 2020","27,511.73","28,673.66","18,755.92","22,281.99","432,785,297","667,720,502"
"Sep 04, 2020","29,776.81","31,499.84","24,457.53","27,606.25","319,283,397","827,267,712"
"Sep 03, 2020","31,960.68","33,010.03","28,113.12","29,858.00","416,033,860","894,696,382"
"Sep 02, 2020","32,129.56","32,648.52","26,196.83","31,901.63","468,719,309","955,915,462"
"Sep 01, 2020","35,098.40","36,586.34","31,576.89","32,139.30","535,757,877","963,035,498"
"Aug 31, 2020","31,836.37","39,306.10","29,982.80","35,102.08","684,094,659","1,051,757,573"
"Aug 30, 2020","27,430.36","38,683.51","27,224.47","31,807.65","938,499,196","953,046,732"
"Aug 29, 2020","18,854.53","27,490.04","17,977.08","27,293.41","509,583,890","817,786,879"
"Aug 28, 2020","14,222.57","19,371.87","14,179.55","18,786.71","188,259,687","562,901,770"
