Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.304793,0.310739,0.285815,0.287847,"21,489,333","133,356,461"
"Sep 15, 2020",0.338311,0.357050,0.303476,0.304848,"28,575,493","141,232,651"
"Sep 14, 2020",0.354201,0.358446,0.324466,0.338311,"24,680,238","156,735,620"
"Sep 13, 2020",0.354143,0.384798,0.341046,0.353539,"33,805,911","163,790,565"
"Sep 12, 2020",0.333151,0.359844,0.330847,0.354143,"25,771,465","164,070,601"
"Sep 11, 2020",0.307312,0.339334,0.306463,0.333085,"25,260,146","154,314,467"
"Sep 10, 2020",0.298727,0.309323,0.296154,0.307474,"17,611,924","142,449,355"
"Sep 09, 2020",0.304195,0.305534,0.291620,0.298727,"18,884,736","138,396,719"
"Sep 08, 2020",0.302436,0.308514,0.294910,0.304222,"18,137,825","140,942,569"
"Sep 07, 2020",0.300615,0.304741,0.284846,0.302436,"21,399,840","140,115,181"
"Sep 06, 2020",0.286770,0.301359,0.280736,0.300573,"23,925,326","139,251,947"
"Sep 05, 2020",0.300429,0.308667,0.279624,0.286770,"27,423,258","132,857,353"
"Sep 04, 2020",0.264584,0.318596,0.260374,0.300575,"48,264,046","139,252,999"
"Sep 03, 2020",0.260130,0.310961,0.259398,0.264538,"38,859,231","122,557,452"
"Sep 02, 2020",0.264487,0.266067,0.254148,0.260271,"17,420,162","120,580,482"
"Sep 01, 2020",0.259407,0.265089,0.258193,0.264634,"18,527,827","122,601,791"
"Aug 31, 2020",0.258038,0.259887,0.254923,0.259494,"14,862,184","120,220,783"
"Aug 30, 2020",0.254678,0.258645,0.251993,0.258167,"17,217,819","119,605,766"
"Aug 29, 2020",0.254648,0.255605,0.251807,0.254720,"15,954,924","118,008,969"
"Aug 28, 2020",0.252247,0.256043,0.250399,0.254746,"14,480,222","118,021,014"
"Aug 27, 2020",0.261752,0.262576,0.248818,0.252072,"18,224,151","116,782,143"
"Aug 26, 2020",0.252120,0.265462,0.251124,0.262005,"20,258,534","121,383,786"
"Aug 25, 2020",0.258496,0.259147,0.248421,0.251856,"15,203,847","116,681,954"
"Aug 24, 2020",0.257878,0.262868,0.255394,0.258536,"14,265,790","119,777,059"
"Aug 23, 2020",0.255827,0.261270,0.253252,0.257620,"12,325,419","119,352,535"
"Aug 22, 2020",0.260209,0.260209,0.248697,0.255416,"14,493,603","118,331,340"
"Aug 21, 2020",0.262864,0.271113,0.256131,0.259467,"17,487,165","120,208,038"
"Aug 20, 2020",0.249547,0.270088,0.248081,0.262730,"17,468,417","121,719,687"
"Aug 19, 2020",0.256212,0.256212,0.248769,0.249547,"6,574,294","115,612,541"
"Aug 18, 2020",0.254219,0.261655,0.251076,0.256071,"8,685,574","118,634,759"
"Aug 17, 2020",0.251812,0.259525,0.249288,0.253740,"10,463,834","117,555,001"
"Aug 16, 2020",0.249984,0.253111,0.246516,0.251812,"7,792,296","116,661,677"
"Aug 15, 2020",0.249295,0.253200,0.246168,0.249914,"8,617,917","115,782,188"
"Aug 14, 2020",0.252813,0.253702,0.247274,0.249677,"6,519,499","115,672,423"
"Aug 13, 2020",0.246924,0.252723,0.240717,0.252315,"6,183,177","116,894,777"
"Aug 12, 2020",0.240855,0.247332,0.237632,0.246840,"5,448,477","114,358,261"
"Aug 11, 2020",0.247265,0.250178,0.240092,0.240898,"6,487,175","111,605,201"
"Aug 10, 2020",0.245632,0.252837,0.244613,0.247327,"10,203,117","114,583,952"
"Aug 09, 2020",0.248301,0.249928,0.242433,0.245536,"8,380,543","113,754,018"
"Aug 08, 2020",0.245345,0.249524,0.243410,0.248632,"8,785,199","115,188,387"
"Aug 07, 2020",0.251808,0.253604,0.241474,0.246118,"10,676,501","114,023,828"
"Aug 06, 2020",0.252087,0.253980,0.249028,0.252228,"10,224,424","116,854,361"
"Aug 05, 2020",0.247938,0.266544,0.247616,0.252087,"16,427,609","116,789,131"
"Aug 04, 2020",0.245758,0.252077,0.244994,0.247816,"9,417,299","114,810,236"
"Aug 03, 2020",0.239546,0.254038,0.239301,0.245758,"10,920,967","113,857,006"
