Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",59.57,59.61,57.28,58.46,"402,576,266","587,643,732"
"Sep 15, 2020",63.34,66.68,59.17,59.50,"374,833,277","597,711,938"
"Sep 14, 2020",62.43,65.36,60.99,63.32,"359,163,569","635,588,120"
"Sep 13, 2020",65.99,66.35,61.45,62.60,"11,211,741,954","627,940,205"
"Sep 12, 2020",63.43,67.15,62.48,65.99,"12,719,387,643","661,425,583"
"Sep 11, 2020",62.49,64.27,58.37,63.43,"11,459,834,499","635,347,483"
"Sep 10, 2020",60.07,63.14,59.86,62.49,"12,056,159,801","625,484,205"
"Sep 09, 2020",58.91,61.38,57.93,60.02,"266,749,376","600,310,168"
"Sep 08, 2020",61.93,66.06,57.58,59.04,"407,859,311","590,077,076"
"Sep 07, 2020",58.92,62.61,55.73,61.98,"415,429,521","619,011,721"
"Sep 06, 2020",55.36,60.03,54.86,58.92,"392,477,808","588,046,856"
"Sep 05, 2020",60.05,60.82,51.95,55.36,"408,532,471","552,135,609"
"Sep 04, 2020",57.19,61.58,56.00,60.04,"491,190,708","598,327,970"
"Sep 03, 2020",77.06,77.22,55.25,57.08,"449,429,386","568,415,041"
"Sep 02, 2020",83.32,84.05,75.32,77.03,"424,065,185","766,528,372"
"Sep 01, 2020",79.47,85.13,79.02,83.32,"440,951,379","828,530,260"
"Aug 31, 2020",81.46,81.71,78.77,79.50,"308,160,406","790,045,424"
"Aug 30, 2020",79.84,82.17,79.28,81.49,"356,801,593","809,189,301"
"Aug 29, 2020",77.63,81.01,76.86,79.89,"324,804,125","792,694,881"
"Aug 28, 2020",74.37,77.93,73.76,77.61,"372,517,114","769,595,115"
"Aug 27, 2020",76.51,76.86,73.78,74.34,"373,471,123","736,579,745"
"Aug 26, 2020",74.63,77.69,73.29,76.55,"401,516,001","757,903,704"
"Aug 25, 2020",80.82,82.36,73.75,74.62,"533,791,568","738,266,765"
"Aug 24, 2020",83.69,83.90,79.85,80.79,"355,588,103","798,819,968"
"Aug 23, 2020",78.24,83.81,76.82,83.61,"435,309,106","826,069,957"
"Aug 22, 2020",75.64,78.74,74.49,78.32,"332,344,264","773,218,677"
"Aug 21, 2020",79.57,81.47,75.66,75.66,"381,779,095","746,392,541"
"Aug 20, 2020",77.14,80.38,76.93,79.53,"330,574,525","784,085,376"
"Aug 19, 2020",83.26,83.86,75.34,77.12,"469,428,437","759,746,473"
"Aug 18, 2020",85.77,87.75,83.17,83.25,"430,000,342","819,509,587"
"Aug 17, 2020",84.39,88.10,83.13,85.74,"453,427,629","843,407,025"
"Aug 16, 2020",84.74,85.40,81.98,84.39,"359,705,956","829,575,584"
"Aug 15, 2020",84.46,86.98,83.65,84.71,"400,928,757","832,028,134"
"Aug 14, 2020",87.58,87.84,83.74,84.50,"416,912,020","829,373,950"
"Aug 13, 2020",84.14,88.29,79.10,87.49,"530,879,433","858,121,218"
"Aug 12, 2020",81.34,85.07,77.90,84.10,"597,316,810","824,301,958"
"Aug 11, 2020",87.85,88.58,80.24,81.33,"541,745,005","796,495,229"
"Aug 10, 2020",90.25,93.23,87.15,87.97,"466,890,855","860,912,251"
"Aug 09, 2020",94.13,94.34,89.06,90.22,"419,642,720","882,294,854"
"Aug 08, 2020",92.26,96.35,90.52,93.95,"436,392,570","918,081,127"
"Aug 07, 2020",95.06,95.88,87.89,92.24,"561,374,781","900,772,089"
"Aug 06, 2020",95.99,102.18,91.84,95.11,"684,278,890","928,050,899"
"Aug 05, 2020",84.12,96.18,84.12,96.03,"687,533,610","936,386,547"
"Aug 04, 2020",82.47,84.43,81.15,84.08,"380,704,617","819,217,632"
"Aug 03, 2020",83.92,84.77,81.84,82.47,"434,416,856","802,957,270"
"Aug 02, 2020",89.59,90.70,78.34,83.96,"738,836,092","816,854,879"
"Aug 01, 2020",74.60,94.13,74.15,89.75,"739,726,742","872,565,052"
"Jul 31, 2020",70.91,74.73,70.85,74.60,"287,703,551","724,789,108"
"Jul 30, 2020",72.43,72.65,70.34,70.89,"230,217,303","688,198,632"
"Jul 29, 2020",70.91,74.01,70.62,72.43,"243,059,690","702,651,812"
"Jul 28, 2020",70.71,72.66,68.83,70.97,"263,253,531","687,960,078"
"Jul 27, 2020",65.77,72.23,65.77,70.55,"384,278,155","683,425,347"
"Jul 26, 2020",65.37,66.67,64.07,65.76,"256,116,202","636,507,086"
"Jul 25, 2020",63.08,65.67,63.07,65.41,"211,286,221","632,645,697"
"Jul 24, 2020",63.48,64.37,62.12,63.05,"211,546,148","609,359,579"
"Jul 23, 2020",64.25,64.73,63.14,63.46,"198,335,020","612,890,282"
"Jul 22, 2020",62.27,64.46,61.16,64.20,"243,535,935","619,532,347"
"Jul 21, 2020",57.14,62.35,56.99,62.26,"242,781,677","600,371,766"
"Jul 20, 2020",58.36,58.47,56.99,57.11,"137,174,363","550,348,356"
"Jul 19, 2020",58.94,59.23,57.20,58.33,"138,823,508","561,683,457"
"Jul 18, 2020",59.53,59.82,58.10,58.96,"140,696,214","567,275,264"
"Jul 17, 2020",58.84,60.17,58.04,59.58,"191,240,194","572,864,532"
"Jul 16, 2020",61.28,61.56,57.65,58.87,"234,367,747","565,617,364"
"Jul 15, 2020",61.81,62.98,60.95,61.28,"229,162,273","588,329,452"
"Jul 14, 2020",61.24,62.86,59.42,61.82,"262,540,342","593,026,928"
"Jul 13, 2020",58.60,63.49,58.60,61.29,"366,515,023","587,574,046"
"Jul 12, 2020",56.00,60.49,55.84,58.60,"274,094,663","561,335,040"
"Jul 11, 2020",55.93,56.58,55.12,55.97,"167,850,631","535,738,495"
"Jul 10, 2020",57.23,57.23,54.34,55.94,"165,596,070","535,005,210"
"Jul 09, 2020",57.94,58.56,56.07,57.26,"224,388,748","547,293,065"
"Jul 08, 2020",55.01,58.67,54.65,57.94,"280,091,307","553,314,756"
"Jul 07, 2020",55.47,55.74,53.62,54.98,"212,068,420","524,700,492"
