Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",4.68,4.68,4.31,4.59,"13,476,067","50,449,810"
"Sep 15, 2020",4.99,5.06,4.68,4.68,"15,058,279","51,426,483"
"Sep 14, 2020",4.87,5.06,4.84,4.99,"16,308,705","54,857,562"
"Sep 13, 2020",5.30,5.36,4.81,4.87,"17,467,082","53,465,623"
"Sep 12, 2020",5.32,5.37,5.20,5.30,"14,801,118","58,170,784"
"Sep 11, 2020",5.31,5.35,5.08,5.32,"15,206,134","58,357,820"
"Sep 10, 2020",4.85,5.37,4.85,5.30,"21,618,694","58,144,729"
"Sep 09, 2020",4.82,4.96,4.67,4.85,"14,665,080","53,108,324"
"Sep 08, 2020",4.79,4.90,4.58,4.82,"19,037,091","52,828,251"
"Sep 07, 2020",4.57,4.85,4.28,4.80,"18,761,397","52,520,965"
"Sep 06, 2020",4.33,4.62,4.30,4.57,"19,796,075","50,007,702"
"Sep 05, 2020",4.64,4.78,4.22,4.33,"23,883,136","47,267,039"
"Sep 04, 2020",4.74,4.85,4.39,4.64,"22,351,295","50,668,954"
"Sep 03, 2020",5.78,5.78,4.72,4.74,"25,985,201","51,732,007"
"Sep 02, 2020",6.27,6.30,5.60,5.78,"28,104,532","63,063,695"
"Sep 01, 2020",6.37,6.54,6.29,6.29,"25,366,284","68,571,117"
"Aug 31, 2020",6.60,6.62,6.37,6.37,"19,548,340","70,716,978"
"Aug 30, 2020",6.31,6.67,6.31,6.60,"19,619,533","73,139,477"
"Aug 29, 2020",6.18,6.34,6.16,6.31,"15,983,712","69,987,063"
"Aug 28, 2020",5.99,6.23,5.96,6.18,"17,066,510","68,410,995"
"Aug 27, 2020",6.24,6.25,5.92,5.98,"19,513,439","66,227,376"
"Aug 26, 2020",6.14,6.25,6.10,6.24,"22,671,561","68,996,905"
"Aug 25, 2020",6.48,6.51,6.09,6.14,"25,726,704","67,903,751"
"Aug 24, 2020",6.63,6.64,6.44,6.48,"15,814,328","71,631,958"
"Aug 23, 2020",6.77,6.78,6.58,6.64,"18,155,919","73,259,203"
"Aug 22, 2020",6.48,6.80,6.35,6.78,"23,095,042","74,758,065"
"Aug 21, 2020",6.58,6.75,6.48,6.48,"25,389,447","71,844,155"
"Aug 20, 2020",6.40,6.60,6.35,6.58,"18,509,249","72,957,334"
"Aug 19, 2020",6.76,6.78,6.23,6.41,"23,829,774","71,060,600"
"Aug 18, 2020",6.95,7.02,6.68,6.76,"23,974,495","74,913,936"
"Aug 17, 2020",6.87,7.00,6.82,6.95,"27,721,688","77,037,222"
"Aug 16, 2020",6.88,7.00,6.82,6.87,"28,409,705","76,069,969"
"Aug 15, 2020",7.14,7.16,6.78,6.88,"29,632,960","76,159,815"
"Aug 14, 2020",7.50,7.63,7.14,7.14,"27,436,625","79,036,914"
"Aug 13, 2020",7.14,7.50,6.88,7.50,"33,991,430","82,906,982"
"Aug 12, 2020",6.89,7.16,6.54,7.15,"19,409,508","76,928,227"
"Aug 11, 2020",7.46,7.47,6.69,6.89,"30,225,698","74,106,495"
"Aug 10, 2020",7.66,7.70,7.40,7.46,"29,454,158","80,196,021"
"Aug 09, 2020",8.20,8.24,7.67,7.67,"19,643,012","82,373,137"
"Aug 08, 2020",7.08,8.28,7.05,8.18,"24,424,198","87,847,413"
"Aug 07, 2020",7.28,7.45,6.83,7.08,"30,438,231","75,914,718"
"Aug 06, 2020",6.83,7.45,6.77,7.28,"20,049,587","78,083,245"
"Aug 05, 2020",6.41,6.87,6.36,6.83,"22,676,335","73,155,475"
"Aug 04, 2020",6.58,6.65,6.29,6.41,"17,326,751","68,549,197"
"Aug 03, 2020",6.26,6.62,6.22,6.58,"18,590,442","70,331,802"
"Aug 02, 2020",6.67,6.94,6.11,6.26,"35,748,969","66,920,468"
"Aug 01, 2020",5.60,6.82,5.58,6.66,"31,535,134","71,178,661"
"Jul 31, 2020",5.63,5.65,5.52,5.60,"18,934,403","59,787,385"
"Jul 30, 2020",5.65,5.70,5.53,5.64,"18,031,579","60,105,045"
"Jul 29, 2020",5.59,5.71,5.56,5.64,"19,759,268","60,120,618"
"Jul 28, 2020",5.60,5.66,5.56,5.59,"22,936,459","59,549,589"
"Jul 27, 2020",5.69,5.84,5.33,5.61,"26,644,779","59,660,688"
