Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",21.25,21.25,20.13,20.71,"82,371,437","143,787,324"
"Sep 15, 2020",23.91,23.94,21.12,21.18,"106,863,854","147,104,413"
"Sep 14, 2020",22.45,24.01,21.42,23.91,"122,226,108","166,037,276"
"Sep 13, 2020",23.66,25.38,21.31,22.46,"107,012,702","155,949,249"
"Sep 12, 2020",20.58,23.88,20.19,23.64,"74,916,709","164,131,268"
"Sep 11, 2020",20.76,21.00,20.01,20.58,"66,332,120","142,933,865"
"Sep 10, 2020",20.75,22.69,20.62,20.80,"87,278,719","144,418,964"
"Sep 09, 2020",19.92,21.49,18.87,20.71,"72,290,645","143,775,477"
"Sep 08, 2020",21.74,22.20,19.47,19.84,"65,135,149","137,769,317"
"Sep 07, 2020",21.37,21.81,18.59,21.66,"60,617,584","150,369,826"
"Sep 06, 2020",19.22,21.56,18.02,21.32,"58,342,377","148,022,834"
"Sep 05, 2020",22.78,23.37,18.38,19.18,"109,462,248","133,215,452"
"Sep 04, 2020",23.52,25.24,21.94,22.78,"102,708,137","158,169,390"
"Sep 03, 2020",32.16,33.28,21.73,23.53,"67,965,868","163,380,420"
"Sep 02, 2020",34.02,35.31,31.43,32.13,"123,897,404","223,081,620"
"Sep 01, 2020",33.95,35.55,31.66,34.03,"136,751,158","236,328,578"
"Aug 31, 2020",33.38,35.32,32.28,33.95,"101,861,828","235,754,105"
"Aug 30, 2020",31.85,37.86,31.24,33.28,"121,428,926","231,118,159"
"Aug 29, 2020",27.81,33.38,26.63,31.80,"89,247,724","220,793,308"
"Aug 28, 2020",25.68,29.18,25.65,27.89,"65,095,151","193,694,386"
"Aug 27, 2020",26.78,26.92,24.69,25.69,"75,946,537","178,375,057"
"Aug 26, 2020",23.95,26.66,23.29,26.66,"100,351,147","185,093,915"
"Aug 25, 2020",24.51,24.75,23.11,23.93,"81,074,499","166,132,102"
"Aug 24, 2020",23.76,26.46,23.01,24.65,"53,743,819","171,184,257"
"Aug 23, 2020",24.68,24.76,21.99,23.90,"62,970,727","165,943,911"
"Aug 22, 2020",18.92,24.78,18.42,24.69,"64,918,169","171,443,104"
"Aug 21, 2020",22.39,22.41,18.88,18.95,"50,865,587","131,562,071"
"Aug 20, 2020",16.78,22.54,16.72,22.37,"55,291,423","155,347,890"
"Aug 19, 2020",21.65,21.65,16.55,16.78,"46,583,564","116,529,731"
"Aug 18, 2020",19.78,22.52,19.68,21.66,"55,420,614","150,433,987"
"Aug 17, 2020",19.64,20.55,19.14,19.79,"36,586,053","137,413,464"
"Aug 16, 2020",18.63,19.79,17.99,19.64,"35,133,717","136,389,938"
"Aug 15, 2020",21.42,21.48,18.49,18.58,"66,118,292","129,042,617"
"Aug 14, 2020",18.90,21.69,18.72,21.34,"25,749,274","148,172,817"
"Aug 13, 2020",22.99,23.48,18.74,18.91,"105,487,950","131,326,072"
"Aug 12, 2020",20.23,23.82,19.28,23.04,"69,892,327","159,988,612"
"Aug 11, 2020",23.13,23.13,19.05,20.25,"30,202,976","140,641,547"
"Aug 10, 2020",26.68,27.17,22.94,23.13,"40,422,065","160,639,889"
"Aug 09, 2020",16.93,28.73,16.84,26.68,"35,596,087","185,294,948"
"Aug 08, 2020",13.24,17.17,13.15,16.93,"11,002,992","117,590,714"
"Aug 07, 2020",12.89,14.73,12.81,13.25,"12,029,527","92,028,317"
"Aug 06, 2020",10.51,15.42,10.03,12.89,"17,268,734","89,537,088"
"Aug 05, 2020",10.32,10.59,10.03,10.51,"2,271,110",0
"Aug 04, 2020",10.54,10.64,10.27,10.31,"2,373,787",0
"Aug 03, 2020",10.56,11.41,10.44,10.55,"2,777,417",0
"Aug 02, 2020",10.82,11.33,10.31,10.50,"5,968,086",0
"Aug 01, 2020",10.57,10.92,10.01,10.81,"3,791,627",0
"Jul 31, 2020",9.64,11.21,9.60,10.57,"2,635,417",0
"Jul 30, 2020",9.41,9.72,9.40,9.64,"2,336,822",0
"Jul 29, 2020",9.00,9.52,8.77,9.42,"3,070,459",0
"Jul 28, 2020",10.13,10.22,8.96,8.98,"3,648,142",0
"Jul 27, 2020",10.87,11.05,10.06,10.15,"4,864,375",0
"Jul 26, 2020",10.79,11.33,10.75,10.87,"3,217,734",0
"Jul 25, 2020",11.09,11.30,10.70,10.81,"2,782,999",0
"Jul 24, 2020",11.52,11.95,11.09,11.10,"2,673,709",0
"Jul 23, 2020",10.60,13.31,10.24,11.52,"3,188,153",0
"Jul 22, 2020",10.31,10.67,9.32,10.60,"3,449,817",0
"Jul 21, 2020",10.87,11.14,10.37,10.38,"2,393,333",0
"Jul 20, 2020",9.72,11.58,9.70,10.90,"10,838,529",0
"Jul 19, 2020",8.22,9.75,8.21,9.73,"22,381,350",0
"Jul 18, 2020",8.11,8.75,8.06,8.23,"10,023,946",0
"Jul 17, 2020",8.03,8.15,7.98,8.11,"10,846,402",0
"Jul 16, 2020",8.20,8.34,7.99,8.06,"54,790,198",0
"Jul 15, 2020",8.56,8.73,7.88,8.23,"68,944,474",0
"Jul 14, 2020",9.01,9.01,8.48,8.56,"895,137",0
"Jul 13, 2020",9.73,9.86,8.98,8.98,"1,553,900",0
"Jul 12, 2020",10.39,10.54,9.71,9.73,"1,328,979",0
"Jul 11, 2020",9.99,10.73,9.93,10.43,"1,557,371",0
"Jul 10, 2020",9.84,10.28,9.20,9.99,"1,390,237",0
"Jul 09, 2020",10.29,10.54,9.10,9.87,"2,144,933",0
"Jul 08, 2020",10.63,11.15,10.24,10.31,"7,415,194",0
"Jul 07, 2020",10.70,10.94,10.20,10.63,"2,144,817",0
"Jul 06, 2020",10.76,10.96,10.42,10.70,"1,992,486",0
"Jul 05, 2020",11.16,11.37,10.41,10.76,"2,101,686",0
"Jul 04, 2020",11.49,11.85,11.17,11.17,"5,591,996",0
"Jul 03, 2020",11.79,11.97,11.33,11.51,"2,456,950",0
"Jul 02, 2020",11.04,12.59,10.94,11.89,"3,990,792",0
"Jul 01, 2020",9.97,12.50,9.97,11.02,"4,295,119",0
"Jun 30, 2020",10.61,10.86,9.81,9.97,"2,621,242",0
"Jun 29, 2020",12.03,12.24,10.11,10.60,"2,678,740",0
"Jun 28, 2020",11.86,12.77,11.39,12.03,"2,460,464",0
"Jun 27, 2020",12.43,13.53,11.57,11.86,"3,048,758",0
"Jun 26, 2020",17.46,17.88,12.01,12.45,"4,298,316",0
"Jun 25, 2020",13.77,18.14,12.48,17.46,"15,620,774",0
"Jun 24, 2020",19.53,22.73,11.82,13.74,"11,790,614",0
