Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.017550,0.017550,0.015439,0.016200,"9,688,065","32,332,608"
"Sep 15, 2020",0.021182,0.021210,0.016752,0.017545,"12,965,289","35,016,223"
"Sep 14, 2020",0.022646,0.022865,0.021159,0.021182,"11,879,597","42,275,927"
"Sep 13, 2020",0.025430,0.025522,0.021850,0.022656,"11,634,008","45,217,348"
"Sep 12, 2020",0.024576,0.025492,0.024346,0.025430,"11,243,496","50,753,489"
"Sep 11, 2020",0.025290,0.025396,0.023748,0.024588,"11,703,670","49,072,965"
"Sep 10, 2020",0.025073,0.028169,0.024863,0.025190,"13,983,088","50,275,442"
"Sep 09, 2020",0.023178,0.026522,0.023166,0.025037,"12,609,376","49,969,430"
"Sep 08, 2020",0.025102,0.025532,0.022568,0.023188,"14,253,081","46,280,391"
"Sep 07, 2020",0.027236,0.029291,0.023387,0.025134,"15,407,939","50,163,180"
"Sep 06, 2020",0.027359,0.029967,0.022914,0.027342,"21,630,581","54,570,471"
"Sep 05, 2020",0.039020,0.040437,0.024624,0.027359,"20,441,802","54,603,601"
"Sep 04, 2020",0.040434,0.041551,0.033421,0.039071,"25,931,386","77,980,416"
"Sep 03, 2020",0.043980,0.049404,0.037783,0.040607,"42,337,958","81,046,309"
"Sep 02, 2020",0.040072,0.044156,0.032695,0.043855,"35,302,155","87,528,148"
"Sep 01, 2020",0.030162,0.043378,0.028080,0.040242,"33,349,305","80,317,842"
"Aug 31, 2020",0.029288,0.031223,0.028688,0.030161,"17,491,142","60,196,322"
"Aug 30, 2020",0.031380,0.031792,0.029193,0.029289,"14,450,725","58,456,982"
"Aug 29, 2020",0.032457,0.032491,0.030821,0.031369,"9,978,950","62,607,635"
"Aug 28, 2020",0.031193,0.033847,0.029992,0.032464,"15,411,597","64,793,352"
"Aug 27, 2020",0.030953,0.031491,0.026834,0.031167,"15,149,598","62,203,745"
"Aug 26, 2020",0.031265,0.034024,0.029980,0.030958,"13,584,141","61,787,941"
"Aug 25, 2020",0.038274,0.038632,0.029680,0.031225,"18,422,013","62,320,158"
"Aug 24, 2020",0.031218,0.039610,0.030130,0.038277,"20,498,344","76,395,581"
"Aug 23, 2020",0.027058,0.032650,0.027058,0.031223,"13,628,042","62,317,187"
"Aug 22, 2020",0.026879,0.027297,0.024493,0.027058,"6,971,993","54,003,935"
"Aug 21, 2020",0.027050,0.028098,0.025010,0.026870,"6,823,658","53,627,785"
"Aug 20, 2020",0.025311,0.027991,0.025293,0.027047,"7,263,151","53,981,208"
"Aug 19, 2020",0.024846,0.025945,0.023604,0.025311,"6,913,740","50,516,483"
"Aug 18, 2020",0.027242,0.027348,0.023991,0.024842,"9,099,768","49,581,258"
"Aug 17, 2020",0.027998,0.029790,0.026569,0.027222,"10,156,178","54,330,908"
"Aug 16, 2020",0.030310,0.030745,0.027140,0.027998,"8,866,975","49,580,675"
"Aug 15, 2020",0.031190,0.031564,0.029537,0.030282,"8,836,135","46,508,805"
"Aug 14, 2020",0.030754,0.031898,0.029040,0.031184,"10,522,185","47,894,417"
"Aug 13, 2020",0.029520,0.033220,0.027062,0.030797,"16,137,601","47,299,092"
"Aug 12, 2020",0.027907,0.029967,0.026549,0.029278,"10,018,684","44,965,814"
"Aug 11, 2020",0.030431,0.030608,0.026491,0.027915,"10,008,866","42,873,649"
"Aug 10, 2020",0.028228,0.032932,0.026097,0.030436,"13,230,838","46,744,849"
"Aug 09, 2020",0.030174,0.030191,0.026584,0.028228,"13,601,511","43,354,271"
"Aug 08, 2020",0.023636,0.032901,0.022508,0.030143,"19,832,914","46,294,707"
"Aug 07, 2020",0.029207,0.029940,0.023364,0.023624,"13,680,785","36,282,138"
"Aug 06, 2020",0.035770,0.035770,0.027359,0.029153,"25,791,061","44,773,878"
"Aug 05, 2020",0.023781,0.036894,0.023159,0.035770,"34,486,553","54,937,719"
"Aug 04, 2020",0.018931,0.023779,0.018788,0.023779,"9,523,385","36,521,634"
"Aug 03, 2020",0.019387,0.021087,0.016706,0.018933,"8,754,845","29,078,313"
"Aug 02, 2020",0.019343,0.021551,0.016792,0.019387,"14,538,793","29,774,756"
"Aug 01, 2020",0.012102,0.019352,0.012031,0.019257,"12,318,980","29,575,210"
"Jul 31, 2020",0.010238,0.013166,0.010079,0.012102,"4,239,820","18,586,957"
"Jul 30, 2020",0.010293,0.010697,0.010107,0.010238,"2,260,481","15,724,374"
"Jul 29, 2020",0.011033,0.011407,0.010263,0.010319,"2,476,269","15,848,493"
