Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",4.35,4.56,4.18,4.41,"38,697,570","146,102,098"
"Sep 15, 2020",5.54,5.81,4.33,4.35,"63,653,501","144,217,696"
"Sep 14, 2020",4.95,5.98,4.85,5.55,"78,465,669","183,942,250"
"Sep 13, 2020",4.79,5.26,4.64,4.95,"77,100,690","164,074,251"
"Sep 12, 2020",4.44,4.88,4.30,4.79,"45,383,238","158,620,061"
"Sep 11, 2020",4.61,4.63,4.08,4.44,"40,079,397","147,308,477"
"Sep 10, 2020",4.62,4.74,4.35,4.61,"46,061,472","152,819,876"
"Sep 09, 2020",4.03,4.62,3.92,4.60,"45,189,414","152,580,837"
"Sep 08, 2020",4.55,4.57,3.94,4.04,"41,660,878","133,844,908"
"Sep 07, 2020",4.75,4.93,4.06,4.54,"43,922,200","150,623,877"
"Sep 06, 2020",4.32,4.91,3.78,4.76,"54,624,943","157,611,338"
"Sep 05, 2020",5.55,5.63,4.06,4.32,"40,123,659","143,126,063"
"Sep 04, 2020",4.90,5.86,4.72,5.53,"50,499,937","183,418,749"
"Sep 03, 2020",6.33,6.37,4.91,4.91,"53,317,738","162,757,048"
"Sep 02, 2020",7.44,7.53,5.81,6.35,"60,140,988","210,402,014"
"Sep 01, 2020",8.21,8.48,7.39,7.45,"66,472,858","246,904,040"
"Aug 31, 2020",8.95,8.95,7.86,8.21,"76,985,238","272,039,018"
"Aug 30, 2020",7.39,9.11,7.27,8.95,"106,499,916","296,582,866"
"Aug 29, 2020",7.89,7.92,7.27,7.39,"64,253,715","244,995,208"
"Aug 28, 2020",8.29,8.35,7.48,7.87,"70,948,384","260,823,120"
"Aug 27, 2020",9.59,10.28,7.30,8.28,"150,801,918","274,558,102"
"Aug 26, 2020",7.33,10.64,7.14,9.58,"218,485,197","317,541,999"
"Aug 25, 2020",6.87,7.53,6.56,7.36,"100,812,330","243,904,274"
"Aug 24, 2020",6.16,7.29,6.15,6.87,"73,496,443","227,766,322"
"Aug 23, 2020",5.35,6.33,5.18,6.16,"36,059,273","204,290,886"
"Aug 22, 2020",4.94,5.50,4.66,5.35,"25,687,106","177,610,322"
"Aug 21, 2020",5.35,5.36,4.83,4.94,"20,144,439","163,925,135"
"Aug 20, 2020",5.27,5.52,5.03,5.37,"20,852,596","178,262,545"
"Aug 19, 2020",5.78,5.92,5.10,5.28,"24,713,160","173,856,848"
"Aug 18, 2020",6.15,6.62,5.69,5.78,"36,924,297","190,296,246"
"Aug 17, 2020",6.11,6.15,5.79,6.12,"25,449,233","201,407,714"
"Aug 16, 2020",6.00,6.30,5.97,6.11,"19,817,188","201,086,536"
"Aug 15, 2020",6.15,6.46,5.67,5.99,"37,326,063","197,246,517"
"Aug 14, 2020",6.79,7.23,6.03,6.16,"45,263,271","202,703,871"
"Aug 13, 2020",5.16,11.45,5.16,6.80,"193,809,853","223,962,084"
"Aug 12, 2020",3.75,5.58,3.72,5.15,"34,523,173","167,913,022"
"Aug 11, 2020",3.76,4.10,3.67,3.83,"15,135,318","124,765,840"
"Aug 10, 2020",3.62,3.80,3.30,3.77,"8,407,048","122,449,004"
"Aug 09, 2020",3.23,3.66,3.23,3.60,"7,397,155","116,882,774"
"Aug 08, 2020",3.04,3.54,3.03,3.24,"8,424,327","105,363,348"
"Aug 07, 2020",2.86,3.12,2.86,3.05,"7,373,993","99,146,771"
