Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.246621,0.256058,0.239046,0.251996,"222,977,956","370,196,603"
"Sep 15, 2020",0.256435,0.258761,0.244067,0.246435,"206,640,724","362,027,971"
"Sep 14, 2020",0.257391,0.262518,0.251004,0.256300,"193,505,437","376,517,009"
"Sep 13, 2020",0.272952,0.273427,0.250418,0.256931,"136,441,312","377,444,236"
"Sep 12, 2020",0.264080,0.275943,0.261549,0.272952,"191,120,022","400,843,180"
"Sep 11, 2020",0.265465,0.266983,0.256264,0.264080,"136,836,283","387,814,548"
"Sep 10, 2020",0.257597,0.269029,0.256043,0.265465,"142,879,360","389,848,480"
"Sep 09, 2020",0.251291,0.263408,0.243112,0.257570,"154,339,859","378,252,065"
"Sep 08, 2020",0.252167,0.263719,0.246024,0.251243,"131,756,892","368,949,893"
"Sep 07, 2020",0.258921,0.261519,0.240130,0.252453,"131,238,442","368,959,584"
"Sep 06, 2020",0.237203,0.260320,0.227873,0.258548,"135,610,488","377,868,655"
"Sep 05, 2020",0.266898,0.270347,0.230008,0.237203,"146,810,617","346,672,101"
"Sep 04, 2020",0.254873,0.273878,0.252772,0.267217,"183,463,523","390,537,762"
"Sep 03, 2020",0.316816,0.318659,0.252119,0.254748,"199,585,900","372,313,660"
"Sep 02, 2020",0.336279,0.338294,0.304979,0.316723,"194,981,493","462,495,304"
"Sep 01, 2020",0.349591,0.351087,0.333770,0.336539,"196,303,320","491,431,132"
"Aug 31, 2020",0.346316,0.356278,0.339272,0.349826,"223,340,103","510,833,623"
"Aug 30, 2020",0.354911,0.361201,0.346318,0.346509,"177,251,449","505,990,568"
"Aug 29, 2020",0.350645,0.369005,0.348106,0.355128,"331,817,879","518,575,728"
"Aug 28, 2020",0.326550,0.351779,0.321332,0.350677,"200,856,491","512,076,899"
"Aug 27, 2020",0.351892,0.354394,0.320583,0.326421,"237,474,151","476,167,088"
"Aug 26, 2020",0.346396,0.366848,0.344395,0.352113,"219,646,386","513,644,752"
"Aug 25, 2020",0.396826,0.398473,0.343650,0.347798,"273,586,341","507,350,951"
"Aug 24, 2020",0.403624,0.431644,0.389009,0.397094,"301,515,487","579,261,229"
"Aug 23, 2020",0.398297,0.421795,0.370906,0.403513,"313,092,652","588,625,052"
"Aug 22, 2020",0.378783,0.404222,0.345757,0.399607,"322,874,678","582,926,834"
"Aug 21, 2020",0.360850,0.438723,0.352456,0.379275,"677,659,236","553,266,796"
"Aug 20, 2020",0.318137,0.369350,0.317910,0.360405,"341,742,329","525,198,879"
"Aug 19, 2020",0.349602,0.356798,0.313157,0.317926,"303,125,129","463,296,973"
"Aug 18, 2020",0.315952,0.375054,0.315685,0.350865,"481,842,759","511,297,119"
"Aug 17, 2020",0.321183,0.336562,0.303561,0.317203,"305,038,526","473,662,294"
"Aug 16, 2020",0.274544,0.333566,0.272018,0.321183,"341,927,961","479,605,111"
"Aug 15, 2020",0.277726,0.280732,0.273139,0.274729,"184,810,465","410,238,364"
"Aug 14, 2020",0.269667,0.278756,0.265977,0.277754,"192,813,635","414,754,412"
"Aug 13, 2020",0.271793,0.273070,0.258488,0.269549,"162,559,730","402,502,761"
"Aug 12, 2020",0.261825,0.274759,0.252543,0.271726,"166,822,858","405,746,804"
"Aug 11, 2020",0.286641,0.287416,0.253184,0.261731,"285,914,950","390,822,980"
"Aug 10, 2020",0.267681,0.288528,0.264724,0.286569,"230,386,737","427,910,639"
"Aug 09, 2020",0.260893,0.270987,0.260893,0.267665,"104,893,214","399,683,492"
"Aug 08, 2020",0.253246,0.260690,0.252612,0.260690,"89,341,363","387,703,966"
"Aug 07, 2020",0.259057,0.264357,0.246929,0.253117,"218,686,834","376,442,063"
"Aug 06, 2020",0.257984,0.259484,0.254926,0.259182,"169,841,683","385,460,597"
"Aug 05, 2020",0.261303,0.263246,0.254951,0.257778,"154,038,980","383,370,927"
"Aug 04, 2020",0.251213,0.261519,0.250829,0.261519,"128,205,260","388,882,174"
"Aug 03, 2020",0.242359,0.255418,0.240560,0.251229,"140,882,345","373,580,080"
"Aug 02, 2020",0.257824,0.262102,0.237866,0.242356,"157,623,657","360,386,654"
"Aug 01, 2020",0.252872,0.259045,0.249868,0.257829,"197,639,256","383,394,285"
"Jul 31, 2020",0.247559,0.253066,0.246422,0.252872,"145,660,749","376,023,536"
