Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",2.71,2.75,2.62,2.72,"2,198,598,029","2,546,007,603"
"Sep 15, 2020",2.74,2.78,2.71,2.71,"1,860,615,702","2,537,382,951"
"Sep 14, 2020",2.72,2.78,2.70,2.74,"1,977,781,254","2,563,363,000"
"Sep 13, 2020",2.81,2.83,2.68,2.72,"1,956,722,067","2,545,692,153"
"Sep 12, 2020",2.79,2.83,2.77,2.81,"1,684,800,439","2,629,467,997"
"Sep 11, 2020",2.78,2.82,2.72,2.79,"1,952,044,646","2,610,292,910"
"Sep 10, 2020",2.76,2.84,2.76,2.78,"2,215,922,130","2,604,086,812"
"Sep 09, 2020",2.76,2.81,2.71,2.76,"1,910,271,632","2,581,374,178"
"Sep 08, 2020",2.85,2.86,2.70,2.76,"2,652,161,786","2,581,615,515"
"Sep 07, 2020",2.91,2.94,2.69,2.85,"3,096,956,227","2,670,514,134"
"Sep 06, 2020",2.93,3.01,2.84,2.91,"3,139,720,799","2,725,257,761"
"Sep 05, 2020",3.01,3.15,2.82,2.93,"5,652,060,836","2,745,288,527"
"Sep 04, 2020",2.64,3.21,2.63,3.01,"5,253,038,602","2,820,774,273"
"Sep 03, 2020",3.10,3.15,2.61,2.64,"3,101,892,961","2,473,230,868"
"Sep 02, 2020",3.48,3.50,3.01,3.10,"3,355,126,447","2,901,624,876"
"Sep 01, 2020",3.22,3.53,3.19,3.48,"2,683,850,445","3,255,148,211"
"Aug 31, 2020",3.27,3.30,3.21,3.23,"1,818,966,406","3,018,184,515"
"Aug 30, 2020",3.14,3.27,3.14,3.27,"1,877,220,419","3,056,250,510"
"Aug 29, 2020",3.12,3.20,3.09,3.14,"1,655,796,056","2,935,957,996"
"Aug 28, 2020",2.98,3.17,2.95,3.12,"1,997,932,349","2,919,465,314"
"Aug 27, 2020",3.12,3.15,2.90,2.98,"2,212,925,741","2,786,890,130"
"Aug 26, 2020",3.13,3.16,3.07,3.13,"1,929,872,365","2,923,938,315"
"Aug 25, 2020",3.39,3.39,3.05,3.14,"2,496,895,800","2,936,105,592"
"Aug 24, 2020",3.33,3.41,3.30,3.39,"1,971,274,605","3,171,834,505"
"Aug 23, 2020",3.36,3.38,3.25,3.33,"1,814,438,208","3,110,701,509"
"Aug 22, 2020",3.26,3.37,3.20,3.37,"2,362,958,020","3,151,627,361"
"Aug 21, 2020",3.44,3.61,3.26,3.27,"3,522,494,003","3,054,773,368"
"Aug 20, 2020",3.35,3.45,3.35,3.44,"2,367,650,770","3,218,091,664"
"Aug 19, 2020",3.59,3.63,3.25,3.35,"3,371,693,790","3,130,546,753"
"Aug 18, 2020",3.77,3.81,3.57,3.59,"2,998,442,461","3,356,576,444"
"Aug 17, 2020",3.88,3.91,3.76,3.77,"3,771,695,207","3,527,150,319"
"Aug 16, 2020",3.73,3.92,3.56,3.88,"4,778,869,235","3,627,677,086"
"Aug 15, 2020",3.25,3.83,3.25,3.73,"5,115,996,830","3,492,499,476"
"Aug 14, 2020",3.18,3.30,3.13,3.25,"2,929,453,441","3,043,959,416"
"Aug 13, 2020",3.06,3.19,2.94,3.18,"2,530,322,368","2,974,829,392"
"Aug 12, 2020",3.02,3.09,2.92,3.06,"2,355,373,645","2,861,631,421"
"Aug 11, 2020",3.24,3.29,2.93,3.02,"2,986,817,654","2,826,440,807"
"Aug 10, 2020",3.03,3.28,3.03,3.24,"2,882,321,248","3,028,185,139"
"Aug 09, 2020",3.06,3.09,2.98,3.03,"1,605,604,936","2,836,228,730"
"Aug 08, 2020",3.02,3.09,2.99,3.05,"1,658,324,422","2,855,137,001"
"Aug 07, 2020",3.09,3.24,2.88,3.02,"2,948,024,705","2,819,320,712"
"Aug 06, 2020",3.06,3.16,3.01,3.09,"2,103,644,595","2,891,125,195"
"Aug 05, 2020",3.04,3.10,3.02,3.06,"1,776,068,900","2,860,164,295"
"Aug 04, 2020",3.05,3.09,2.98,3.03,"1,917,603,813","2,836,860,796"
"Aug 03, 2020",2.94,3.12,2.92,3.05,"1,957,244,385","2,849,181,000"
"Aug 02, 2020",3.30,3.47,2.76,2.94,"3,543,069,424","2,748,482,971"
"Aug 01, 2020",3.09,3.30,3.07,3.29,"2,513,497,240","3,077,741,993"
"Jul 31, 2020",3.05,3.13,3.01,3.09,"1,924,546,686","2,890,156,382"
"Jul 30, 2020",3.03,3.09,2.97,3.05,"1,995,862,816","2,852,158,580"
"Jul 29, 2020",2.99,3.14,2.96,3.03,"2,339,032,886","2,828,409,163"
"Jul 28, 2020",2.85,3.06,2.79,2.99,"2,516,881,096","2,798,018,531"
"Jul 27, 2020",2.71,2.91,2.68,2.84,"2,596,598,127","2,655,251,089"
"Jul 26, 2020",2.72,2.79,2.69,2.71,"1,804,564,879","2,536,659,504"
"Jul 25, 2020",2.59,2.74,2.59,2.73,"1,616,310,906","2,547,958,629"
"Jul 24, 2020",2.65,2.65,2.58,2.59,"1,292,901,834","2,424,275,394"
"Jul 23, 2020",2.66,2.68,2.64,2.65,"1,417,252,200","2,478,055,403"
"Jul 22, 2020",2.62,2.66,2.59,2.66,"1,247,440,460","2,483,826,570"
"Jul 21, 2020",2.56,2.63,2.56,2.62,"1,226,905,731","2,445,753,209"
"Jul 20, 2020",2.58,2.60,2.54,2.56,"1,171,151,594","2,394,994,817"
"Jul 19, 2020",2.50,2.59,2.48,2.58,"1,128,667,004","2,408,456,951"
"Jul 18, 2020",2.50,2.52,2.48,2.50,"860,317,780","2,335,791,021"
"Jul 17, 2020",2.50,2.52,2.48,2.50,"950,656,644","2,331,780,279"
"Jul 16, 2020",2.53,2.55,2.46,2.50,"1,315,835,446","2,332,971,713"
"Jul 15, 2020",2.56,2.56,2.51,2.53,"1,229,856,933","2,367,496,924"
"Jul 14, 2020",2.55,2.57,2.51,2.56,"1,295,225,304","2,388,904,352"
"Jul 13, 2020",2.61,2.64,2.51,2.55,"1,342,425,176","2,386,366,860"
"Jul 12, 2020",2.62,2.65,2.59,2.61,"982,699,897","2,440,896,878"
"Jul 11, 2020",2.62,2.63,2.60,2.62,"926,884,552","2,447,563,109"
"Jul 10, 2020",2.66,2.66,2.57,2.62,"1,185,884,832","2,447,120,763"
"Jul 09, 2020",2.68,2.71,2.60,2.66,"1,500,819,023","2,482,241,648"
"Jul 08, 2020",2.56,2.69,2.54,2.68,"1,697,062,548","2,500,215,199"
"Jul 07, 2020",2.61,2.62,2.51,2.56,"1,160,179,660","2,387,881,690"
"Jul 06, 2020",2.41,2.62,2.40,2.61,"1,650,951,585","2,439,195,580"
"Jul 05, 2020",2.46,2.47,2.36,2.41,"1,006,404,927","2,248,407,010"
"Jul 04, 2020",2.42,2.49,2.41,2.46,"1,014,696,747","2,297,267,584"
"Jul 03, 2020",2.38,2.46,2.36,2.42,"1,060,283,792","2,259,964,265"
"Jul 02, 2020",2.37,2.39,2.32,2.39,"1,025,776,231","2,228,260,452"
"Jul 01, 2020",2.36,2.39,2.35,2.37,"1,076,905,668","2,214,101,635"
"Jun 30, 2020",2.37,2.39,2.34,2.36,"931,091,007","2,202,361,410"
"Jun 29, 2020",2.36,2.40,2.32,2.38,"1,210,910,579","2,218,284,609"
"Jun 28, 2020",2.35,2.40,2.32,2.36,"1,149,400,723","2,204,774,960"
"Jun 27, 2020",2.47,2.49,2.28,2.35,"1,484,900,423","2,194,236,408"
"Jun 26, 2020",2.48,2.50,2.41,2.47,"1,461,058,042","2,308,747,168"
"Jun 25, 2020",2.49,2.51,2.45,2.48,"1,097,051,183","2,315,845,968"
"Jun 24, 2020",2.58,2.58,2.46,2.49,"1,339,866,596","2,328,940,690"
"Jun 23, 2020",2.56,2.59,2.53,2.57,"1,080,367,867","2,404,025,055"
"Jun 22, 2020",2.52,2.57,2.51,2.56,"1,344,062,923","2,390,667,573"
"Jun 21, 2020",2.52,2.54,2.50,2.52,"1,079,575,379","2,349,397,863"
"Jun 20, 2020",2.50,2.54,2.47,2.52,"1,260,873,457","2,355,096,828"
"Jun 19, 2020",2.53,2.54,2.50,2.50,"1,210,060,849","2,338,749,875"
"Jun 18, 2020",2.56,2.57,2.51,2.53,"1,172,326,294","2,365,146,110"
"Jun 17, 2020",2.55,2.58,2.53,2.56,"1,516,712,073","2,387,137,601"
"Jun 16, 2020",2.53,2.56,2.52,2.55,"1,380,866,138","2,376,531,375"
"Jun 15, 2020",2.58,2.58,2.45,2.53,"1,934,626,454","2,361,683,668"
"Jun 14, 2020",2.60,2.61,2.55,2.58,"1,387,842,937","2,405,339,451"
"Jun 13, 2020",2.60,2.61,2.57,2.60,"1,398,712,592","2,430,040,652"
"Jun 12, 2020",2.54,2.62,2.51,2.60,"1,793,582,062","2,426,185,658"
"Jun 11, 2020",2.77,2.79,2.50,2.53,"2,439,417,321","2,365,921,919"
"Jun 10, 2020",2.76,2.78,2.74,2.77,"1,622,529,794","2,583,737,622"
"Jun 09, 2020",2.79,2.79,2.72,2.76,"1,649,206,194","2,580,145,540"
"Jun 08, 2020",2.82,2.82,2.76,2.78,"1,763,837,008","2,598,644,424"
"Jun 07, 2020",2.80,2.83,2.74,2.82,"1,914,784,279","2,628,357,334"
"Jun 06, 2020",2.82,2.85,2.78,2.80,"1,858,177,708","2,608,628,064"
"Jun 05, 2020",2.72,2.86,2.71,2.82,"2,247,891,637","2,634,221,668"
"Jun 04, 2020",2.70,2.73,2.67,2.72,"1,818,900,096","2,541,581,209"
"Jun 03, 2020",2.68,2.70,2.65,2.70,"1,786,411,018","2,516,159,532"
"Jun 02, 2020",2.82,2.89,2.64,2.68,"2,931,746,699","2,499,160,414"
"Jun 01, 2020",2.67,2.82,2.67,2.81,"2,380,045,715","2,626,478,790"
"May 31, 2020",2.76,2.76,2.66,2.67,"2,161,363,681","2,491,563,531"
"May 30, 2020",2.61,2.77,2.59,2.76,"2,210,704,952","2,576,884,318"
"May 29, 2020",2.62,2.67,2.60,2.61,"2,001,356,933","2,434,453,956"
"May 28, 2020",2.56,2.62,2.53,2.62,"1,863,387,715","2,441,711,521"
"May 27, 2020",2.50,2.57,2.50,2.56,"1,848,037,117","2,391,641,596"
"May 26, 2020",2.54,2.55,2.47,2.50,"1,729,219,371","2,330,178,499"
"May 25, 2020",2.51,2.54,2.48,2.54,"1,904,348,324","2,368,218,553"
"May 24, 2020",2.57,2.60,2.51,2.51,"2,241,154,250","2,340,299,894"
