Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",4.79,4.82,4.74,4.78,"127,807,491","997,218,677"
"Sep 15, 2020",4.80,4.84,4.77,4.79,"151,145,477","1,000,986,552"
"Sep 14, 2020",4.82,4.90,4.72,4.80,"194,287,429","1,025,377,439"
"Sep 13, 2020",4.73,5.02,4.72,4.82,"248,236,775","1,029,077,942"
"Sep 12, 2020",4.74,4.85,4.67,4.73,"116,051,581","1,010,471,052"
"Sep 11, 2020",4.73,4.81,4.64,4.73,"160,501,231","1,011,582,053"
"Sep 10, 2020",4.69,4.79,4.66,4.72,"159,529,946","1,008,945,323"
"Sep 09, 2020",4.54,4.72,4.49,4.69,"102,628,913","1,001,486,136"
"Sep 08, 2020",4.64,4.65,4.47,4.54,"109,877,766","970,027,117"
"Sep 07, 2020",4.68,4.89,4.47,4.64,"280,980,664","990,736,415"
"Sep 06, 2020",4.34,4.77,4.25,4.68,"217,011,079","1,000,711,503"
"Sep 05, 2020",4.49,4.57,4.25,4.34,"160,169,278","926,670,201"
"Sep 04, 2020",4.40,4.56,4.34,4.48,"159,465,427","956,431,485"
"Sep 03, 2020",5.05,5.08,4.39,4.40,"256,869,841","941,157,675"
"Sep 02, 2020",4.96,5.16,4.72,5.05,"365,249,398","1,079,683,758"
"Sep 01, 2020",4.95,5.05,4.86,4.97,"192,414,198","1,061,249,513"
"Aug 31, 2020",4.86,5.01,4.84,4.95,"117,721,419","1,058,694,919"
"Aug 30, 2020",4.80,4.87,4.77,4.86,"107,628,377","1,038,549,911"
"Aug 29, 2020",4.85,4.85,4.75,4.80,"99,263,337","1,025,291,371"
"Aug 28, 2020",4.78,4.88,4.75,4.85,"118,701,858","1,035,981,357"
"Aug 27, 2020",5.00,5.01,4.65,4.78,"154,293,127","1,021,853,209"
"Aug 26, 2020",4.81,5.15,4.77,5.00,"242,264,169","1,068,355,348"
"Aug 25, 2020",4.78,4.99,4.68,4.81,"183,766,007","1,027,618,936"
"Aug 24, 2020",4.66,4.79,4.63,4.78,"69,740,378","1,021,788,655"
"Aug 23, 2020",4.65,4.70,4.59,4.66,"59,284,007","996,231,397"
"Aug 22, 2020",4.70,4.71,4.57,4.65,"76,057,560","994,299,213"
"Aug 21, 2020",4.81,4.88,4.70,4.70,"120,024,156","1,005,514,696"
"Aug 20, 2020",4.63,4.83,4.61,4.82,"98,961,007","1,029,670,136"
"Aug 19, 2020",4.75,4.80,4.57,4.62,"118,873,604","987,921,544"
"Aug 18, 2020",4.78,4.85,4.67,4.75,"101,672,070","1,014,352,165"
"Aug 17, 2020",4.83,4.84,4.77,4.78,"103,088,556","1,021,970,058"
"Aug 16, 2020",4.81,4.86,4.75,4.83,"90,028,208","1,029,689,803"
"Aug 15, 2020",4.69,4.91,4.67,4.81,"154,418,932","1,024,515,877"
"Aug 14, 2020",4.68,4.77,4.63,4.69,"113,946,522","1,012,115,444"
"Aug 13, 2020",4.53,4.70,4.44,4.68,"101,454,926","1,010,877,044"
"Aug 12, 2020",4.56,4.61,4.40,4.53,"95,019,696","976,777,309"
"Aug 11, 2020",4.71,4.72,4.44,4.57,"112,865,930","985,256,255"
"Aug 10, 2020",4.72,4.78,4.66,4.71,"92,344,955","1,016,071,466"
"Aug 09, 2020",4.72,4.78,4.63,4.72,"70,849,223","1,018,449,493"
"Aug 08, 2020",4.71,4.78,4.68,4.72,"54,895,707","1,018,862,386"
"Aug 07, 2020",4.86,4.87,4.66,4.71,"75,492,590","1,015,908,809"
"Aug 06, 2020",4.93,4.93,4.82,4.86,"72,294,123","1,048,033,206"
"Aug 05, 2020",4.85,4.96,4.83,4.93,"93,062,080","1,062,925,884"
"Aug 04, 2020",4.77,5.00,4.72,4.85,"177,264,052","1,045,991,240"
"Aug 03, 2020",4.48,4.86,4.45,4.77,"164,793,044","1,030,256,525"
"Aug 02, 2020",4.75,4.83,4.40,4.48,"190,181,192","966,601,748"
"Aug 01, 2020",4.38,4.76,4.37,4.75,"183,122,965","1,023,964,330"
"Jul 31, 2020",4.40,4.42,4.35,4.38,"97,347,269","944,366,585"
"Jul 30, 2020",4.43,4.43,4.34,4.40,"93,795,878","948,637,510"
"Jul 29, 2020",4.43,4.51,4.40,4.43,"112,205,780","955,384,412"
"Jul 28, 2020",4.47,4.55,4.34,4.43,"184,302,125","956,226,061"
"Jul 27, 2020",4.28,4.51,4.27,4.47,"160,568,576","964,518,657"
"Jul 26, 2020",4.27,4.34,4.24,4.28,"117,573,669","923,343,913"
"Jul 25, 2020",4.20,4.28,4.20,4.27,"98,691,595","922,502,702"
"Jul 24, 2020",4.34,4.34,4.19,4.20,"114,375,702","907,254,054"
"Jul 23, 2020",4.32,4.36,4.27,4.34,"64,916,022","935,784,237"
"Jul 22, 2020",4.24,4.33,4.23,4.32,"89,218,233","932,878,962"
"Jul 21, 2020",4.23,4.26,4.20,4.24,"96,319,445","914,886,273"
"Jul 20, 2020",4.21,4.23,4.20,4.23,"64,456,482","912,261,592"
"Jul 19, 2020",4.19,4.23,4.17,4.21,"58,458,663","908,736,596"
"Jul 18, 2020",4.16,4.23,4.16,4.19,"54,659,682","904,838,426"
"Jul 17, 2020",4.19,4.22,4.16,4.19,"58,860,631","903,684,859"
"Jul 16, 2020",4.23,4.25,4.16,4.19,"90,689,811","904,625,838"
"Jul 15, 2020",4.23,4.27,4.22,4.23,"82,955,141","910,526,071"
"Jul 14, 2020",4.23,4.24,4.19,4.23,"82,077,826","920,276,609"
"Jul 13, 2020",4.22,4.24,4.19,4.23,"94,144,426","921,046,454"
"Jul 12, 2020",4.19,4.24,4.19,4.22,"86,239,459","917,870,287"
"Jul 11, 2020",4.19,4.21,4.18,4.19,"67,133,479","911,625,894"
"Jul 10, 2020",4.18,4.21,4.12,4.20,"87,939,653","913,078,883"
"Jul 09, 2020",4.21,4.24,4.15,4.18,"109,025,457","910,219,273"
"Jul 08, 2020",4.12,4.24,4.11,4.21,"141,724,238","917,267,578"
"Jul 07, 2020",4.25,4.28,4.11,4.12,"145,441,297","897,018,814"
"Jul 06, 2020",4.08,4.26,4.07,4.25,"186,121,694","925,579,806"
"Jul 05, 2020",4.12,4.14,4.06,4.08,"78,207,380","887,452,401"
"Jul 04, 2020",4.10,4.15,4.07,4.12,"76,674,520","897,488,019"
"Jul 03, 2020",4.14,4.15,4.08,4.10,"70,533,714","891,682,733"
"Jul 02, 2020",4.15,4.17,4.07,4.14,"110,407,580","900,487,136"
"Jul 01, 2020",4.15,4.19,4.09,4.15,"82,084,216","902,934,661"
"Jun 30, 2020",4.20,4.22,4.12,4.15,"84,012,800","902,559,950"
"Jun 29, 2020",4.14,4.23,4.11,4.20,"101,416,299","914,769,762"
"Jun 28, 2020",4.15,4.18,4.08,4.14,"91,634,002","900,844,593"
"Jun 27, 2020",4.20,4.26,4.10,4.15,"90,727,586","902,829,510"
"Jun 26, 2020",4.23,4.26,4.19,4.20,"81,352,521","915,027,933"
"Jun 25, 2020",4.30,4.30,4.18,4.23,"92,382,810","920,274,866"
"Jun 24, 2020",4.26,4.48,4.19,4.30,"203,147,790","935,733,168"
"Jun 23, 2020",4.26,4.28,4.21,4.26,"83,511,789","927,038,676"
"Jun 22, 2020",4.05,4.27,4.05,4.26,"163,359,388","926,567,305"
"Jun 21, 2020",4.08,4.12,4.04,4.05,"77,922,761","891,279,427"
"Jun 20, 2020",4.05,4.11,4.04,4.08,"84,330,475","898,958,018"
"Jun 19, 2020",4.16,4.16,4.04,4.05,"107,081,375","890,908,070"
"Jun 18, 2020",4.19,4.20,4.11,4.16,"93,766,965","916,610,313"
"Jun 17, 2020",4.24,4.25,4.16,4.19,"96,978,928","922,577,547"
"Jun 16, 2020",4.19,4.27,4.17,4.24,"105,807,072","933,226,022"
"Jun 15, 2020",4.23,4.24,4.06,4.20,"153,401,306","923,913,173"
"Jun 14, 2020",4.30,4.32,4.20,4.23,"85,614,487","931,001,576"
"Jun 13, 2020",4.33,4.34,4.27,4.30,"82,625,875","946,849,884"
