Date,Open*,High,Low,Close**,Volume,Market Cap
"Sep 16, 2020",0.414104,0.420830,0.410943,0.416982,"1,196,380","41,698,182"
"Sep 15, 2020",0.418966,0.425528,0.412034,0.414057,"1,181,776","41,405,735"
"Sep 14, 2020",0.413687,0.423773,0.410071,0.419006,"1,259,414","41,900,584"
"Sep 13, 2020",0.419837,0.425775,0.411093,0.412420,"1,116,900","41,241,964"
"Sep 12, 2020",0.409962,0.430418,0.407737,0.420608,"1,001,996","42,060,803"
"Sep 11, 2020",0.409091,0.412370,0.400722,0.410142,"1,093,251","41,014,223"
"Sep 10, 2020",0.425421,0.426887,0.396403,0.408200,"1,229,739","40,819,973"
"Sep 09, 2020",0.414808,0.428225,0.410962,0.425421,"1,260,683","42,542,062"
"Sep 08, 2020",0.439079,0.444003,0.409048,0.414571,"1,033,207","41,457,145"
"Sep 07, 2020",0.454441,0.455525,0.432398,0.439105,"1,125,505","43,910,542"
"Sep 06, 2020",0.516741,0.522536,0.451029,0.454197,"1,215,805","45,419,688"
"Sep 05, 2020",0.527578,0.532668,0.509538,0.516741,"1,315,652","51,674,117"
"Sep 04, 2020",0.539436,0.552046,0.513817,0.525502,"1,381,017","52,550,177"
"Sep 03, 2020",0.578799,0.587214,0.537401,0.542738,"1,462,343","54,273,801"
"Sep 02, 2020",0.610077,0.610091,0.579278,0.579687,"1,467,110","57,968,674"
"Sep 01, 2020",0.594227,0.614656,0.590704,0.609685,"1,421,741","60,968,505"
"Aug 31, 2020",0.601713,0.603317,0.593542,0.594280,"1,379,913","59,428,015"
"Aug 30, 2020",0.599306,0.606881,0.595731,0.601674,"1,440,096","60,167,388"
"Aug 29, 2020",0.606191,0.608220,0.597593,0.599325,"1,437,163","59,932,528"
"Aug 28, 2020",0.601766,0.609918,0.599472,0.605948,"1,470,052","60,594,762"
"Aug 27, 2020",0.606584,0.611503,0.599340,0.601858,"1,500,096","60,185,761"
"Aug 26, 2020",0.598753,0.610455,0.595715,0.606366,"1,410,622","60,636,551"
"Aug 25, 2020",0.607603,0.609391,0.595257,0.598166,"1,620,335","59,816,584"
"Aug 24, 2020",0.612613,0.613302,0.605545,0.606898,"1,650,377","60,689,822"
"Aug 23, 2020",0.607460,0.612835,0.601225,0.612613,"1,546,212","61,261,333"
"Aug 22, 2020",0.606665,0.612007,0.599732,0.607842,"1,744,761","60,784,228"
"Aug 21, 2020",0.610100,0.614015,0.602231,0.605290,"1,564,878","60,528,992"
"Aug 20, 2020",0.611302,0.614545,0.602454,0.610385,"1,549,148","61,038,518"
"Aug 19, 2020",0.609551,0.616983,0.598992,0.611427,"1,667,635","61,142,694"
"Aug 18, 2020",0.610363,0.623208,0.605717,0.609551,"1,752,866","60,955,112"
"Aug 17, 2020",0.610706,0.619265,0.604051,0.610254,"1,729,232","61,025,435"
"Aug 16, 2020",0.616760,0.616836,0.600634,0.610706,"1,796,721","61,070,648"
"Aug 15, 2020",0.617421,0.628741,0.612455,0.616606,"1,567,029","61,660,637"
"Aug 14, 2020",0.625264,0.627222,0.612249,0.617055,"1,630,545","61,705,544"
"Aug 13, 2020",0.617816,0.628632,0.602356,0.624962,"1,707,463","62,496,164"
"Aug 12, 2020",0.608662,0.622252,0.600806,0.618237,"1,584,496","61,823,684"
"Aug 11, 2020",0.615868,0.620300,0.600187,0.608879,"1,493,223","60,887,864"
"Aug 10, 2020",0.611147,0.622280,0.607226,0.616465,"1,641,080","24,658,602"
"Aug 09, 2020",0.612135,0.614388,0.602004,0.611111,"1,569,437","24,444,420"
"Aug 08, 2020",0.607066,0.616327,0.604015,0.612638,"1,633,371","24,505,509"
"Aug 07, 2020",0.619447,0.619519,0.601540,0.606827,"1,660,275","24,273,073"
